clause_text,clause_type
"Definition. For purposes of this Agreement, the term “Operating Expenses” with respect to each class of the Fund, is defined to include all expenses necessary or appropriate for the operation of the Fund and each of its classes, including the Advisor’s investment advisory or management fee detailed in the Investment Advisory Agreement, any Rule 12b-1 fees and other expenses described in the Investment Advisory Agreement, but does not include any front-end or contingent deferred loads, taxes, leverage interest, brokerage commissions, expenses incurred in connection with any merger or reorganization, or extraordinary expenses such as litigation.",definition
"Definition. For purposes of this Section, the terms “taxes” and “fees” shall include but not be limited to federal, state or local sales, use, excise, gross receipts or other taxes or tax-like fees of whatever nature and however designated (including tariff surcharges and any fees, charges or other payments, contractual or otherwise, for the use of public streets or rights of way, whether designated as franchise fees or otherwise) imposed, or sought to be imposed, on or with respect to the services furnished hereunder or measured by the charges or payments therefore, excluding any taxes levied on income.",definition
Definition. “Option” shall mean: (a) the right to extend the term of or renew this Lease or to extend or renew any lease that Lessee has on other property of Lessor; (b) the right of first refusal or first offer to lease either the Premises or other property of Lessor; (c) the right to purchase or the right of first refusal to purchase the Premises or other property of Lessor.,definition
"Definition. As used in this Paragraph 39 the word ""Option"" has the following meaning: (a) the right to extend the term of this Lease or to renew this Lease or to extend or renew any lease that Lessee has on other property of Lessor; (b) the right of first refusal to lease the Premises or the right of first offer to lease the Premises or the right of first refusal to lease other property of Lessor or the right of first offer to lease other property of Lessor; (c) the right to purchase the Premises, or the right of first refusal to purchase the Premises, or the right of first offer to purchase the Premises, or the right to purchase other property of Lessor, or the right of first refusal to purchase other property of Lessor, or the right of first offer to purchase other property of Lessor.",definition
"Definition. For purposes of this Agreement, the term “Operating Expenses” with respect to the Fund is defined to include all expenses necessary or appropriate for the operation of the Fund and including the Advisor’s investment advisory or management fee detailed in the Advisory Agreement, any Rule 12b-l fees and other expenses described in the Advisory Agreement, but does not include: (i) any front-end or contingent deferred loads; (ii) brokerage fees and commissions, (iii) acquired fund fees and expenses; (iii) borrowing costs (such as interest and dividend expense on securities sold short); (iv) taxes; and (v) extraordinary expenses, such as litigation expenses (which may include indemnification of Fund officers and Trustees, contractual indemnification of Fund service providers (other than the Adviser)).",definition
"Definition. “Confidential Information” means oral, written and electronic materials (irrespective of its source or form of communication) furnished before, on or after the date of this Agreement to the Asset Representations Reviewer for the purposes contemplated by this Agreement, including:",definition
"Definition. As used herein, the term “Real Property Taxes” shall include any form of assessment; real estate, general, special, ordinary or extraordinary, or rental levy or tax (other than inheritance, personal income or estate taxes); improvement bond; and/or license fee imposed upon or levied against any legal or equitable interest of Lessor in the Premises or the Project, Lessor’s right to other income therefrom, and/or Lessor’s business of leasing, by any authority having the direct or indirect power to tax and where the funds are generated with reference to the Building address and where the proceeds so generated are to be applied by the city, county or other local taxing authority of a jurisdiction within which the Premises are located. Real Property Taxes shall also include any tax, fee, levy, assessment or charge, or any increase therein: (i) imposed by reason of events occurring during the term of this Lease, including but not limited to, a change in the ownership of the Premises, and (ii) levied or assessed on machinery or equipment provided by Lessor to Lessee pursuant to this Lease.",definition
"Definition. The following definition applies in addition to the definitions in Chapter 287, Florida Statutes (F.S.), and Rule Chapter 60A-1, Florida Administrative Code (F.A.C.):",definition
"Definition. For purposes of this Agreement, the term “Operating Expenses” with respect to the Fund, is defined to include all expenses necessary or appropriate for the operation of the Fund and including the Advisor’s investment advisory or management fee detailed in the Investment Advisory Agreement, any Rule 12b-l fees and other expenses described in the Investment Advisory Agreement, but does not include any front-end or contingent deferred loads, brokerage fees and commissions, acquired fund fees and expenses, borrowing costs (such as interest and dividend expense on securities sold short), taxes or extraordinary expenses such as litigation.",definition
"Definition. “Confidential Information” shall mean any and all technical or business information relating to a party, including, without limitation, financial, marketing and product development information, shareholder data (including any non-public information of such Shareholder), proprietary information, and the terms and conditions (but not the existence) of this Agreement, that is disclosed or otherwise becomes known to the other party or its affiliates, agents or representatives before or during the term of this Agreement. Confidential Information constitutes trade secrets and is of great value to the owner (or its affiliates). Confidential Information shall not include any information that is: (a) already known to the other party or its affiliates at the time of the disclosure; (b) publicly known at the time of the disclosure or becomes publicly known through no wrongful act or failure of the other party; (c) subsequently disclosed to the other party or its affiliates on a non-confidential basis by a third party not having a confidential relationship with the owner and which rightfully acquired such information; or (d) independently developed by one party without access to the Confidential Information of the other.",definition
"Definition. For purposes of this Agreement, with respect to each Fund (and each Class of shares thereof):",definition
"Definition. For purposes of this Agreement, “Confidential Information” includes, but is not limited to, all information not generally known to the public, in spoken, printed, electronic or any other form or medium, relating directly or indirectly to: business processes, practices, methods, policies, plans, publications, documents, research, operations, services, strategies, techniques, agreements, contracts, terms of agreements, transactions, potential transactions, negotiations, pending negotiations, know-how, trade secrets, work-in-process, databases, manuals, records, articles, systems, material, sources of material, supplier information, vendor information, financial information, results, accounting information, accounting records, legal information, marketing information, advertising information, pricing information, credit information, design information, payroll information, staffing information, personnel information, employee lists, supplier lists, vendor lists, developments, reports, internal controls, security procedures, graphics, drawings, sketches, market studies, sales information, revenue, costs, formulae, notes, communications, algorithms, product plans, designs, styles, models, ideas, audiovisual programs, inventions, unpublished patent applications, original works of authorship, discoveries, experimental processes, experimental results, specifications, customer information, customer lists, client information, client lists, manufacturing information, factory lists, distributor lists, and buyer lists of the Company or its businesses or any existing or prospective customer, supplier, investor or other associated third party, or of any other person or entity that has entrusted information to the Company in confidence. The Executive understands that the above list is not exhaustive, and that Confidential Information also includes other information that is marked or otherwise identified as confidential or proprietary, or that would otherwise appear to a reasonable person to be confidential or proprietary in the context and circumstances in which the information is known or used. The Executive understands and agrees that Confidential Information includes information developed by him in the course of his employment by the Company as if the Company furnished the same Confidential Information to the Executive in the first instance. Confidential Information shall not include information that is generally available to and known by the public at the time of disc...",definition
Definition. The term “,definition
"Definition. The NID is defined as any means of interconnection of end-user customer inside wire to BellSouth’s distribution plant, such as a cross-connect device used for that purpose. The NID is a single-line termination device or that portion of a multiple- line termination device required to terminate a single line or circuit at the premises. The NID features two independent chambers or divisions that separate the service provider’s network from the End User’s on-premises wiring. Each chamber or division contains the appropriate connection points or posts to which the service provider and the end user each make their connections. The NID provides a protective ground connection and is capable of terminating cables such as twisted pair cable.",definition
"Definition. The term “transfer,” when used in this Article XI with respect to a Partnership Interest or a Partnership Unit, shall be deemed to refer to a transaction by which the General Partner purports to assign all or any part of its General Partner Interest to another Person or by which a Limited Partner purports to assign all or any part of its Limited Partner Interest to another Person, and includes a sale, assignment, gift, pledge, encumbrance, hypothecation, mortgage, exchange or any other disposition by law or otherwise. The term “transfer” when used in this Article XI does not include any redemption or repurchase of Partnership Units by the Partnership from a Partner or acquisition of Partnership Units from a Limited Partner by the Parent pursuant to Section 8.6 or otherwise. No part of the interest of a Limited Partner shall be subject to the claims of any creditor, any spouse for alimony or support, or to legal process, and may not be voluntarily or involuntarily alienated or encumbered except as may be specifically provided for in this Agreement.",definition
"Definition. A Claim is a demand or assertion by one of the parties seeking, as a matter of right, adjustment or interpretation of Contract terms, payment of money, extension of time or other relief with respect to the terms of the Contract. The term ""Claim"" also includes other disputes and matters in question between the Owner and Contractor arising out of or relating to the Contract. Claims must be made by written notice. The responsibility to substantiate Claims shall rest with the party making the Claim.",definition
"Definition. For the purposes of this Agreement, the term “Confidential Information” shall include, but not be limited to, documents, records, information and data (whether verbal, electronic or written), drawings, models, apparatus, sketches, designs, schedules, product plans, marketing plans, technical procedures, manufacturing processes, analyses, compilations, studies, software, prototypes, samples, formulas, methodologies, formulations, product developments, patent applications, know-how, experimental results, specifications and other business information, relating to the Party’s business, assets, operations or contracts, furnished to the other Party and/or the other Party’s affiliates, employees, officers, owners, agents, consultants or representatives, in the course of their work contemplated in this Agreement, regardless of whether such Confidential Information has been expressly designated as confidential or proprietary. Confidential Information also includes any and all, work products, studies and other material prepared by or in the possession or control of the other Party, which contain, include, refer to or otherwise reflect or are generated from any Confidential Information.",definition
"Definition. 1.1 Except as otherwise construed in the context, the following terms in this Agreement shall be interpreted to have the following meanings:",definition
Definition. Tandem Switching is the function that establishes a communications path between two switching offices through a third switching office (the Tandem switch).,definition
"Definition. For purposes of this Agreement, “Confidential Information” means information of either Party (the “Disclosing Party”) or any person or business entity directly or indirectly controlled by or controlling the Disclosing Party, or in which any of the aforesaid have at least a 50% interest, which information is or has been disclosed to the other Party (the “Recipient Party”) or is otherwise known to the Recipient Party as a consequence of or through the performance of Services for the Company, whether or not related to the Consultant’s duties for the Company, including, but not limited to, information relating to original works of authorship, disclosures, processes, systems, methods, formulas, trade secrets, procedures, concepts, algorithms, software, compositions, techniques, drawings, specifications, models, data, source code, object code, documentation, diagrams, flow charts, research procedures, copyrights, copyright applications, trademarks, trademark applications, devices, machinery, materials, cost of production, contract forms, prices, pricing policies, volume of sales, promotional methods, identity or information about customers or suppliers, marketing techniques or other information of a similar nature. Information shall be considered to be Confidential Information if not known by the trade generally, even though such information has been disclosed to one or more third parties pursuant to distribution agreements, joint research agreements, or other agreements entered into by the Disclosing Party. Confidential Information shall not include information which (a) is or becomes publicly known through no fault of the Recipient Party; (b) is learned by the Recipient Party from a third party entitled to disclose such information; (c) is previously known to the Recipient Party before receipt from the Disclosing Party; (d) is developed by or for the Recipient Party independently of the Confidential Information; or (e) is required to be disclosed by a court or government agency of competent jurisdiction.",definition
"Definition. “Confidential Information” means any non-public information that relates to the actual or anticipated business or research and development of the Company, technical data, trade secrets or know-how, including, but not limited to, research, product plans or other information regarding Company’s products or services and markets therefor, customer lists and customers (including, but not limited to, customers of the Company on whom Consultant called or with whom Consultant became acquainted during the term of this Agreement), software, developments, inventions, processes, formulas, technology, designs, drawing, engineering, hardware configuration information, marketing, finances or other business information. Confidential Information does not include information that (i) is known to Consultant at the time of disclosure to Consultant by the Company as evidenced by written records of Consultant, (ii) has become publicly known and made generally available through no wrongful act of Consultant or (iii) has been rightfully received by Consultant from a third party who is authorized to make such disclosure.",definition
"Definition. Each party shall safeguard and hold confidential from disclosure to unauthorized parties all Confidential Information of the other party. For purposes of this Article, “Confidential Information” shall mean any and all non-public information which is in any way connected with, derived from or related to the business of the other party which is either designated as confidential or which, by its nature or under the circumstances surrounding its disclosure, reasonably ought to be treated as confidential, and any notes, memoranda, analyses compilations, studies and other documents, whether prepared by the party or others, to the extent they contain or otherwise reflect such information.",definition
"Definition. As used herein, ""Confidential Information"" means information disclosed to or known by Employee as a direct or indirect consequence of or through the Employment about Employer, or its respective businesses, products and practices which information is not generally known in the business in which Employer is or may be engaged. However, Confidential Information shall not include under any circumstances any information with respect to the foregoing matters which is (i) available to the public from a source other than Employee, (ii) released in writing by Employer to the public or to persons who are not under a similar obligation of confidentiality to Employer and who are not parties to this Agreement, (iii) obtained by Employee from a third party not under a similar obligation of confidentiality to Employer, (iv) required to be disclosed by any court process or any government or agency or department of any government, or (v) the subject of a written waiver executed by either Employer for the benefit of Employee.",definition
"Definition. 2.8.2.1 Subject to applicable and effective FCC rules and orders, UNTW is a dedicated transmission facility that BellSouth provides from the Wiring Closet /Garden Terminal (or other type of cross-connect point) at the point of termination of BellSouth’s loop distribution facilities to the end user’s point of demarcation. UNTW is the final portion of the loop owned by BellSouth.",definition
"Definition. 2.7.1.1 Subject to applicable and effective FCC rules and orders, the unbundled sub-loop distribution facility is dedicated transmission facility that BellSouth provides from a customer’s point of demarcation to a BellSouth cross-connect device. The BellSouth cross-connect device may be located within a remote terminal (RT) or a stand-alone cross-box in the field or in the equipment room of a building. The unbundled sub-loop distribution media is a copper twisted pair that can be provisioned as a 2 Wire or 4 Wire facility. Following are the current sub-loop distribution offerings:",definition
"Definition. 2.1.2 The local loop network element (“Loop(s)”) is defined as a transmission facility between a distribution frame (or its equivalent) in BellSouth’s central office and the loop demarcation point at an end-user customer premises, including inside wire owned by BellSouth. The local loop network element includes all features, functions, and capabilities of the transmission facilities, including dark fiber and attached electronics (except those used for the provision of advanced services, such as Digital Subscriber Line Access Multiplexers) and line conditioning.",definition
"Definition. For purposes of this Note, an Event of Default shall be deemed to have occurred if:",definition
"Definition. Local Circuit Switching Capability is defined as: (A) line-side facilities, which include, but are not limited to, the connection between a loop termination at a main distribution frame and a switch line card; (B) trunk-side facilities, which include, but are not limited to, the connection between trunk termination at a trunk-side cross-connect panel and a switch trunk card; and (C) all features, functions, and capabilities of the switch, which include, but are not limited to: (1) the basic switching function of connecting lines to lines, line to trunks, trunks to lines, and trunks to trunks, as well as the same basic capabilities made available to BellSouth’s customers, such as a telephone number, white page listings, and dial tone; and (2) all other features that the switch is capable of providing, including but not limited to customer calling, customer local area signaling service features, and Centrex, as well as any technically feasible customized routing functions provided by the switch; (D) switching provided by remote switching modules.",definition
"Definition. For purposes of this Agreement, the term “Operating Expenses” with respect to each class of a Fund, is defined to include all expenses necessary or appropriate for the operation of the Fund and each of its classes, including the Adviser’s investment advisory or management fee detailed in the Investment Advisory Agreement, any Rule 12b-1 fees, shareholder servicing plan fees, and other expenses described in the Investment Advisory Agreement, but does not include any front-end or contingent deferred loads, taxes, leverage/borrowing interest (including interest incurred in connection with bank and custody overdrafts), interest expense, dividends paid on short sales, brokerage commissions and other transactional expenses, acquired fund fees and expenses, expenses incurred in connection with any merger or reorganization, or extraordinary expenses, including but not limited to litigation expenses and judgments and indemnification expenses.",definition
"Definition. 2.11.1.1 Dark Fiber is optical transmission facilities without attached signal regeneration, multiplexing, aggregation or other electronics that connects two points within BellSouth’s network. Dark Fiber is unused strands of optical fiber. It may be strands of optical fiber existing in aerial or underground structure. No line terminating elements terminated to such strands to operationalize its transmission capabilities will be available.",definition
"Definition. As used in this Agreement, the term “Confidential Information” includes all such information furnished by Catalent or Client, or any of their respective representatives or Affiliates, to the other party or its representatives or Affiliates, whether furnished before, on or after the Effective Date and furnished in any form, including written, verbal, visual, electronic or in any other media or manner. Confidential Information includes all proprietary technologies, know-how, trade secrets, discoveries, inventions and any other intellectual property (whether or not patented), analyses, compilations, business or technical information and other materials prepared by either party, or any of their respective representatives or Affiliates, containing or based in whole or in part on any such information furnished by the other party or its representatives or Affiliates. Confidential Information also includes the existence of this Agreement and its terms.",definition
"Definition. For the purpose of this Agreement, the term “Confidential Information” shall mean any information (including but not limited to , financial and business information relating to the Servicer’s business or affairs, including but not limited to, products and services, and those in development, and accompanying marketing plans and business strategies, now known or in possession of, or hereafter learned or acquired, by the Servicer, or any third party’s information in the Servicer’s possession which is subject to an obligation on the part of the Servicer to maintain the confidentiality of such information, including without limitation, “non-public personal information” (as defined in the Gramm-Leach-Bliley Act (the “GLB Act”) and in its enabling regulations issued by the Federal Trade Commission) of customers and customers of the Servicer.",definition
