clause_text,clause_type
"Definitions and Interpretation. In this Preferred Securities Guarantee, unless the context otherwise requires:",definitions-and-interpretation
"Definitions and Interpretation. In this Guarantee, unless the context otherwise requires:",definitions-and-interpretation
Definitions and Interpretation. 1.1 In this Agreement:,definitions-and-interpretation
"Definitions and Interpretation. 1.1 In this Agreement, unless the context otherwise requires, the following expressions have the following meanings:",definitions-and-interpretation
Definitions and Interpretation. 1.1 In this Agreement the following words and expressions shall have the following meanings unless the context requires otherwise:,definitions-and-interpretation
"Definitions and Interpretation. When used in this Security Agreement, the following terms have the following respective meanings:",definitions-and-interpretation
"Definitions and Interpretation. The master definitions and construction agreement made between amongst others, the parties hereto and dated on or about the date hereof (as the same may be amended, varied or supplemented from time to time with the consent of the parties thereto) (the Master Definitions and Construction Schedule) is expressly and specifically incorporated into this Agreement and, accordingly, the expressions defined in the Master Definitions and Construction Schedule shall, except where the context otherwise requires and save where otherwise defined herein, have the same meanings in this Agreement and this Agreement shall be construed in accordance with the interpretation provisions set out in Clause 2 (Interpretation and Construction) of the Master Definitions and Construction Schedule.",definitions-and-interpretation
"Definitions and Interpretation. 1.1 In this Agreement, unless the context otherwise requires:",definitions-and-interpretation
"Definitions and Interpretation. Unless otherwise provided in this Agreement, the following terms shall have the following meanings:",definitions-and-interpretation
Definitions and Interpretation. In this Agreement:,definitions-and-interpretation
"Definitions and Interpretation. In this Capital Securities Guarantee, unless the context otherwise requires:",definitions-and-interpretation
Definitions and Interpretation. 1.1 In this agreement the following words and expressions shall have the following meanings:,definitions-and-interpretation
Definitions and Interpretation. 1.1. In this Framework Agreement unless the context otherwise requires the following terms have the meanings given to them below:,definitions-and-interpretation
"Definitions and Interpretation. 1.1 In this Agreement, the following terms shall have the following meanings:",definitions-and-interpretation
Definitions and Interpretation. 1.1 Except as expressly provided in this Agreement words and expressions defined in the Master Agreement shall have the same meanings in this Agreement as were ascribed to them in the Master Agreement.,definitions-and-interpretation
Definitions and Interpretation. In this Agreement the following terms shall have the following meanings:,definitions-and-interpretation
"Definitions and Interpretation. Capitalised terms used in this Agreement shall, except where the context otherwise requires and save where otherwise defined in this Agreement, bear the meanings given to them in the Master Definitions Schedule as amended and restated by (and appearing in Appendix 1 to) the Master Definitions Schedule Ninth Amendment Deed executed by, among others, the Note Trustee on 22 September, 2004 and the Issuer Master Definitions Schedule (the ""Issuer Master Definitions Schedule"") signed for the purposes of identification by Sidley Austin Brown & Wood and Allen & Overy on 22 September, 2004 (as the same have been and may be amended, varied or supplemented from time to time with the consent of the parties hereto). The Issuer Master Definitions Schedule specified above shall prevail to the extent that it conflicts with the Master Definitions Schedule.",definitions-and-interpretation
"Definitions and Interpretation. In this Series B Capital Securities Guarantee, unless the context otherwise requires:",definitions-and-interpretation
Definitions and Interpretation. This letter shall be interpreted as follows:,definitions-and-interpretation
Definitions and Interpretation. 1.1 In this Agreement the following words shall have the following meanings:-,definitions-and-interpretation
"Definitions and Interpretation. 1.1. In the Contract, unless the context otherwise requires, the following terms have the meanings given to them below:",definitions-and-interpretation
Definitions and Interpretation. 1.1 In this Agreement where the context so admits the following words and expressions shall have the following meanings:,definitions-and-interpretation
Definitions and Interpretation. 1.1 In this agreement the following words and expressions shall (except where the context otherwise requires) have the following meanings:,definitions-and-interpretation
"Definitions and Interpretation. In this Common Securities Guarantee, unless the context otherwise requires:",definitions-and-interpretation
"Definitions and Interpretation. 1.1 In this Agreement (including the Recitals and the Schedules), the following expressions shall, unless the context otherwise requires, have the following meanings:",definitions-and-interpretation
Definitions and Interpretation. 1.1 The provisions of:,definitions-and-interpretation
"Definitions and Interpretation. 1.1 Unless otherwise defined herein, capitalized terms and expressions used in this Agreement shall have the following meaning:",definitions-and-interpretation
Definitions and Interpretation. 1.1. In this Agreement:,definitions-and-interpretation
Definitions and Interpretation. 1.1 As used in this Contract the following terms and expressions shall have the meaning shown below:,definitions-and-interpretation
Definitions and Interpretation. 1.1 The definitions and rules of interpretation in this clause apply in this agreement.,definitions-and-interpretation
Definitions and Interpretation. 1.1 In this Agreement the following terms shall have the following meanings unless the context requires otherwise:,definitions-and-interpretation
"Definitions and Interpretation. In this Guarantee Agreement, unless the context otherwise requires:",definitions-and-interpretation
Definitions and Interpretation. A1.1 In this Contract the following provisions shall have the meanings given to them below:,definitions-and-interpretation
