clause_text,clause_type
"Duration. This Agreement will take effect on the date first set forth above. Unless earlier terminated pursuant to paragraph 9 hereof, this Agreement shall remain in effect until two years from the date of execution hereof, and thereafter will continue in effect from year to year, so long as such continuance shall be approved at least annually by the Fund's Board of Trustees, including the vote of the majority of the trustees of the Fund who are not parties to this Agreement or ""interested persons"" (as defined in the Investment Company Act) of any such party, cast in person at a meeting called for the purpose of voting on such approval, or by the holders of a ""majority"" (as defined in the Investment Company Act) of the outstanding voting securities of the Fund and by such a vote of the Fund's Board of Trustees.",duration
"Duration. Unless terminated earlier pursuant to Section 7 hereof, this Management Agreement shall remain in effect until two years from the date first above written. Thereafter it shall continue in effect from year to year, so long as such continuance shall be approved at least annually by the Trust’s Board of Trustees or by the holders of a majority of the outstanding voting securities of the Fund, and in either case by a majority of the Trustees of the Trust who are not parties to this Management Agreement or interested persons of any such party cast in person at a meeting called for the purpose of voting on such approval.",duration
"Duration. 23.01 This Agreement shall continue in effect until June 30, 2021 and shall remain in effect from year to year thereafter unless either party gives the other party written notice of termination or desire to amend the agreement.",duration
"Duration. Unless terminated earlier pursuant to Section 12 hereof, this Subadvisory Agreement shall remain in effect for a period of two years from the date hereof. Thereafter it shall continue in effect from year to year, unless terminated pursuant to Section 12 hereof, provided that such continuance is specifically approved at least annually (i) by a vote of a majority of the members of the Board of Trustees of the Trust who are not parties to this Subadvisory Agreement or interested persons (as defined in the Act) of any such party, and (ii) by the Board of Trustees of the Trust or by a vote of the holders of a majority of the outstanding voting securities (as defined in the Act) of the Fund.",duration
"Duration. Unless sooner terminated, this Agreement shall go into effect as to any Fund covered by this Agreement initially or at such later time as such Fund commences operations pursuant to an effective amendment to the Trust’s Registration Statement and shall remain in effect for an initial period of no more than two years that terminates on the second May 1st that occurs following the date thereof, and, for any Fund subsequently added to this Agreement, an initial period of no more than two years that terminates on the second May 1st that occurs following the effective date of this Agreement with respect to such Fund, and thereafter shall continue automatically for successive annual periods with respect to each such Fund, provided such continuance is specifically approved at least annually by the Trust’s Board of Trustees or vote of the lesser of (a) 67% of the shares of the Fund represented at a meeting if holders of more than 50% of the outstanding shares of the Fund are present in person or by proxy or (b) more than 50% of the outstanding shares of the Fund; provided that in either event its continuance also is approved by a majority of the Trust’s Trustees who are not “interested persons” (as defined in the 1940 Act) of any party to this Agreement, by vote cast in person at a meeting called for the purpose of voting on such approval.",duration
"Duration. This Agreement will take effect on the date first set forth above. Unless sooner terminated, this Agreement shall remain in effect until one year from the date first set forth above, and thereafter shall continue automatically for successive annual periods, provided such continuance is specifically approved at least annually by the Fund's Board of Trustees or by vote of a majority of the outstanding voting securities of the Fund (as defined in the 1940 Act); provided that in either event its continuance also is approved by a majority of the Fund's Board of Trustees who are not ""interested persons"" (as defined in the 1940 Act) of any party to this Agreement, by vote cast in person at a meeting called for the purpose of voting on such approval.",duration
"Duration. This Agreement shall continue until and terminate upon the later of (a) ten years after the date that Indemnitee shall have ceased to serve as a director or officer of the Company or as a director, trustee, general partner, managing member, officer, employee, agent or fiduciary of any other Enterprise, as applicable; or (b) one year after the final termination of any Proceeding, including any appeal, then pending in respect of which Indemnitee is granted rights of indemnification or advancement of Expenses hereunder and of any proceeding commenced by Indemnitee pursuant to Section 12 of this Agreement relating thereto.",duration
"Duration. Subject to possible termination in accordance with the provisions of Section 11.2 hereof, the Trust created hereby shall have perpetual existence.",duration
"Duration. This Agreement shall become effective with respect to each Initial Fund on the date hereof and, with respect to any Additional Fund, on the date Schedule A is amended to reflect such Additional Fund in accordance with paragraph b below. Unless terminated in accordance with this Section 8, the Agreement shall remain in full force and effect for two years from the date hereof with respect to each Initial Fund and, with respect to each Additional Fund, for two years from the date on which such Fund becomes a Fund hereunder. Subsequent to such initial periods of effectiveness, this Agreement shall continue in full force and effect for periods of one year thereafter with respect to each Fund so long as such continuance with respect to such Fund is specifically approved at least annually (i) by either the Board of Trustees of the Trust or by vote of a ""majority of the outstanding voting securities"" (as defined in the 1940 Act) of such Fund, and (ii), in either event, by the vote of a majority of the Trustees of the Trust who are not parties to this Agreement or ""interested persons"" (as defined in the 1940 Act) of any such party, cast in person at a meeting called for the purpose of voting on such approval. If the shareholders of any Fund fail to approve the Agreement as provided herein, the Adviser may continue to serve hereunder in the manner and to the extent permitted by the 1940 Act and rules and regulations thereunder. The foregoing requirement that continuance of this Agreement be ""specifically approved at least annually"" shall be construed in a manner consistent with the 1940 Act and the rules and regulations thereunder.",duration
"Duration. Notwithstanding the Employment Term hereunder, this Agreement shall continue for so long as any obligations remain under this Agreement.",duration
