clause_text,clause_type
"Enforcement. (a) The Company expressly confirms and agrees that it has entered into this Agreement and assumes the obligations imposed on it hereby in order to induce Indemnitee to serve as an officer or director of the Company, and the Company acknowledges that Indemnitee is relying upon this Agreement in serving as an officer or director of the Company.",enforcement
"Enforcement. You are liable to us for any losses, costs or expenses we incur resulting from your failure to follow this Agreement. You authorize us to deduct any such losses, costs or expenses from your account without prior notice to you. If we bring a legal action to collect any amount due under or to enforce this Agreement, we shall be entitled, subject to applicable law, to payment of reasonable attorney’s fees and costs, including fees on any appeal, bankruptcy proceedings, and any postjudgment collection actions.",enforcement
"Enforcement. The parties agree that irreparable damage would occur and that the parties would not have any adequate remedy at law in the event that any of the provisions of this Agreement were not performed in accordance with their specific terms or were otherwise breached. It is accordingly agreed that the parties will be entitled to an injunction or injunctions to prevent breaches of this Agreement and to enforce specifically the terms and provisions of this Agreement in any Federal court located in the State of Delaware or in Delaware state court, the foregoing being in addition to any other remedy to which they are entitled at law or in equity. In addition, each of the parties hereto (i) consents to submit itself to the personal jurisdiction of any Federal court located in the State of Delaware or any Delaware state court in the event any dispute arises out of this Agreement or any of the transactions contemplated by this Agreement, (ii) agrees that it will not attempt to deny or defeat such personal jurisdiction by motion or other request for leave from any such court, and (iii) agrees that it will not bring any action relating to this Agreement or any of the transactions contemplated by this Agreement in any court other than a Federal court sitting in the State of Delaware or a Delaware state court.",enforcement
"Enforcement. The parties agree that irreparable damage would occur in the event that any of the provisions of this Agreement were not performed in accordance with their specific terms or were otherwise breached. It is accordingly agreed that the parties shall be entitled to an injunction or injunctions to prevent breaches of this Agreement and to enforce specifically the terms and provisions of this Agreement in any court of the United States or any state having jurisdiction, this being in addition to any other remedy to which they are entitled at law or in equity.",enforcement
"Enforcement. If any provision of this Agreement is held to be illegal, invalid or unenforceable under present or future laws effective during the term of this Agreement, such provision shall be fully severable; this Agreement shall be construed and enforced as if such illegal, invalid or unenforceable provision had never comprised a portion of this Agreement; and the remaining provisions of this Agreement shall remain in full force and effect and shall not be affected by the illegal, invalid or unenforceable provision or by its severance from this Agreement. Furthermore, in lieu of such illegal, invalid or unenforceable provision there shall be added automatically as part of this Agreement a provision as similar in terms to such illegal, invalid or unenforceable provision as may be possible and be legal, valid and enforceable.",enforcement
"Enforcement. Any right to indemnification or advances granted by this Agreement to Agent shall be enforceable by or on behalf of Agent in any court of competent jurisdiction if (i) the claim for indemnification or advances is denied, in whole or in part, or (ii) no disposition of such claim is made within ninety (90) days of request therefor. Agent, in such enforcement action, if successful in whole or in part, shall be entitled to be paid also the expense of prosecuting his claim. It shall be a defense to any action for which a claim for indemnification is made under Section 3 hereof (other than an action brought to enforce a claim for expenses pursuant to Section 8 hereof, provided that the required undertaking has been tendered to the Corporation) that Agent is not entitled to indemnification because of the limitations set forth in Section 4 hereof. Neither the failure of the Corporation (including its Board of Directors or its stockholders) to have made a determination prior to the commencement of such enforcement action that indemnification of Agent is proper in the circumstances, nor an actual determination by the Corporation (including its Board of Directors or its stockholders) that such indemnification is improper shall be a defense to the action or create a presumption that Agent is not entitled to indemnification under this Agreement or otherwise.",enforcement
"Enforcement. The Parties agree that irreparable damage would occur in the event that any of the provisions of this Agreement were not performed in accordance with their specific terms or were otherwise breached. Accordingly, each of the Parties shall be entitled to specific performance of the terms hereof, including an injunction or injunctions to prevent breaches of this Agreement and to enforce specifically the terms and provisions of this Agreement, this being in addition to any other remedy to which such Party is entitled at law or in equity. Each of the Parties hereby further waives (a) any defense in any action for specific performance that a remedy at law would be adequate and (b) any requirement under any law to post security as a prerequisite to obtaining equitable relief.",enforcement
"Enforcement. If, at the time of enforcement of Section 7 or this Section 8, a court holds that the restrictions stated herein are unreasonable under circumstances then existing, the parties hereto agree that the maximum duration, scope or geographical area reasonable under such circumstances shall be substituted for the stated period, scope or area and that the court shall be allowed to revise the restrictions contained herein to cover the maximum duration, scope and area permitted by law. Because Executive’s services are unique and because Executive has access to confidential information, the parties hereto agree that money damages would be an inadequate remedy for any breach of this Agreement. Therefore, in the event a breach or threatened breach of this Agreement, the Company, Employer, their respective Subsidiaries or Affiliates or their successors or assigns may, in addition to other rights and remedies existing in their favor, apply to any court of competent jurisdiction for specific performance and/or injunctive or other relief in order to enforce, or prevent any violations of, the provisions hereof (without posting a bond or other security).",enforcement
"Enforcement. The parties agree that irreparable damage would occur in the event that any of the provisions of this Agreement were not performed in accordance with their specific terms. It is accordingly agreed that the parties shall be entitled to specific performance of the terms hereof, this being in addition to any other remedy to which they are entitled at law or in equity.",enforcement
"Enforcement. In view of the foregoing, the Executive acknowledges and agrees that it is reasonable and necessary for the protection of the good will, business, trade secrets, confidential information and Proprietary Information of the Company that he makes the covenants in this Section 8 and that the Company will suffer irreparable injury if the Executive engages in the conduct prohibited by Section 8 (a), (b) or (c) of this Agreement. The Executive agrees that upon a breach, threatened breach or violation by him of any of the foregoing provisions of this Section 8, the Company, in addition to all other remedies it may have including an action at law for damages, shall be entitled as a matter of right to injunctive relief, specific performance or any other form of equitable relief in any court of competent jurisdiction without being required to post bond or other security and without having to prove the inadequacy of the available remedies at law, to enjoin and restrain the Executive and each and every other person, partnership, association, corporation or organization acting in concert with the Executive, from the continuance of any action constituting such breach. The Company shall also be entitled to recover from the Executive all of its reasonable costs incurred in the enforcement of this Section 8 including its reasonable legal fees. The Executive acknowledges that the terms of Section 8(a), (b) and (c) are reasonable and enforceable and that, should there be a violation or attempted or threatened violation by the Executive of any of the provisions contained in these subsections, the Company shall be entitled to relief by way of injunction, specific performance or other form of equitable relief. In the event that any of the foregoing covenants in Sections 8 (a), (b) or (c) shall be deemed by any court of competent jurisdiction, in any proceedings in which the Company shall be a party, to be unenforceable because of its duration, scope, or area, it shall be deemed to be and shall be amended to conform to the scope, period of time and geographical area which would permit it to be enforced.",enforcement
