clause_text,clause_type
"Exceptions. Any other provision herein to the contrary notwithstanding, the Company shall not be obligated pursuant to the terms of this Agreement:",exceptions
"Exceptions. (a) This Clause 28 shall not apply to the extent that the Recovering Finance Party would not, after making any payment pursuant to this Clause, have a valid and enforceable claim against the relevant Obligor.",exceptions
Exceptions. (a) Clause 14.1 (Increased costs) does not apply to the extent any Increased Cost is:,exceptions
Exceptions. (a) An amendment or waiver that has the effect of changing or which relates to:,exceptions
Exceptions. Recipient will not have an obligation to protect any portion of the Information which:,exceptions
"Exceptions. Notwithstanding anything to the contrary in this Agreement, except as expressly provided herein or in the other Basic Documents, the Administrator shall not be obligated to, and shall not, (a) make any payments to the Noteholders under the Basic Documents, (b) sell the Indenture Trust Estate pursuant to Section 5.4 of the Indenture, (c) take any other action that the Issuer directs the Administrator not to take on its behalf, (d) in connection with its duties hereunder assume any indemnification obligation of any other Person or (e) service the Trust Student Loans.",exceptions
"Exceptions. Notwithstanding any other provision of this Agreement, the Company shall not be obligated pursuant to the terms of this Agreement:",exceptions
"Exceptions. The Receiving Party shall have no obligation or liability to the Disclosing Party with regard to any Confidential Information of the Disclosing Party: (i) that was publicly known and available at the time it was disclosed or becomes publicly known and available through no fault, action, or inaction of the Receiving Party; (ii) was known to the Receiving Party, without restriction, at the time of disclosure as shown by the files of the Receiving Party in existence at the time of disclosure; (iii) is disclosed with the prior written approval of the Disclosing Party; (iv) was independently developed by the Receiving Party without any use of the disclosing party’s Confidential Information, provided, that the Receiving Party can demonstrate such independent development by documented evidence prepared contemporaneously with such independent development; (v) is disclosed pursuant to the order or requirement of a court, administrative agency, or other governmental body, provided that the Receiving Party shall provide prompt notice thereof and reasonable assistance to the Disclosing Party to enable the Disclosing Party to seek a protective order or otherwise prevent such disclosure, and provided further that such disclosure is limited to the extent necessary to comply with such order and the information shall otherwise be treated as Confidential Information; or (vi) that is provided to the Receiving Party by an independent third party without violating any confidentiality obligation to the Disclosing Party.",exceptions
"Exceptions. 1. The provisions of this Agreement relating to the grant of treatment not less favourable than that accorded to the nationals and companies of any third State shalt not be construed so as to oblige one Contracting Party to extend to nationals and companies of the other Contracting Party the benefit of any treatment preference or privilege resulting from: Volume 2228,1-39635",exceptions
Exceptions. The obligations in Section 11.1 shall not apply with respect to any portion of the Confidential Information that the Receiving Party can show by competent proof:,exceptions
"Exceptions. The representations, warranties and covenants contained herein shall be independent of each other, and no exception to any representation, warranty or covenant shall be deemed to be an exception to any other representation, warranty or covenant contained herein unless expressly provided, nor shall any such exceptions be deemed to permit any action or omission that would be in contravention of applicable Law.",exceptions
Exceptions. Clause 18.2.1(b) does not apply to amendments of the following kinds:,exceptions
"Exceptions. Notwithstanding the foregoing, Confidential Information will not include information that: (a) was already known by the Receiving Party, other than under an obligation of confidentiality to the Disclosing Party or any third party, at the time of disclosure hereunder, as evidenced by the Receiving Party’s tangible (including written or electronic) records in existence at such time; (b) was generally available to the public or otherwise part of the public domain at the time of its disclosure to the Receiving Party hereunder; (c) became generally available to the public or otherwise part of the public domain after its disclosure other than through any act or omission of the Receiving Party in breach of this Agreement; (d) was subsequently lawfully disclosed to the Receiving Party by an Entity or person other than the Disclosing Party not subject to any duty of confidentiality with respect thereto; or (e) was developed by the Receiving Party without reference to any Confidential Information disclosed by the Disclosing Party, as evidenced by the Receiving Party’s tangible (including written or electronic) records in existence at such time.",exceptions
"Exceptions. The above restrictions on the use or disclosure of the Confidential Information shall not apply to any Confidential Information that: (a) is independently developed by the receiving party without reference to the disclosing party’s Confidential Information, or is lawfully received free of restriction from a third party having the right to furnish such Confidential Information; (b) has become generally available to the public without breach of this Agreement by the receiving party; (c) at the time of disclosure, was known to the receiving party free of restriction; or (d) the disclosing party agrees in writing is free of such restrictions.",exceptions
"Exceptions. Notwithstanding anything set forth above to the contrary, the Extension Right shall, at Landlord’s option, not be in effect and Tenant may not exercise the Extension Right:",exceptions
Exceptions. Article 193. General exceptions,exceptions
"Exceptions. The general prohibition contained in Section 5.1 against the unauthorized disclosure, use or dissemination of the Confidential Information shall not apply in respect of any Confidential Information that:",exceptions
"Exceptions. Confidential Information shall not include, and this Agreement imposes no obligations with respect to, information that:",exceptions
"Exceptions. Notwithstanding any other term of this Clause, a recovering Lender need not pay a redistribution to the extent that:",exceptions
Exceptions. (a) An amendment or waiver which relates to:,exceptions
Exceptions. The Company need not make any payment for an Increased Cost to the extent that the Increased Cost is:,exceptions
Exceptions. Clause 13.1 (Increased Costs) does not apply to the extent any Increased Cost is:,exceptions
"Exceptions. The obligation of confidentiality contained in Section 9.1 shall not apply to the extent that (a) the Recipient is required to disclose information by order or regulation of a Governmental Authority or a court of competent jurisdiction; provided, however, that, to the extent permitted by applicable Law, the Recipient shall not make any such disclosure without first notifying the other Party and allowing the other Party a reasonable opportunity to seek injunctive relief from (or a protective order with respect to) the obligation to make such disclosure; or (b) the Recipient can demonstrate that (i) the disclosed information was at the time of such disclosure to the Recipient already in (or thereafter enters) the public domain other than as a result of actions of the Recipient, its directors, officers, employees or agents in violation hereof, (ii) the disclosed information was rightfully known to the Recipient prior to the date of disclosure (other than pursuant to disclosure by the other Party pursuant to other agreements in effect between the Parties), or (iii) the disclosed information was received by the Recipient on an unrestricted basis from a source unrelated to any Party and not under a duty of confidentiality to the other Party.",exceptions
"Exceptions. The provisions of this Agreement relative to the grant of treatment not less favourable than that accorded to the investors of either Contracting Party or to investors of any third party shall not be construed so as to oblige one Contracting Party to extend to the investors of the other the benefit of any treatment, preference or privilege resulting from:",exceptions
"Exceptions. If any legal right disallows an exclusion of warranties or disallows limiting certain damages, then the disclaimers of guarantee and limitations on liability herein apply to the maximum extent allowed by law.",exceptions
"Exceptions. Notwithstanding anything to the contrary in this Agreement, except as expressly provided herein or in the Transaction Documents, the Master Servicer, in its capacity hereunder, shall not be obligated to, and shall not, (1) make any payments to the Noteholders or the Transferor under the Transaction Documents, (2) sell any of the assets of the Trust, (3) take any other action that the Issuer directs the Master Servicer not to take on its behalf or (4) in connection with its duties hereunder assume any indemnification obligation of any other Person.",exceptions
"Exceptions. The Recipient may treat a Service Contract that does not comply with one or more of the criteria of Section VII.F. as not resulting in Private Business Use of the Project if it delivers to the Director, at its expense, an opinion of Bond Counsel to the effect that such Service Contract does not result in Private Business Use of the Project and that entering into such Service Contract would not adversely affect the exclusion from gross income of the interest on the bonds that financed the Project or cause the interest on such bonds, or any portion thereof, to become an item of tax preference for purposes of the alternative minimum tax imposed under the Code.",exceptions
"Exceptions. These obligations shall not apply to any Confidential Information that was legally in the recipient's possession prior to receipt from the source, was received in good faith from a third party not subject to a confidential obligation to the source, now is or later becomes publicly known through no breach of confidential obligation by the recipient, was developed by the recipient without the developing persons having access to any of the Confidential Information received in confidence from the source, or that is required to be disclosed pursuant to subpoena or other process issued by a court or administrative agency having appropriate jurisdiction, provided, however, that the recipient shall give prior notice to the source and shall reasonably cooperate if the source deems it necessary to seek protective arrangements.",exceptions
"Exceptions. The obligations in Section 6.1 will not apply with respect to any portion of the Confidential Information that the Receiving Party can show by competent proof: (i) was known to the Receiving Party or its Affiliates, without any obligation to keep it confidential or any restriction on its use, prior to disclosure by the Disclosing Party; (ii) is subsequently disclosed to the Receiving Party or its Affiliates by a Third Party lawfully in possession thereof and without any obligation to keep it confidential or any restriction on its use; (iii) is or otherwise becomes generally available to the public or enters the public domain, either before or after it is disclosed to the Receiving Party and such public availability is not the result, directly or indirectly, of any fault of, or improper taking, use or disclosure by, the Receiving Party or its Affiliates or anyone working in concert or participation with the Receiving Party or its Affiliates; or (iv) has been independently developed by employees or contractors of the Receiving Party or its Affiliates without the aid, application or use of Confidential Information of the Disclosing Party. Specific Confidential Information disclosed by a Disclosing Party will not be deemed to be within any exceptions set forth in (i), (ii), or (iii) above merely because it is embraced by more general information to which one or more of those exceptions may apply and provided further that no combination of information shall be deemed to be within any such exceptions unless the combination itself and its principle of operation are within the public domain. Even though Confidential Information may be within one of the exceptions described in the preceding sentence, the Receiving Party shall not disclose to third parties that the excepted Confidential Information was received from the Disclosing Party.",exceptions
"Exceptions. Any other provision herein to the contrary notwithstanding,",exceptions
"Exceptions. Notwithstanding the above, neither party shall have liability to the other with regard to any Confidential Information of the other which the receiving party can prove (i) was in the public domain at the time it was disclosed or has entered the public domain through no fault of the receiving party; (ii) was known to the receiving party, without restriction, at the time of disclosure, as demonstrated by files in existence at the time of disclosure; (iii) is disclosed with the prior written approval of the disclosing party; (iv) was independently developed by the receiving party without any use of the Confidential Information, as demonstrated by files created at the time of such independent development; (v) is disclosed pursuant to the order or requirement of a court, administrative agency, or other governmental body; provided, however, that the receiving party shall provide prompt notice of such court order or requirement to the disclosing party to enable the disclosing party to seek a protective order or otherwise prevent or restrict such disclosure.",exceptions
"Exceptions. Notwithstanding the foregoing, a Stockholder will not be required to comply with Subsection 3.2 above in connection with any proposed Sale of the Company (the “Proposed Sale”), unless:",exceptions
"Exceptions. Confidential Information shall not include any information which the receiving party can prove by competent written evidence: (a) is now, or hereafter becomes, through no act or failure to act on the part of the receiving party, generally known or available; (b) is known by the receiving party at the time of receiving such information, as evidenced by its records; (c) is hereafter furnished to the receiving party by a Third Party, as a matter of right and without restriction on disclosure; (d) is independently discovered or developed by the receiving party without the use of Confidential Information belonging to the disclosing party; or (e) is the subject of a written permission to disclose provided by the disclosing party.",exceptions
"Exceptions. Notwithstanding the above, the Expansion Right shall, at Landlord’s option, not be in effect and may not be exercised by Tenant:",exceptions
"Exceptions. Nothing in this Section 6 shall prohibit the Executive from being (i) a stockholder in a mutual fund or a diversified investment company or (ii) an owner of not more than two percent of the outstanding stock of any class of a corporation, any securities of which are publicly traded, so long as the Executive has no active participation in the business of such corporation.",exceptions
"Exceptions. Notwithstanding the above restrictions, neither party will have any obligation for any nonuse or nondisclosure of Confidential Information which (a) is now or subsequently enters the public domain through means other than disclosure by a party hereto in breach of the terms of this Agreement; (b) is lawfully obtained from a third party without an obligation of confidentiality; (c) is independently developed by such party or is already lawfully in the possession of the receiving party free of any obligation of confidence to the other party; or (d) is intended or aimed at detecting or reporting suspicious or fraudulent tax returns and/or possible fraudulent activity. Furthermore, the confidentiality obligations herein will not restrict disclosure of information required to be disclosed by law, by court order or by order of any government or administrative tribunal having jurisdiction over the recipient, provided that the recipient must, to the extent legally permitted, notify the disclosing party of any such requirement prior to disclosure in order to afford such other party an opportunity to seek a protective order to prevent or limit disclosure, and the recipient will reasonably cooperate with the disclosing party’s efforts to obtain such protective order.",exceptions
"Exceptions. Confidential Information shall not include information to the extent such information (i) is already known to the receiving party free of any restriction at the time obtained, including information in the public domain; (ii) is subsequently learned from an independent third party free of restriction; (iii) becomes publicly known through no breach of this Article; or (iv) is independently developed by one party without reference to information which is confidential.",exceptions
"Exceptions. Information will not be deemed Confidential Information hereunder if such information: (i) is known to the receiving party prior to receipt from the disclosing party directly or indirectly from a source other than one having an obligation of confidentiality to the disclosing party; (ii) becomes known (independently of disclosure by the disclosing party) to the receiving party directly or indirectly from a source other than one having an obligation of confidentiality to the disclosing party; (iii) becomes publicly known or otherwise ceases to be secret or confidential, except through a breach of this Agreement by the receiving party; or (iv) is independently developed by the receiving party.",exceptions
"Exceptions. Any other provision herein to the contrary notwithstanding, the Company shall not be obligated:",exceptions
"Exceptions. The provisions of this Agreement shall not be construed so as to oblige one Contracting Party to extend to the investors of the other Contracting Party the Benefit of any treatment, preference or privilege by virtue of:",exceptions
Exceptions. Clause 13.1 (Increased costs) does not apply to any increased cost:,exceptions
"Exceptions. Upon application by Employer, the First Source Hiring Administration may grant an exception to any or all of the requirements of Chapter 83 in any situation where it concludes that compliance with this Chapter would cause economic hardship.",exceptions
"Exceptions. (a) A recovering Finance Party need not pay a redistribution to the extent that it would not, after the payment, have a valid claim against the Obligor concerned in the amount of the redistribution pursuant to Clause 29.1(e) (Redistribution).",exceptions
"Exceptions. Subject to Section 25.4 hereof, the Receiving Party shall not be precluded from, nor liable for, disclosure or use of Proprietary Information that:",exceptions
"Exceptions. Notwithstanding anything in this Release to the contrary, nothing contained in this Release shall prohibit the undersigned from (i) filing a charge with, reporting possible violations of federal law or regulation to, participating in any investigation by, or cooperating with any governmental agency or entity or making other disclosures that are protected under the whistleblower provisions of applicable law or regulation and/or (ii) communicating directly with, cooperating with, or providing information (including trade secrets) in confidence to, any federal, state or local government regulator (including, but not limited to, the U.S. Securities and Exchange Commission, the U.S. Commodity Futures Trading Commission, or the U.S. Department of Justice) for the purpose of reporting or investigating a suspected violation of law, or from providing such information to the undersigned’s attorney or in a sealed complaint or other document filed in a lawsuit or other governmental proceeding. Pursuant to 18 USC Section 1833(b), the undersigned will not be held criminally or civilly liable under any federal or state trade secret law for the disclosure of a trade secret that is made: (x) in confidence to a federal, state, or local government official, either directly or indirectly, or to an attorney, and solely for the purpose of reporting or investigating a suspected violation of law; or (y) in a complaint or other document filed in a lawsuit or other proceeding, if such filing is made under seal.",exceptions
"Exceptions. This Section 12 does not apply to that part of the Confidential Information of a Disclosing Party that a Receiving Party demonstrates: (a) was, is, or becomes generally available to the public other than as a result of a breach of this Section 12 or any other applicable confidentiality agreement to which a Receiving Party or its representatives are bound; (b) was or is developed by the Receiving Party independently of and without reference to any Confidential Information of the Disclosing Party; or (c) was, is, or becomes available to the Receiving Party on a nonconfidential basis from a third party not bound by a confidentiality agreement or any legal, fiduciary, or other obligation restricting disclosure. Neither Seller nor Selling Principal will disclose any Confidential Information of Seller or Selling Principal relating to the Business or any of the Assets or the Assumed Liabilities in reliance on the exceptions in clauses (b) or (c) above.",exceptions
Exceptions. The obligations under this Article 8 shall not apply to any information to the extent the recipient Party can demonstrate by competent evidence that such information:,exceptions
"Exceptions. Receiving Party’s obligation of nondisclosure and the limitations upon the right to use the Disclosing Party’s Confidential Information shall not apply to the extent that Receiving Party can demonstrate, as evidenced by contemporaneous written records, that the Disclosing Party’s information: (i) was known to Receiving Party or any of its affiliates prior to the time of disclosure; (ii) is or becomes public knowledge through no fault or omission of Receiving Party or any of its affiliates; (iii) is obtained by Receiving Party or any of its affiliates from a Third Party under no obligation of confidentiality to Disclosing Party; (iv) has been independently developed by employees, subcontractors, consultants or agents of Receiving Party or any of its affiliates without the aid, application or use of Disclosing Party’s Confidential Information or (v) is not Confidential Information under Section 5.1.",exceptions
"Exceptions. Any other provision herein to the contrary notwithstanding, the Company shall not be obligated under the Agreement to indemnify Indemnitee:",exceptions
