clause_text,clause_type
"Exclusivity. From the date of this Agreement until the Closing or the termination of this Agreement in accordance with Section 5.2, Seller will not (and will not permit its respective Affiliates or any of its Affiliates’ representatives to) directly or indirectly: (a) solicit, initiate, or encourage the submission of any proposal or offer from any Person relating to, or enter into or consummate any transaction relating to, the acquisition of the Purchased Assets or the Subsidiary or any merger, recapitalization, share exchange, sale of substantial assets (other than sales of inventory in the Ordinary Course of Business) or any similar transaction or alternative to the contemplated transactions hereunder or (b) participate in any discussions or negotiations regarding, furnish any information with respect to, assist or participate in, or facilitate in any other manner any effort or attempt by any Person to do or seek any of the foregoing, except as may be required under the laws of Israel. Seller will notify Purchaser immediately if any Person makes any proposal, offer, inquiry or contact with respect to any of the foregoing (whether solicited or unsolicited).",exclusivity
"Exclusivity. Without prejudice to the Company’s rights under Section 5.4, the Company agrees not to appoint any other depositary for issuance of depositary shares, depositary receipts or any similar securities or instruments so long as The Bank of New York Mellon is acting as Depositary under this Deposit Agreement.",exclusivity
"Exclusivity. The services of the Adviser to the Trust under this Agreement are not to be deemed exclusive, and the Adviser, or any affiliate thereof, shall be free to render similar services to other investment companies and other clients (whether or not their investment objectives and policies are similar to those of any of the Series) and to engage in other activities, so long as its services hereunder are not impaired thereby.",exclusivity
Exclusivity. The Company agrees not to appoint any other depositary for the issuance or administration of depositary receipts evidencing any class of stock of the Company so long as Deutsche Bank Trust Company Americas is acting as Depositary hereunder.,exclusivity
Exclusivity. The Issuer agrees not to appoint any other depositary for issuance of American Depositary Receipts so long as The Bank of New York is acting as Depositary hereunder.,exclusivity
Exclusivity. The Company agrees not to appoint any other depositary for issuance of American or global depositary shares or receipts so long as The Bank of New York Mellon is acting as Depositary hereunder.,exclusivity
Exclusivity. SECTION 5.12,exclusivity
"Exclusivity. The Seller will not (i) solicit, initiate, or encourage the submission of any proposal or offer from any person relating to any (A) merger or consolidation, (B) acquisition or purchase of securities or assets, or (C) similar transaction or business combination involving the Seller, or (ii) participate in any discussions or negotiations regarding, furnish any information with respect to, assist or participate in, or facilitate in any other manner any effort or attempt by any person to do or seek any of the foregoing. The Seller will notify the Buyers immediately if any person makes any proposal, offer, inquiry, or contact with respect to any of the foregoing.",exclusivity
"Exclusivity. Without the prior written consent of Buyer, Seller and the Company will not, and will not authorize or permit any of their respective Representatives to, directly or indirectly, solicit, initiate, or encourage (including by way of furnishing information) or take any other action to facilitate any inquiries or the making of any proposal that constitutes or may reasonably be expected to lead to a proposal or offer (other than pursuant to this Agreement) for a merger, consolidation, or other business combination involving any proposal to acquire, in any manner, an equity interest in the Company, or any substantial portion of its assets (any such proposal or offer hereinafter referred to as an “Acquisition Proposal”) from any Person, or engage in any discussion or negotiation relating thereto or accept any Acquisition Proposal. If Seller or the Company receives any such inquiries, offers, or proposals, it shall (a) notify Buyer orally and in writing of any such inquiries, offers, or proposals (including the terms and conditions of any such inquiry, offer, or proposal and the identity of the Person making it) within 24 hours of the receipt thereof and (b) immediately notify the Person making such proposal that Seller and the Company is precluded from engaging in any discussions or negotiations or accepting any Acquisition Proposal.",exclusivity
"Exclusivity. Until July 31, 2002, or until such later date agreed upon by the Parties in the event that the Closing Date is extended pursuant to Section 2(d) above, the Seller and the directors, Key Employees, officers and shareholders of the Seller, including the Shareholders, shall not (i) enter into any agreement, understanding or arrangement relating to any Acquisition Proposal (as defined below); (ii) consider, or engage in any discussions or negotiations relating to any Acquisition Proposal; (iii) provide any information regarding the Seller, the Shareholders or their respective businesses or operations to any party (other than to representatives of the Buyer and as required by any regulatory authority) except in the Ordinary Course of Business; (iv) solicit or encourage the submission of any Acquisition Proposal; or (v) permit any representative or Affiliate of the Seller or their respective shareholders including the Shareholders, to do any of the foregoing. The term ""Acquisition Proposal,"" as used in this Section 5(g), refers to any proposal, plan, agreement, understanding or arrangement contemplating (i) any merger, consolidation, reorganization, recapitalization or similar transaction involving the Seller; (ii) any transfer or issuance of any shares of the Seller; (iii) any transfer of any material asset of the Seller save in the Ordinary Course of Business; (iv) any sale, transfer or encumbrance of any shares of the Seller by their respective shareholders, including the Shareholders; or (v) any transaction that may reasonably be considered to be materially inconsistent with any of the transactions contemplated by this Agreement or that may have a Material Adverse Effect. In the event that the Seller, the directors, Key Employees, officers or shareholders of the Seller, including the Shareholders, breach the provisions of this Section 5(g), the Seller and the Shareholders shall be jointly and severally obliged, immediately upon demand, and in any event within five business days after demand, to pay, or cause the breaching party or parties to pay, to the Buyer a fee in the amount of One Million Five Hundred Thousand US Dollars (US$ 1,500,000.00). Such fee shall serve as liquidated damages and the exclusive remedy to the Buyer in the event of a breach of this Section 5(g).",exclusivity
"Exclusivity. During the Term, the Executive shall devote substantially all of Executive’s working time and attention to the business and affairs of the Company and its Affiliates, shall faithfully serve the Company and its Affiliates, and shall in all material respects conform to and comply with the lawful and reasonable directions and instructions given to Executive by the Board, or its designee, consistent with Section 1.2 hereof. During the Term, the Executive shall use Executive’s best efforts during Executive’s working time to promote and serve the interests of the Company and its Affiliates and shall not engage in any other business activity, whether or not such activity shall be engaged in for pecuniary profit. The provisions of this Section 1.3 shall not be construed to prevent the Executive from investing Executive’s personal, private assets as a passive investor in such form or manner as will not require any active services on the part of the Executive in the management or operation of the affairs of the companies, partnerships, or other business entities in which any such passive investments are made.",exclusivity
"Exclusivity. Subject to Sections 5.04 and 6.02, the Company agrees not to appoint any other depositary for issuance of American or global depositary shares or receipts so long as The Bank of New York Mellon is acting as Depositary hereunder.",exclusivity
