clause_text,clause_type
"Execution. This Agreement may be executed in two or more counterparts, all of which when taken together shall be considered one and the same agreement and shall become effective when counterparts have been signed by each party and delivered to each other party, it being understood that the parties need not sign the same counterpart. In the event that any signature is delivered by facsimile transmission or by e-mail delivery of a “.pdf” format data file, such signature shall create a valid and binding obligation of the party executing (or on whose behalf such signature is executed) with the same force and effect as if such facsimile or “.pdf” signature page were an original thereof.",execution
"Execution. This Agreement may be executed in two or more counterparts, all of which when taken together shall be considered one and the same agreement and shall become effective when counterparts have been signed by each party and delivered to the other party, it being understood that both parties need not sign the same counterpart. In the event that any signature is delivered by facsimile transmission, such signature shall create a valid and binding obligation of the party executing (or on whose behalf such signature is executed) with the same force and effect as if such facsimile signature page were an original thereof.",execution
"Execution. This Agreement may be executed by one or more counterparts, each of which shall be deemed an original, but all of which together will constitute one in the same instrument.",execution
"Execution. The Guarantors, if any, shall each execute a guaranty in the form most recently published by the American Industrial Real Estate Association, and each such Guarantor shall have the same obligations as Lessee under this Lease.",execution
"Execution. This Agreement may be executed in any number of counterparts, each of which shall be deemed an original and all of which together shall constitute one and the same instrument.",execution
"Execution. This Agreement may be executed in parts, by fax, or other similar electronic means.",execution
"Execution. This Agreement may be executed in several counterparts, each of which shall be deemed an original, but such counterparts together shall constitute one and the same instrument.",execution
"Execution. This ADR shall not be valid for any purpose unless executed by the Depositary by the manual or facsimile signature of a duly authorized officer of the Depositary. Dated: JPMORGAN CHASE BANK, N.A., as Depositary By Authorized Officer The Depositary’s office is located at 4 New York Plaza, New York, New York 10004.",execution
"Execution. The Guarantors, if any, shall each execute a guaranty in the form most recently published by the AIR Commercial Real Estate Association.",execution
Execution. 18.1 The Company shall be entitled to rely on delivery by facsimile machine of an executed copy of this Agreement and acceptance by the Company of such facsimile copy shall be equally effective to create a valid and binding agreement between the Subscriber and the Company in accordance with the terms hereof.,execution
"Execution. This Agreement is being executed in one or more counterparts, each of which shall be deemed an original, but all of which together shall constitute one and the same instrument. Photographic copies of such signed counterparts may be used in lieu of the originals for any purpose.",execution
"Execution. The Warrant Certificates shall be executed on behalf of the Company by any authorized officer of the Company (an “Authorized Officer”), which need not be the same authorized signatory for all of the Warrant Certificates, either manually or by facsimile signature. The Warrant Certificates shall be countersigned by an authorized signatory of the Warrant Agent, which need not be the same signatory for all of the Warrant Certificates, and no Warrant Certificate shall be valid for any purpose unless so countersigned. In case any Authorized Officer of the Company that signed any of the Warrant Certificates ceases to be an Authorized Officer of the Company before countersignature by the Warrant Agent and issuance and delivery by the Company, such Warrant Certificates, nevertheless, may be countersigned by the Warrant Agent, issued and delivered with the same force and effect as though the person who signed such Warrant Certificates had not ceased to be such officer of the Company; and any Warrant Certificate may be signed on behalf of the Company by any person who, at the actual date of the execution of such Warrant Certificate, shall be an Authorized Officer of the Company authorized to sign such Warrant Certificate, although at the date of the execution of this Warrant Agreement any such person was not such an Authorized Officer.",execution
"Execution. This Agreement may be executed in multiple counterparts, each of which shall be considered an original instrument, but all of which shall be considered one and the same Agreement, and shall become binding when all counterparts have been signed by each of the Parties and delivered to each Party hereto. Delivery of an executed signature page counterpart by telecopier or e-mail shall be as effective as delivery of a manually executed counterpart.",execution
"Execution. This Agreement may be executed by facsimile transmission, and in counterparts, each of which will be deemed an original.",execution
"Execution. The parties agree to execute such additional documents and to take such additional actions as are reasonably necessary or desirable to carry out the purposes hereof. They also agree, acknowledge and represent that all corporate authorizations have been obtained for the execution of this Contract and for the compliance with each and every term hereof. Each undersigned officer, representative or employee represents that he or she has the authority to execute this Contract on behalf of the party for whom he or she is signing.",execution
"Execution. This Agreement may be executed, including execution by facsimile signature, in one or more counterparts, each of which will be deemed an original, and all of which together shall be deemed to be one and the same instrument.",execution
"Execution. This Agreement may be executed in two or more counterparts, all of which when taken together shall be considered one and the same agreement and shall become effective when counterparts have been signed by each party and delivered to the other party, it being understood that both parties need not sign the same counterpart.",execution
Execution. It is not necessary that the Employer sign this Release following Executive’s full and complete execution of it for it to become fully effective and enforceable.,execution
"Execution. This Agreement may be executed in two or more counterparts, all of which shall be considered one and the same agreement, it being understood that all parties need not sign the same counterpart.",execution
"Execution. This agreement shall be binding upon each Non-Operator when this agreement or a counterpart thereof has been executed by such Non-Operator and Operator notwithstanding that this agreement is not then or thereafter executed by all of the parties to which it is tendered or which are listed on Exhibit ""A"" as owning an interest in the Contract Area or which own, in fact, an interest in the Contract Area. Operator may, however, by written notice to all Non-Operators who have become bound by this agreement as aforesaid, given at any time prior to the actual spud date of the Initial Well but in no event later than five days prior to the date specified in Article VI.A. for commencement of the Initial Well, terminate this agreement if Operator in its sole discretion determines that there is insufficient participation to justify commencement of drilling operations. In the event of such a termination by Operator, all further obligations of the parties hereunder shall cease as of such termination. In the event any Non-Operator has advanced or prepaid any share of drilling or other costs hereunder, all sums so advanced shall be returned to such Non-Operator without interest. In the event Operator proceeds with drilling operations for the Initial Well without the execution hereof by all persons listed on Exhibit ""A"" as having a current working interest in such well, Operator shall indemnify Non-Operators with respect to all costs incurred for the Initial Well which would have been charged to such person under this agreement if such person had executed the same and Operator shall receive all revenues which would have been received by such person under this agreement if such person had executed the same.",execution
"Execution. A Responsible Person of the Issuer will execute the Notes for the Issuer. The signature of the Responsible Person on the Notes may be manual or facsimile. Notes having the manual or facsimile signature of an individual who was a Responsible Person of the Issuer will bind the Issuer, even if the individual has ceased to be a Responsible Person before the authentication and delivery of the Notes or was not a Responsible Person on the issuance date of the Notes.",execution
Execution. The Trustee is hereby authorized and directed to acknowledge the Guaranty and to perform all of its duties and obligations thereunder.,execution
Execution. Any writ of execution or attachment or any judgment lien shall be issued against any property of the Borrower and shall not be discharged or bonded against or released within 30 days after the issuance or attachment of such writ or lien.,execution
"Execution. This Agreement may be executed in several counterparts, each of which shall constitute one and the same instrument and shall become binding upon the parties when at least one copy hereof shall have been signed by both parties hereto. In approving this Agreement, it shall not be necessary to produce or account for more than one such counterpart.",execution
"Execution. The execution, delivery and performance of this Amendment shall not, except as expressly provided herein, constitute a waiver of any provision of, or operate as a waiver of any right, power or remedy of any Agent or Lender under, the Credit Agreement or any of the other Credit Documents.",execution
"Execution. The execution, delivery, and performance of this Agreement and the transactions contemplated hereby are duly and validly authorized by all requisite corporate action on the part of Seller as required under its formation documents. This Agreement constitutes the legal, valid, and binding obligation of Seller enforceable in accordance with its terms, except as the same may be limited by bankruptcy, insolvency, or other laws relating to or affecting the rights of creditors generally, and by general equitable principles.",execution
"Execution. To facilitate execution, this Agreement may be executed in as many counterparts as may be required; and it shall not be necessary that the signatures of, or on behalf of, each party, or that the signatures of all persons required to bind any party, appear on each counterpart; but it shall be sufficient that the signature of, or on behalf of, each party, or that the signatures of the persons required to bind any party, appear on one or more of the counterparts. All counterparts shall collectively constitute a single agreement. It shall not be necessary in making proof of this Agreement to produce or account for more than a number of counterparts containing the respective signatures of, or on behalf of, all of the parties hereto.",execution
"Execution. This Agreement may be executed in counterparts, each of which so executed will be deemed to be an original and such counterparts together will constitute one and the same agreement. Execution and delivery of this Agreement by exchange of facsimile copies bearing the facsimile signature of a Party shall constitute a valid and binding execution and delivery of this Agreement by such Party.",execution
"Execution. 13.1 This Agreement sets forth the entire understanding of the parties hereto with respect to the transactions contemplated hereby, and any previous agreements or understandings between the parties hereto regarding the subject matter hereof are merged into and superseded by this Agreement.",execution
"Execution. This Agreement may be executed in one or more counterparts, each of which, when executed and delivered, shall be an original, and all of which together shall constitute one and the same instrument. This Agreement may also be executed by facsimile or electronic signatures which signatures shall be deemed as effective as original signatures.",execution
"Execution. Each party agrees that an electronic, facsimile or digital signature or an online acceptance or acknowledgment will be accorded the full legal force and effect of a handwritten signature under Nevada law. This Agreement may be signed in counterparts, each of which shall be an original, with the same effect as if the signatures thereto and hereto were upon the same instrument.",execution
Execution. The Notes may forthwith be executed by the Issuers and delivered to the Trustee for authentication and delivery by the Trustee in accordance with the provisions of Section 2.04 of the Original Indenture.,execution
