clause_text,clause_type
"Fees and Expenses. Except as expressly set forth in the Transaction Documents to the contrary, each party shall pay the fees and expenses of its advisers, counsel, accountants and other experts, if any, and all other expenses incurred by such party incident to the negotiation, preparation, execution, delivery and performance of this Agreement. The Company shall pay all Transfer Agent fees (including, without limitation, any fees required for same-day processing of any instruction letter delivered by the Company and any exercise notice delivered by a Purchaser), stamp taxes and other taxes and duties levied in connection with the delivery of any Securities to the Purchasers.",fees-and-expenses
"Fees and Expenses. Except as expressly set forth in the Transaction Documents to the contrary, each party shall pay the fees and expenses of its advisers, counsel, accountants and other experts, if any, and all other expenses incurred by such party incident to the negotiation, preparation, execution, delivery and performance of this Agreement. The Company shall pay all Transfer Agent fees, stamp taxes and other taxes and duties levied in connection with the delivery of any Securities to the Purchasers.",fees-and-expenses
"Fees and Expenses. 5.1. The Fund and Underwriter shall pay no fee or other compensation to the Company under this agreement, except that if the Fund or any Portfolio adopts and implements a plan pursuant to Rule 12b-1 to finance distribution expenses, then the Underwriter may make payments to the Company or to the underwriter for the Contracts if and in amounts agreed to by the Underwriter in writing and such payments will be made out of existing fees otherwise payable to the Underwriter, past profits of the Underwriter or other resources available to the Underwriter. No such payments shall be made directly by the Fund.",fees-and-expenses
"Fees and Expenses. Each party shall pay the fees and expenses of its advisers, counsel, accountants and other experts, if any, and all other expenses incurred by such party incident to the negotiation, preparation, execution, delivery and performance of the Transaction Documents. The Company shall pay all stamp and other taxes and duties levied in connection with the sale of the Shares.",fees-and-expenses
"Fees and Expenses. (a) Except as set forth in this Section 7.3, all fees and expenses incurred in connection with this Agreement and the transactions contemplated hereby shall be paid by the party incurring such expenses, whether or not the Merger is consummated.",fees-and-expenses
"Fees and Expenses. Each party shall pay the fees and expenses of its advisers, counsel, accountants and other experts, if any, and all other expenses incurred by such party incident to the negotiation, preparation, execution, delivery and performance of this Agreement.",fees-and-expenses
"Fees and Expenses. Company acknowledges that all costs, fees and expenses as described in subsection 10.2 of the Credit Agreement incurred by Administrative Agent and its counsel with respect to this Amendment and the documents and transactions contemplated hereby shall be for the account of Company.",fees-and-expenses
"Fees and Expenses. (a) Except as set forth in this Section 8.3, all fees and expenses incurred in connection with this Agreement and the transactions contemplated hereby shall be paid by the party incurring such fees and expenses, whether or not the Merger is consummated; provided however, that the Company and the Buyer shall share equally all fees and expenses, other than accountants’ and attorneys’ fees, incurred with respect to the printing, filing and mailing of the Proxy Statement (including any related preliminary materials) and any amendments or supplements thereto.",fees-and-expenses
"Fees and Expenses. Each party shall pay the fees and expenses of its advisors, counsel, accountants and other experts, if any, and all other expenses, incurred by such party incident to the negotiation, preparation, execution, delivery and performance of this Agreement; provided, however, that the Company shall pay all actual attorneys' fees and expenses (including disbursements and out-of-pocket expenses) incurred by the Purchasers in connection with (i) the preparation, negotiation, execution and delivery of this Agreement and the transactions contemplated thereunder, which payment shall be made at Closing and shall not exceed $15,000 (plus disbursements in an amount not to exceed $5,000), (ii) the filing and declaration of effectiveness by the Commission of the Registration Statement (as defined in the Registration Rights Agreement) and (iii) any amendments, modifications or waivers of this Agreement or any of the other Transaction Documents. In addition, the Company shall pay all reasonable fees and expenses incurred by the Purchasers in connection with the enforcement of this Agreement or any of the other Transaction Documents, including, without limitation, all reasonable attorneys' fees and expenses.",fees-and-expenses
"Fees and Expenses. 2.01 For the performance by the Bank pursuant to this Agreement, the Fund agrees to pay the Bank an annual maintenance fee as set out in the initial fee schedule attached hereto. Such fees and out-of-pocket expenses and advances identified under Section 2.02 below may be changed from time to time subject to mutual written agreement between the Fund and the Bank.",fees-and-expenses
