clause_text,clause_type
"Fees. Registry Operator must pay, or have paid on its behalf, fees to the Escrow Agent directly. If Registry Operator fails to pay any fee by the due date(s), the Escrow Agent will give ICANN written notice of such non-­‐payment and ICANN may pay the past-­‐due fee(s) within fifteen (15) calendar days after receipt of the written notice from Escrow Agent. Upon payment of the past-­‐due fees by ICANN, ICANN shall have a claim for such amount against Registry Operator, which Registry Operator shall be required to submit to ICANN together with the next fee payment due under the Registry Agreement.",fees
Fees. In addition to certain fees described in subsections (h) and (i) of Section 2.03:,fees
"Fees. (a) The Borrower agrees to pay to the Administrative Agent for the account of each Lender a commitment fee, which shall accrue at the Applicable Rate on the average daily amount of the Available Revolving Commitment of such Lender during the period from and including the Effective Date to but excluding the date on which such Commitment terminates. Accrued commitment fees shall be payable in arrears on the last day of March, June, September and December of each year and on the date on which the Commitments terminate, commencing on the first such date to occur after the date hereof; provided that any commitment fees accruing after the date on which the Commitments terminate shall be payable on demand. All commitment fees shall be computed on the basis of a year of 360 days and shall be payable for the actual number of days elapsed (including the first day but excluding the last day).",fees
"Fees. The Lenders and the Administrative Agent shall have received all fees required to be paid, and all expenses for which invoices have been presented (including the reasonable fees and expenses of legal counsel), on or before the Closing Date. All such amounts will be paid with proceeds of Loans made on the Closing Date and will be reflected in the funding instructions given by the Borrower to the Administrative Agent on or before the Closing Date.",fees
"Fees. (a) The Borrower agrees to pay to the Administrative Agent for the account of each Lender a facility fee, which shall accrue at the Applicable Rate on the daily amount of the Commitment of such Lender (whether used or unused) during the period from and including the Effective Date to but excluding the date on which such Commitment terminates; provided that, if such Lender continues to have any Revolving Credit Exposure after its Commitment terminates, then such facility fee shall continue to accrue on the daily amount of such Lender’s Revolving Credit Exposure from and including the date on which its Commitment terminates to but excluding the date on which such Lender ceases to have any Revolving Credit Exposure. Accrued facility fees shall be payable in arrears on the last day of March, June, September and December of each year and on the date on which the Commitments terminate, commencing on the first such date to occur after the date hereof; provided that any facility fees accruing after the date on which the Commitments terminate shall be payable on demand. All facility fees shall be computed on the basis of a year of 360 days and shall be payable for the actual number of days elapsed (including the first day but excluding the last day).",fees
Fees. Borrower shall pay to Bank:,fees
Fees. In addition to certain fees described in Sections 2.03(h) and (i):,fees
"Fees. (a) The Borrower agrees to pay to the Administrative Agent for the account of each Revolving Lender (subject to Section 2.20) a commitment fee, which shall accrue at a rate equal to the Commitment Fee Rate per annum on the average daily amount of the Unused Revolving Credit Commitment of such Revolving Lender during the period from and including the Closing Date to the date on which such Lender’s Revolving Credit Commitments terminate. Accrued commitment fees shall be payable in arrears on the last day of each March, June, September and December for the quarterly period then ended and on the date on which the Revolving Credit Commitments terminate. All commitment fees shall be computed on the basis of a year of 360 days and shall be payable for the actual number of days elapsed (including the first day but excluding the last day).",fees
Fees. Borrower shall pay to Bank the following:,fees
"Fees. (a) The Borrower agrees to pay to each Lender (other than any Defaulting Lender), through the Administrative Agent, on the last Business Day of March, June, September and December in each year and on the date on which the Revolving Facility Commitments of all the Lenders shall be terminated as provided herein, a commitment fee (a “Commitment Fee”) on the daily amount of the applicable Available Unused Commitment of such Lender during the preceding quarter (or other period commencing with the Closing Date or ending with the date on which the last of the Commitments of such Lender shall be terminated) at a rate equal to the Applicable Commitment Fee. All Commitment Fees shall be computed on the basis of the actual number of days elapsed in a year of 360 days. For the purpose of calculating any Lender’s Commitment Fee, the outstanding Swingline Loans during the period for which such Lender’s Commitment Fee is calculated shall be deemed to be zero. The Commitment Fee due to each Lender shall commence to accrue on the Closing Date and shall cease to accrue on the date on which the last of the Commitments of such Lender shall be terminated as provided herein.",fees
