clause_text,clause_type
Fees and Royalties. The parties hereto understand that the fees and royalties payable by LICENSEE to UNIVERSITY under this Agreement are partial consideration for the license granted herein to LICENSEE under Patent Rights. LICENSEE shall pay UNIVERSITY:,fees_royalties
"Fees and Royalties. For the rights, privileges and license granted hereunder, LICENSEE shall pay to UTRF the following fees and royalties in the manner hereinafter provided until this Agreement expires or is terminated.",fees_royalties
"Fees and Royalties. Licensee shall deliver to Licensor the reports, and pay to Licensor the Royalties (individually and collectively, the “Compensation”) as set forth in Schedule 4.",fees_royalties
"Fees and Royalties. For the rights granted under this Agreement, including both Article 2 and Article 3, GEN-PROBE shall pay fees and royalties set forth in this Article 4.",fees_royalties
"Fees and Royalties. 4.1 For the rights, privileges and license granted under this License Agreement, Licensee shall pay to the University the fees and royalties specified in Appendix C.",fees_royalties
"Fees and Royalties. EyeTech will pay to Isis the fees, milestones and royalties set forth in this Article 3.",fees_royalties
"Fees and Royalties. In partial consideration for the rights granted herein, Licensee will pay to ULRF the fees, royalties and other amounts specified in Exhibit B, and will reimburse ULRF for costs incurred in connection with the Licensed Patents as provided in Section 9.2.",fees_royalties
"Fees and Royalties. In consideration for the license granted by CSHS to Licensee pursuant to Section 2.1 hereof, Licensee shall pay to CSHS the fees and royalties set forth in Exhibit B attached hereto. The price established for the Licensed Product shall not exceed *** .",fees_royalties
"Fees and Royalties. In exchange for the grant of rights under this Agreement, Purchaser agrees to pay the following fees and royalties based on U.S. dollars:",fees_royalties
Fees and Royalties. In consideration for the license granted herein to LICENSEE under Patent Rights LICENSEE agrees to pay to UNIVERSITY:,fees_royalties
"Fees and Royalties. 5.1 In consideration of the licenses granted in Clause 2.1 for the ARM Secure Core Transfer Materials, LICENSEE shall pay ARM a fee (each a “Core Licence Fee”) for each Unique ARM Secure Core Based Product developed by LICENSEE as set out in and in accordance with Schedule 7 Part A. If within three (3) years after the Effective Date, LICENSEE pays ARM [*****] Core Licence Fees for [*****] Unique ARM Secure Core Based Products, then during the continuance of this Agreement, LICENSEE shall not have any obligation to pay Core Licence Fees for the [*****] Unique ARM Secure Core Based Products.",fees_royalties
"Fees and Royalties. 4.1 For the rights, privileges and license granted hereunder, LICENSEE shall pay to RESEARCH FOUNDATION:",fees_royalties
Fees and Royalties. 5.00 Licensee agrees to pay Licensor according to the following schedule:,fees_royalties
Fees and Royalties. This license is non-royalty bearing and the Licensee shall not obligated to pay to Steinberg any fees or royalties with respect to the VST PlugIn Interface technology.,fees_royalties
"Fees and Royalties. In consideration for the rights granted to Iso pursuant to this Agreement, Iso shall pay to IBt license fees (the ""License Fee"") and royalties as determined below:",fees_royalties
"Fees and Royalties. Licensee shall compensate Licensor for the license and other rights granted hereby and services provided hereunder, in United States Dollars, as follows:",fees_royalties
"Fees and Royalties. In consideration of the rights and the technical assistance herein granted and rendered to Licensee, Licensee shall pay to Licensor the following fees and royalties:",fees_royalties
"Fees and Royalties. 6.1 License Fees; [*****]. As consideration for the licenses granted to Licensee by Company hereunder, Licensee agrees to pay Company (i) [*****] in the amounts and pursuant to the schedule set forth in Attachment 3 hereto (“[*****]”) and (ii) non-refundable license fee(s) in the amounts and pursuant to the schedule set forth in Attachment 3 hereto (“License Fees”).",fees_royalties
"Fees and Royalties. In consideration for the license granted herein to LICENSEE under Patent Rights, UNIVERSITY owns a total number of 2.297 (two thousand two hundred ninety-seven) shares with a nominal value of EURO 2.297,00 (Euro two thousand two hundred ninety-seven) of LICENSEE’s common stock representing [***] of the LICENSEE’s total equity capital of [***]. Moreover, LICENSEE agrees to pay to UNIVERSITY:",fees_royalties
Fees and Royalties. 7.1 CAT shall pay MRC in consideration of the grant made in this Agreement the following sums (exclusive of VAT thereon);,fees_royalties
Fees and Royalties. 6.1 MATERIA agrees to pay BC the following fees:,fees_royalties
Fees and Royalties. 4.1 BBB shall pay RFUCMS milestone fees as follows:,fees_royalties
Fees and Royalties. The Parties hereto understand that the fees and royalties payable by Licensee to Cornell under this Agreement are in consideration for the license granted herein to Licensee under Technology and Patent Rights. Licensee shall pay Cornell:,fees_royalties
"Fees and Royalties. 9. The Fee, being the consideration for the grant of the Rights under this Agreement shall be the issuance of 275,000 shares of common stock by the Sub-Franchisor upon the signing of this Agreement. A royalty of 5% of monthly gross sales of all of the Franchised Outlets operating in the Exclusive Territory will be remitted to the Franchisor by the Sub-Franchisor by the fifteen of the following month. An advertising royalty of 3% of monthly gross sales of all of the Franchised Outlets operating in the Exclusive Territory will be remitted to the Franchisor by the Sub-Franchisor by the fifteen of the following month.",fees_royalties
"Fees and Royalties. In consideration of both the license granted in Section 2.1 and INX's contributions to the Development Collaboration described in Article 4 herein, WLV agrees to make (1) the up front license fee payments as set forth in this Article 2.3, (2) the annual license and development support fee payments as set for below in this Article 2.4, (3) the earned royalty payments as set forth below in this Article 2.5, and (4) the special development payments set forth in Exhibit A attached hereto.",fees_royalties
Fees and Royalties. Horizon shall pay to Inpharmakon as compensation for its services:,fees_royalties
"Fees and Royalties. 7.1 In consideration for the porting services provided under Clause 8.1, LICENSEE shall pay, to ARM the fees (""Porting Fees"") set out in Schedule 7 Part F. In the event that the LICENSEE elects to use an alternative set of design rules from the Design Rules then the parties shall negotiate fees in good faith for ARM to port the ARM Core to alternative design rules.",fees_royalties
"Fees and Royalties. 3.1 In partial consideration for rights granted in this Agreement, Licensee shall pay Licensor:",fees_royalties
Fees and Royalties. FEES Fee (Descriptor) US$ Due Due Date (Invoice Date) Support and Maintenance,fees_royalties
"Fees and Royalties. 4.1. For the rights, privileges and license granted hereunder, LICENSEE shall pay license fees and royalties to UFRFI for the period commencing November 1, 1995 for the term of this Agreement as hereinafter provided:",fees_royalties
"Fees and Royalties. The parties hereto understand that the fees and royalties payable by LICENSEE to Cornell and the provision of Nicotinamide Riboside to Dr. Anthony Sauve under this Agreement are partial consideration for the license granted herein to LICENSEE under Patent Rights. LICENSEE shall (a)(i) pay Cornell a license issue fee of [*] dollars (US$[*]), within [*] ([*]) days after the Effective Date;",fees_royalties
"Fees and Royalties. 4.01 Licensee agrees to pay to St. Jude an up-front license fee of forty thousand dollars ($40,000) U.S.; half of which (twenty thousand dollars $20,000) shall be for the license to Patent Rights due on the Effective Date and payable within thirty (30) days of receipt of invoice from St. Jude, and the other half which (twenty thousand dollars $20,000) shall be for the license to FIX Know-How due upon Licensee’s confirmation of complete transfer of the Transfer Documentation and payable within thirty (30) days of receipt of invoice from St. Jude. This license fee payment is nonrefundable and is not creditable against any other payments due to St. Jude under this Agreement.",fees_royalties
Fees and Royalties. Licensee shall pay Licensor as compensation for the license and other rights granted hereby:,fees_royalties
"Fees and Royalties. (a) In consideration of the License granted herein, INTERMUNE shall pay to MCWRF:",fees_royalties
"Fees and Royalties. As consideration for the license granted herein to LICENSEE under the Technology and Patent Rights, LICENSEE shall pay to VTIP the fees and royalties set forth in this Article 3. LICENSEE shall pay VTIP:",fees_royalties
Fees and Royalties. The parties hereto understand that the fees and royalties payable by LICENSEE to UNIVERSITY under this Agreement are partial consideration for the,fees_royalties
"Fees and Royalties. In consideration of rights granted by Board to Licensee under this Agreement, Licensee will pay University the following fees and royalties. Each payment will reference UTAUS Agreement No. PM0505001 and will be made separately from any other fees or payments due under this Agreement and sent to the address in Section 6.1 (“Payments”).",fees_royalties
"Fees and Royalties. 4.1 In consideration for the rights, privileges and license granted under this License Agreement, the Licensee must pay to the Licensor the fees and royalties and/or equity payments specified in Appendix B (Fees, Royalties and Reimbursement of Costs). The confidential portions of this exhibit have been filed separately with the Securities and Exchange Commission pursuant to a confidential treatment request in accordance with Rule 406 under the Securities Act of 1933, and Rule 24b-2, under the Securities Exchange Act of 1934, Redacted portions of this exhibit are marked by an [***].",fees_royalties
Fees and Royalties. FEES Licence Fees Licence Fees Fee (Descriptor) US$ Support and Maintenance Fees Support and Maintenance Period Fee (US$) (*) Invoice Date ROYALTIES,fees_royalties
"Fees and Royalties. 3.1 Fee in the amount of [*****] dollars, to be guaranteed by manufacturing/distributing partner of DVS (the “Guarantor”), shall be paid by DVS to MDS AT by or before December 31, 2010. Royalties paid in calendar 2010 shall be applied against this fee.",fees_royalties
Fees and Royalties. This license is non-royalty bearing and the Licensee shall not obligate to pay to Steinberg any fees or royalties with respect to the VST 3 Plug-In Interface technology or use of the trademarks as set out in §3.,fees_royalties
"Fees and Royalties. 9.1 In consideration of the rights and license granted pursuant to this Agreement, Prism shall pay to CyDex the following fees (“Fees”) upon the attainment of the milestones set forth in the table below:",fees_royalties
"Fees and Royalties. In consideration of the rights granted hereunder, PBR Registration",fees_royalties
