clause_text,clause_type
"Financial Covenants. Section 4.01. (a) The Borrower shall maintain or cause to be maintained records and accounts adequate to reflect in accordance with sound accounting practices the operations, resources and expenditures in respect of the Project of the departments or agencies of the Borrower responsible for carrying out the Project or any part thereof.",financial-covenants
"Financial Covenants. Section 4.01. (a) The Borrower shall maintain a financial management system, including records and accounts, and prepare financial statements in accordance with consistently applied accounting standards acceptable to the Association, adequate to reflect the operations, resources and expenditures related to the Project.",financial-covenants
"Financial Covenants. So long as any Advance or any other Obligation of any Loan Party under any Loan Document shall remain unpaid, any Letter of Credit shall be outstanding or any Lender Party shall have any Commitment hereunder, the Borrower will:",financial-covenants
"Financial Covenants. So long as any Advance shall remain unpaid or any Lender shall have any Commitment hereunder, the Borrower will:",financial-covenants
"Financial Covenants. Section 4.01. (a) The Borrower shall maintain a financial management system, including records and accounts, and prepare financial statements in a format acceptable to the Association, adequate to reflect the operations, resources and expenditures related to the Project.",financial-covenants
"Financial Covenants. Until all of the Obligations have been paid and satisfied in full and the Commitments terminated, unless consent has been obtained in the manner set forth in Section 14.11, the Borrower and its Restricted Subsidiaries on a Consolidated basis will not:",financial-covenants
"Financial Covenants. Borrower shall maintain at all times, to be tested as of the last day of each month, unless otherwise noted, on a consolidated basis with respect to Borrower and its Subsidiaries:",financial-covenants
"Financial Covenants. Section 4.01. (a) For all expenditures with respect to which withdrawals from the Loan Account were made on the basis of statements of expenditure, the Borrower shall:",financial-covenants
Financial Covenants. Borrowers shall not breach or fail to comply with any of the Financial Covenants.,financial-covenants
Financial Covenants. Section 5.01. (a) The Borrower shall maintain records and accounts adequate to reflect in accordance with sound accounting practices its operations and financial condition.,financial-covenants
Financial Covenants. Borrower shall at all times maintain the following financial ratios and covenants:,financial-covenants
"Financial Covenants. The Borrower covenants and agrees that, until the termination of the Commitments and the payment in full of all principal and interest with respect to the Loans together with all other amounts then due and owing hereunder:",financial-covenants
Financial Covenants. I further hereby certify as follows:,financial-covenants
Financial Covenants. The Borrower covenants and agrees that so long as any Lender has a Commitment hereunder or any Obligation remains unpaid or outstanding:,financial-covenants
Financial Covenants. Borrower will maintain as of the last day of each month:,financial-covenants
"Financial Covenants. So long as any Advance shall remain unpaid, any Letter of Credit is outstanding or any Lender shall have any Commitment hereunder, the Company will:",financial-covenants
