clause_text,clause_type
Fiscal Year. The fiscal year of the Partnership shall be the calendar year.,fiscal-year
Fiscal Year. The fiscal year of the Partnership shall be a fiscal year ending December 31.,fiscal-year
"Fiscal Year. The fiscal year (""Fiscal Year"") of the Trust shall be the calendar year, or such other year as is required by the Code.",fiscal-year
Fiscal Year. The fiscal year of the Company shall be the calendar year.,fiscal-year
Fiscal Year. The fiscal year of the Corporation shall be fixed by resolution of the Board of Directors.,fiscal-year
Fiscal Year. The fiscal year of the Corporation shall be determined by the Board of Directors.,fiscal-year
Fiscal Year. The fiscal year of the Company shall end on December 31 of each year.,fiscal-year
Fiscal Year. The fiscal year of the Trust shall end on a specified date as set forth in the By-laws. The Trustees may change the fiscal year of the Trust without Shareholder approval.,fiscal-year
"Fiscal Year. The fiscal year of the Trust shall be fixed, and shall be subject to change, by the Board of Trustees.",fiscal-year
Fiscal Year. The fiscal year of the Trust shall end on such date as the Trustees shall from time to time determine.,fiscal-year
"Fiscal Year. No Credit Party shall, nor shall it permit any of its Subsidiaries to change its Fiscal Year-end from December 31.",fiscal-year
Fiscal Year. The fiscal year of the corporation shall be fixed by resolution of the board of directors.,fiscal-year
Fiscal Year. The fiscal year of the corporation shall begin on the first day of January and end on the last day of December in each year.,fiscal-year
"Fiscal Year. The Borrower shall not, and shall not permit any other Loan Party or other Subsidiary to, change its fiscal year from that in effect as of the Agreement Date.",fiscal-year
Fiscal Year. The fiscal year of the Company shall end on the last day of December in each year.,fiscal-year
"Fiscal Year. The Borrower shall not, and shall not permit any Subsidiary of the Borrower to, change its fiscal year from the twelve-month period beginning January 1 and ending December 31.",fiscal-year
Fiscal Year. The fiscal year of the Trust or any Series shall end on a specified date as determined from time to time by the Trustees.,fiscal-year
Fiscal Year. Change its fiscal year.,fiscal-year
"Fiscal Year. The Borrower shall not change its Fiscal Year-end to a date other than December 31; provided that the Borrower may, upon written notice to the Administrative Agent, change the Fiscal Year-end of the Borrower to another date, in which case the Borrower and the Administrative Agent will, and are hereby authorized to, make any adjustments to this Agreement that are necessary to reflect such change in Fiscal Year.",fiscal-year
Fiscal Year. Not change its Fiscal Year.,fiscal-year
Fiscal Year. Change its fiscal year-end to a date other than December 31.,fiscal-year
Fiscal Year. The Borrower shall not change its Fiscal Year.,fiscal-year
Fiscal Year. The fiscal year of the Corporation shall begin on the first day of January of each year.,fiscal-year
"Fiscal Year. With respect to the Borrower, change its fiscal year-end to a date other than December 31.",fiscal-year
"Fiscal Year. CAI will not, and will not permit any of its Subsidiaries to, change the date of the end of its fiscal (or financial) year from that set forth in §7.4.1.",fiscal-year
