clause_text,clause_type
"Force Majeure. In no event shall the Trustee be responsible or liable for any failure or delay in the performance of its obligations hereunder arising out of or caused by, directly or indirectly, forces beyond its control, including, without limitation, strikes, work stoppages, accidents, acts of war or terrorism, civil or military disturbances, nuclear or natural catastrophes or acts of God, and interruptions, loss or malfunctions of utilities, communications or computer (software and hardware) services; it being understood that the Trustee shall use reasonable efforts which are consistent with accepted practices in the banking industry to resume performance as soon as practicable under the circumstances.",force-majeure
"Force Majeure. If by reason of Force Majeure, either party hereto shall be rendered unable wholly or in part to carry out its obligations under this Agreement then such party shall give notice and full particulars of Force Majeure in writing to the other party within a reasonable time after occurrence of the event or cause relied upon, and the obligation of the party giving such notice, so far as it is affected by such Force Majeure, shall be suspended during the continuance of the inability then claimed, except as hereinafter provided, but for no longer period, and such party shall endeavor to remove or overcome such inability with all reasonable dispatch.",force-majeure
"Force Majeure. A Party shall not be considered to be in default or breach of this Agreement, and shall be excused from performance or liability for damages to the other Party, if and to the extent it shall be delayed in or prevented from performing or carrying out any of the provisions of this Agreement, arising out of or from any act, omission, or circumstance by or in consequence of any act of God, labor disturbance, sabotage, failure of contractors or suppliers of materials, act of the public enemy, war, invasion, insurrection, riot, fire, storm, flood, ice, earthquake, explosion, epidemic, breakage or accident to machinery or equipment or any other cause or causes beyond such Party’s reasonable control, including any curtailment, order, regulation, or restriction imposed by governmental, military or lawfully established civilian authorities, or by making of repairs necessitated by an emergency circumstance not limited to those listed above upon the property or equipment of the Party or property or equipment of others which is deemed under the Operational Control of the Party. A Force Majeure event does not include an act of negligence or Intentional Wrongdoing by a Party. Any Party claiming a Force Majeure event shall use reasonable diligence to remove the condition that prevents performance and shall not be entitled to suspend performance of its obligations in any greater scope or for any longer duration than is required by the Force Majeure event. Each Party shall use its best efforts to mitigate the effects of such Force Majeure event, remedy its inability to perform, and resume full performance of its obligations hereunder. A Party suffering a Force Majeure event (“Affected Party”) shall notify the other Party (“Non-Affected Party”) in writing (“Notice of Force Majeure Event”) as soon as reasonably practicable specifying the cause of the event, the scope of commitments under the Agreement affected by the event, and a good faith estimate of the time required to restore full performance. Except for those commitments identified in the Notice of Force Majeure Event, the Affected Party shall not be relieved of its responsibility to fully perform as to all other commitments in the Agreement. If the Force Majeure event continues for a period of more than 90 days from the date of the Notice of Force Majeure Event, the Non-Affected Party shall be entitled, at its sole discretion, to terminate the Agreement.",force-majeure
"Force Majeure. A Party shall not be considered to be in default or breach of this Agreement, and shall be excused from performance or liability for damages to any other party, if and to the extent it shall be delayed in or prevented from performing or carrying out any of the provisions of this Agreement, arising out of or from any act, omission, or circumstance by or in consequence of any act of God, labor disturbance, sabotage, failure of suppliers of materials, act of the public enemy, war, invasion, insurrection, riot, fire, storm, flood, ice, earthquake, explosion, epidemic, breakage or accident to machinery or equipment or any other cause or causes beyond such Party’s reasonable control, including any curtailment, order, regulation, or restriction imposed by governmental, military or lawfully established civilian authorities, or by making of repairs necessitated by an emergency circumstance not limited to those listed above upon the property or equipment of the Party or property or equipment of others which is deemed under the Operational Control of the Party. A Force Majeure event does not include an act of negligence or Intentional Wrongdoing by a Party. Any Party claiming a Force Majeure event shall use reasonable diligence to remove the condition that prevents performance and shall not be entitled to suspend performance of its obligations in any greater scope or for any longer duration than is required by the Force Majeure event. Each Party shall use its best efforts to mitigate the effects of such Force Majeure event, remedy its inability to perform, and resume full performance of its obligations hereunder.",force-majeure
"Force Majeure. Neither Party shall be liable for failure to perform ------------- or delay in performing any obligation under this Agreement, except the obligation to make payments when due, if such failure or delay is due to force majeure, including, but not limited to, war, embargo, riot, insurrection, sabotage or other civil unrest; fire, explosion, flood or other natural disaster; accident or breakdown of machinery; unavailability of fuel, labor, containers, or transportation facilities; accidents of navigation, breakdown or damage of vessels or other conveyances for air, land or sea; other impediments or hindrances to transportation; strike or other labor disturbances; government restraints or any other cause beyond the control of the affected party; provided, however, that the Party so failing to perform shall (i) as soon as possible, inform the other Party of the occurrence of the circumstances preventing or delaying the performance of its obligations, and describe at a reasonable level of detail the circumstances causing such delay, and (ii) exert reasonable efforts to eliminate, cure or overcome any of such cases and to resume performance of its covenants with all possible speed. In such event, the non-performing Party will be excused from any further performance or observance of the obligation(s) so affected for as long as such circumstances prevail and such Party continues to use its best efforts to recommence performance or observance whenever and to whatever extent possible without delay. In the event that, by operation of law or governmental decree, it becomes illegal to market and sell a Product in the Territory, Distributor shall be relieved of its obligations under this Agreement (other than the obligation to make any payment due hereunder) only to the extent that they relate to such Product. Any Party so delayed in its performance will be under no liability for loss or damages suffered by the other Party thereby. Either Party may convene a meeting between the Parties to discuss the force majeure and its effect on any obligation under this Agreement. The Parties shall seek to modify the relevant provisions in order to accommodate the circumstances caused by the force majeure. If the Parties fail to agree on such modifications within thirty (30) calendar days after notice of the force majeure is delivered, either Party may terminate this Agreement by written notice to the other Party. Such termination shall be effective thirty (30) calendar days after the...",force-majeure
"Force Majeure. In the event either party is unable to perform its obligations under the terms of this Agreement because of acts of God, strikes, equipment or transmission failure or damage reasonably beyond its control, or other causes reasonably beyond its control, such party shall not be liable for damages to the other for any damages resulting from such failure to perform or otherwise from such causes.",force-majeure
"Force Majeure. Notwithstanding anything to the contrary contained herein, the Rights Agent shall not be liable for any delays or failures in performance resulting from acts beyond its reasonable control including, without limitation, acts of God, terrorist acts, shortage of supply, breakdowns or malfunctions, interruptions or malfunction of computer facilities, or loss of data due to power failures or mechanical difficulties with information storage or retrieval systems, labor difficulties, war, or civil unrest.",force-majeure
"Force Majeure. Neither the Custodian nor the Trust shall be liable for any failure or delay in performance of its obligations under this Agreement arising out of or caused, directly or indirectly, by circumstances beyond its reasonable control, including, without limitation, acts of God; earthquakes; fires; floods; wars; civil or military disturbances; acts of terrorism; sabotage; strikes; epidemics; riots; power failures; computer failure and any such circumstances beyond its reasonable control as may cause interruption, loss or malfunction of utility, transportation, computer (hardware or software) or telephone communication service; accidents; labor disputes; acts of civil or military authority; governmental actions; or inability to obtain labor, material, equipment or transportation; provided, however, that in the event of a failure or delay, the Custodian (i) shall not discriminate against the Fund in favor of any other customer of the Custodian in making computer time and personnel available to input or process the transactions contemplated by this Agreement, and (ii) shall use its best efforts to ameliorate the effects of any such failure or delay.",force-majeure
"Force Majeure. In no event shall the Trustee be responsible or liable for any failure or delay in the performance of its obligations under this Indenture arising out of or caused by, directly or indirectly, forces beyond its reasonable control, including without limitation strikes, work stoppages, accidents, acts of war or terrorism, civil or military disturbances, nuclear or natural catastrophes or acts of God, and interruptions, loss or malfunctions of utilities, communications or computer (software or hardware) services.",force-majeure
"Force Majeure. In the event performance of this Agreement, or any obligation hereunder, is either directly or indirectly prevented, restricted, or interfered with by reason of fire, flood, earthquake or like acts of God, wars, revolution, civil commotion, explosion, acts of public enemy, embargo, acts of the government in its sovereign capacity, labor difficulties, including without limitation, strikes, slowdowns, picketing, or boycotts, unavailability of equipment from vendor, changes requested by Customer, or any other circumstances beyond the reasonable control and without the fault or negligence of the Party affected, the Party affected, upon giving prompt notice to the other Party, shall be excused from such performance on a day-to-day basis to the extent of such prevention, restriction, or interference (and the other Party shall likewise be excused from performance of its obligations on a day-to-day basis until the delay, restriction or interference has ceased); provided however, that the Party so affected shall use diligent efforts to avoid or remove such causes of non-performance and both Parties shall proceed whenever such causes are removed or cease.",force-majeure
