clause_text,clause_type
"Further Assurances. Each party shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as the other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.",further-assurances
"Further Assurances. The Company agrees to perform, execute, acknowledge, and deliver or cause to be performed, executed, acknowledged, and delivered all such further and other acts, instruments, and assurances as may reasonably be required by the Warrant Agent for the carrying out or performing of the provisions of this Agreement.",further-assurances
"Further Assurances. The Mortgage Loan Seller and the Purchaser each agrees to execute and deliver such instruments and take such further actions as any other party hereto may, from time to time, reasonably request in order to effectuate the purposes and to carry out the terms of this Agreement.",further-assurances
"Further Assurances. The parties agree (a) to furnish upon request to each other such further information, (b) to execute and deliver to each other such other documents, and (c) to do such other acts and things, all as the other party may reasonably request for the purpose of carrying out the intent of this Agreement and the documents referred to in this Agreement.",further-assurances
Further Assurances. The parties shall execute and deliver all such further instruments and documents and take all such other actions as may reasonably be required to carry out the transactions contemplated hereby and to evidence the fulfillment of the agreements herein contained.,further-assurances
Further Assurances. The parties agree to execute such further documents and instruments and to take such further actions as may be reasonably necessary to carry out the purposes and intent of this Agreement.,further-assurances
"Further Assurances. From time to time, at the other party's request and without further consideration, each party hereto shall execute and deliver such additional documents and take all such further lawful action as may be necessary or desirable to consummate and make effective, in the most expeditious manner practicable, the transactions contemplated by this Agreement.",further-assurances
"Further Assurances. In connection with this Agreement and all transactions contemplated by this Agreement, each signatory party hereto agrees to execute and deliver such additional documents and instruments and to perform such additional acts as may be necessary or appropriate to effectuate, carry out and perform all of the terms, provisions and conditions of this Agreement and all such transactions.",further-assurances
"Further Assurances. From and after the date of this Agreement, upon the request of the Purchaser or the Company, each of the Company and the Purchaser shall execute and deliver such instruments, documents and other writings as may be reasonably necessary or desirable to confirm and carry out and to effectuate fully the intent and purposes of this Agreement.",further-assurances
"Further Assurances. At and after the Effective Time, the officers and directors of the Surviving Corporation shall be authorized to execute and deliver, in the name and on behalf of the Company or Merger Subsidiary, any deeds, bills of sale, assignments or assurances and to take and do, in the name and on behalf of the Company or Merger Subsidiary, any other actions and things to vest, perfect or confirm of record or otherwise in the Surviving Corporation any and all right, title and interest in, to and under any of the rights, properties or assets of the Company acquired or to be acquired by the Surviving Corporation as a result of, or in connection with, the Merger.",further-assurances
Further Assurances. Subscriber agrees to execute such further instruments and to take such further action as may reasonably be necessary to carry out the intent of this Agreement.,further-assurances
"Further Assurances. At any time or from time to time after the date hereof, the parties agree to cooperate with each other, and at the request of any other party, to execute and deliver any further instruments or documents and to take all such further action as the other party may reasonably request in order to evidence or effectuate the consummation of the transactions contemplated hereby and to otherwise carry out the intent of the parties hereunder.",further-assurances
"Further Assurances. From time to time on and after the date hereof, the Company and the Initial Stockholders shall deliver or cause to be delivered to the Escrow Agent such further documents and instruments and shall do or cause to be done such further acts as the Escrow Agent shall reasonably request to carry out more effectively the provisions and purposes of this Agreement, to evidence compliance herewith or to assure itself that it is protected in acting hereunder.",further-assurances
