clause_text,clause_type
"General Provisions. This Assignment and Assumption shall be binding upon, and inure to the benefit of, the parties hereto and their respective successors and assigns. This Assignment and Assumption may be executed in any number of counterparts, which together shall constitute one instrument. Delivery of an executed counterpart of a signature page of this Assignment and Assumption by telecopy shall be effective as delivery of a manually executed counterpart of this Assignment and Assumption. This Assignment and Assumption shall be governed by, and construed in accordance with, the law of the State of New York.",general-provisions
"General Provisions. In connection with any Registration Statement and any Prospectus required by this Agreement to permit the sale or resale of Transfer Restricted Securities (including, without limitation, any Registration Statement and the related Prospectus required to permit resales of Initial Securities by Broker-Dealers), each of the Company and the Guarantors shall:",general-provisions
General Provisions. (a) Each party agrees to perform such further acts and execute such further documents as are necessary to effectuate the purposes hereof. This Agreement shall be construed and enforced in accordance with and governed by the laws of the State of Iowa. The captions in this Agreement are included for convenience only and in no way define or delimit any of the provisions hereof or otherwise affect their construction or effect.,general-provisions
"General Provisions. A. OGS is required to implement the provisions of New York State Executive Law Article 15-A and 5 NYCRR Parts 140-145 (“MWBE Regulations”) for all State contracts as defined therein, with a value (1) in excess of $25,000 for labor, services, equipment, materials, or any combination of the foregoing or (2) in excess of $100,000 for real property renovations and construction.",general-provisions
"General Provisions. (a) This Agreement constitutes the entire agreement of the parties to this Agreement and supersedes all prior written or oral and all contemporaneous oral agreements, understandings and negotiations with respect to the subject matter hereof. This Agreement may be executed in two or more counterparts, each one of which shall be an original, with the same effect as if the signatures thereto and hereto were upon the same instrument. This Agreement may not be amended or modified unless in writing by all of the parties hereto, and no condition herein (express or implied) may be waived unless waived in writing by each party whom the condition is meant to benefit. Section headings herein are for the convenience of the parties only and shall not affect the construction or interpretation of this Agreement.",general-provisions
"General Provisions. In connection with any Registration Statement and any related Prospectus required by this Agreement, the Company and the Guarantors shall:",general-provisions
"General Provisions a. All notices must be in writing and will be effective if (i) delivered by facsimile, electronic mail, by hand, reliable overnight delivery service, or first-class, pre-paid mail and (ii) sent to the address for the intended recipient stated in an Order Form. Notices should be sent to the other party's general counsel or legal department, unless another recipient is expressly identified.",general-provisions
"General Provisions. 3.1 All of the negotiated rates, terms and conditions set forth in this Attachment pertain to the resale of BellSouth’s retail telecommunications services and other services specified in this Attachment. Subject to effective and applicable FCC and Commission rules and orders, BellSouth shall make available to Momentum for resale those telecommunications services BellSouth makes available, pursuant to its General Subscriber Services Tariff and Private Line Services Tariff, to customers who are not telecommunications carriers.",general-provisions
"General Provisions. This Assignment and Assumption shall be binding upon, and inure to the benefit of, the parties hereto and their respective successors and assigns. This Assignment and Assumption may be executed in any number of counterparts, which together shall constitute one instrument. Delivery of an executed counterpart of a signature page of this Assignment and Assumption by telecopy shall be effective as delivery of a manually executed counterpart of this Assignment and Assumption. This Assignment and Assumption shall be governed by, and construed in accordance with, the Law of the State of Illinois. Reference is made to the Amended and Restated Multicurrency Credit Agreement, dated effective as of December 31, 2015, by and among Fenix Parts, Inc., a Delaware corporation (the “U.S. Borrower”), Fenix Parts Canada, Inc., a Canadian corporation (the “Canadian Borrower” and, together with the U.S. Borrower, the “Borrowers” and individually a “Borrower”), the Guarantors party thereto, the Lenders party thereto, and BMO Harris Bank N.A., a national banking association, as Administrative Agent and L/C Issuer (as amended, restated, modified or supplemented from time to time, the “Credit Agreement”). Capitalized terms used herein and not defined herein have the meanings assigned to them in the Credit Agreement. Pursuant to the provisions of Section 3.1 of the Credit Agreement, the undersigned hereby certifies that (i) it is the sole record and beneficial owner of the Loan(s) (as well as any Note(s) evidencing such Loan(s)) in respect of which it is providing this certificate, (ii) it is not a bank within the meaning of Section 881(c)(3)(A) of the Code, (iii) it is not a ten percent shareholder of any Borrower within the meaning of Section 871(h)(3)(B) of the Code and (iv) it is not a controlled foreign corporation related to any Borrower as described in Section 881(c)(3)(C) of the Code. The undersigned has furnished the Administrative Agent and Borrowers with a certificate of its non‑U.S. Person status on IRS Form W‑8BEN. By executing this certificate, the undersigned agrees that (1) if the information provided on this certificate changes, the undersigned shall promptly so inform Borrowers and Administrative Agent, and (2) the undersigned shall have at all times furnished Borrowers and Administrative Agent with a properly completed and currently effective certificate in either the calendar year in which each payment is to be made to the undersigned, or in either of the two ca...",general-provisions
"General Provisions. This Assignment and Assumption shall be binding upon, and inure to the benefit of, the parties hereto and their respective successors and permitted assigns. This Assignment and Assumption may be executed in any number of counterparts, which together shall constitute one instrument. Delivery of an executed counterpart of a signature page of this Assignment and Assumption by facsimile or by email as a “.pdf’ or “.tiff’ attachment shall be effective as delivery of a manually executed counterpart of this Assignment and Assumption. This Assignment and Assumption shall be construed in accordance with and governed by the laws of the State of New York. The Administrative Agent, acting as a non-fiduciary agent of the US Borrower, shall record this Assignment and Assumption in the Register as of the Effective Date. Bank of America, N.A. Four Penn Center 1600 JFK Blvd. Philadelphia, PA 19103 Attn: Christy Bowen Facsimile: 267-675-0175 Email: Christy.kuklinski@baml.com [●] [●], 20[●]10 Ladies and Gentlemen: Reference is hereby made to that certain ABL Credit Agreement, dated as of August 4, 2017 (as the same may be amended, restated, amended and restated, supplemented or otherwise modified from time to time and in effect on the date hereof, the “Credit Agreement”), by and among Hayward Industries, Inc., a New Jersey corporation (as survivor of the Merger (as defined in the Credit Agreement) with Hayward Acquisition Corp., a New Jersey corporation) (the “US Borrower”), Hayward Pool Products Canada, Inc. / Produits De Piscines Hayward Canada, Inc., a Canadian federal corporation (the “Canadian Borrower”), Hayward Intermediate, Inc., a Delaware corporation (“Holdings”), the Lenders from time to time party thereto including, Bank of America, N.A. in its capacities as administrative agent and collateral agent (the “Administrative Agent”). The undersigned hereby gives you notice pursuant to Section 2.03 of the Credit Agreement that it requests the Borrowings under the Credit Agreement to be made on [●] [●], 20[●], and in that connection sets forth below the terms on which the Borrowings are requested to be made:",general-provisions
General Provisions. A1 Definitions and Interpretation,general-provisions
"General Provisions. This Assignment shall be binding upon, and inure to the benefit of, the parties hereto and their respective successors and assigns. This Assignment may be executed in any number of counterparts, which together shall constitute one instrument. Delivery of an executed counterpart of a signature page of this Assignment by telecopy shall be effective as delivery of a manually executed counterpart of this Assignment. This Assignment shall be governed by, and construed in accordance with, the internal laws of the State of New York. FOR VALUE RECEIVED, the undersigned, CALIFORNIA RESOURCES CORPORATION, a Delaware corporation (the “Borrower”), hereby unconditionally promises to pay to the order of [ ] or its registered assigns (the “Lender”), at the Administrative Agent’s Office or such other place as JPMORGAN CHASE BANK, N.A. (the “Administrative Agent”) shall have specified, in Dollars and in immediately available funds, in accordance with Section 5.3 of the Credit Agreement (as defined below; capitalized terms used and not otherwise defined herein shall have the meanings assigned to such terms in Article I of the Credit Agreement) on the Maturity Date or the Swingline Maturity Date, as applicable, the aggregate unpaid principal amount, if any, of all advances made by the Lender to the Borrower in respect of Loans pursuant to the Credit Agreement. The Borrower further promises to pay interest in like money at such office on the unpaid principal amount hereof from time to time outstanding at the rates per annum and on the dates specified in Section 2.8 of the Credit Agreement. This Promissory Note is one of the promissory notes referred to in Section 2.5(f) of that certain Credit Agreement, dated as of September 24, 2014 (as amended, restated, supplemented or otherwise modified from time to time, the “Credit Agreement”), among Borrower, the lenders from time to time party thereto (the “Lenders”), JPMORGAN CHASE BANK, N.A., as Administrative Agent, a Swingline Lender, and a Letter of Credit Issuer, and each other Letter of Credit Issuer from time to time party thereto (such terms and each other capitalized term used but not defined herein having the meaning provided in Article I of the Credit Agreement). This Promissory Note is subject to, and the Lender is entitled to the benefits of, the provisions of the Credit Agreement, and the Loans evidenced hereby are guaranteed and secured as provided therein and in the other Credit Documents. The Loans evidenced hereby a...",general-provisions
