clause_text,clause_type
"General. All payments to be made by the Borrower shall be made without condition or deduction for any counterclaim, defense, recoupment or setoff. Except as otherwise expressly provided herein, all payments by the Borrower hereunder shall be made to the Administrative Agent, for the account of the respective Lenders to which such payment is owed, at the Administrative Agent’s Office in Dollars and in immediately available funds not later than 2:00 p.m. on the date specified herein. The Administrative Agent will promptly distribute to each Lender its Applicable Percentage (or other applicable share as provided herein) of such payment in like funds as received by wire transfer to such Lender’s Lending Office. All payments received by the Administrative Agent after 2:00 p.m. shall be deemed received on the next succeeding Business Day and any applicable interest or fee shall continue to accrue. If any payment to be made by the Borrower shall come due on a day other than a Business Day, payment shall be made on the next following Business Day, and such extension of time shall be reflected in computing interest or fees, as the case may be.",general
"General. The Trustee shall keep proper books of record and account of all the transactions of each Trust under this Indenture at its corporate trust office, including a record of the name and address of, and the Units issued by each Trust and held by, every Unit holder, and such books and records of each Trust shall be open to inspection by any Unit holder of such Trust at all reasonable times during the usual business hours. The Trustee shall make such annual or other reports as may from time to time be required under any applicable state or federal statute or rule or regulations thereunder.",general
"General. Notices and all other communications contemplated by this Agreement shall be in writing and shall be deemed to have been duly given when personally delivered or when mailed by U.S. registered or certified mail, return receipt requested and postage prepaid. In the case of the Employee, mailed notices shall be addressed to him at the home address which he most recently communicated to the Company in writing. In the case of the Company, mailed notices shall be addressed to its corporate headquarters, and all notices shall be directed to the attention of its Secretary.",general
"General. Each of the Parties will use its reasonable best efforts to take all action and to do all things necessary, proper, or advisable in order to consummate and make effective the transactions contemplated by this Agreement (including satisfaction, but not waiver, of the closing conditions set forth in Section 6 below).",general
"General. The Notes and the Trustee's certificate of authentication shall be substantially in the form of Exhibit A hereto. The Notes may have notations, legends or endorsements required by law, stock exchange rule or usage. Each Note shall be dated the date of its authentication. The Notes shall be in denominations of $1,000 and integral multiples thereof. The terms and provisions contained in the Notes shall constitute, and are hereby expressly made, a part of this Indenture and the Company, the Guarantors and the Trustee, by their execution and delivery of this Indenture, expressly agree to such terms and provisions and to be bound thereby. However, to the extent any provision of any Note conflicts with the express provisions of this Indenture, the provisions of this Indenture shall govern and be controlling.",general
"General. This Note is one of a duly authorized issue of securities (herein called the ""Securities"") of the Company, issued and to be issued in one or more series under an Indenture, dated as of February 16, 2012, as amended (the ""Indenture""), between the Company and U.S. Bank National Association (herein called the ""Trustee"", which term includes any successor trustee under the Indenture), to which Indenture and all indentures supplemental thereto reference is hereby made for a statement of the respective rights, limitations of rights, duties and immunities thereunder of the Company, the Trustee and the Holders of the Securities and of the terms upon which the Securities are, and are to be, authenticated and delivered. This Security is one of the Securities of the series designated on the face hereof. The Securities of this series may bear different dates, mature at different times and bear interest at different rates. The Securities of this series may be issued from time to time in an unlimited aggregate principal amount.",general
"General. Unless otherwise expressly provided herein, all notices and other communications provided for hereunder or under any other Loan Document shall be in writing (including by facsimile transmission). All such written notices shall be mailed, faxed or delivered to the applicable address, facsimile number or electronic mail address, and all notices and other communications expressly permitted hereunder to be given by telephone shall be made to the applicable telephone number, as follows:",general
"General. Subject to the terms and conditions set forth herein, the Borrower may request the issuance of Letters of Credit for its own account, in a form reasonably acceptable to the Administrative Agent and the Issuing Bank, at any time and from time to time during the Availability Period. In the event of any inconsistency between the terms and conditions of this Agreement and the terms and conditions of any form of letter of credit application or other agreement submitted by the Borrower to, or entered into by the Borrower with, the Issuing Bank relating to any Letter of Credit, the terms and conditions of this Agreement shall control.",general
"General. Subject to the conditions set forth below, the Company agrees to indemnify and hold harmless each of the Underwriters, and each dealer selected by you that participates in the offer and sale of the Securities (each a ""Selected Dealer"") and each of their respective directors, officers and employees and each person, if any, who controls any such Underwriter (""controlling person"") within the meaning of Section 15 of the Act or Section 20(a) of the Exchange Act, against any and all loss, liability, claim, damage and expense whatsoever (including but not limited to any and all legal or other expenses reasonably incurred in investigating, preparing or defending against any litigation, commenced or threatened, or any claim whatsoever, whether arising out of any action between any of the Underwriters and the Company or between any of the Underwriters and any third party or otherwise) to which they or any of them may become subject under the Act, the Exchange Act or any other statute or at common law or otherwise or under the laws of foreign countries, arising out of or based upon any untrue statement or alleged untrue statement of a material fact contained in (i) any Preliminary Prospectus, the Registration Statement or the Prospectus (as from time to time each may be amended and supplemented); (ii) in any post-effective amendment or amendments or any new registration statement and prospectus in which is included securities of the Company issued or issuable upon exercise of the Representative's Purchase Option; or (iii) any application or other document or written communication (in this Section 5 collectively called ""application"") executed by the Company or based upon written information furnished by the Company in any jurisdiction in order to qualify the Securities under the securities laws thereof or filed with the Commission, any state securities commission or agency, Nasdaq or any securities exchange; or the omission or alleged omission therefrom of a material fact required to be stated therein or necessary to make the statements therein, in the light of the circumstances under which they were made, not misleading, unless such statement or omission was made in reliance upon and in conformity with written information furnished to the Company with respect to an Underwriter by or on behalf of such Underwriter expressly for use in any Preliminary Prospectus, the Registration Statement or Prospectus, or any amendment or supplement thereof, or in any application, as...",general
"General. All payments to be made by the Borrowers shall be made without condition or deduction for any counterclaim, defense, recoupment or setoff. Except as otherwise expressly provided herein and except with respect to principal of and interest on Loans denominated in an Alternative Currency, all payments by the Borrowers hereunder shall be made to the Administrative Agent, for the account of the respective Lenders to which such payment is owed, at the applicable Administrative Agent’s Office in Dollars and in Same Day Funds not later than 2:00 p.m. on the date specified herein. Except as otherwise expressly provided herein, all payments by the Borrowers hereunder with respect to principal and interest on Loans denominated in an Alternative Currency shall be made to the Administrative Agent, for the account of the respective Lenders to which such payment is owed, at the applicable Administrative Agent’s Office in such Alternative Currency and in Same Day Funds not later than the Applicable Time specified by the Administrative Agent on the dates specified herein. Without limiting the generality of the foregoing, the Administrative Agent may require that any payments due under this Agreement be made in the United States. If, for any reason, any Borrower is prohibited by any Law from making any required payment hereunder in an Alternative Currency, such Borrower shall make such payment in Dollars in the Dollar Equivalent of the Alternative Currency payment amount. The Administrative Agent will promptly distribute to each Lender its Applicable Percentage (or other applicable share as provided herein) of such payment in like funds as received by wire transfer to such Lender’s Lending Office. All payments received by the Administrative Agent (i) after 2:00 p.m., in the case of payments in Dollars, or (ii) after the Applicable Time specified by the Administrative Agent in the case of payments in an Alternative Currency, shall in each case be deemed received on the next succeeding Business Day and any applicable interest or fee shall continue to accrue. If any payment to be made by any Borrower shall come due on a day other than a Business Day, payment shall be made on the next following Business Day, and such extension of time shall be reflected in computing interest or fees, as the case may be.",general
"General. The Trustee shall keep proper books of record and account of all the transactions of each Trust under this Indenture at its corporate trust office, including a record of the name and address of, and the Units issued by each Trust and held by, every Unit holder, and such books and records of each Trust shall be open to inspection by any Unit holder of such Trust at all reasonable times during the usual business hours. The Trustee shall make such annual or other reports as may from time to time be required under any applicable state or federal statute or rule or regulations thereunder. (b) Audit of trust accounts. Unless the Depositor determines that such an audit is not required, the accounts of the Trust shall be audited not less than annually by independent public accountants designated from time to time by the Depositor and the Trustee and the reports of such accountants shall be furnished upon request to Unit holders. So long as the Depositor is making a secondary market for Units, the Depositor shall bear the cost of such annual audits to the extent such cost exceeds $.50 per 100 Units. (c) Costs of updating of registration statement. If provided for in the Prospectus for a Trust, the Trustee shall pay, or reimburse to the Depositor, the expenses related to the updating of the Trust's registration statement, to the extent of legal fees, typesetting fees, electronic filing expenses and regulatory filing fees. Such expenses shall be paid from the Income Account, or to the extent funds are not available in such Account, from the Capital Account, against an invoice or invoices therefor presented to the Trustee by the Depositor. By presenting such invoice or invoices, the Depositor shall be deemed to certify, upon which certification the Trustee is authorized conclusively to rely, that the amounts claimed therein are properly payable pursuant to this paragraph. The Depositor shall provide the Trustee, from time to time as requested, an estimate of the amount of such expenses, which the Trustee shall use for the purpose of estimating the accrual of Trust expenses. The amount paid by the Trust pursuant to this paragraph in each year shall be separately identified in the annual statement provided to Unit holders. The Depositor shall assure that the Prospectus for the Trust contains such disclosure as shall be necessary to permit payment by the Trust of the expenses contemplated by this paragraph under applicable laws and regulations. The provisions of this par...",general
General. The Trustees and officers shall render reports at the time and in the manner required by the Declaration of Trust or any applicable law. Officers and Committees shall render such additional reports as they may deem desirable or as may from time to time be required by the Trustees.,general
"General. This Agreement constitutes the entire agreement of the parties to this Agreement and supersedes all prior written or oral and all contemporaneous oral agreements, understandings and negotiations with respect to the subject matter hereof. In this Agreement, the masculine, feminine and neuter genders and the singular and the plural include one another. The section headings in this Agreement are for the convenience of the parties only and will not affect the construction or interpretation of this Agreement. This Agreement may be amended or modified, and the observance of any term of this Agreement may be waived, only by a writing signed by the Company and the Representatives.",general
"General. If required by applicable law, the seal of the Trust shall consist of a flat-faced die with the word ""Ohio"", together with the name of the Trust and the year of its organization cut or engraved thereon, but, unless otherwise required by the Trustees, the seal shall not be necessary to be placed on, and its absence shall not impair the validity of, any document, instrument or other paper executed and delivered by or on behalf of the Trust.",general
"General. In case at any time after the Closing any further action is necessary or desirable to carry out the purposes of this Agreement, each of the Parties will take such further action (including the execution and delivery of such further instruments and documents) as any other Party reasonably may request, all the sole cost and expense of the requesting Party (unless the requesting Party is entitled to indemnification therefor under Section 7 below).",general
"General. The Recipient shall not use the Project or suffer or permit the Project to be used for any Private Business Use. For purposes of the preceding sentence, use pursuant to a contract that satisfies the criteria of paragraphs 2 or 3 of this subsection shall not be regarded as a Private Business Use.",general
"General. By its acceptance of any Note bearing the Private Placement Legend, each Holder of such a Note acknowledges the restrictions on transfer of such Note set forth in this Indenture and in the Private Placement Legend and agrees that it will transfer such Note only as provided in this Indenture. The Registrar shall retain copies of all letters, notices and other written communications received pursuant to Section 2.16 or this Section 2.17. The Company shall have the right to inspect and make copies of all such letters, notices or other written communications at any reasonable time during the Registrar’s normal business hours upon the giving of reasonable written notice to the Registrar.",general
"General. Goods and works shall be procured in accordance with the provisions of Section I of the “Guidelines for Procurement under IBRD Loans and IDA Credits” published by the Bank in January 1995 and revised in January and August 1996, September 1997 and January 1999 (the Guidelines) and the following provisions of Section I of this Schedule.",general
"General. In case at any time after the Closing any further actions are necessary or desirable to carry out the purposes of this Agreement, each of the Parties shall take such further actions (including the execution and delivery of such further instruments and documents) as any other Party may reasonably request, all at the sole cost and expense of the requesting Party (unless the requesting Party is entitled to indemnification therefor under Article VIII below). The Sellers acknowledge and agree that from and after the Closing, the Buyer will be entitled to all documents, books and records (including Tax records), agreements, and financial data of any sort relating to the Company.",general
"General. The General Partner is hereby authorized to cause the Partnership to issue such additional Partnership Interests in the form of Partnership Units for any Partnership purpose at any time or from time to time, to the Partners (including the General Partner) or to other Persons for such consideration and on such terms and conditions as shall be established by the General Partner in its sole and absolute discretion, all without the approval of any Limited Partners. Any additional Partnership Interests issued thereby may be issued in one or more classes, or one or more series of any of such classes, with such designations, preferences and relative, participating, optional or other special rights, powers and duties, including rights, powers and duties senior to Limited Partnership Interests, all as shall be determined by the General Partner in its sole and absolute discretion and without the approval of any Limited Partner, subject to Delaware law, including, without limitation, (i) the allocations of items of Partnership income, gain, loss, deduction and credit to each such class or series of Partnership Interests; (ii) the right of each such class or series of Partnership Interests to share in Partnership distributions; and (iii) the rights of each such class or series of Partnership Interests upon dissolution and liquidation of the Partnership; provided, however, that no additional Partnership Interests shall be issued to the General Partner unless:",general
"General. The Notes and the Trustee’s certificate of authentication shall be substantially in the form of Exhibit A hereto. The Notes may have notations, legends or endorsements required by law, stock exchange rules or usage. Each Note shall be dated the date of its authentication. The Notes shall be in minimum denominations of $2,000 and integral multiples of $1,000 in excess thereof.",general
"General. The Company shall indemnify, and advance Expenses to, Indemnitee (a) as provided in this Agreement and (b) otherwise to the maximum extent permitted by Maryland law in effect on the Effective Date and as amended from time to time; provided, however, that no change in Maryland law shall have the effect of reducing the benefits available to Indemnitee hereunder based on Maryland law as in effect on the Effective Date. The rights of Indemnitee provided in this Section 3 shall include, without limitation, the rights set forth in the other sections of this Agreement, including any additional indemnification permitted by the Maryland General Corporation Law (the “MGCL”), including, without limitation, Section 2-418 of the MGCL.",general
