clause_text,clause_type
"Generally. All accounting terms not specifically or completely defined herein shall be construed in conformity with, and all financial data (including financial ratios and other financial calculations) required to be submitted pursuant to this Agreement shall be prepared in conformity with, GAAP applied on a consistent basis, as in effect from time to time, applied in a manner consistent with that used in preparing the Audited Financial Statements, except as otherwise specifically prescribed herein. Notwithstanding the foregoing, for purposes of determining compliance with any covenant (including the computation of any financial covenant) contained herein, Indebtedness of the Borrower and its Subsidiaries shall be deemed to be carried at 100% of the outstanding principal amount thereof, and the effects of FASB ASC 825 and FASB ASC 470-20 on financial liabilities shall be disregarded.",generally
"Generally. All accounting terms not specifically or completely defined herein shall be construed in conformity with, and all financial data (including financial ratios and other financial calculations) required to be submitted pursuant to this Agreement shall be prepared in conformity with, GAAP applied on a consistent basis, as in effect from time to time, applied in a manner consistent with that used in preparing the Audited Financial Statements, except as otherwise specifically prescribed herein.",generally
"Generally. This Agreement shall be binding upon the parties hereto and their respective successors and assigns and shall inure to the benefit of the parties hereto and the successors and assigns of Lenders. No Credit Party’s rights or obligations hereunder nor any interest therein may be assigned or delegated by any Credit Party without the prior written consent of all Lenders. Nothing in this Agreement, expressed or implied, shall be construed to confer upon any Person (other than the parties hereto, their respective successors and assigns permitted hereby and, to the extent expressly contemplated hereby, Affiliates of each of the Agents and Lenders) any legal or equitable right, remedy or claim under or by reason of this Agreement.",generally
"Generally. Upon receipt of Proper Instructions, which for purposes of this section may also include security trade advices, the Custodian shall facilitate the processing and settlement of foreign exchange transactions. Such foreign exchange transactions do not constitute part of the services provided by the Custodian under this Agreement.",generally
"Generally. (a) If any Event of Default shall have occurred and be continuing, the Collateral Agent may exercise in respect of the Collateral, in addition to all other rights and remedies provided for herein or otherwise available to it at law or in equity, all the rights and remedies of the Collateral Agent on default under the UCC (whether or not the UCC applies to the affected Collateral) to collect, enforce or satisfy any Secured Obligations then owing, whether by acceleration or otherwise, and also may pursue any of the following separately, successively or simultaneously:",generally
"Generally. Except as otherwise expressly provided in this Agreement, (i) any consent or approval required or permitted by this Agreement or any other Loan Document to be given by the Lenders may be given, (ii) any term of this Agreement or of any other Loan Document may be amended, (iii) the performance or observance by the Borrower, any other Loan Party or any other Subsidiary of any terms of this Agreement or such other Loan Document may be waived, and (iv) the continuance of any Default or Event of Default may be waived (either generally or in a particular instance and either retroactively or prospectively) with, but only with, the written consent of the Requisite Lenders (or the Administrative Agent at the written direction of the Requisite Lenders), and, in the case of an amendment to any Loan Document, the written consent of each Loan Party which is party thereto.",generally
"Generally. Except in the case of notices and other communications expressly permitted to be given by telephone (and except as provided in paragraph (b) below), all notices and other communications provided for herein shall be in writing and shall be delivered by hand or overnight courier service, mailed by certified or registered mail or sent by telecopier as follows:",generally
"Generally. No failure or delay by any Agent, the Issuing Bank or any Lender in exercising any right or power hereunder or under any other Loan Document shall operate as a waiver thereof, nor shall any single or partial exercise of any such right or power, or any abandonment or discontinuance of steps to enforce such a right or power, preclude any other or further exercise thereof or the exercise of any other right or power. The rights and remedies of each Agent, the Issuing Bank and the Lenders hereunder and under the other Loan Documents are cumulative and are not exclusive of any rights or remedies that they would otherwise have. No waiver of any provision of any Loan Document or consent to any departure by any Loan Party therefrom shall in any event be effective unless the same shall be permitted by this Section 10.02, and then such waiver or consent shall be effective only in the specific instance and for the purpose for which given. Without limiting the generality of the foregoing, the making of a Loan or issuance of a Letter of Credit shall not be construed as a waiver of any Default, regardless of whether any Agent, any Lender or the Issuing Bank may have had notice or knowledge of such Default at the time. No notice or demand on Borrower in any case shall entitle Borrower to any other or further notice or demand in similar or other circumstances.",generally
"Generally. If for any reason any Lender (a “Defaulting Lender”) shall fail or refuse to perform any of its obligations under this Agreement or any other Loan Document to which it is a party within the time period specified for performance of such obligation or, if no time period is specified, if such failure or refusal continues for a period of two Business Days after notice from the Agent, then, in addition to the rights and remedies that may be available to the Agent or the Borrower under this Agreement or Applicable Law, such Defaulting Lender’s right to participate in the administration of the Loans, this Agreement and the other Loan Documents, including without limitation, any right to vote in respect of, to consent to or to direct any action or inaction of the Agent or to be taken into account in the calculation of the Requisite Lenders, shall be suspended during the pendency of such failure or refusal. If a Lender is a Defaulting Lender because it has failed to make timely payment to the Agent of any amount required to be paid to the Agent hereunder (without giving effect to any notice or cure periods), in addition to other rights and remedies which the Agent or the Borrower may have under the immediately preceding provisions or otherwise, the Agent shall be entitled (i) to collect interest from such Defaulting Lender on such delinquent payment for the period from the date on which the payment was due until the date on which the payment is made at the Federal Funds Rate, (ii) to withhold or setoff and to apply in satisfaction of the defaulted payment and any related interest, any amounts otherwise payable to such Defaulting Lender under this Agreement or any other Loan Document and (iii) to bring an action or suit against such Defaulting Lender in a court of competent jurisdiction to recover the defaulted amount and any related interest. Any amounts received by the Agent in respect of a Defaulting Lender’s Loans shall not be paid to such Defaulting Lender and shall be held uninvested by the Agent and either applied against the purchase price of such Loans under the following subsection (b) or paid to such Defaulting Lender upon the Defaulting Lender’s curing of its default.",generally
Generally. To the fullest extent permitted by the laws of the State of Delaware:,generally
