clause_text,clause_type
"Governing Law; Jurisdiction. This Agreement and any dispute or controversy arising out of or relating to this Agreement shall be governed by and construed in accordance with the laws of the State of New York, without regard to the conflict of law principles thereof. All Actions arising out of or relating to this Agreement shall be heard and determined exclusively in any state or federal court located in New York, New York (or in any appellate courts thereof) (the “Specified Courts”). Each party hereto hereby (i) submits to the exclusive jurisdiction of any Specified Court for the purpose of any Action arising out of or relating to this Agreement brought by any party hereto and (ii) irrevocably waives, and agrees not to assert by way of motion, defense or otherwise, in any such Action, any claim that it is not subject personally to the jurisdiction of the above-named courts, that its property is exempt or immune from attachment or execution, that the Action is brought in an inconvenient forum, that the venue of the Action is improper, or that this Agreement or the transactions contemplated hereby may not be enforced in or by any Specified Court. Each party agrees that a final judgment in any Action shall be conclusive and may be enforced in other jurisdictions by suit on the judgment or in any other manner provided by Law. Each party irrevocably consents to the service of the summons and complaint and any other process in any other action or proceeding relating to the transactions contemplated by this Agreement, on behalf of itself, or its property, by personal delivery of copies of such process to such party at the applicable address set forth in Section 2(g). Nothing in this Section 2(d) shall affect the right of any party to serve legal process in any other manner permitted by applicable law.",governing-law-jurisdiction
"Governing Law; Jurisdiction. This Subscription Agreement shall be governed and construed in accordance with the laws of the State of Delaware EACH OF THE SUBSCRIBER AND THE COMPANY CONSENTS TO THE JURISDICTION OF ANY STATE OR FEDERAL COURT OF COMPETENT JURISDICTION LOCATED WITHIN THE STATE OF DELAWARE AND NO OTHER PLACE AND IRREVOCABLY AGREES THAT ALL ACTIONS OR PROCEEDINGS RELATING TO THIS SUBSCRIPTION AGREEMENT MAY BE LITIGATED IN SUCH COURTS. EACH OF SUBSCRIBER AND THE COMPANY ACCEPTS FOR ITSELF AND HIMSELF AND IN CONNECTION WITH ITS AND HIS RESPECTIVE PROPERTIES, GENERALLY AND UNCONDITIONALLY, THE EXCLUSIVE JURISDICTION OF THE AFORESAID COURTS AND WAIVES ANY DEFENSE OF FORUM NON CONVENIENS, AND IRREVOCABLY AGREES TO BE BOUND BY ANY JUDGMENT RENDERED THEREBY IN CONNECTION WITH THIS SUBSCRIPTION AGREEMENT. EACH OF SUBSCRIBER AND THE COMPANY FURTHER IRREVOCABLY CONSENTS TO THE SERVICE OF PROCESS OUT OF ANY OF THE AFOREMENTIONED COURTS IN THE MANNER AND IN THE ADDRESS SPECIFIED IN SECTION 8 AND THE SIGNATURE PAGE OF THIS SUBSCRIPTION AGREEMENT. EACH OF THE PARTIES HERETO HEREBY IRREVOCABLY WAIVES ALL RIGHT TO TRIAL BY JURY IN ANY ACTION, PROCEEDING OR COUNTERCLAIM (WHETHER BASED IN CONTRACT, TORT OR OTHERWISE) ARISING OUT OF OR RELATING TO THIS SUBSCRIPTION AGREEMENT OR THE ACTIONS OF EITHER PARTY IN THE NEGOTIATION, ADMINISTRATION, PERFORMANCE AND ENFORCEMENT THEREOF, EACH OF THE PARTIES HERETO ALSO WAIVES ANY BOND OR SURETY OR SECURITY UPON SUCH BOND WHICH MIGHT, BUT FOR THIS WAIVER, BE REQUIRED OF SUCH PARTY. EACH OF THE PARTIES HERETO FURTHER WARRANTS AND REPRESENTS THAT IT HAS REVIEWED THIS WAIVER WITH ITS LEGAL COUNSEL, AND THAT IT KNOWINGLY AND VOLUNTARILY WAIVES ITS JURY TRIAL RIGHTS FOLLOWING CONSULTATION WITH LEGAL COUNSEL. THIS WAIVER IS IRREVOCABLE, MEANING THAT IT MAY NOT BE MODIFIED EITHER ORALLY OR IN WRITING, AND THIS WAIVER SHALL APPLY TO ANY SUBSEQUENT AMENDMENTS, RENEWALS, SUPPLEMENTS OR MODIFICATIONS TO THIS SUBSCRIPTION AGREEMENT. IN THE EVENT OF LITIGATION, THIS SUBSCRIPTION AGREEMENT MAY BE FILED AS A WRITTEN CONSENT TO A TRIAL BY THE COURT.",governing-law-jurisdiction
"Governing Law; Jurisdiction. This Agreement shall be construed in accordance with the laws of the State of New York, and the obligations, rights and remedies of the parties hereunder shall be determined in accordance with such laws. With respect to any claim arising out of this Agreement, each party irrevocably submits to the exclusive jurisdiction of the courts of the State of New York and the United States District Court located in the Borough of Manhattan in The City of New York, and each party irrevocably waives any objection which it may have at any time to the laying of venue of any suit, action or proceeding arising out of or relating hereto brought in any such courts, irrevocably waives any claim that any such suit, action or proceeding brought in any such court has been brought in any inconvenient forum and further irrevocably waives the right to object, with respect to such claim, suit, action or proceeding brought in any such court, that such court does not have jurisdiction over such party, provided that service of process has been made by any lawful means.",governing-law-jurisdiction
"Governing Law; Jurisdiction. This Warrant shall be governed by and construed in accordance with the internal laws of the State of New York, without giving effect to any of the conflicts of law principles which would result in the application of the substantive law of another jurisdiction. This Warrant shall not be interpreted or construed with any presumption against the party causing this Warrant to be drafted. The Issuer and the Holder agree that venue for any dispute arising under this Warrant will lie exclusively in the state or federal courts located in New York County, New York, and the parties irrevocably waive any right to raise forum non conveniens or any other argument that New York is not the proper venue. The Issuer and the Holder irrevocably consent to personal jurisdiction in the state and federal courts of the state of New York. The Issuer and the Holder consent to process being served in any such suit, action or proceeding by mailing a copy thereof to such party at the address in effect for notices to it under this Warrant and agrees that such service shall constitute good and sufficient service of process and notice thereof. Nothing in this Section 12 shall affect or limit any right to serve process in any other manner permitted by law. The Issuer and the Holder hereby agree that the prevailing party in any suit, action or proceeding arising out of or relating to this Warrant or the Purchase Agreement, shall be entitled to reimbursement for reasonable legal fees from the non-prevailing party. The parties hereby waive all rights to a trial by jury.",governing-law-jurisdiction
"Governing Law; Jurisdiction. THIS INDENTURE AND EACH NOTE, AND ANY CLAIM, CONTROVERSY OR DISPUTE ARISING UNDER OR RELATED TO THIS INDENTURE AND EACH NOTE, SHALL BE GOVERNED BY, AND CONSTRUED IN ACCORDANCE WITH, THE LAWS OF THE STATE OF NEW YORK. The Company irrevocably consents and agrees, for the benefit of the Holders from time to time of the Notes and the Trustee, that any legal action, suit or proceeding against it with respect to obligations, liabilities or any other matter arising out of or in connection with this Indenture or the Notes may be brought in the courts of the State of New York or the courts of the United States located in the Borough of Manhattan, New York City, New York and, until amounts due and to become due in respect of the Notes have been paid, hereby irrevocably consents and submits to the non-exclusive jurisdiction of each such court in personam, generally and unconditionally with respect to any action, suit or proceeding for itself in respect of its properties, assets and revenues. The Company irrevocably and unconditionally waives, to the fullest extent permitted by law, any objection which it may now or hereafter have to the laying of venue of any of the aforesaid actions, suits or proceedings arising out of or in connection with this Indenture brought in the courts of the State of New York or the courts of the United States located in the Borough of Manhattan, New York City, New York and hereby further irrevocably and unconditionally waives and agrees not to plead or claim in any such court that any such action, suit or proceeding brought in any such court has been brought in an inconvenient forum.",governing-law-jurisdiction
"Governing Law; Jurisdiction. This Agreement shall be governed by and construed and enforced in accordance with the internal laws of the State of New York. Any legal action or other legal proceeding relating to this Agreement or the enforcement of any provision of this Agreement may be brought or otherwise commenced in any state or federal court located in the State of New York. Each party hereto agrees to the entry of an order to enforce any resolution, settlement, order or award made pursuant to this Section 8.2 by the state and federal courts located in the State of New York and in connection therewith hereby waives, and agrees not to assert by way of motion, as a defense, or otherwise, any claim that such resolution, settlement, order or award is inconsistent with or violative of the laws or public policy of the laws of the State of New York or any other jurisdiction.",governing-law-jurisdiction
"Governing Law; Jurisdiction. This Agreement shall be construed in accordance with the laws of the State of New York (without regard to conflicts of laws principles), and the obligations, rights and remedies of the parties hereunder shall be determined in accordance with such laws.",governing-law-jurisdiction
"Governing Law; Jurisdiction. THIS CONFIRMATION AND ANY CLAIM, CONTROVERSY OR DISPUTE ARISING UNDER OR RELATED TO THIS CONFIRMATION SHALL BE GOVERNED BY THE LAWS OF THE STATE OF NEW YORK. THE PARTIES HERETO IRREVOCABLY SUBMIT TO THE EXCLUSIVE JURISDICTION OF THE COURTS OF THE STATE OF NEW YORK AND THE UNITED STATES COURT FOR THE SOUTHERN DISTRICT OF NEW YORK IN CONNECTION WITH ALL MATTERS RELATING HERETO AND WAIVE ANY OBJECTION TO THE LAYING OF VENUE IN, AND ANY CLAIM OF INCONVENIENT FORUM WITH RESPECT TO, THESE COURTS.",governing-law-jurisdiction
"Governing Law; Jurisdiction. THIS AGREEMENT SHALL BE CONSTRUED IN ACCORDANCE WITH THE LAWS OF THE STATE OF NEW YORK (WITHOUT REGARD TO CONFLICTS OF LAWS PRINCIPLES), AND THE OBLIGATIONS, RIGHTS AND REMEDIES OF THE PARTIES HEREUNDER SHALL BE DETERMINED IN ACCORDANCE WITH SUCH LAWS.",governing-law-jurisdiction
"Governing Law; Jurisdiction. Matters relating solely to corporate law under this Agreement shall be governed by and construed in accordance with the laws of the State of Delaware. All other matters, such as the interpretation of the rights granted and the obligations of the parties under this Agreement, shall be governed by and construed in accordance with the laws of the State of Texas applicable to contracts made and to be performed in the State of Texas. The Company and the Purchaser irrevocably consent to the exclusive jurisdiction of the United States federal courts and the state courts located in the County of Dallas, State of Texas, in any suit or proceeding based on or arising under this Agreement and irrevocably agree that all claims in respect of such suit or proceeding may be determined in such courts. The Company irrevocably waives the defense of an inconvenient forum to the maintenance of such suit or proceeding. The Company further agrees that service of process upon the Company mailed by first class mail shall be deemed in every respect effective service of process upon the Company in any such suit or proceeding. Nothing herein shall affect the right of the Purchaser to serve process in any other manner permitted by law. The Company agrees that a final non-appealable judgment in any such suit or proceeding shall be conclusive and may be enforced in other jurisdictions by suit on such judgment or in any other lawful manner.",governing-law-jurisdiction
