clause_text,clause_type
Governing Law. This Agreement shall be governed by and construed in accordance with the laws of the State of New York.,governing-law
Governing Law. This Agreement shall be governed by and construed in accordance with the laws of the State of California.,governing-law
"Governing Law. THIS AGREEMENT SHALL BE GOVERNED BY, AND CONSTRUED IN ACCORDANCE WITH, THE LAW OF THE STATE OF NEW YORK.",governing-law
Governing Law. THIS AGREEMENT SHALL BE GOVERNED BY AND CONSTRUED IN ACCORDANCE WITH THE LAWS OF THE STATE OF NEW YORK.,governing-law
"Governing Law. THIS SUPPLEMENTAL INDENTURE SHALL BE GOVERNED BY, AND CONSTRUED IN ACCORDANCE WITH, THE LAWS OF THE STATE OF NEW YORK.",governing-law
"Governing Law. This Amendment shall be governed by, and construed in accordance with, the laws of the State of New York.",governing-law
"Governing Law. THIS AGREEMENT SHALL BE GOVERNED BY AND CONSTRUED IN ACCORDANCE WITH THE LAWS OF THE STATE OF NEW YORK, WITHOUT REFERENCE TO ITS CONFLICT OF LAW PROVISIONS (OTHER THAN SECTION 5-1401 OF THE GENERAL OBLIGATIONS LAW), AND THE OBLIGATIONS, RIGHTS AND REMEDIES OF THE PARTIES HEREUNDER SHALL BE DETERMINED IN ACCORDANCE WITH SUCH LAWS.",governing-law
"Governing Law. THIS AGREEMENT SHALL BE CONSTRUED IN ACCORDANCE WITH THE LAWS OF THE STATE OF DELAWARE, WITHOUT REFERENCE TO ITS CONFLICT OF LAW PROVISIONS, AND THE OBLIGATIONS, RIGHTS AND REMEDIES OF THE PARTIES HEREUNDER SHALL BE DETERMINED IN ACCORDANCE WITH SUCH LAWS.",governing-law
"Governing Law. This Agreement shall be governed by, and construed in accordance with, the laws of the State of Delaware, regardless of the laws that might otherwise govern under applicable principles of conflicts of laws thereof.",governing-law
"Governing Law. THIS AGREEMENT SHALL BE CONSTRUED IN ACCORDANCE WITH AND GOVERNED BY THE SUBSTANTIVE LAWS OF THE STATE OF NEW YORK APPLICABLE TO AGREEMENTS MADE AND TO BE PERFORMED IN THE STATE OF NEW YORK AND THE OBLIGATIONS, RIGHTS AND REMEDIES OF THE PARTIES HERETO AND THE CERTIFICATEHOLDERS SHALL BE DETERMINED IN ACCORDANCE WITH SUCH LAWS.",governing-law
"Governing Law. This Agreement shall be construed in accordance with the laws of the State of New York and the obligations, rights and remedies of the parties hereunder shall be determined in accordance with such laws.",governing-law
"Governing Law. This Agreement shall be governed and construed in accordance with the laws of the State of Delaware, without giving effect to the principles of conflicts of law thereof.",governing-law
Governing Law. This Agreement and each Right Certificate issued hereunder shall be deemed to be a contract made under the laws of the State of Delaware and for all purposes shall be governed by and construed in accordance with the laws of such State applicable to contracts to be made and performed entirely within such State.,governing-law
"Governing Law. This Agreement shall be governed by, and construed in accordance with, the laws of the State of Delaware.",governing-law
"Governing Law. THIS AGREEMENT SHALL BE GOVERNED BY AND CONSTRUED IN ACCORDANCE WITH THE LAWS OF THE STATE OF NEW YORK, WITHOUT REGARD TO THE CONFLICT OF LAW RULES THEREOF.",governing-law
Governing Law. This Agreement shall be governed by and construed in accordance with the domestic laws of the State of Delaware without giving effect to any choice or conflict of law provision or rule (whether of the State of Delaware or any other jurisdiction) that would cause the application of the laws of any jurisdiction other than the State of Delaware.,governing-law
"Governing Law. The provisions of this Agreement shall be construed and interpreted in accordance with the laws of the State of New York, or any of the applicable provisions of the Investment Company Act. To the extent that the laws of the State of New York, or any of the provisions in this Agreement, conflict with applicable provisions of the Investment Company Act, the latter shall control.",governing-law
"Governing Law. This Agreement shall be governed by, and construed in accordance with, the laws of the State of New York without giving effect to the conflict of laws principles thereof; provided that nothing herein shall be construed to preempt, or to be inconsistent with, any federal law, regulation or rule, including the Investment Company Act of 1940 and the Investment Advisers Act of 1940 and any rules and regulations promulgated thereunder.",governing-law
"Governing Law. THIS AGREEMENT AND THE RIGHTS AND OBLIGATIONS OF THE PARTIES UNDER THIS AGREEMENT SHALL BE GOVERNED BY, AND CONSTRUED AND INTERPRETED IN ACCORDANCE WITH, THE LAW OF THE STATE OF NEW YORK.",governing-law
Governing Law. This Coordination Agreement shall be governed by and construed in accordance with the laws of the State of New York without regard to the principles of conflicts of laws thereof.,governing-law
"Governing Law. This Agreement shall be construed in accordance with the laws of the State of Ohio and the applicable provisions of the 1940 Act. To the extent that the applicable laws of the State of Ohio, or any of the provisions herein, conflict with the applicable provisions of the 1940 Act, the latter shall control.",governing-law
Governing Law. The Indenture and the Securities shall be governed by and construed in accordance with the laws of the State of New York.,governing-law
Governing Law. This Agreement shall be governed by and construed and enforced in accordance with the laws of the State of Delaware applicable to contracts made and to be performed in such state without giving effect to the principles of conflicts of laws.,governing-law
Governing Law. This Agreement shall be governed by and construed in accordance with the laws of the Province of Ontario and the laws of Canada applicable therein.,governing-law
"Governing Law. All questions concerning the construction, validity, enforcement and interpretation of the Transaction Documents shall be governed by and construed and enforced in accordance with the internal laws of the State of New York, without regard to the principles of conflicts of law thereof. Each party agrees that all legal proceedings concerning the interpretations, enforcement and defense of the transactions contemplated by this Agreement and any other Transaction Documents (whether brought against a party hereto or its respective affiliates, directors, officers, shareholders, partners, members, employees or agents) shall be commenced exclusively in the state and federal courts sitting in the City of New York. Each party hereby irrevocably submits to the exclusive jurisdiction of the state and federal courts sitting in the City of New York, Borough of Manhattan for the adjudication of any dispute hereunder or in connection herewith or with any transaction contemplated hereby or discussed herein (including with respect to the enforcement of any of the Transaction Documents), and hereby irrevocably waives, and agrees not to assert in any action, suit or proceeding, any claim that it is not personally subject to the jurisdiction of any such court, that such suit, action or proceeding is improper or is an inconvenient venue for such proceeding. Each party hereby irrevocably waives personal service of process and consents to process being served in any such suit, action or proceeding by mailing a copy thereof via registered or certified mail or overnight delivery (with evidence of delivery) to such party at the address in effect for notices to it under this Agreement and agrees that such service shall constitute good and sufficient service of process and notice thereof. Nothing contained herein shall be deemed to limit in any way any right to serve process in any other manner permitted by law. If either party shall commence an action or proceeding to enforce any provisions of the Transaction Documents, then, in addition to the obligations of the Company under Article VI, the prevailing party in such action, suit or proceeding shall be reimbursed by the other party for its reasonable attorneys’ fees and other costs and expenses incurred with the investigation, preparation and prosecution of such action or proceeding.",governing-law
"Governing Law. THIS AGREEMENT SHALL BE GOVERNED BY, AND CONSTRUED IN ACCORDANCE WITH, THE LAWS OF THE STATE OF NEW YORK WITHOUT REGARD TO PRINCIPLES OF CONFLICTS OF LAWS.",governing-law
Governing Law. This Agreement shall be governed by and construed in accordance with the laws of the State of Delaware without regard to the principles of conflicts of law thereof.,governing-law
"Governing Law. This Agreement and any claim, controversy or dispute arising under or related to this Agreement shall be governed by and construed in accordance with the laws of the State of New York.",governing-law
"Governing Law. This Agreement shall be construed in accordance with the laws of the State of Colorado (without giving effect to the conflicts of laws principles thereof) and the 1940 Act. To the extent that the applicable laws of the State of Colorado conflict with the applicable provisions of the 1940 Act, the latter shall control.",governing-law
Governing Law. This Agreement shall be governed by and construed in accordance with the laws of the Commonwealth of Massachusetts.,governing-law
Governing Law. This Agreement shall be governed by and construed and enforced in accordance with the laws of the State of Delaware.,governing-law
"Governing Law. THIS INDENTURE SHALL BE CONSTRUED IN ACCORDANCE WITH THE LAWS OF THE STATE OF NEW YORK, WITHOUT REFERENCE TO ITS CONFLICT OF LAW PROVISIONS, AND THE OBLIGATIONS, RIGHTS AND REMEDIES OF THE PARTIES HEREUNDER SHALL BE DETERMINED IN ACCORDANCE WITH SUCH LAWS.",governing-law
Governing Law. This Agreement shall be governed by the laws of the State of California.,governing-law
Governing Law. This Agreement shall be governed by and construed in accordance with the laws of the State of Delaware applicable to contracts made and to be performed entirely within such State.,governing-law
Governing Law. This Agreement shall be governed by and construed in accordance with the laws of the State of New York applicable to agreements made and to be performed in said state.,governing-law
