clause_text,clause_type
"Grant of Security Interest. All Cash Collateral (other than credit support not constituting funds subject to deposit) shall be maintained in blocked, non-interest bearing deposit accounts at Bank of America. The Borrower, and to the extent provided by any Lender, such Lender, hereby grants to (and subjects to the control of) the Administrative Agent, for the benefit of the Administrative Agent, the L/C Issuer and the Lenders (including the Swing Line Lender), and agrees to maintain, a first priority security interest in all such cash, deposit accounts and all balances therein, and all other property so provided as collateral pursuant hereto, and in all proceeds of the foregoing, all as security for the obligations to which such Cash Collateral may be applied pursuant to Section 2.14(c). If at any time the Administrative Agent determines that Cash Collateral is subject to any right or claim of any Person other than the Administrative Agent as herein provided, or that the total amount of such Cash Collateral is less than the applicable Fronting Exposure and other obligations secured thereby, the Borrower or the relevant Defaulting Lender will, promptly upon demand by the Administrative Agent, pay or provide to the Administrative Agent additional Cash Collateral in an amount sufficient to eliminate such deficiency.",grant-of-security-interest
"Grant of Security Interest. The Borrower, and to the extent provided by any Defaulting Lender, such Defaulting Lender, hereby grants to (and subjects to the control of) the Administrative Agent, for the benefit of the Administrative Agent, the L/C Issuer and the Lenders, and agrees to maintain, a first priority security interest in all such cash, deposit accounts and all balances therein, and all other property so provided as collateral pursuant hereto, and in all proceeds of the foregoing, all as security for the obligations to which such Cash Collateral may be applied pursuant to Section 2.15(c). If at any time the Administrative Agent determines that Cash Collateral is subject to any right or claim of any Person other than the Administrative Agent or the L/C Issuer as herein provided, or that the total amount of such Cash Collateral is less than the Minimum Collateral Amount, the Borrower will, promptly upon demand by the Administrative Agent, pay or provide to the Administrative Agent additional Cash Collateral in an amount sufficient to eliminate such deficiency. All Cash Collateral (other than credit support not constituting funds subject to deposit) shall be maintained in blocked, non-interest bearing deposit accounts at Bank of America. The Borrower shall pay on demand therefor from time to time all customary account opening, activity and other administrative fees and charges in connection with the maintenance and disbursement of Cash Collateral.",grant-of-security-interest
"Grant of Security Interest. Each Grantor hereby assigns and transfers to the Administrative Agent, and hereby grants to the Administrative Agent, for the ratable benefit of the Secured Parties, a security interest in, all of the following property now owned or at any time hereafter acquired by such Grantor or in which such Grantor now has or at any time in the future may acquire any right, title or interest (collectively, the “Collateral”), as collateral security for the prompt and complete payment and performance when due (whether at the stated maturity, by acceleration or otherwise) of such Grantor’s Obligations:",grant-of-security-interest
"Grant of Security Interest. The Borrower, and to the extent provided by any Defaulting Lender, such Defaulting Lender, hereby grants to the Administrative Agent, for the benefit of the LC Issuing Banks, and agrees to maintain, a first priority security interest in all such Cash Collateral as security for the Defaulting Lenders’ obligation to fund participations in respect of LC Outstandings, to be applied pursuant to paragraph (ii) below. If at any time the Administrative Agent determines that Cash Collateral is subject to any right or claim of any Person other than the Administrative Agent and the LC Issuing Banks as herein provided, or that the total amount of such Cash Collateral is less than the Minimum Collateral Amount, the Borrower will, promptly upon demand by the Administrative Agent, pay or provide to the Administrative Agent additional Cash Collateral in an amount sufficient to eliminate such deficiency (after giving effect to any Cash Collateral provided by the Defaulting Lender).",grant-of-security-interest
"Grant of Security Interest. It is the express intent of the parties hereto that the conveyance of the Mortgage Loans by the Depositor to the Trustee be, and be construed as, a sale of the Mortgage Loans by the Depositor and not a pledge of the Mortgage Loans by the Depositor to secure a debt or other obligation of the Depositor. However, in the event that, notwithstanding the aforementioned intent of the parties, the Mortgage Loans are held to be property of the Depositor, then, (a) it is the express intent of the parties that such conveyance be deemed a pledge of the Mortgage Loans by the Depositor to the Trustee to secure a debt or other obligation of the Depositor and (b)(1) this Agreement shall also be deemed to be a security agreement within the meaning of Articles 8 and 9 of the Uniform Commercial Code as in effect from time to time in the State of New York; (2) the conveyance provided for in Section 2.01 hereof shall be deemed to be a grant by the Depositor to the Trustee of a security interest in all of the Depositor’s right, title and interest in and to the Mortgage Loans and all amounts payable to the holders of the Mortgage Loans in accordance with the terms thereof and all proceeds of the conversion, voluntary or involuntary, of the foregoing into cash, instruments, securities or other property, including without limitation all amounts, other than investment earnings, from time to time held or invested in the Collection Account and the Distribution Account, whether in the form of cash, instruments, securities or other property; (3) the obligations secured by such security agreement shall be deemed to be all of the Depositor’s obligations under this Agreement, including the obligation to provide to the Certificateholders the benefits of this Agreement relating to the Mortgage Loans and the Trust Fund; and (4) notifications to persons holding such property, and acknowledgments, receipts or confirmations from persons holding such property, shall be deemed notifications to, or acknowledgments, receipts or confirmations from, financial intermediaries, bailees or agents (as applicable) of the Trustee for the purpose of perfecting such security interest under applicable law. Accordingly, the Depositor hereby grants to the Trustee a security interest in the Mortgage Loans and all other property described in clause (2) of the preceding sentence, for the purpose of securing to the Trustee the performance by the Depositor of the obligations described in clause (3) of the preceding s...",grant-of-security-interest
"Grant of Security Interest. In accordance with Section 3(m) of the Security Agreement, to secure the complete and timely payment, performance and discharge in full, as the case may be, of all of the Obligations, the Company hereby, unconditionally and irrevocably, pledges, grants and hypothecates to the Secured Party, a continuing security interest in, a continuing first lien upon, an unqualified right to possession and disposition of and a right of set-off against, in each case to the fullest extent permitted by law, all of the Company's right, title and interest of whatsoever kind and nature in and to the Intellectual Property (the ""Security Interest"").",grant-of-security-interest
"Grant of Security Interest. The Purchaser hereby grants to the Company for the benefit of the Certificateholders under the Pooling and Servicing Agreement a security interest in and lien on all of the Purchaser's right, title and interest, whether now owned or hereafter acquired, in and to: (1) the Collateral Fund, (2) all amounts deposited in the Collateral Fund and Collateral Fund Permitted Investments in which such amounts are invested (and the distributions and proceeds of such investments) and (3) all cash and non-cash proceeds of any of the foregoing, including proceeds of the voluntary conversion thereof (all of the foregoing collectively, the ""Collateral""). The Purchaser acknowledges the lien on and the security interest in the Collateral for the benefit of the Certificateholders. The Purchaser shall take all actions requested by the Company as may be reasonably necessary to perfect the security interest created under this Agreement in the Collateral and cause it to be prior to all other security interests and liens, including the execution and delivery to the Company for filing of appropriate financing statements in accordance with applicable law. The Company shall file appropriate continuation statements, or appoint an agent on its behalf to file such statements, in accordance with applicable law.",grant-of-security-interest
"Grant of Security Interest. Borrower hereby grants Bank, to secure the payment and performance in full of all of the Obligations, a continuing security interest in, and pledges to Bank, the Collateral, wherever located, whether now owned or hereafter acquired or arising, and all proceeds and products thereof. Borrower acknowledges that it previously has entered, and/or may in the future enter, into Bank Services Agreements with Bank. Regardless of the terms of any Bank Services Agreement, Borrower agrees that any amounts Borrower owes Bank thereunder shall be deemed to be Obligations hereunder and that it is the intent of Borrower and Bank to have all such Obligations secured by the first priority perfected security interest in the Collateral granted herein (subject only to Permitted Liens that are permitted pursuant to the terms of this Agreement to have superior priority to Bank’s Lien in this Agreement). If this Agreement is terminated, Bank’s Lien in the Collateral shall continue until the Obligations (other than inchoate indemnity obligations) are repaid in full in cash. Upon payment in full in cash of the Obligations (other than inchoate indemnity obligations) and at such time as Bank’s obligation to make Credit Extensions has terminated, Bank shall, at the sole cost and expense of Borrower, release its Liens in the Collateral and all rights therein shall revert to Borrower. In the event (x) all Obligations (other than inchoate indemnity obligations), except for Bank Services, are satisfied in full, and (y) this Agreement is terminated, Bank shall terminate the security interest granted herein upon Borrower providing cash collateral acceptable to Bank in its good faith business judgment for Bank Services, if any. In the event such Bank Services consist of outstanding Letters of Credit, Borrower shall provide to Bank cash collateral in an amount equal to (x) if such Letters of Credit are denominated in Dollars, then at least one hundred five percent (105.0%); and (y) if such Letters of Credit are denominated in a Foreign Currency, then at least one hundred ten percent (110.0%), of the Dollar Equivalent of the face amount of all such Letters of Credit plus all interest, fees, and costs due or to become due in connection therewith (as estimated by Bank in its business judgment), to secure all of the Obligations relating to such Letters of Credit.",grant-of-security-interest
"Grant of Security Interest. Borrower hereby grants Bank, to secure the payment and performance in full of all of the Obligations, a continuing security interest in, and pledges to Bank, the Collateral, wherever located, whether now owned or hereafter acquired or arising, and all proceeds and products thereof. Borrower represents, warrants, and covenants that the security interest granted herein is and shall at all times continue to be a first priority perfected security interest in the Collateral (subject only to Permitted Liens that may have superior priority to Bank’s Lien under this Agreement). If Borrower shall acquire a commercial tort claim, Borrower shall promptly notify Bank in a writing signed by Borrower of the general details thereof and grant to Bank in such writing a security interest therein and in the proceeds thereof, all upon the terms of this Agreement, with such writing to be in form and substance reasonably satisfactory to Bank. If this Agreement is terminated, Bank’s Lien in the Collateral shall continue until the Obligations (other than inchoate indemnity obligations) are repaid in full in cash. Upon payment in full in cash of the Obligations and at such time as Bank’s obligation to make Credit Extensions has terminated, Bank shall, at Borrower’s sole cost and expense, release its Liens in the Collateral and all rights therein shall revert to Borrower.",grant-of-security-interest
"Grant of Security Interest. Borrower grants and pledges to Bank a continuing security interest in all presently existing and hereafter acquired or arising Collateral in order to secure prompt repayment of any and all Obligations and in order to secure prompt performance by Borrower of each of its covenants and duties under the Loan Documents. Except as set forth in the Schedule, such security interest constitutes a valid, first priority security interest in the presently existing Collateral, and will constitute a valid, first priority security interest in Collateral acquired after the date hereof.",grant-of-security-interest
