clause_text,clause_type
"GRIEVANCE PROCEDURE. 7.01 (a) Should an employee believe that his rights under the agreement have been violated or should a grievance arise between the Authority and the Alliance with respect to the administration or application of the specific terms of this agreement, every effort will be made to resolve the matter as expeditiously as possible in accordance with the following procedures: A grievance shall be taken up in writing with the Regional or Administrative Supervisor concerned, within thirty (30) days of the alleged violation and the Supervisor shall render his decision within five (5) days. If the grievance is not satisfactorily adjusted at Step 1 it may be referred in writing within five (5) days to the CEO who shall render his decision within ten (10) days.",grievance-procedure
GRIEVANCE PROCEDURE. 22.01 The parties to this Agreement recognize the Stewards and the CLAC Representatives specified in Article 4 as the agents through which employees shall process their grievances and receive settlement thereof.,grievance-procedure
"GRIEVANCE PROCEDURE. 7.01 For purposes of this Agreement, a grievance is defined as a difference arising between the parties relating to the interpretation, application, administration or alleged violation of the Agreement including any question as to whether a matter is arbitrable.",grievance-procedure
"GRIEVANCE PROCEDURE. 1201 For purposes of this Agreement ""grievance"" shall mean a dispute between a nurse; or between a group of nurses with a similar grievance; or between the Union and the Employer regarding the application, interpretation or alleged violation of this Agreement. 1202 Unless dismissed or suspended by the Employer a nurse shall continue to work in accordance with this Agreement until such time as the dispute has been resolved. 1203 A nurse may be accompanied by, or represented by, a Union representative at any stage of the grievance procedure. 1204 A nurse or Union representative shall request permission from her/his immediate supervisor to leave her/his duties in order to process grievances; she/he shall report to her/his immediate supervisor upon her/his return; she/he shall be granted this permission when, in the opinion of her/his immediate supervisor, it will not prejudice care or student education or require any staff replacement in either area. She/he shall not suffer loss of salary when engaged in such activities during regular working hours. 1205 Complaint Stage: A nurse shall, within fifteen (15) days of the occurrence of the grievance, attempt to resolve the grievance through discussion with her/his immediate supervisor outside the bargaining unit, and if the matter is not settled to her/his satisfaction the nurse may proceed with the grievance herself/himself or elect to be represented by a Union representative. 1206 Step One: If the dispute is not resolved within the time period specified in 1205 above, the grievor and/or Union representative may, within a further ten (10) days submit the grievance in writing to the Human Resources Consultant or equivalent. The Human Resources Consultant or equivalent shall reply in writing within ten (10) days of receipt of the written grievance. A grievance concerning general application or interpretation of the Agreement, including the question of whether the matter falls within the scope of this Agreement, or which affects a group of nurses in more than one (1) department, may be submitted as Step 1. The Employer agrees to notify the Union in writing when there are changes in personnel in these positions. 1207 Step Two: If the dispute remains unresolved, the Union may within a further ten (10) days submit the grievance in writing to the Human Resources Director or equivalent, and the Human Resources Director or equivalent shall reply in writing within ten (10) days of receipt of the written grievance. The Empl...",grievance-procedure
GRIEVANCE PROCEDURE. The Employer and the Union recognize that grievances may arise concerning:,grievance-procedure
"GRIEVANCE PROCEDURE. 7.100 It is agreed that it is the spirit and intent of this Agreement to adjust grievances promptly. All grievances, including discharge for just cause, but not those pertaining to jurisdictional disputes that may arise on any work covered by this Agreement must be initiated within twenty-one (21) calendar days of the incident by either the employee in Step I or the Local Union in Step II and shall be handled in the following manner: 7.101 Step I Between the aggrieved employee and/or the Craft Steward and the Company supervisor. 7.102 Step II Between the aggrieved employee, the Craft Steward and/or Local Union Business Representative and the Craft Foreperson, the Supervisor and the Project Manager. If settlement is not achieved at this step, the grievance must be presented in writing to the Company and to the International Representative of the Union involved. The Employer shall respond in writing within twenty-one (21) calendar days from the date which the grievance was presented in writing to the Employer. If settlement cannot be reached at this step or if the Employer fails to respond in writing within the time limit specified, the Union may then proceed to the next step of the grievance procedure. 7.103 Step III Between the International Union Representative and the Labour Relations Manager or the highest official of the Company. The carriage and control of any grievance at Step 3 and beyond rests solely with the International Union Representative. 7.104 Step IV By negotiation between a committee of the Unions signatory to this Agreement and senior officials of the Company at a meeting to be held at the place of work or a mutually agreeable location. 7.105 Step V If any dispute or grievance concerning the interpretation, application or violation of this Agreement cannot be settled through the procedure described above within ten (10) working days, the matter may be submitted by a Signatory Union to this Agreement or the Company, to a Board of Arbitration for adjudication. This Board shall consist of three (3) Arbitrators, one appointed by each party to this Agreement and the third, who shall act as Chairperson, to be selected by the two so appointed. The party desiring arbitration shall appoint its Arbitrator and shall give notice in writing to the other party together with a written statement of the question to be arbitrated. In the event that the other party does not appoint its Arbitrator within three days the appointment shall be made by the Minist...",grievance-procedure
"GRIEVANCE PROCEDURE. (a) Should a dispute arise between the Employer and any employee or the Union regarding the interpretation, meaning, operation or application of this Agreement, including any question as to whether a matter is arbitrable, or where an allegation is made that this Agreement has been violated, such dispute shall be settled without interruption of the Employer’s business in the following manner: Step One: An employee shall within ten (10) working days of becoming aware of an occurrence that could become the matter of a grievance, bring the incident to the attention of his immediate supervisor verbally. The immediate supervisor shall respond verbally within five (5) working days of the meeting. Step Two: If the grievance is not resolved at Step One of the grievance procedure, the grievance shall be put in writing and presented to the immediate supervisor. The Operations Manager shall arrange a meeting of both parties to discuss the grievance within ten (10) working days of receiving the grievance and respond to the grievance in writing within five (5) working days of the meeting.",grievance-procedure
"GRIEVANCE PROCEDURE. 8.01 A grievance is defined as an alleged violation of this Agreement or a dispute as to the interpretation or application of any provision of this Agreement. The following procedure will be followed in settlement of such grievance(s): Step One – Supervisor Level • The employee must submit his verbal grievance to his supervisor or his representative, within three (3) working days from the date of the alleged violation of the Agreement. The supervisor shall render a verbal decision to the employee within three (3) working days following this meeting. Step Two – Manager Level • If this employee is still aggrieved, the grievance shall be put in writing stating the nature of the grievance, the applicable paragraph of this Agreement alleged to have been violated, and the remedy sought, and shall be presented by the Committee person to the Department Manager, or his designate, within three (3) working days. The Manager shall meet with the employee within three (3) working days and then shall give his reply in writing to the employee within an additional three (3) working days of this meeting. Step Three – Plant Manager’s Level • If the grievance has not been settled at Step Two, the Plant Chairperson, prior to the expiration of five (5) days after receipt of the Manager’s written answer, may request a meeting with the Department Manager. A mutually satisfactory date will be established for the Plant Manager or his representative to meet. At the time the grievance is presented to the Plant Manager or his representative, a representative from the National office of the Union and/or a representative of the local may be present, if requested by the Union or the Company. The company’s answer shall be given to the Union, in writing within five (5) working days following this meeting.",grievance-procedure
"GRIEVANCE PROCEDURE. 9.01 It is the mutual desire of the Parties hereto that any complaint or cause for dissatisfaction arising between an employee and the Employer with respect to the application, interpretation or alleged violation of this Agreement shall be adjusted as quickly as possible.",grievance-procedure
GRIEVANCE PROCEDURE. Section 1,grievance-procedure
GRIEVANCE PROCEDURE. Section 1.,grievance-procedure
GRIEVANCE PROCEDURE. 21.01 The parties to this Agreement are agreed that it is of the utmost importance to address and resolve grievances as quickly as possible.,grievance-procedure
GRIEVANCE PROCEDURE. The Employer and the Union agree that disputes arising from:,grievance-procedure
"GRIEVANCE PROCEDURE. 9.01 It is the mutual desire of the Parties hereto that complaints of employees shall be adjusted as quickly as possible and it is understood that an Employee or the Union on their behalf, has no grievance until the employee’s immediate supervisor has been given an opportunity to adjust the complaint. If an employee has a complaint s/he shall discuss it with her/his immediate supervisor within fifteen (15) days after the employee would reasonably be expected to have become aware of the circumstances giving rise to the complaint. The immediate supervisor shall be allowed seven (7) days to communicate her/his answer to the complainant. Failing settlement, it may then be taken up as a grievance. In the case of a job competition grievance, it is understood that the appropriate supervisor will be the recruiting supervisor. A grievance is defined as a complaint with respect to the application, interpretation, administration or alleged violation of this Agreement. At any stage of the grievance procedure (including the verbal complaint stage) the grievor may be accompanied by a Union representative, who may be an employee of the University. Within seven (7) days of the supervisor’s decision the employee or the Union may present the alleged grievance in writing, on a form agreed to by the University and the Union, to her/his supervisor’s supervisor. Each written grievance shall be signed by the grievor or the Union and shall include:",grievance-procedure
"GRIEVANCE PROCEDURE. 18.01 In cases of alleged misinterpretation or misapplication arising out of Agreements concluded by the National Joint Council of the Public Service on items which may be included in a Collective Agreement and which the parties to this Agreement have endorsed, the grievance procedure will be in accordance with Section 15 of the NJC by-laws. Individual Grievances",grievance-procedure
GRIEVANCE PROCEDURE. 15:1 A grievance is hereby defined as a claim of a violation of any specific provisions of this Agreement. No grievance shall be considered unless it has first been presented within fifteen (15) working days of the alleged occurrence or the date the employee or Union should have reasonably become aware of the incident which is the basis for the grievance. Grievances will be considered and adjusted by conference as follows:,grievance-procedure
"GRIEVANCE PROCEDURE. A. The purpose of this procedure is to secure, at the lowest possible level, an equitable solution to the problems which may arise affecting the terms and conditions of employment under this Agreement.",grievance-procedure
"GRIEVANCE PROCEDURE. CONTRACTOR agrees to provide a system through which recipients of service shall have the opportunity to express and have considered their views, grievances and complaints regarding the delivery of services. This system shall include notification to the recipients of their right to a state hearing.",grievance-procedure
GRIEVANCE PROCEDURE. A. A grievance shall be an alleged violation of the expressed terms of this Contract. The following matters shall not be the basis of any grievance filed under the procedure outlined in this article:,grievance-procedure
"GRIEVANCE PROCEDURE. The following procedure shall be used for the resolution of differences referred to in Article 9.01, other than for the suspension or dismissal of employees: Within fourteen (14) calendar days of when the employee first becomes aware of the matter giving rise to the difference, the employee with or without the steward (at the employee's choice) shall discuss the difference in a meeting with the immediate supervisor. Where the immediate supervisor is also the Step 2 designate, this stage may be eliminated. If the difference is not satisfactorily settled under Step 1 then, within fourteen (14) calendar days after the completion of Step 1, the employee with a steward shall meet with the representative designated by the Employer with the authority to handle grievances at Step 2 to discuss and submit the grievance in writing. Within a further seven (7) calendar days of receipt of the written grievance, the representative designated by the Employer shall give a written response to the employee and the steward. Should the grievance be denied, written explanations shall be given. If the grievance is not satisfactorily settled under Step 2, then the steward shall notify the Union within seven (7) calendar days of receipt of the written response to the grievance. Where the Union submits the written grievance, Step 1 shall be eliminated and the Union shall be substituted for the employee in Step 2. The Union shall, within a further fourteen (14) calendar days of this notification, discuss the grievance with the representative designated by the Employer with the authority to handle grievances at Step 3 (who shall be outside the bargaining unit). Within a further seven (7) calendar days of the Step 3 meeting, the representative designated by the Employer shall respond in writing to the Union. Should the grievance be denied, written reasons for denial shall be given. Failing settlement at this step, the grievance may be referred to Industry Troubleshooter and/or arbitration within ninety (90) calendar days from the date of written response to the Union.",grievance-procedure
"GRIEVANCE PROCEDURE. (a) Any complaint, disagreement or difference of opinion between the parties hereto concerning the interpretation, application, operation or any alleged violation of the terms and provisions of this Agreement shall be considered a grievance. Grievances shall be presented in writing and shall clearly set forth the grievance and the contentions of the aggrieved party, following which the Union representative or representatives and the Employer representative or representatives shall meet and in good faith shall earnestly endeavour to settle the grievance submitted. If a satisfactory settlement cannot be reached or if the party on whom the grievance has been served fails to meet the other party within fourteen (14) days of receiving the written grievance, either party may, by written notice served upon the other, require submission of the grievance to a Board of Arbitration, such Board to be established in the manner provided in Section 19 of this Agreement.",grievance-procedure
