clause_text,clause_type
"Guarantee. The Guarantor irrevocably and unconditionally agrees to pay in full to the Holders the Guarantee Payments (without duplication of amounts theretofore paid by the Issuer), as and when due, regardless of any defense, right of set-off or counterclaim that the Issuer may have or assert. The Guarantor's obligation to make a Guarantee Payment may be satisfied by direct payment of the required amounts by the Guarantor to the Holders or by causing the Issuer to pay such amounts to the Holders.",guarantee
"Guarantee. (a) Subject to this Article 10, each of the Guarantors hereby, jointly and severally, unconditionally guarantees to each Holder of a Note authenticated and delivered by the Trustee and to the Trustee and its successors and assigns, irrespective of the validity and enforceability of this Indenture, the Notes or the obligations of the Company hereunder or thereunder, that:",guarantee
"Guarantee. (a) Each of the Guarantors hereby, jointly and severally, unconditionally and irrevocably, guarantees to the Administrative Agent, for the ratable benefit of the Secured Parties and their respective successors, indorsees, transferees and assigns, the prompt and complete payment and performance by the Borrower when due (whether at the stated maturity, by acceleration or otherwise) of the Borrower Obligations.",guarantee
"Guarantee. The Guaranteeing Subsidiary agrees, on a joint and several basis with all the existing Guarantors, to fully, unconditionally and irrevocably Guarantee to each Holder of the Notes and the Trustee the Guaranteed Obligations pursuant to Article X of the Indenture on a senior basis.",guarantee
"Guarantee. Each Guarantor unconditionally guarantees, jointly with the other Guarantors and severally, as a primary obligor and not merely as a surety, the due and punctual payment and performance of the Obligations. Each of the Guarantors further agrees that the Obligations may be extended or renewed, in whole or in part, without notice to or further assent from it, and that it will remain bound upon its guarantee notwithstanding any extension or renewal of any Obligation. Each of the Guarantors waives presentment to, demand of payment from and protest to the Borrower or any other Loan Party of any of the Obligations, and also waives notice of acceptance of its guarantee and notice of protest for nonpayment.",guarantee
"Guarantee. Each Guarantor hereby unconditionally and irrevocably guarantees on a senior unsecured basis, jointly and severally, to each Holder and to the Trustee and its successors and assigns (a) the full and prompt payment (within applicable grace periods) of principal of and interest on the Securities when due, whether at maturity, by acceleration, by redemption or otherwise, and all other monetary obligations of the Company under this Indenture and the Securities and (b) the full and prompt performance within applicable grace periods of all other obligations of the Company under this Indenture and the Securities (all the foregoing being hereinafter collectively called the “Guaranty Obligations”). Each Guarantor further agrees that the Guaranty Obligations may be extended or renewed, in whole or in part, without notice or further assent from such Guarantor, and that such Guarantor shall remain bound under this Article XIII notwithstanding any extension or renewal of any Guaranty Obligation. To the extent that any Subsidiary Guarantor shall be required to pay any amounts on account of the Securities pursuant to a Guarantee in excess of an amount calculated as the product of (i) the aggregate amount payable by the Subsidiary Guarantors on account of the Securities pursuant to their respective Guarantees times (ii) the proportion (expressed as a fraction) that such Subsidiary Guarantor’s net assets (determined in accordance with GAAP) at the date enforcement of the Subsidiary Guarantees is sought bears to the aggregate net assets (determined in accordance with GAAP) of all Subsidiary Guarantors at such date, then such Subsidiary Guarantor shall be reimbursed by the other Subsidiary Guarantors for the amount of such excess, pro rata, based upon the respective net assets (determined in accordance with GAAP) of such other Subsidiary Guarantors at the date enforcement of the Subsidiary Guarantees is sought. This paragraph is intended only to define the relative rights of Subsidiary Guarantors as among themselves, and nothing set forth in this paragraph is intended to or shall impair the joint and several obligations of the Subsidiary Guarantors under their respective Subsidiary Guarantees. The Guarantors shall have the right to seek contribution from any non-paying Guarantor so long as the exercise of such right does not impair the rights of the Holders under any Guarantee; provided, however, that if a Default has occurred and is continuing, the right to receive payment ...",guarantee
"Guarantee. (a) Subject to this Article Ten, each of the Guarantors hereby, jointly and severally, fully and unconditionally, guarantees, on a senior unsecured basis, to each Holder of a Note authenticated and delivered by the Trustee and to the Trustee and its successors and assigns, irrespective of the validity and enforceability of this Indenture, the Notes or the obligations of the Company hereunder or thereunder, that: (i) the principal of, premium, if any, and interest on the Notes will be promptly paid in full when due, whether at Stated Maturity, by acceleration, redemption or otherwise, and interest on the overdue principal of, premium, if any, and interest on the Notes, if any, if lawful (subject in all cases to any applicable grace period provided herein), and all other monetary Obligations of the Company to the Holders or the Trustee hereunder or thereunder will be promptly paid in full or performed, all in accordance with the terms hereof and thereof; and (ii) in case of any extension of time of payment or renewal of any Notes or any of such other Obligations, that same will be promptly paid in full when due or performed in accordance with the terms of the extension or renewal, whether at stated maturity, by acceleration or otherwise. Failing payment when due of any amount so guaranteed or any performance so guaranteed for whatever reason, the Guarantors shall be jointly and severally obligated to pay the same immediately. Each Guarantor agrees that this is a guarantee of payment and not a guarantee of collection.",guarantee
"Guarantee. The Guarantor hereby fully, unconditionally and irrevocably guarantees, as primary obligor and not merely as surety, to each Holder of the Notes and the Trustee the full and punctual payment when due, whether at maturity, by acceleration, by redemption or otherwise, of the principal of and premium, if any, and interest on the Notes and all other obligations of the Company under this Indenture, including, without limitation, the obligations of the Company under Section 7.07 hereof (all the foregoing being hereinafter collectively called the “Obligations”). The Guarantor further agrees (to the extent permitted by law) that the Obligations may be extended or renewed, in whole or in part, without notice or further assent from it, and that it will remain bound under this Article 10 notwithstanding any extension or renewal of any Obligation. The Guarantor waives presentation to, demand of payment from and protest to the Company of any of the Obligations and also waives notice of protest for nonpayment. The Guarantor waives notice of any default under the Notes or the Obligations. The obligations of the Guarantor hereunder shall not be affected by (a) the failure of the Trustee or any Holder to assert any claim or demand or to enforce any right or remedy against the Company or any other person under this Indenture, the Notes or any other agreement or otherwise; (b) any extension or renewal of any thereof; (c) any rescission, waiver, amendment or modification of any of the terms or provisions of this Indenture, the Notes or any other agreement; (d) the release of any security held by any Holder or the Trustee for the Obligations or any of them; or (e) any change in the ownership of the Company. The Guarantor further agrees that the Guarantee herein constitutes a guarantee of payment when due (and not a guarantee of collection) and waives any right to require that any resort be had by any Holder or the Trustee to any security held for payment of the Obligations. The obligations of the Guarantor hereunder shall not be subject to any reduction, limitation, impairment or termination for any reason (other than payment of the Obligations in full), including any claim of waiver, release, surrender, alteration or compromise, and shall not be subject to any defense of setoff, counterclaim, recoupment or termination whatsoever or by reason of the invalidity, illegality or unenforceability of the Obligations or otherwise. Without limiting the generality of the foregoing, the...",guarantee
"Guarantee. Subject to this Article Ten, each of the Subsidiary Guarantors hereby, jointly and severally, unconditionally guarantees to each Holder of a Note authenticated and delivered by the Trustee and to the Trustee and its successors and assigns, irrespective of the validity and enforceability of this Indenture, the Notes or the obligations of the Issuer hereunder or thereunder, that: (a) the principal of and interest on the Notes will be promptly paid in full when due, whether at maturity, by acceleration, redemption or otherwise, and interest on the overdue principal of and interest on the Notes, if any, if lawful, and all other obligations of the Issuer to the Holders or the Trustee hereunder or thereunder will be promptly paid in full or performed, all in accordance with the terms hereof and thereof; and (b) in case of any extension of time of payment or renewal of any Notes or any of such other obligations, that same will be promptly paid in full when due or performed in accordance with the terms of the extension or renewal, whether at stated maturity, by acceleration or otherwise. Failing payment when due of any amount so guaranteed or any performance so guaranteed for whatever reason, the Subsidiary Guarantors shall be jointly and severally obligated to pay the same immediately. Each Subsidiary Guarantor agrees that this is a guarantee of payment and not a guarantee of collection. The Subsidiary Guarantors hereby agree that their obligations hereunder shall be unconditional, irrespective of the validity, regularity or enforceability of the Notes or this Indenture, the absence of any action to enforce the same, any waiver or consent by any Holder of the Notes with respect to any provisions hereof or thereof, the recovery of any judgment against the Issuer, any action to enforce the same or any other circumstance which might otherwise constitute a legal or equitable discharge or defense of a guarantor. Each Subsidiary Guarantor hereby waives, to the extent permitted by applicable law, diligence, presentment, demand of payment, filing of claims with a court in the event of insolvency or bankruptcy of the Issuer, any right to require a proceeding first against the Issuer, protest, notice and all demands whatsoever and covenant that this Note Guarantee shall not be discharged except by complete performance of the obligations contained in the Notes and this Indenture. If any Holder or the Trustee is required by any court or otherwise to return to the Issuer, the...",guarantee
"Guarantee. (a) The Guarantor hereby fully, irrevocably, absolutely and unconditionally guarantees, as a guarantee of payment and not merely as a guarantee of collection, immediate payment when due to the Trust any payments required to be made by Principal Life to the Trust under the Funding Agreement which shall become due and payable regardless of whether such payment is due at maturity, on an interest payment date or as a result of redemption or otherwise (the “Scheduled Payments”) but shall be unpaid by Principal Life (the “Guaranteed Amounts”). Notwithstanding anything to the contrary contained herein, in no event shall the Guaranteed Amounts exceed the Deposit (as defined in the Funding Agreement) of the Funding Agreement, plus accrued but unpaid interest and any other amounts due and owing under the Funding Agreement, less any amounts paid by Principal Life to the Trust.",guarantee
