clause_text,clause_type
"Guaranty. Each Loan Guarantor (other than those that have delivered a separate Guaranty) hereby agrees that it is jointly and severally liable for, and, as a primary obligor and not merely as surety, absolutely, unconditionally and irrevocably guarantees to the Secured Parties, the prompt payment when due, whether at stated maturity, upon acceleration or otherwise, and at all times thereafter, of the Secured Obligations and all costs and expenses including, without limitation, all court costs and reasonable attorneys’ and paralegals’ fees (including allocated costs of in-house counsel and paralegals) and expenses paid or incurred by the Administrative Agent, the Issuing Bank and the Lenders in endeavoring to collect all or any part of the Secured Obligations from, or in prosecuting any action against, the Borrower, any Loan Guarantor or any other guarantor of all or any part of the Secured Obligations (such costs and expenses, together with the Secured Obligations, collectively the “Guaranteed Obligations”); provided, however, that the definition of “Guaranteed Obligations” shall not create any guarantee by any Loan Guarantor of (or grant of security interest by any Loan Guarantor to support, as applicable) any Excluded Swap Obligations of such Loan Guarantor for purposes of determining any obligations of any Loan Guarantor). Each Loan Guarantor further agrees that the Guaranteed Obligations may be extended or renewed in whole or in part without notice to or further assent from it, and that it remains bound upon its guarantee notwithstanding any such extension or renewal. All terms of this Loan Guaranty apply to and may be enforced by or on behalf of any domestic or foreign branch or Affiliate of any Lender that extended any portion of the Guaranteed Obligations.",guaranty
"Guaranty. (a) The Guarantor hereby unconditionally and irrevocably guarantees the full and punctual payment when due, as a guaranty of payment and not of collection, whether at the Stated Maturity, or earlier or later by acceleration or otherwise, of all obligations of the Issuer now or hereafter existing under the Indenture and the Notes, whether for principal, interest, make-whole premium, Additional Amounts, fees, indemnities, costs, expenses or otherwise (such obligations being the “Guaranteed Obligations”), and the Guarantor agrees to pay any and all expenses (including reasonable and documented counsel fees and expenses) incurred by the Trustee or any Noteholder in enforcing any rights under this Guaranty with respect to such Guaranteed Obligations. Without limiting the generality of the foregoing, the Guarantor’s liability shall extend to all amounts that constitute part of the Guaranteed Obligations and would be owed by the Issuer to the Trustee or any Noteholder under the Indenture and the Notes but for the fact that they are unenforceable or not allowable due to the existence of a bankruptcy, insolvency, reorganization or similar proceeding involving the Issuer.",guaranty
"Guaranty. The word ""Guaranty"" means the guaranty from Guarantor to Lender, including without limitation a guaranty of all or part of the Note.",guaranty
"Guaranty. Each Guarantor hereby absolutely and unconditionally, jointly and severally guarantees, as primary obligor and as a guaranty of payment and performance and not merely as a guaranty of collection, prompt payment when due, whether at stated maturity, by required prepayment, upon acceleration, demand or otherwise, and at all times thereafter, of any and all Secured Obligations (for each Guarantor, subject to the proviso in this sentence, its “Guaranteed Obligations”); provided that (a) the Guaranteed Obligations of a Guarantor shall exclude any Excluded Swap Obligations with respect to such Guarantor and (b) the liability of each Guarantor individually with respect to this Guaranty shall be limited to an aggregate amount equal to the largest amount that would not render its obligations hereunder subject to avoidance under Section 548 of the Bankruptcy Code of the United States or any comparable provisions of any applicable state law. Without limiting the generality of the foregoing, the Guaranteed Obligations shall include any such indebtedness, obligations, and liabilities, or portion thereof, which may be or hereafter become unenforceable or compromised or shall be an allowed or disallowed claim under any proceeding or case commenced by or against any Debtor under any Debtor Relief Laws. The Administrative Agent’s books and records showing the amount of the Obligations shall be admissible in evidence in any action or proceeding, and shall be binding upon each Guarantor, and conclusive for the purpose of establishing the amount of the Secured Obligations. This Guaranty shall not be affected by the genuineness, validity, regularity or enforceability of the Secured Obligations or any instrument or agreement evidencing any Secured Obligations, or by the existence, validity, enforceability, perfection, non-perfection or extent of any collateral therefor, or by any fact or circumstance relating to the Secured Obligations which might otherwise constitute a defense to the obligations of the Guarantors, or any of them, under this Guaranty, and each Guarantor hereby irrevocably waives any defenses it may now have or hereafter acquire in any way relating to any or all of the foregoing.",guaranty
"Guaranty. Each of the Guarantors hereby, jointly and severally, absolutely and unconditionally guarantees, as a guaranty of payment and performance and not merely as a guaranty of collection, prompt payment when due, whether at stated maturity, by required prepayment, upon acceleration, demand or otherwise, and at all times thereafter, of any and all of the Obligations, whether for principal, interest, premiums, fees, indemnities, damages, costs, expenses or otherwise, of the Company to the Secured Parties, arising hereunder and under the other Loan Documents (including all renewals, extensions, amendments, refinancings and other modifications thereof and all costs, attorneys’ fees and expenses incurred by the Secured Parties in connection with the collection or enforcement thereof). The Administrative Agent’s books and records showing the amount of the Obligations shall be admissible in evidence in any action or proceeding, and shall be binding upon each Guarantor, and conclusive for the purpose of establishing the amount of the Obligations, absent manifest error. This Guaranty shall not be affected by the genuineness, validity, regularity or enforceability of the Obligations or any instrument or agreement evidencing any Obligations, or by the existence, validity, enforceability, perfection, non-perfection or extent of any collateral therefor, or by any fact or circumstance relating to the Obligations which might otherwise constitute a defense to the obligations of any Guarantor under this Guaranty, and each Guarantor hereby irrevocably waives any defenses it may now have or hereafter acquire in any way relating to any or all of the foregoing.",guaranty
"Guaranty. The Company hereby absolutely, unconditionally and irrevocably guarantees the punctual payment when due, whether at scheduled maturity or on any date of a required prepayment or by acceleration, demand or otherwise, of all Obligations of each Designated Borrower now or hereafter existing under or in respect of the Loan Documents (including, without limitation, any extensions, modifications, substitutions, amendments or renewals of any or all of the foregoing Obligations), whether direct or indirect, absolute or contingent, and whether for principal, interest, premiums, fees, indemnities, contract causes of action, costs, expenses or otherwise (such Obligations being the “Guaranteed Obligations”), and agrees to pay any and all expenses (including, without limitation, Attorney Costs) incurred by the Administrative Agent or any other Lender Party in enforcing any rights under this Company Guaranty or any other Loan Document. Without limiting the generality of the foregoing, the Company’s liability shall extend to all amounts that constitute part of the Guaranteed Obligations and would be owed by any Designated Borrower to any Lender Party under or in respect of the Loan Documents but for the fact that they are unenforceable or not allowable due to the existence of a bankruptcy, reorganization or similar proceeding under any Debtor Relief Law involving such Designated Borrower.",guaranty
"Guaranty. For good and valuable consideration, the receipt and sufficiency of which is hereby acknowledged, subject to Section 10.9 hereof, each Guarantor, jointly and severally, hereby unconditionally guarantees (such guarantees, together with further guarantees granted from time to time pursuant to Section 10.12, being the ""Guaranty"") to each Holder, the Trustee and the Collateral Agent, irrespective of the validity or enforceability of this Indenture, the Notes, the Security Documents or the Obligations hereunder or thereunder: (i) the due and punctual payment of the principal and premium, if any, of, and interest on, the Notes (including, without limitation, interest after the filing of a petition initiating any proceedings referred to in clause (9) or (10) of Section 6.1 hereof), whether at maturity or on an interest payment date, by acceleration, call for redemption or otherwise; (ii) the due and punctual payment of interest on the overdue principal and premium, if any, of, and interest on, the Notes, if lawful; (iii) the due and punctual payment and performance of all other Obligations, all in accordance with the terms set forth herein and in the Notes and the Security Documents; and (iv) in case of any extension of time of payment or renewal of any Notes or any of such other Obligations, the due and punctual payment or performance thereof in accordance with the terms of the extension or renewal, whether at stated maturity, by acceleration or otherwise. Failing payment when due by the Company of any amount so guaranteed for whatever reason, the Guarantors shall be jointly and severally obligated to pay the same immediately. Each Guarantor hereby agrees that (i) its obligations hereunder shall be unconditional, irrespective of the validity, regularity or enforceability of the Notes, this Indenture, the Security Documents or the Obligations hereunder or thereunder, the absence of any action to enforce the same, any waiver or consent by any Holder with respect to any provisions hereof or thereof, any releases of Collateral, any amendment of the Indenture, the Notes or Security Documents, any delays in obtaining or realizing upon or failures to obtain or realize upon Collateral, the recovery of any judgment against the Company or any of its Subsidiaries, any action to enforce the same, or any other circumstance that might otherwise constitute a legal or equitable discharge or defense of a guarantor and (ii) this Guaranty will not be discharged except by complete ...",guaranty
"Guaranty. (a) Any guaranty of any Obligations terminates or ceases for any reason to be in full force and effect; (b) any Guarantor does not perform any obligation or covenant under any guaranty of the Obligations; (c) any circumstance described in Sections 8.3, 8.4, 8.5, 8.6, 8.7, or 8.8 of this Agreement occurs with respect to any Guarantor, (d) the death, liquidation, winding up, or termination of existence of any Guarantor; or (e) (i) a material impairment in the perfection or priority of Bank’s Lien in the collateral provided by Guarantor or in the value of such collateral or (ii) a material adverse change in the general affairs, management, results of operation, condition (financial or otherwise) or the prospect of repayment of the Obligations occurs with respect to any Guarantor; or",guaranty
"Guaranty. Each Guarantor hereby absolutely, irrevocably and unconditionally guaranties the due and punctual payment and performance when due, whether at stated maturity, by acceleration or otherwise, of all of the following (collectively referred to as the “Guarantied Obligations”): (a) all indebtedness and obligations owing by the Borrower to any Lender, the Swingline Lender or the Agent under or in connection with the Credit Agreement and any other Loan Document, including without limitation, the repayment of all principal of the Revolving Loans, Swingline Loans and the Reimbursement Obligations, and the payment of all interest, Fees, charges, attorneys’ fees and other amounts payable to any Lender or the Agent thereunder or in connection therewith; (b) any and all extensions, renewals, modifications, amendments or substitutions of the foregoing; (c) all expenses, including, without limitation, reasonable attorneys’ fees and disbursements, that are incurred by the Lenders and the Agent in the enforcement of any of the foregoing or any obligation of such Guarantor hereunder; and (d) all other Obligations.",guaranty
"Guaranty. The Guarantor hereby absolutely and unconditionally guarantees, as a guaranty of payment and performance and not merely as a guaranty of collection, prompt payment when due, whether at stated maturity, by required prepayment, upon acceleration, demand or otherwise, and at all times thereafter, of any and all existing and future indebtedness and liabilities of every kind, nature and character, direct or indirect, absolute or contingent, liquidated or unliquidated, voluntary or involuntary and whether for principal, interest, premiums, fees indemnities, damages, costs, expenses or otherwise, of the Borrower to the Agent and/or Lenders (collectively, the Agent and Lenders shall be referred to herein as the “Secured Parties”) arising under the Credit Agreement, the Loan Documents, Sections 2, 10 and 17 of this Guaranty, any other instruments, agreements or other documents of any kind or nature now or hereafter executed in connection with the Credit Agreement (including all renewals, extensions, amendments, refinancings and other modifications thereof and all costs, reasonable attorneys’ fees and expenses incurred by the Agent in connection with the collection or enforcement thereof) and whether recovery upon such indebtedness and liabilities may be or hereafter become unenforceable or shall be an allowed or disallowed claim under any proceeding or case commenced by or against the Guarantor or the Borrower under the Bankruptcy Code (Title 11, United States Code), any successor statute or any other liquidation, conservatorship, bankruptcy, assignment for the benefit of creditors, moratorium, rearrangement, receivership, insolvency, reorganization, or similar debtor relief laws of the United States or other applicable jurisdictions from time to time in effect and affecting the rights of creditors generally (collectively, “Debtor Relief Laws”), and including interest that accrues after the commencement by or against the Borrower of any proceeding under any Debtor Relief Laws (collectively, the “Guaranteed Obligations”). The Agent’s and/or Lenders’ books and records showing the amount of the Guaranteed Obligations shall be admissible in evidence in any action or proceeding, and absent manifest error shall be binding upon the Guarantor and conclusive for the purpose of establishing the amount of the Guaranteed Obligations. This Guaranty shall not be affected by the regularity or enforceability of the Guaranteed Obligations or any instrument or agreement evidencing a...",guaranty
