clause_text,clause_type
Headings. The headings in this Agreement are for convenience of reference only and shall not limit or otherwise affect the meaning hereof.,headings
Headings. The headings contained in this Agreement are for reference purposes only and shall not affect in any way the meaning or interpretation of this Agreement.,headings
"Headings. Article and Section headings and the Table of Contents used herein are for convenience of reference only, are not part of this Agreement and shall not affect the construction of, or be taken into consideration in interpreting, this Agreement.",headings
"Headings. The headings herein are for convenience only, do not constitute a part of this Agreement and shall not be deemed to limit or affect any of the provisions hereof.",headings
Headings. The headings of the various Articles and Sections herein are for convenience of reference only and shall not define or limit any of the terms or provisions hereof.,headings
Headings. The section headings contained in this Agreement are inserted for convenience only and shall not affect in any way the meaning or interpretation of this Agreement.,headings
"Headings. The headings of this Agreement are for convenience of reference and shall not form part of, or affect the interpretation of, this Agreement.",headings
Headings. The headings of the sections of this Agreement have been inserted for convenience of reference only and shall not be deemed a part of this Agreement.,headings
Headings. The headings of the paragraphs of this Agreement are inserted for convenience only and shall not be deemed to constitute part of this Agreement or to affect the construction thereof.,headings
Headings. Section headings in this Amendment are included herein for convenience of reference only and shall not constitute a part of this Amendment for any other purpose.,headings
Headings. The section headings used herein are for convenience only and shall not affect the construction hereof.,headings
Headings. Section and subsection headings in this Agreement are included herein for convenience of reference only and shall not constitute a part of this Agreement for any other purpose or be given any substantive effect.,headings
Headings. The headings in this Agreement are for reference only and shall not affect the interpretation of this Agreement.,headings
"Headings. The headings contained herein are for the sole purpose of convenience of reference, and shall not in any way limit or affect the meaning or interpretation of any of the terms or provisions of this Agreement.",headings
Headings. The headings of sections in this Agreement are for convenience of reference only and shall not affect the meaning or construction of any provision of this Agreement.,headings
Headings. The descriptive headings of the several Articles and Sections of this Agreement are inserted for convenience only and shall not control or affect the meaning or construction of any of the provisions hereof.,headings
"Headings. The headings used in this Warrant are for the convenience of reference only and shall not, for any purpose, be deemed a part of this Warrant.",headings
"Headings. The section headings hereof have been inserted for convenience of reference only and shall not be construed to affect the meaning, construction or effect of this Agreement.",headings
Headings. The headings used in this Agreement are for convenience of reference only and are not to affect the construction of or to be taken into consideration in interpreting this Agreement.,headings
Headings. The headings of the sections contained in this Agreement are for convenience only and shall not be deemed to control or affect the meaning or construction of any provision of this Agreement.,headings
"Headings. The headings herein are inserted for convenience of reference only and are not intended to be part of, or to affect the meaning or interpretation of, this Agreement.",headings
