clause_text,clause_type
"Holidays. Whenever payment of a Loan to be made or taken hereunder shall be due on a day which is not a Business Day such payment shall be due on the next Business Day (except as provided in Section 4.2 [Interest Periods]) and such extension of time shall be included in computing interest and fees, except that the Loans shall be due on the Business Day preceding the Expiration Date if the Expiration Date is not a Business Day. Whenever any payment or action to be made or taken hereunder (other than payment of the Loans) shall be stated to be due on a day which is not a Business Day, such payment or action shall be made or taken on the next following Business Day, and such extension of time shall not be included in computing interest or fees, if any, in connection with such payment or action.",holidays
"Holidays. Whenever any payment or action to be made or taken hereunder or under any other Loan Document shall be stated to be due on a day which is not a Business Day, such payment or action shall be made or taken on the next following Business Day and such extension of time shall be included in computing interest or fees, if any, in connection with such payment or action.",holidays
Holidays. Section 1.,holidays
"Holidays. If the day provided herein for the payment of any amount or the taking of any action falls on a Saturday, Sunday or public holiday at the place for payment or action, then the due date for such payment or action will be the next succeeding Business Day.",holidays
Holidays. Section 1,holidays
"Holidays. The Executive will be entitled to at least nine (9) paid holidays each calendar year and twelve (12) personal days. The Company will notify the Executive on or about the beginning of each calendar year with respect to the holiday schedule for the coming year. Personal holidays, if any, will be scheduled in advance subject to the requirements of the Company. Such holidays must be taken during the calendar year and unused days shall not carry forward into the next year.",holidays
"Holidays. Except as required by laws and regulations governing investment companies, nothing contained in this Agreement is intended to or shall require CFS, in any capacity hereunder, to perform any functions or duties on any holiday or other day of special observance on which CFS is closed. Functions or duties normally scheduled to be performed on such days shall be performed on, and as of, the next business day on which both the Trust and CFS are open. CFS will be open for business on days when the Trust is open for business and/or as otherwise set forth in each Fund’s prospectus(es) and Statement(s) of Additional Information.",holidays
"Holidays. A. Full-time and part-time employees shall be entitled to such observed holidays with pay as provided below, in addition to any official State holidays declared by the Governor.",holidays
"Holidays. If the date for making any payment or the last date for performance of any act or the exercising of any right, as provided in this Indenture, shall not be a Business Day, such payment may, unless otherwise provided in this Indenture or the Agreement, be made or act performed or right exercised on the next succeeding Business Day with the same force and effect as if done on the nominal date provided in this Indenture, and no interest shall accrue for the period after such nominal date.",holidays
"Holidays. 1. EMPLOYEE shall receive the following paid legal holidays: New Year’s Day January 1 Birthday of Martin Luther King, Jr. 3rd Monday in January Washington’s Birthday 3rd Monday in February Memorial Day Last Monday in May Independence Day July 4 Labor Day 1st Monday in September Nevada Day Last Friday in October Veteran’s Day November 11 Thanksgiving Day 4th Thursday in November Family Day Friday after Thanksgiving Day Christmas Day December 25",holidays
