clause_text,clause_type
IN WITNESS WHEREOF the parties hereto have caused this Agreement to be duly executed by their respective authorized officers as of the day and year first above written.,in-witness-whereof
IN WITNESS WHEREOF the parties hereto have executed this Agreement as of the day and year first above written.,in-witness-whereof
IN WITNESS WHEREOF the parties have executed this Agreement as of the date first written above.,in-witness-whereof
IN WITNESS WHEREOF the parties hereto have caused this Indenture to be duly executed as of the day and year first above written.,in-witness-whereof
IN WITNESS WHEREOF the parties hereto have caused this Agreement to be duly executed as of the date first above written.,in-witness-whereof
IN WITNESS WHEREOF the parties hereto have caused this Supplemental Indenture to be duly executed as of the date first above written.,in-witness-whereof
"IN WITNESS WHEREOF the parties hereto have caused this Agreement to be executed by their respective officers thereunto duly authorized, as of the date first above written.",in-witness-whereof
"IN WITNESS WHEREOF. First Trust Portfolios L.P., The Bank of New York Mellon and First Trust Advisors L.P. have each caused this Trust Agreement to be executed and the respective corporate seal to be hereto affixed and attested (if applicable) by authorized officers; all as of the day, month and year first above written. FIRST TRUST PORTFOLIOS L.P., Depositor First Trust Advisors, L.P., Evaluator and Portfolio Supervisor By Elizabeth H. Bull Senior Vice President of: First Trust Portfolios L.P. and First Trust Advisors L.P. THE BANK OF NEW YORK MELLON, Trustee By Joan A. Currie Managing Director [SEAL] ATTEST: Elizabeth A. Fernandes Vice President (Note: Incorporated herein and made a part hereof for the Trust is the ""Schedule of Investments"" for the Trust as set forth in the Prospectus.)",in-witness-whereof
"IN WITNESS WHEREOF. First Trust Portfolios L.P., The Bank of New York Mellon, First Trust Advisors L.P. and FTP Services LLC have each caused this Trust Agreement to be executed and the respective corporate seal to be hereto affixed and attested (if applicable) by authorized officers; all as of the day, month and year first above written. FIRST TRUST PORTFOLIOS L.P., Depositor By Elizabeth H. Bull Senior Vice President THE BANK OF NEW YORK MELLON, Trustee By Rosalia A. Koopman Managing Director [SEAL] ATTEST: Michael T. Furnari Vice President FIRST TRUST ADVISORS L.P., Evaluator By Elizabeth H. Bull Senior Vice President FIRST TRUST ADVISORS L.P., Portfolio Supervisor By Elizabeth H. Bull Senior Vice President FTP Services LLC, FTPS Unit Servicing Agent By Elizabeth H. Bull Senior Vice President (Note: Incorporated herein and made a part hereof for the Trust is the ""Schedule of Investments"" for the Trust as set forth in the Prospectus.)",in-witness-whereof
IN WITNESS WHEREOF the parties hereto have caused this Agreement to be duly executed and delivered by their proper and duly authorized officers as of the day and year first above written.,in-witness-whereof
IN WITNESS WHEREOF the parties have caused this Agreement to be signed as of the day and year first above written.,in-witness-whereof
IN WITNESS WHEREOF the parties have caused this Indenture to be duly executed as of the date first written above.,in-witness-whereof
"IN WITNESS WHEREOF the parties hereto have caused this instrument to be signed in their behalf by their respective officers thereunto duly authorized, and their respective seals to be hereunto affixed, all as of the date written above.",in-witness-whereof
"IN WITNESS WHEREOF the Certificate Administrator has caused this Class A-2 Certificate to be duly executed. CITIBANK, N.A., not in its individual capacity but solely as Certificate Administrator By: Authorized Signatory Dated: March 20, 2018 This is one of the Class A-2 Certificates referred to in the Pooling and Servicing Agreement. Dated: March 20, 2018 CITIBANK, N.A., not in its individual capacity but solely as Authenticating Agent By: Authorized Signatory FOR VALUE RECEIVED, the undersigned (“Assignor(s)”) hereby sell(s), assign(s) and transfer(s) unto ___________________________ (please print or typewrite name(s) and address(es), including postal zip code(s) of assignee(s)) (“Assignee(s)”) the entire Percentage Interest represented by the within Class A-2 Certificate and hereby authorize(s) the registration of transfer of such interest to Assignee(s) on the Certificate Register of the Trust Fund. I (we) further direct the Certificate Registrar to issue a new Class A-2 Certificate of the entire Percentage Interest represented by the within Class A-2 Certificates to the above-named Assignee(s) and to deliver such Class A-2 Certificate to the following address: Date: _________________ Signature by or on behalf of Assignor(s) Taxpayer Identification Number The Assignee(s) should include the following for purposes of distribution: Address of the Assignee(s) for the purpose of receiving notices and distributions: __________________________________ Distributions, if being made by wire transfer in immediately available funds to __________________________ for the account of __________________________ account number ____________________________. This information is provided by ______________________________, the Assignee(s) named above or ____________________________________ as its (their) agent. By: [Please print or type name(s)] Title Taxpayer Identification Number [UNLESS THIS CERTIFICATE IS PRESENTED BY AN AUTHORIZED REPRESENTATIVE OF THE DEPOSITORY TRUST COMPANY, A NEW YORK CORPORATION (“DTC”), TO THE CERTIFICATE REGISTRAR FOR REGISTRATION OF TRANSFER, EXCHANGE, OR PAYMENT, AND ANY CERTIFICATE ISSUED IS REGISTERED IN THE NAME OF CEDE & CO. OR IN SUCH OTHER NAME AS IS REQUESTED BY AN AUTHORIZED REPRESENTATIVE OF DTC (AND ANY PAYMENT IS MADE TO CEDE & CO. OR TO SUCH OTHER ENTITY AS IS REQUESTED BY AN AUTHORIZED REPRESENTATIVE OF DTC), ANY TRANSFER, PLEDGE, OR OTHER USE HEREOF FOR VALUE OR OTHERWISE BY OR TO ANY PERSON IS WRONGFUL INASMUCH AS THE REGISTERED OWNER HEREOF, CEDE ...",in-witness-whereof
IN WITNESS WHEREOF the parties hereto have caused this Agreement to be executed by their officers thereunto duly authorized.,in-witness-whereof
IN WITNESS WHEREOF the parties hereto have caused this Amendment to be executed and delivered by their respective duly authorized officers as of the date first above written.,in-witness-whereof
IN WITNESS WHEREOF the parties have executed this Agreement as of the date first set forth above.,in-witness-whereof
"IN WITNESS WHEREOF the Certificate Administrator has caused this Class X-E Certificate to be duly executed. CITIBANK, N.A., not in its individual capacity but solely as Certificate Administrator By: Authorized Signatory Dated: March 20, 2018 This is one of the Class X-E Certificates referred to in the Pooling and Servicing Agreement. Dated: March 20, 2018 CITIBANK, N.A., not in its individual capacity but solely as Authenticating Agent By: Authorized Signatory FOR VALUE RECEIVED, the undersigned (“Assignor(s)”) hereby sell(s), assign(s) and transfer(s) unto ___________________________ (please print or typewrite name(s) and address(es), including postal zip code(s) of assignee(s)) (“Assignee(s)”) the entire Percentage Interest represented by the within Class X-E Certificate and hereby authorize(s) the registration of transfer of such interest to Assignee(s) on the Certificate Register of the Trust Fund. I (we) further direct the Certificate Registrar to issue a new Class X-E Certificate of the entire Percentage Interest represented by the within Class X-E Certificates to the above-named Assignee(s) and to deliver such Class X-E Certificate to the following address: Date: _________________ Signature by or on behalf of Assignor(s) Taxpayer Identification Number The Assignee(s) should include the following for purposes of distribution: Address of the Assignee(s) for the purpose of receiving notices and distributions: __________________________________ Distributions, if being made by wire transfer in immediately available funds to __________________________ for the account of __________________________ account number ____________________________. This information is provided by ______________________________, the Assignee(s) named above or ____________________________________ as its (their) agent. By: [Please print or type name(s)] Title Taxpayer Identification Number [THIS CERTIFICATE IS A TEMPORARY REGULATION S GLOBAL CERTIFICATE FOR PURPOSES OF REGULATION S UNDER THE UNITED STATES SECURITIES ACT OF 1933, AS AMENDED (THE “SECURITIES ACT”). NEITHER THIS TEMPORARY REGULATION S GLOBAL CERTIFICATE NOR ANY INTEREST HEREIN MAY BE OFFERED, SOLD OR DELIVERED, EXCEPT AS PERMITTED UNDER THE POOLING AND SERVICING AGREEMENT REFERRED TO BELOW. NO BENEFICIAL OWNERS OF THIS TEMPORARY REGULATION S GLOBAL CERTIFICATE SHALL BE ENTITLED TO RECEIVE PAYMENTS OF PRINCIPAL OR INTEREST HEREON UNLESS THE REQUIRED CERTIFICATIONS HAVE BEEN DELIVERED PURSUANT TO THE TERMS OF THE POOLING AND SERVICING AGRE...",in-witness-whereof
IN WITNESS WHEREOF the parties hereto have caused this instrument to be executed by their officers designated below as of the day and year first above written.,in-witness-whereof
IN WITNESS WHEREOF the parties hereto have executed and delivered this Agreement as of the date first above written.,in-witness-whereof
"IN WITNESS WHEREOF the Certificate Administrator has caused this Class C Certificate to be duly executed. WELLS FARGO BANK, NATIONAL ASSOCIATION, not in its individual capacity but solely as Certificate Administrator By: Authorized Signatory Dated: ______________",in-witness-whereof
IN WITNESS WHEREOF the Parties have caused this Agreement to be duly executed as of the day and year first above written.,in-witness-whereof
IN WITNESS WHEREOF the undersigned have executed this Agreement as of the date first above written.,in-witness-whereof
"IN WITNESS WHEREOF the undersigned, by authority duly given, has caused this Notice and Questionnaire to be executed and delivered either in person or by its duly authorized agent. Date: Beneficial Owner: By: Name: Title:",in-witness-whereof
