clause_text,clause_type
Increased Costs. (a) If any Change in Law shall:,increased-costs
"Increased Costs. (a) If, due to either (i) the introduction of or any change in or in the interpretation of any law or regulation or (ii) the compliance with any guideline or request from any central bank or other governmental authority (whether or not having the force of law), there shall be any increase in the cost to any Lender of agreeing to make or making, funding or maintaining Eurodollar Rate Advances (excluding for purposes of this Section 2.10 any such increased costs resulting from (i) Taxes or Other Taxes (as to which Section 2.13 shall govern) and (ii) changes in the basis of taxation of overall net income or overall gross income by the United States or by the foreign jurisdiction or state under the laws of which such Lender is organized or has its Applicable Lending Office or any political subdivision thereof), then the Borrower shall from time to time, upon demand by such Lender (with a copy of such demand to the Agent), pay to the Agent for the account of such Lender additional amounts sufficient to compensate such Lender for such increased cost. A certificate as to the amount of such increased cost, submitted to the Borrower and the Agent by such Lender, shall be conclusive and binding for all purposes, absent manifest error.",increased-costs
"Increased Costs. (a) Subject to Clause 14.3 (Exceptions) the Company shall, within three Business Days of a demand by the Agent, pay for the account of a Finance Party the amount of any Increased Costs incurred by that Finance Party or any of its Affiliates as a result of (i) the introduction of or any change in (or in the interpretation, administration or application of) any law or regulation or (ii) compliance with any law or regulation made after the date of this Agreement.",increased-costs
"Increased Costs. If, after the date hereof, the introduction of, or any change in, any Applicable Law, or in the interpretation or administration thereof by any Governmental Authority, central bank or comparable agency charged with the interpretation or administration thereof, or compliance by any of the Lenders (or any of their respective Lending Offices) with any request or directive (whether or not having the force of law) of such Governmental Authority, central bank or comparable agency:",increased-costs
"Increased Costs. (a) Subject to Clause 13.3 (Exceptions), the Borrowers shall, within three Business Days of a demand by the Facility Agent, pay for the account of a Finance Party the amount of any Increased Costs incurred by that Finance Party or any of its Affiliates as a result of:",increased-costs
"Increased Costs. If at any time after the Effective Date, the introduction of or any change in any applicable law, rule, regulation, order, guideline or request or in the interpretation or administration thereof by the NAIC or any Governmental Authority charged with the interpretation or administration thereof, or compliance by any Issuing Lender or any Participant with any request or directive by the NAIC or by any such Governmental Authority (whether or not having the force of law), shall either (i) impose, modify or make applicable any reserve, deposit, capital adequacy or similar requirement against letters of credit issued by any Issuing Lender or participated in by any Participant, or (ii) impose on any Issuing Lender or any Participant any other conditions relating, directly or indirectly, to this Agreement or any Letter of Credit; and the result of any of the foregoing is to increase the cost to any Issuing Lender or any Participant of issuing, maintaining or participating in any Letter of Credit, or reduce the amount of any sum received or receivable by any Issuing Lender or any Participant hereunder or reduce the rate of return on its capital with respect to Letters of Credit (except for changes in the rate of tax on, or determined by reference to, the net income or net profits of such Issuing Lender or such Participant pursuant to the laws of the jurisdiction in which it is organized or in which its principal office or applicable lending office is located or any subdivision thereof or therein), then, upon the delivery of the certificate referred to below to the Borrower by any Issuing Lender or any Participant (a copy of which certificate shall be sent by such Issuing Lender or such Participant to the Administrative Agent), the Borrower agrees to pay to such Issuing Lender or such Participant such additional amount or amounts as will compensate such Issuing Lender or such Participant for such increased cost or reduction in the amount receivable or reduction on the rate of return on its capital. Any Issuing Lender or any Participant, upon determining that any additional amounts will be payable to it pursuant to this Section 3.06, will give prompt written notice thereof to the Borrower, which notice shall include a certificate submitted to the Borrower by such Issuing Lender or such Participant (a copy of which certificate shall be sent by such Issuing Lender or such Participant to the Administrative Agent), setting forth in reasonable detail the basis for the cal...",increased-costs
"Increased Costs. If at any time any Lender determines that the introduction of, or any change in or in the interpretation of, any law, treaty or governmental rule, regulation or order (other than any change by way of imposition or increase of reserve requirements included in determining the Eurodollar Rate) or the compliance by such Lender with any guideline, request or directive from any central bank or other Governmental Authority (whether or not having the force of law), shall have the effect of increasing the cost to such Lender of agreeing to make or making, funding or maintaining any Eurodollar Rate Loans, then the Borrower shall from time to time, upon demand by such Lender (with a copy of such demand to the Administrative Agent), pay to the Administrative Agent for the account of such Lender additional amounts sufficient to compensate such Lender for such increased cost. A certificate as to the amount of such increased cost, submitted to the Borrower and the Administrative Agent by such Lender, shall be conclusive and binding for all purposes, absent manifest error.",increased-costs
"Increased Costs. (a) If, after the date hereof, the adoption of, or any change in, any applicable law, rule or regulation, or any change in the interpretation or administration of any applicable law, rule or regulation by any governmental authority, central bank or comparable agency charged with the interpretation or administration thereof, or compliance by any Lender with any request or directive (whether or not having the force of law) of any such authority, central bank or comparable agency: (i) shall impose, modify or deem applicable any reserve (including any reserve imposed by the FRB, but excluding any reserve included in the determination of the LIBOR Rate pursuant to Section 4), special deposit or similar requirement against assets of, deposits with or for the account of, or credit extended by any Lender; or (ii) shall impose on any Lender any other condition affecting its LIBOR Loans, its Note or its obligation to make LIBOR Loans; and the result of anything described in clauses (i) and (ii) above is to increase the cost to (or to impose a cost on) such Lender (or any LIBOR Office of such Lender) of making or maintaining any LIBOR Loan, or to reduce the amount of any sum received or receivable by such Lender (or its LIBOR Office) under this Agreement or under its Note with respect thereto, then upon demand by such Lender (which demand shall be accompanied by a statement setting forth the basis for such demand and a calculation of the amount thereof in reasonable detail, a copy of which shall be furnished to the Administrative Agent), the Company shall pay directly to such Lender such additional amount as will compensate such Lender for such increased cost or such reduction, so long as such amounts have accrued on or after the day which is 180 days prior to the date on which such Lender first made demand therefor.",increased-costs
"Increased Costs. If after the Original Closing Date, the adoption of any applicable law, rule or regulation, or any change therein, or any change in the interpretation or administration thereof by any Governmental Authority, central bank or comparable agency charged with the interpretation or administration thereof, or actual compliance by the Letter of Credit Issuer or any L/C Participant with any request or directive made or adopted after the Original Closing Date (whether or not having the force of law), by any such authority, central bank or comparable agency shall either (a) impose, modify or make applicable any reserve, deposit, capital adequacy or similar requirement against letters of credit issued by the Letter of Credit Issuer, or any L/C Participant’s L/C Participation therein, or (b) impose on the Letter of Credit Issuer or any L/C Participant any other conditions affecting its obligations under this Agreement in respect of Letters of Credit or L/C Participations therein or any Letter of Credit or such L/C Participant’s L/C Participation therein, and the result of any of the foregoing is to increase the cost to the Letter of Credit Issuer or such L/C Participant of issuing, maintaining or participating in any Letter of Credit, or to reduce the amount of any sum received or receivable by the Letter of Credit Issuer or such L/C Participant hereunder (other than any such increase or reduction attributable to (i) taxes indemnifiable under Section 5.4, (ii) net income taxes and franchise and excise taxes (imposed in lieu of net income taxes) imposed on any Agent or Lender or (iii) Taxes described under clauses (b) or (c) of the definition of Excluded Taxes) in respect of Letters of Credit or L/C Participations therein, then, promptly after receipt of written demand to the Borrower by the Letter of Credit Issuer or such L/C Participant, as the case may be (a copy of which notice shall be sent by the Letter of Credit Issuer or such L/C Participant to the Administrative Agent (with respect to Letter of Credit issued on account of the Borrower)), the Borrower shall pay to the Letter of Credit Issuer or such L/C Participant such additional amount or amounts as will compensate the Letter of Credit Issuer or such L/C Participant for such increased cost or reduction, it being understood and agreed, however, that the Letter of Credit Issuer or an L/C Participant shall not be entitled to such compensation as a result of such Person’s compliance with, or pursuant to any reques...",increased-costs
"Increased Costs. (a) If, due to either (i) the introduction after the date of this Agreement of or any change after the date of this Agreement (including any change by way of imposition or increase of reserve requirements or assessments other than those referred to in the definition of ""Eurodollar Reserve Percentage,"" ""C/D Reserve Percentage"" or ""C/D Assessment Rate"" contained in Section 1.1) in or in the interpretation of any law or regulation or (ii) the compliance with any guideline or request issued or made after the date of this Agreement from or by any central bank or other governmental authority (whether or not having the force of law), in each case above other than those referred to in Section 2.17, there shall be any increase in the cost to any Lender of agreeing to make, fund or maintain, or of making, funding or maintaining, Eurodollar Rate Advances funded in the interbank Eurodollar market, then the Borrowers shall from time to time, upon demand by such Lender (with a copy of such demand to the Administrative Agent), pay to the Administrative Agent for the account of such Lender additional amounts sufficient to reimburse such Lender for all such increased costs (except those costs incurred more than 60 days prior to the date of such demand; for the purposes hereof any cost or expense allocable to a period prior to the publication or effective date of such an introduction, change, guideline or request shall be deemed to be incurred on the later of such publication or effective date). Each Lender agrees to use its best efforts promptly to notify the Company of any event referred to in clause (i) or (ii) above, provided that the failure to give such notice shall not affect the rights of any Lender under this Section 2.16(a) (except as otherwise expressly provided above in this Section 2.16(a)). A certificate as to the amount of such increased cost, submitted to the Company and the Administrative Agent by such Lender, shall be conclusive and binding for all purposes, absent manifest error. After one or more Lenders have notified the Company of any increased costs pursuant to this Section 2.16, the Company may specify by notice to the Administrative Agent and the affected Lenders that, after the date of such notice whenever the election of Eurodollar Rate Advances by the applicable Borrower for an Interest Period or portion thereof would give rise to such increased costs, such election shall not apply to the Revolving Credit Advances of such Lenders during such Inte...",increased-costs
