clause_text,clause_type
"Indebtedness. Create, incur, assume or suffer to exist any Indebtedness, except:",indebtedness
"Indebtedness. Create, incur, assume, or be liable for any Indebtedness, or permit any Subsidiary to do so, other than Permitted Indebtedness.",indebtedness
"Indebtedness. The Borrower will not, and will not permit any Subsidiary to, create, incur, assume or permit to exist any Indebtedness, except:",indebtedness
"Indebtedness. No Credit Party shall, nor shall it permit any of its Subsidiaries to, directly or indirectly, create, incur, assume or guaranty, or otherwise become or remain directly or indirectly liable with respect to any Indebtedness, except:",indebtedness
"Indebtedness. Incur, create, assume or permit to exist any Indebtedness, except:",indebtedness
"Indebtedness. Create, issue, incur, assume, become liable in respect of or suffer to exist any Indebtedness, except:",indebtedness
"Indebtedness. Schedule 2.1(l) hereto sets forth as of the date hereof all outstanding secured and unsecured Indebtedness of the Company or any Subsidiary, or for which the Company or any Subsidiary has commitments. For the purposes of this Agreement, “Indebtedness” shall mean (a) any liabilities for borrowed money or amounts owed, whether individually or in aggregate, in excess of $100,000 (other than trade accounts payable incurred in the ordinary course of business), (b) all guaranties, endorsements and other contingent obligations in respect of Indebtedness of others, whether or not the same are or should be reflected in the Company’s balance sheet (or the notes thereto), except guaranties by endorsement of negotiable instruments for deposit or collection or similar transactions in the ordinary course of business; and (c) the present value of any lease payments in excess of $25,000 due under leases required to be capitalized in accordance with GAAP. Except as set forth on Schedule 2.1(l), neither the Company nor any Subsidiary is in default with respect to any Indebtedness.",indebtedness
"Indebtedness. The word ""Indebtedness"" means the indebtedness evidenced by the Note or Related Documents, including all principal and interest together with all other indebtedness and costs and expenses for which Borrower is responsible under this Agreement or under any of the Related Documents.",indebtedness
"Indebtedness. Holdings will not, and will not permit any of its Subsidiaries to, contract, create, incur, assume or suffer to exist any Indebtedness, except:",indebtedness
"Indebtedness. Create, incur, assume, permit, guarantee, or otherwise become or remain, directly or indirectly, liable with respect to any Indebtedness, except:",indebtedness
"Indebtedness. Create, incur, assume or be or remain liable with respect to any Indebtedness, or permit any Subsidiary so to do, other than Permitted Indebtedness.",indebtedness
"Indebtedness. The Borrower will not, nor will it permit any of its Subsidiaries to, create, incur, assume or permit to exist any Indebtedness, except:",indebtedness
Indebtedness. Set forth on Schedule 4.14 is a true and complete list of all Indebtedness of each Loan Party and each of its Subsidiaries outstanding immediately prior to the Closing Date that is to remain outstanding immediately after giving effect to the closing hereunder on the Closing Date and such Schedule accurately sets forth the aggregate principal amount of such Indebtedness as of the Closing Date.,indebtedness
"Indebtedness. The Borrower will not, nor will it permit any Subsidiary to, create, incur or suffer to exist any Indebtedness, except:",indebtedness
"Indebtedness. No Loan Party will, nor will it permit any Subsidiary to, create, incur or suffer to exist any Indebtedness, except:",indebtedness
"Indebtedness. All obligations, contingent and otherwise, that in accordance with GAAP should be classified upon the obligor’s balance sheet as liabilities, or to which reference should be made by footnotes thereto, but without any double counting, including in any event and whether or not so classified: (a) all debt and similar monetary obligations, whether direct or indirect (including, without limitation, any obligations evidenced by bonds, debentures, notes or similar debt instruments); (b) all liabilities secured by any mortgage, pledge, security interest, lien, charge or other encumbrance existing on property owned or acquired subject thereto, whether or not the liability secured thereby shall have been assumed; (c) all guarantees, endorsements and other contingent obligations whether direct or indirect in respect of indebtedness of others, including any obligation to supply funds to or in any manner to invest directly or indirectly in a Person, to purchase indebtedness, or to assure the owner of indebtedness against loss through an agreement to purchase goods, supplies or services for the purpose of enabling the debtor to make payment of the indebtedness held by such owner or otherwise; (d) any obligation as a lessee or obligor under a Capitalized Lease; (e) all subordinated debt, including, without limitation, Subordinated Debt (but excluding Trust Preferred Equity); (f) all obligations to purchase under agreements to acquire (but excluding agreements which provide that the seller’s remedies thereunder are limited to market liquidated damages in the event the purchaser defaults thereunder), or otherwise to contribute money with respect to, properties under “development” within the meaning of §8.9; and (g) all obligations, contingent or deferred or otherwise, of any Person, including, without limitation, any such obligations as an account party under acceptance, letter of credit or similar facilities including, without limitation, obligations to reimburse the issuer in respect of a letter of credit except for contingent obligations (but excluding any guarantees or similar obligations) that are not material and are incurred in the ordinary course of business in connection with the acquisition or obtaining commitments for financing of Real Estate.",indebtedness
"Indebtedness. Each of the Loan Parties shall not, and shall not permit any of its Subsidiaries to, at any time create, incur, assume or suffer to exist any Indebtedness, except:",indebtedness
"Indebtedness. The word ""Indebtedness"" means and includes without limitation all Loans, together with all other obligations, debts and liabilities of Borrower to Lender, or any one or more of them, as well as all claims by Lender against Borrower, or any one or more of them; whether now or hereafter existing, voluntary or involuntary, due or not due, absolute or contingent, liquidated or unliquidated; whether Borrower may be liable individually or jointly with others; whether Borrower may be obligated as a guarantor, surety, or otherwise; whether recovery upon such Indebtedness may be or hereafter may become barred by any statute of limitations; and whether such Indebtedness may be or hereafter may become otherwise unenforceable.",indebtedness
"Indebtedness. The Borrower shall not, and shall not permit any of its Subsidiaries to, directly or indirectly create, incur, assume or otherwise become or remain directly or indirectly liable with respect to any Indebtedness except for the following:",indebtedness
"Indebtedness. Create, incur, assume, guarantee or be or remain liable with respect to any Indebtedness, or permit any Subsidiary so to do, other than Permitted Indebtedness, or prepay any Indebtedness or take any actions which impose on Borrower an obligation to prepay any Indebtedness, except Indebtedness to Bank.",indebtedness
"Indebtedness. Create, incur, assume, guarantee or suffer to exist, or otherwise become or remain liable with respect to, or permit any of its Subsidiaries to create, incur, assume, guarantee or suffer to exist or otherwise become or remain liable with respect to, any Indebtedness other than Permitted Indebtedness.",indebtedness
"Indebtedness. The Borrower will not permit any of the Existing Principal Subsidiaries to create, incur, assume or suffer to exist or otherwise become or be liable in respect of any Indebtedness, other than, without duplication, the following:",indebtedness
"Indebtedness. For any Person, without duplication, (i)(a) all indebtedness of such Person for borrowed money and (b) all obligations of such Person to pay a deferred purchase price for property or services, including, but not limited to, obligations under Forward Purchase Contracts, having met all conditions of repayment thereof but for the passage of time, (ii) all indebtedness of such Person evidenced by a note, bond, debenture or similar instrument, (iii) the outstanding undrawn amount of all letters of credit issued for the account or upon the application of such Person and, without duplication, all unreimbursed amounts drawn thereunder, (iv) all indebtedness of any other person or entity secured by any Lien on any property owned by such Person, whether or not such indebtedness has been assumed, (v) indebtedness of others guaranteed by such Person (including, without limitation, indebtedness of a partnership for which such Person, if a general partner, would be liable as a matter of law or contractually), but only to the extent of the specific amount guaranteed as a matter of contract or law, provided that for purposes of this definition the term “guarantee” shall not include the guarantee of customary non-recourse carve-outs (including, but not limited to, claims for fraud, misrepresentation, or environmental law violations), (vi) all payment obligations of such Person under any Interest Rate Contracts and currency swaps and similar agreements, to the extent such liabilities are material and are reported or are required under Generally Accepted Accounting Principles to be reported by such Person in its financial statements, (vii) all indebtedness and liabilities of such Person secured by any Lien or mortgage on any property of such Person, whether or not the same would be classified as a liability on a balance sheet, (viii) the liability of such Person in respect of banker’s acceptances and the estimated liability under any participating mortgage, convertible mortgage or similar arrangement, (ix) the aggregate principal amount of rentals or other consideration payable by such Person in accordance with Generally Accepted Accounting Principles over the remaining unexpired term of all Capitalized Leases of such Person, (x) all outstanding monetary judgments or decrees by a court or courts of competent jurisdiction entered against such Person, (xi) all convertible debt and subordinated debt owed by such Person, (xii) all preferred partnership interests and preferred st...",indebtedness
"Indebtedness. The Borrower will not incur, create, assume or permit to exist any indebtedness or liability on account of deposits or advances or any indebtedness for borrowed money or letters of credit issued on the Borrower’s behalf, or any other indebtedness or liability evidenced by notes, bonds, debentures or similar obligations, except:",indebtedness
"Indebtedness. (a) The Fund or its designee will cause to be delivered to the Custodian by any bank (excluding the Custodian) from which the Fund borrows money, using Securities as collateral, a notice or undertaking in the form currently employed by any such bank setting forth the amount which such bank will loan to the Fund against delivery of a stated amount of collateral. The Fund shall promptly deliver to the Custodian an Instruction stating with respect to each such borrowing: (1) the name of the Portfolio for which the borrowing is to be made; (2) the name of the bank; (3) the amount and terms of the borrowing, which may be set forth by incorporating by reference an attached promissory note, duly endorsed by the Fund, or other loan agreement; (4) the time and date, if known, on which the loan is to be entered into (the ""borrowing date""); (5) the date on which the loan becomes due and payable; (6) the total amount payable to the Fund for the separate account of the Portfolio on the borrowing date; (7) the market value of Securities to be delivered as collateral for such loan, including the name of the issuer, the title and the number of shares or the principal amount of any particular Securities; (8) whether the Custodian is to deliver such collateral through the Book-Entry System or a Depository; and (9) a statement that such loan is in conformance with the 1940 Act and the Prospectus.",indebtedness
"Indebtedness. As to any Person and whether recourse is secured by or is otherwise available against all or only a portion of the assets of such Person and whether or not contingent, but without duplication:",indebtedness
"Indebtedness. Each Loan Party will not, and will not permit any of its Subsidiaries to, create, incur, assume, suffer to exist, guarantee, or otherwise become or remain, directly or indirectly, liable with respect to any Indebtedness, except for Permitted Indebtedness.",indebtedness
"Indebtedness. Each Borrower and Guarantor shall not, and shall not permit any Subsidiary to, incur, create, assume, become or be liable in any manner with respect to, or permit to exist, any Indebtedness, or guarantee, assume, endorse, or otherwise become responsible for (directly or indirectly), the Indebtedness, performance, obligations or dividends of any other Person, except:",indebtedness
"Indebtedness. The Borrower will not, and will not permit or cause any of its Subsidiaries to, create, incur, assume or suffer to exist any Indebtedness other than:",indebtedness
"Indebtedness. Within 1 Business Day of the date of incurrence by Borrower or any of its Subsidiaries of any Indebtedness (other than Permitted Indebtedness), Borrower shall prepay the outstanding principal amount of the Obligations in accordance with Section 2.4(f)(ii) in an amount equal to 100% of the Net Cash Proceeds received by such Person in connection with such incurrence. The provisions of this Section 2.4(e)(iv) shall not be deemed to be implied consent to any such incurrence otherwise prohibited by the terms of this Agreement.",indebtedness
"Indebtedness. The Company will not, and will not permit its Subsidiaries to, become or remain obligated for any Indebtedness, except: (a) Indebtedness to each holder of a Note; (b) Indebtedness of the Company under Capital Leases for office machinery in existence as of the Closing Date not to exceed in the aggregate $100,000; (c) Indebtedness of the Company arising under the Senior Loan Agreement or any replacement or refinancing thereof in a principal amount not to exceed $10,000,000 in the aggregate; (d) Indebtedness of the Company arising under the Senior Notes; (e) Indebtedness existing as of the Closing Date and listed on Schedule 10.2; (f) Indebtedness (including purchase money indebtedness) incurred in connection with the acquisition, construction or improvement of fixed or capital assets (whether pursuant to a loan or a Capital Lease) in an aggregate amount not 17 exceeding $1,000,000 during any single fiscal year of the Company and $3,000,000 in the aggregate during the term of this Agreement at any time outstanding, and any renewals or refinancing of such Indebtedness, on substantially the same terms or terms that are not more burdensome on the Company as in effect on the date of incurrence of such Indebtedness and otherwise in compliance with this Agreement, provided that no Default or Event of Default has occurred and is continuing, both before and after giving effect to the incurrence, renewal or refinancing thereof; provided, further, that the principal amount of such renewed or refinanced Indebtedness shall not exceed the principal amount of the Indebtedness so renewed or refinanced and shall in no event exceed the caps set forth above; (g) Indebtedness in respect of Hedging Contracts authorized as required under Section 8.9 of the Senior Loan Agreement and Hedging Contracts entered into in the ordinary course of business related loans from the Federal Home Loan Bank of Indiana for interest rate management and not for speculative purposes; (h) Guaranty Obligations to the extent permitted under Section 10.7; (i) Indebtedness incurred in the ordinary course of business with respect to surety and appeal bonds, performance and return-of-money bonds and other similar obligations or to or for the benefit of any Person providing workers’ compensation, health, disability or other employee benefits or property, casualty or liability insurance, all in the ordinary course of business in accordance with customary industry practices, in amounts and for the purposes cu...",indebtedness
"Indebtedness. The Company shall not directly or indirectly permit, create, incur, assume, permit to exist, increase, renew or extend on or after the date hereof any indebtedness on its part, including commitments, contingencies and credit availabilities, or apply for or offer or agree to do any of the foregoing.",indebtedness
"Indebtedness. Incur, create, assume or permit to exist, directly or indirectly, any Indebtedness, except:",indebtedness
"Indebtedness. Disqualified Stock or Preferred Stock of (x) the Issuer or a Restricted Subsidiary incurred to finance an acquisition or (y) Persons that are acquired by the Issuer or any Restricted Subsidiary or merged into the Issuer or a Restricted Subsidiary in accordance with the terms of this Indenture; provided that after giving effect to such acquisition or merger, either",indebtedness
"Indebtedness. Create, incur, assume, suffer to exist, guarantee, or otherwise become or remain, directly or indirectly, liable with respect to any Indebtedness, except for Permitted Indebtedness.",indebtedness
Indebtedness. Set forth on Schedule 5.20 is a true and complete list of all Indebtedness of Borrower and its Subsidiaries outstanding immediately prior to the Restatement Effective Date that is to remain outstanding after the Restatement Effective Date and such Schedule accurately reflects the aggregate principal amount of such Indebtedness and describes the principal terms thereof.,indebtedness
Indebtedness. Incur any indebtedness for borrowed money or guarantee any such indebtedness or issue or sell any debt securities or guarantee any debt securities of others;,indebtedness
Indebtedness. No Restricted Person will in any manner owe or be liable for Indebtedness except:,indebtedness
"Indebtedness. The Credit Parties will not permit any Consolidated Party to contract, create, incur, assume or permit to exist any Indebtedness, except:",indebtedness
"Indebtedness. No Credit Party will, nor will it permit any Subsidiary to, contract, create, incur, assume or permit to exist any Indebtedness, except:",indebtedness
"Indebtedness. With respect to any Person means, without duplication, (a) all obligations of such Person for borrowed money or with respect to deposits or advances of any kind, (b) all obligations of such Person evidenced by bonds, debentures, notes or similar instruments, (c) all obligations of such Person upon which interest charges are customarily paid, (d) all obligations of such Person under conditional sale or other title retention agreements relating to property acquired by such Person, (e) all obligations of such Person in respect of the deferred purchase price of property or services (excluding current accounts payable incurred in the ordinary course of business), (f) all Indebtedness of others secured by (or for which the holder of such Indebtedness has an existing right, contingent or otherwise, to be secured by) any Lien on property owned or acquired by such Person, whether or not the Indebtedness secured thereby has been assumed, (g) all guarantees by such Person of Indebtedness of others, (h) all capital lease obligations of such Person, (i) all obligations, contingent or otherwise, of such Person as an account party in respect of letters of credit and letters of guaranty and (j) all obligations, contingent or otherwise, of such Person in respect of bankers’ acceptances.",indebtedness
"Indebtedness. The Borrower will not permit any Non-Guarantor Subsidiary to create, incur, assume or permit to exist any Indebtedness, except:",indebtedness
"Indebtedness. Such Obligor will not, and will not permit any of its Subsidiaries to, create, incur, assume or permit to exist any Indebtedness, whether directly or indirectly, except:",indebtedness
"Indebtedness. The Borrower shall not, and shall not permit any of its Subsidiaries to, directly or indirectly, create, incur, assume or guaranty, or otherwise become or remain directly or indirectly liable with respect to, any Indebtedness, except:",indebtedness
"Indebtedness. The Borrower will not, and will not permit Guarantor or any of their respective Subsidiaries to, create, incur, assume or suffer to exist or otherwise become or be liable in respect of any Indebtedness, other than, without duplication, the following:",indebtedness
"Indebtedness. Create, incur, assume or suffer to exist any Indebtedness other than Permitted Indebtedness.",indebtedness
"Indebtedness. The Parent and the Borrower shall not, and shall not permit any Subsidiary or any other Loan Party to, incur, assume, or otherwise become obligated in respect of any Indebtedness after the Agreement Date if immediately prior to the assumption, incurring or becoming obligated in respect thereof, or immediately thereafter and after giving effect thereto, a Default or Event of Default is or would be in existence, including without limitation, a Default or Event of Default resulting from a violation of any of the covenants contained in Section 9.1.",indebtedness
"Indebtedness. Schedule V sets forth a true and complete list of all Indebtedness of the Parent and its Subsidiaries as of the Restatement Effective Date (other than Indebtedness under the Other Credit Documents) and which is to remain outstanding after giving effect to the Restatement Effective Date (the “Existing Indebtedness”), in each case showing the aggregate principal amount thereof and the name of the borrower and any other entity which directly or indirectly guarantees such debt.",indebtedness
"Indebtedness. Incur any indebtedness for borrowed money (other than deposits, federal funds purchased, borrowings from the FHLB and securities sold under agreements to repurchase, in each case in the ordinary course of business consistent with past practice) or assume, guarantee, endorse or otherwise as an accommodation become responsible for the obligations of any other Person, other than in the ordinary course of business consistent with past practice.",indebtedness
Indebtedness. 2 Indenture . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 3 interest . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 3,indebtedness
"Indebtedness. The Credit Parties will not, nor will they permit any Subsidiary to, contract, create, incur, assume or permit to exist any Indebtedness, except:",indebtedness
"Indebtedness. The Borrowers shall not, nor shall they permit any of their Restricted Subsidiaries to, directly or indirectly, create, incur, assume or otherwise become or remain liable with respect to any Indebtedness, except:",indebtedness
"Indebtedness. The Company shall not, nor shall it permit any of its Subsidiaries to, (i) incur any indebtedness for borrowed money or guarantee any such indebtedness or issue or sell any debt securities or warrants or rights to acquire any long-term debt securities of the Company or any of its Subsidiaries or guarantee any long-term debt securities of others or enter into or amend any contract, agreement, commitment or arrangement with respect to any of the foregoing, other than (x) in replacement for existing or maturing debt, (y) indebtedness of any Subsidiary of the Company to the Company or to another Subsidiary of the Company or (z) other borrowing under existing lines of credit in the ordinary course of business consistent with prior practice and of substantially the same character, type and magnitude as borrowings made in the past or (ii) make any loans, advances or capital contributions to any person.",indebtedness
"Indebtedness. The SEC Documents set forth, to the extent required, as of the date thereof all outstanding secured and unsecured Indebtedness of the Company or any subsidiary, or for which the Company or any subsidiary has commitments. For purposes of this Agreement, ""Indebtedness"" shall mean (a) any liabilities for borrowed money or amounts owed in excess of $25,000 (other than trade accounts payable incurred in the ordinary course of business), (b) all guaranties, endorsements and other contingent obligations in respect of Indebtedness of others, whether or not the same are or should be reflected in the Company's balance sheet (or the notes thereto), except guaranties by endorsement of negotiable instruments for deposit or collection or similar transactions in the ordinary course of business; and (c) the present value of any lease payments in excess of $25,000 due under leases required to be capitalized in accordance with GAAP. The Offering Documents disclose verbally the Company's incurrence of material debt after the date of the Company's last file 10-KSB or 10-QSB. Neither the Company nor any subsidiary is in default with respect to any Indebtedness.",indebtedness
"Indebtedness. The Borrower will not, and will not permit any of its Subsidiaries to, contract, create, incur, assume or suffer to exist any Indebtedness of the Borrower or any of its Subsidiaries, except:",indebtedness
"Indebtedness. The word ""Indebtedness"" means the indebtedness evidenced by the Note, including all principal and accrued interest thereon, together with all other liabilities, costs and expenses for which Grantor is responsible under this Agreement or under any of the Related Documents. In addition, the word ""Indebtedness"" includes all other obligations, debts and liabilities, plus any accrued interest thereon, owing by Grantor, or any one or more of them, to Lender of any kind or character, now existing or hereafter arising, as well as all present and future claims by Lender against Grantor, or any one or more of them, and all renewals, extensions, modifications, substitutions and rearrangements of any of the foregoing; whether such Indebtedness arises by note, draft, acceptance, guaranty, endorsement, letter of credit, assignment, overdraft, indemnity agreement or otherwise; whether such Indebtedness is voluntary or involuntary, due or not due, direct or indirect, absolute or contingent, liquidated or unliquidated; whether Grantor may be liable individually or jointly with others; whether Grantor may be liable primarily or secondarily or as debtor, maker, comaker, drawer, endorser, guarantor, surety, accommodation party or otherwise.",indebtedness
"Indebtedness. Neither the Borrower nor any of the Restricted Subsidiaries shall directly or indirectly, create, incur, assume or suffer to exist any Indebtedness, except:",indebtedness
Indebtedness. The term “,indebtedness
Indebtedness. No party shall incur any indebtedness for borrowed money or guarantee any such indebtedness or issue or sell any debt securities or warrants or rights to acquire any debt securities of such party or guarantee any debt securities of others other than in each case in the ordinary course of business consistent with prior practice.,indebtedness
"Indebtedness. The Borrower has no Indebtedness or other indebtedness, secured or unsecured, direct or contingent (including guaranteeing any obligation), other than (i) Indebtedness incurred under the terms of the Transaction Documents and (ii) Indebtedness incurred pursuant to certain ordinary business expenses arising pursuant to the transactions contemplated by this Agreement and the other Transaction Documents.",indebtedness
"Indebtedness. Create, incur, assume, or be liable for any Indebtedness, other than Permitted Indebtedness.",indebtedness
"Indebtedness. Created, incurred, assumed or otherwise become liable for any Indebtedness in excess of US $10,000 in the aggregate, other than professional fees;",indebtedness
"Indebtedness. (a) No Credit Party shall create, incur, assume or permit to exist any Indebtedness, except (without duplication) (i) Indebtedness secured by purchase money security interests permitted in clause (c) of Section 6.7, (ii) the Loans and the other Obligations, (iii) deferred taxes, (iv) unfunded pension fund and other employee benefit plan obligations and liabilities to the extent they are permitted to remain unfunded under applicable law, (v) existing Indebtedness described in Disclosure Schedule (6.3) to Persons which are not Affiliates and refinancings thereof or amendments or modifications thereto which do not have the effect of increasing the principal amount thereof or changing the amortization thereof (other than to extend the same) and which are otherwise on terms and conditions no less favorable to any Credit Party, Agent or any Lender, as determined by Agent, than the terms of the Indebtedness being refinanced, amended or modified, (vi) Subordinated Debt satisfying the conditions described in Section 2.2(b) and provided that the proceeds thereof are used solely to satisfy that portion of the Net Litigation Liability which exceeds $3,000,000, (vii) Borrower may assume the Indebtedness of Tessco upon the consummation of the Tessco Liquidation in compliance with Section 6.1, and (viii) Indebtedness of Tessco owing to Borrower existing on the Closing Date as described in Disclosure Schedule (6.3), and additional Indebtedness in connection with the ongoing business between Tessco and Borrower and in connection with the Tessco Liquidation consisting of intercompany loans and advances made after the Closing Date by Borrower to Tessco or Tessco to Borrower, provided that (A) Borrower and Tessco shall have executed and delivered to each other, on the Closing Date, a demand note (the ""Intercompany Note"") to evidence all such intercompany Indebtedness owing at any time to one another (including all existing intercompany Indebtedness owing on the Closing Date), which Intercompany Note shall be in form and substance satisfactory to Agent and shall be pledged and delivered to Agent pursuant to the Collateral Agreements executed by Borrower and Tessco and as additional collateral security for the Obligations (including the Litigation Obligations); (B) Borrower and Tessco shall record all intercompany transactions on its books and records in a manner satisfactory to Agent; (C) the obligations of Borrower and Tessco under such Intercompany Note shall be subordinated...",indebtedness
"Indebtedness. If, during the course of the Executive’s employment under this Agreement, the Executive becomes indebted to the Company for any reason, the Company may, if it so elects, and if permitted by applicable law, set off any sum due to the Company from the Executive and collect any remaining balance from the Executive unless the Executive has entered into a written agreement with the Company.",indebtedness
"Indebtedness. Create, incur, assume or suffer to exist any Indebtedness, other than:",indebtedness
"Indebtedness. Except as set forth in Section 6.1(n) of the PSNC Disclosure Schedule and except as contemplated by this Agreement, PSNC shall not, and PSNC shall not permit any of the PSNC Subsidiaries to, incur or guarantee any indebtedness (including any debt borrowed or guaranteed or otherwise assumed including, without limitation, the issuance of debt securities or warrants or rights to acquire debt) or enter into any ""keep well"" or other agreement to maintain any financial statement condition of another person or entity or enter into any arrangement having the economic effect of any of the foregoing other than (i) short-term indebtedness in the ordinary course of business consistent with past practice (such as the issuance of commercial paper and the use of existing credit facilities), or (ii) as set forth in Section 6.1(n) of the PSNC Disclosure Schedule.",indebtedness
"Indebtedness. Create, issue, incur, assume, or permit to exist any Indebtedness, except:",indebtedness
"Indebtedness. Party B will not contract, create, incur, assume or suffer to exist any indebtedness, except accrued expenses and current trade accounts payable incurred in the ordinary course of business, and obligations under trade letters of credit incurred by Party B in the ordinary course of business, which are to be repaid in full not more than one (1) year after the date on which such indebtedness is originally incurred to finance the purchase of goods by Party B.",indebtedness
"Indebtedness. The Company will not, and will not permit any of its Subsidiaries to, create, incur or suffer to exist any Indebtedness except:",indebtedness
"Indebtedness. Borrower shall not create, incur, assume, guarantee or be or remain liable with respect to any Indebtedness, or permit any Subsidiary so to do, other than Permitted Indebtedness, or prepay any Indebtedness or take any actions which impose on Borrower an obligation to prepay any Indebtedness, except for the conversion of Indebtedness into equity securities and the payment of cash in lieu of fractional shares in connection with such conversion.",indebtedness
"Indebtedness. Except as otherwise permitted under Section 8.1, the Consolidated Parties have no Indebtedness.",indebtedness
"Indebtedness. Disqualified Stock or Preferred Stock of a Covenant Party or a Restricted Subsidiary incurred to finance or assumed in connection with an acquisition in a principal amount not to exceed $200.0 million in the aggregate at any one time outstanding together with all other Indebtedness, Disqualified Stock and/or Preferred Stock issued under this clause (18) (it being understood that any Indebtedness, Disqualified Stock or Preferred Stock incurred pursuant to this clause (18) shall cease to be deemed incurred or outstanding for purposes of this clause (18) but shall be deemed incurred for the purposes of Section 4.09(a) hereof from and after the first date on which such Restricted Subsidiary could have incurred such Indebtedness, Disqualified Stock or Preferred Stock under Section 4.09(a) hereof without reliance on this clause (18));",indebtedness
"Indebtedness. The word ""Indebtedness"" means the indebtedness evidenced by the Note or Related Documents, including all principal and interest together with all other indebtedness and costs and expenses for which Grantor is responsible under this Agreement or under any of the Related Documents. Specifically, without limitation, Indebtedness includes the future advances set forth in the Future Advances provision, together with all interest thereon and all amounts that may be indirectly secured by the Cross-Collateralization provision of this Agreement.",indebtedness
