clause_text,clause_type
"Indemnification and Contribution. (a) The Company agrees to indemnify and hold harmless each Underwriter, the directors, officers, employees and agents of each Underwriter and each person who controls any Underwriter within the meaning of either the Act or the Exchange Act against any and all losses, claims, damages or liabilities, joint or several, to which they or any of them may become subject under the Act, the Exchange Act or other Federal or state statutory law or regulation, at common law or otherwise, insofar as such losses, claims, damages or liabilities (or actions in respect thereof) arise out of or are based upon any untrue statement or alleged untrue statement of a material fact contained in the registration statement for the registration of the Securities as originally filed or in any amendment thereof, or in the Basic Prospectus, any Preliminary Final Prospectus or the Final Prospectus, or in any amendment thereof or supplement thereto, or arise out of or are based upon the omission or alleged omission to state therein a material fact required to be stated therein or necessary to make the statements therein not misleading, and agrees to reimburse each such indemnified party, as incurred, for any legal or other expenses reasonably incurred by them in connection with investigating or defending any such loss, claim, damage, liability or action; provided, however, that the Company will not be liable in any such case to the extent that any such loss, claim, damage or liability arises out of or is based upon any such untrue statement or alleged untrue statement or omission or alleged omission made therein in reliance upon and in conformity with written information furnished to the Company by or on behalf of any Underwriter through the Representatives specifically for inclusion therein. This indemnity agreement will be in addition to any liability which the Company may otherwise have.",indemnification-and-contribution
"Indemnification and Contribution. (a) The Company agrees to indemnify and hold harmless each Underwriter, the directors, officers, employees, affiliates and agents of each Underwriter, each person who controls any Underwriter within the meaning of either the Act or the Exchange Act and each affiliate of each Underwriter against any and all losses, claims, damages or liabilities, joint or several, to which they or any of them may become subject under the Act, the Exchange Act or other U.S. federal or state statutory law or regulation, at common law or otherwise, insofar as such losses, claims, damages or liabilities (or actions in respect thereof) arise out of or are based upon any untrue statement or alleged untrue statement of a material fact contained in the Registration Statement for the registration of the Securities as originally filed or in any amendment thereof, or in any Preliminary Prospectus, the Prospectus, any “road show” as defined in Section 433(h) of the Act or any Written Testing-the-Waters Communication, or in any amendment thereof or supplement thereto, or arise out of or are based upon the omission or alleged omission to state therein a material fact required to be stated therein or necessary to make the statements therein not misleading, and agrees to reimburse each such indemnified party, as incurred, for any legal or other expenses reasonably incurred by them in connection with investigating or defending any such loss, claim, damage, liability or action; provided, however, that the Company will not be liable in any such case to the extent that any such loss, claim, damage or liability arises out of or is based upon any such untrue statement or alleged untrue statement or omission or alleged omission made therein in reliance upon and in conformity with written information furnished to the Company by or on behalf of any Underwriter through the Representative specifically for inclusion therein, it being understood and agreed that only such information furnished by any Underwriter consists of the information described in the last sentence of Section 8(b) hereof. This indemnity agreement will be in addition to any liability which the Company may otherwise have.",indemnification-and-contribution
"Indemnification and Contribution. (a) The Company agrees to indemnify and hold harmless each Underwriter, the directors, officers, employees, affiliates and agents of each Underwriter and each person who controls any Underwriter within the meaning of either Section 15 of the Securities Act or Section 20 of the Exchange Act against any and all losses, claims, damages or liabilities, joint or several, to which they or any of them may become subject under the Securities Act, the Exchange Act or other federal or state statutory law or regulation, at common law or otherwise, insofar as such losses, claims, damages or liabilities (or actions in respect thereof) arise out of or are based upon any untrue statement or alleged untrue statement of a material fact contained in the Registration Statement, or in the Base Prospectus, any Preliminary Prospectus or any other preliminary prospectus supplement relating to the Notes, the Final Prospectus, any Issuer Free Writing Prospectus or the information contained in the final term sheet required to be prepared and filed pursuant to Section 4(I)(c) hereto, or in any amendment thereof or supplement thereto, or arise out of or are based upon the omission or alleged omission to state therein a material fact required to be stated therein or necessary to make the statements therein, in the light of the circumstances under which they were made, not misleading, and agrees to reimburse each such indemnified party for any legal or other expenses reasonably incurred by them in connection with investigating or defending any such loss, claim, damage, liability or action as such expenses are incurred; provided, however, that the Company will not be liable in any such case to the extent that any such loss, claim, damage or liability arises out of or is based upon any such untrue statement or alleged untrue statement or omission or alleged omission made therein in reliance upon and in conformity with written information furnished to the Company by or on behalf of any Underwriters through the Representatives specifically for inclusion therein. This indemnity agreement will be in addition to any liability the Company may otherwise have.",indemnification-and-contribution
"Indemnification and Contribution. (a) The Company agrees to indemnify, defend and hold harmless each Underwriter, its affiliates, directors and officers and employees, and each person, if any, who controls such Underwriter within the meaning of Section 15 of the Securities Act or Section 20 of the Exchange Act, from and against any losses, claims, damages or liabilities to which such Underwriter or such person may become subject, under the Securities Act or otherwise (including in settlement of any litigation if such settlement is effected with the written consent of the Company), insofar as such losses, claims, damages or liabilities (or actions in respect thereof) arise out of or are based upon (i) an untrue statement or alleged untrue statement of a material fact contained in the Registration Statement, including the information deemed to be a part of the Registration Statement at the time of effectiveness and at any subsequent time pursuant to Rules 430A and 430B of the Rules and Regulations, or arise out of or are based upon the omission from the Registration Statement, or alleged omission to state therein, a material fact required to be stated therein or necessary to make the statements therein not misleading (ii) an untrue statement or alleged untrue statement of a material fact contained in the Time of Sale Disclosure Package, any Written Testing-the-Waters Communications, any Prospectus, the Final Prospectus, or any amendment or supplement thereto, any Issuer Free Writing Prospectus, or the Marketing Materials or in any other materials used in connection with the offering of the Securities, or arise out of or are based upon the omission or alleged omission to state therein a material fact required to be stated therein or necessary to make the statements therein, in light of the circumstances under which they were made, not misleading, (iii) in whole or in part, any inaccuracy in the representations and warranties of the Company contained herein, or (iv) in whole or in part, any failure of the Company to perform its obligations hereunder or under law, and will reimburse each Underwriter for any legal or other expenses reasonably incurred by it in connection with evaluating, investigating or defending against such loss, claim, damage, liability or action; provided, however, that the Company shall not be liable in any such case to the extent that any such loss, claim, damage, liability or action arises out of or is based upon an untrue statement or alleged untrue statement or omissio...",indemnification-and-contribution
"Indemnification and Contribution. A. The Issuer and the Guarantors jointly and severally agree to indemnify and hold harmless each Holder of Securities or Exchange Securities, as the case may be, covered by any Registration Statement (including each Initial Purchaser and each Affiliate thereof and, with respect to any Prospectus delivery as contemplated in Section 5(H) hereof, each Exchanging Dealer), the directors, officers, employees and agents of each such Holder and each Person who controls any such Holder within the meaning of either the Act or the Exchange Act against any and all losses, claims, damages or liabilities, joint or several, to which they or any of them may become subject under the Act, the Exchange Act or other Federal or state statutory law or regulation, at common law or otherwise, insofar as such losses, claims, damages or liabilities (or actions in respect thereof) arise out of or are based upon any untrue statement or alleged untrue statement of a material fact contained in the Registration Statement as originally filed or in any amendment thereof, or in any preliminary prospectus or the Prospectus, or in any amendment thereof or supplement thereto, or arise out of or are based upon the omission or alleged omission to state therein a material fact required to be stated therein or necessary to make the statements therein not misleading, and to reimburse each such indemnified party, as incurred, for any legal or other expenses reasonably incurred by them in connection with investigating or defending any such loss, claim, damage, liability or action; provided, however, that the Issuer and the Guarantors will not be liable in any case to the extent that any such loss, claim, damage or liability arises out of or is based upon any such untrue statement or alleged untrue statement or omission or alleged omission made therein in reliance upon and in conformity with written information furnished to the Issuer by or on behalf of any such Holder specifically for use therein; provided, further, that with respect to any untrue statement or omission of material fact made in any preliminary prospectus, the indemnity agreement contained in this Section 7(A) shall not inure to the benefit of any Holder from whom the Person asserting any such loss, claim, damage or liability purchased such Securities or Exchange Securities, as the case may be, to the extent that any such loss, claim, damage or liability of such Holder occurs under the circumstance where it shall have been determined ...",indemnification-and-contribution
"Indemnification and Contribution. (a) The Company and each Guarantor, jointly and severally, agree to indemnify and hold harmless each Initial Purchaser and each Holder, their respective affiliates, directors and officers and each Person, if any, who controls any Initial Purchaser or any Holder within the meaning of Section 15 of the Securities Act or Section 20 of the Exchange Act, from and against any and all losses, claims, damages and liabilities (including, without limitation, legal fees and other expenses incurred in connection with any suit, action or proceeding or any claim asserted, as such fees and expenses are incurred), joint or several, that arise out of, or are based upon, (1) any untrue statement or alleged untrue statement of a material fact contained in any Registration Statement or any omission or alleged omission to state therein a material fact required to be stated therein or necessary in order to make the statements therein not misleading, or (2) any untrue statement or alleged untrue statement of a material fact contained in any Prospectus, any Free Writing Prospectus or any “issuer information” (“Issuer Information”) filed or required to be filed pursuant to Rule 433(d) under the Securities Act, or any omission or alleged omission to state therein a material fact necessary in order to make the statements therein, in the light of the circumstances under which they were made, not misleading, in each case except insofar as such losses, claims, damages or liabilities arise out of, or are based upon, any untrue statement or omission or alleged untrue statement or omission made in reliance upon and in conformity with any information relating to any Initial Purchaser or information relating to any Holder furnished to the Company in writing through J.P. Morgan or any selling Holder, respectively, expressly for use therein. In connection with any Underwritten Offering permitted by Section 3, the Company and the Guarantors, jointly and severally, will also indemnify the Underwriters, if any, selling brokers, dealers and similar securities industry professionals participating in the distribution, their respective affiliates and each Person who controls such Persons (within the meaning of the Securities Act and the Exchange Act) to the same extent as provided above with respect to the indemnification of the Holders, if requested in connection with any Registration Statement, any Prospectus, any Free Writing Prospectus or any Issuer Information.",indemnification-and-contribution
"Indemnification and Contribution. (a) In the event of a registration of any of the Registrable Securities under the Securities Act pursuant to the terms of this Agreement, the Company will indemnify and hold harmless and pay and reimburse, each seller of such Registrable Securities thereunder, each underwriter of such Registrable Securities thereunder and each other person, if any, who controls such seller or underwriter within the meaning of the Securities Act, against any losses, claims, damages or liabilities, joint or several, to which such seller, underwriter or controlling person may become subject under the Securities Act or otherwise, insofar as such losses, claims, damages or liabilities (or actions in respect thereof) arise out of or are based upon any untrue statement or alleged untrue statement of any material fact contained in any Registration Statement under which such Registrable Securities were registered under the Securities Act pursuant hereto or any preliminary prospectus or final prospectus contained therein, or any amendment or supplement thereof, or arise out of or are based upon the omission or alleged omission to state therein a material fact required to be stated therein or necessary to make the statements therein not misleading, or any violation or alleged violation of the Securities Act or any state securities or “blue sky” laws and will reimburse each such seller, each such underwriter and each such controlling person for any legal or other expenses reasonably incurred by them in connection with investigating or defending any such loss, claim, damage, liability or action; provided, that the Company will not be liable in any such case if and to the extent that any such loss, claim, damage or liability arises out of or is based upon the Company’s reliance on an untrue statement or alleged untrue statement or omission or alleged omission so made in conformity with information furnished by any such seller, any such underwriter or any such controlling person in writing specifically for use in such Registration Statement or prospectus.",indemnification-and-contribution
"Indemnification and Contribution. (a) The Company will indemnify and hold harmless each Underwriter, its partners, directors and officers and each person, if any, who controls such Underwriter within the meaning of Section 15 of the Act, against any losses, claims, damages or liabilities, joint or several, to which such Underwriter may become subject, under the Act or otherwise, insofar as such losses, claims, damages or liabilities (or actions in respect thereof) arise out of or are based upon any untrue statement or alleged untrue statement of any material fact contained in the Registration Statement, the Prospectus, or any amendment or supplement thereto, or any related preliminary prospectus or preliminary prospectus supplement, or arise out of or are based upon the omission or alleged omission to state therein a material fact required to be stated therein or necessary to make the statements therein not misleading, and will reimburse each Underwriter for any legal or other expenses reasonably incurred by such Underwriter in connection with investigating or defending any such loss, claim, damage, liability or action as such expenses are incurred; provided, however, that the Company will not be liable in any such case to the extent that any such loss, claim, damage or liability arises out of or is based upon an untrue statement or alleged untrue statement in or omission or alleged omission from any of such documents in reliance upon and in conformity with written information furnished to the Company by any Underwriter through the Representatives, if any, specifically for use therein, it being understood and agreed that the only such information furnished by any Underwriter consists of the information described as such in the Terms Agreement.",indemnification-and-contribution
"Indemnification and Contribution. (a) The Company agrees to indemnify, defend and hold harmless each Underwriter and any person who controls any Underwriter within the meaning of Section 15 of the Act or Section 20 of the Exchange Act, and the respective directors, officers, employees and agents of each Underwriter from and against any loss, expense, liability, damage or claim (including the reasonable cost of investigation) which, jointly or severally, any such Underwriter or controlling person may incur under the Act, the Exchange Act or otherwise, insofar as such loss, expense, liability, damage or claim arises out of or is based upon any untrue statement or alleged untrue statement of a material fact contained in the Registration Statement (or any amendment), the Preliminary Prospectus, any Issuer Free Writing Prospectus that the Company has filed or was required to file with the Commission or is otherwise required to retain, the Prospectus, any “road show” as defined in Section 433(h) of the Act or any Written Testing-the-Waters Communication or in any amendment thereof or supplement thereto, or arise out of or are based upon the omission or alleged omission to state therein a material fact required to be stated therein or necessary to make the statements therein not misleading; provided, however, that the Company will not be liable in any such case to the extent that any loss, expense, liability, damage or claim arises out of or is based upon any untrue statement or alleged untrue statement or omission or alleged omission of a material fact contained in and in conformity with information furnished in writing by the Underwriters through the Representative to the Company specifically for inclusion therein. The indemnity agreement set forth in this Section 8(a) shall be in addition to any liability which the Company may otherwise have. If any action is brought against an Underwriter or controlling person in respect of which indemnity may be sought against the Company pursuant to this Section 8(a), such Underwriter shall promptly notify the Company in writing of the institution of such action, and the Company shall assume the defense of such action, including the employment of counsel and payment of expenses; provided, however, that any failure or delay to so notify the Company will not relieve the Company of any obligation hereunder, except to the extent that its ability to defend is actually impaired by such failure or delay. Such Underwriter or controlling person shall have the right ...",indemnification-and-contribution
"Indemnification and Contribution. (a) In the event of a registration of any Registrable Securities under the 1933 Act pursuant to Section 11, the Company will, to the extent permitted by law, indemnify and hold harmless the Seller, each officer of the Seller, each director of the Seller, each underwriter of such Registrable Securities thereunder and each other person, if any, who controls such Seller or underwriter within the meaning of the 1933 Act, against any losses, claims, damages or liabilities, joint or several, to which the Seller, or such underwriter or controlling person may become subject under the 1933 Act or otherwise, insofar as such losses, claims, damages or liabilities (or actions in respect thereof) arise out of or are based upon any untrue statement or alleged untrue statement of any material fact contained in any registration statement under which such Registrable Securities was registered under the 1933 Act pursuant to Section 11, any preliminary prospectus or final prospectus contained therein, or any amendment or supplement thereof, or arise out of or are based upon the omission or alleged omission to state therein a material fact required to be stated therein or necessary to make the statements therein not misleading in light of the circumstances when made, and will subject to the provisions of Section 11.6(c) reimburse the Seller, each such underwriter and each such controlling person for any legal or other expenses reasonably incurred by them in connection with investigating or defending any such loss, claim, damage, liability or action; provided, however, that the Company shall not be liable to the Seller to the extent that any such damages arise out of or are based upon an untrue statement or omission made in any preliminary prospectus if (i) the Seller failed to send or deliver a copy of the final prospectus delivered by the Company to the Seller with or prior to the delivery of written confirmation of the sale by the Seller to the person asserting the claim from which such damages arise, (ii) the final prospectus would have corrected such untrue statement or alleged untrue statement or such omission or alleged omission, or (iii) to the extent that any such loss, claim, damage or liability arises out of or is based upon an untrue statement or alleged untrue statement or omission or alleged omission so made in conformity with information furnished by any such Seller, or any such controlling person in writing specifically for use in such registration statement or...",indemnification-and-contribution
