clause_text,clause_type
"Indemnification by the Company. 8.1(a). The Company agrees to indemnify and hold harmless the Fund and each trustee of the Board and officers and each person, if any, who controls the Fund within the meaning of Section 15 of the 1933 Act (collectively, the ""Indemnified Parties"" for purposes of this Section 8.1) against any and all losses, claims, damages, liabilities (including amounts paid in settlement with the written consent of the Company) or litigation (including legal and other expenses), to which the Indemnified Parties may become subject under any statute, regulation, at common law or otherwise, insofar as such losses, claims, damages, liabilities or expenses (or actions in respect thereof) or settlements are related to the sale or acquisition of the Fund's shares or the Contracts and:",indemnification-by-the-company
"Indemnification by the Company. The Company agrees to indemnify and hold harmless each Investor and each other holder of Registrable Securities, and each of their respective officers, employees, affiliates, directors, partners, members, attorneys and agents, and each person, if any, who controls an Investor and each other holder of Registrable Securities (within the meaning of Section 15 of the Securities Act or Section 20 of the Exchange Act) (each, an “Investor Indemnified Party”), from and against any expenses, losses, judgments, claims, damages or liabilities, whether joint or several, arising out of or based upon any untrue statement (or allegedly untrue statement) of a material fact contained in any Registration Statement under which the sale of such Registrable Securities was registered under the Securities Act, any preliminary prospectus, final prospectus or summary prospectus contained in the Registration Statement, or any amendment or supplement to such Registration Statement, or arising out of or based upon any omission (or alleged omission) to state a material fact required to be stated therein or necessary to make the statements therein not misleading, or any violation by the Company of the Securities Act or any rule or regulation promulgated thereunder applicable to the Company and relating to action or inaction required of the Company in connection with any such registration; and the Company shall promptly reimburse the Investor Indemnified Party for any legal and any other expenses reasonably incurred by such Investor Indemnified Party in connection with investigating and defending any such expense, loss, judgment, claim, damage, liability or action; provided, however, that the Company will not be liable in any such case to the extent that any such expense, loss, claim, damage or liability arises out of or is based upon any untrue statement or allegedly untrue statement or omission or alleged omission made in such Registration Statement, preliminary prospectus, final prospectus, or summary prospectus, or any such amendment or supplement, in reliance upon and in conformity with information furnished to the Company, in writing, by such selling holder expressly for use therein. The Company also shall indemnify any Underwriter of the Registrable Securities, their officers, affiliates, directors, partners, members and agents and each person who controls such Underwriter on substantially the same basis as that of the indemnification provided above in this Section 4.1.",indemnification-by-the-company
"Indemnification by the Company. The Company shall, notwithstanding any termination of this Agreement, indemnify and hold harmless each Holder, the officers, directors, members, partners, agents, brokers (including brokers who offer and sell Registrable Securities as principal as a result of a pledge or any failure to perform under a margin call of Common Stock), investment advisors and employees (and any other Persons with a functionally equivalent role of a Person holding such titles, notwithstanding a lack of such title or any other title) of each of them, each Person who controls any such Holder (within the meaning of Section 15 of the Securities Act or Section 20 of the Exchange Act) and the officers, directors, members, stockholders, partners, agents and employees (and any other Persons with a functionally equivalent role of a Person holding such titles, notwithstanding a lack of such title or any other title) of each such controlling Person, to the fullest extent permitted by applicable law, from and against any and all losses, claims, damages, liabilities, costs (including, without limitation, reasonable attorneys’ fees) and expenses (collectively, “Losses”), as incurred, arising out of or relating to (1) any untrue or alleged untrue statement of a material fact contained in a Registration Statement, any Prospectus or any form of prospectus or in any amendment or supplement thereto or in any preliminary prospectus, or arising out of or relating to any omission or alleged omission of a material fact required to be stated therein or necessary to make the statements therein (in the case of any Prospectus or supplement thereto, in light of the circumstances under which they were made) not misleading or (2) any violation or alleged violation by the Company of the Securities Act, the Exchange Act or any state securities law, or any rule or regulation thereunder, in connection with the performance of its obligations under this Agreement, except to the extent, but only to the extent, that (i) such untrue statements or omissions are based solely upon information regarding such Holder furnished in writing to the Company by such Holder expressly for use therein, or to the extent that such information relates to such Holder or such Holder’s proposed method of distribution of Registrable Securities and was reviewed and expressly approved in writing by such Holder expressly for use in a Registration Statement, such Prospectus or in any amendment or supplement thereto (it being understood that t...",indemnification-by-the-company
"Indemnification by the Company. The Company shall, notwithstanding any termination of this Agreement, indemnify and hold harmless each Holder, the officers, directors, agents, investment advisors, partners, members and employees of each of them, each Person who controls any such Holder (within the meaning of Section 15 of the Securities Act or Section 20 of the Exchange Act) and the officers, directors, agents and employees of each such controlling Person, to the fullest extent permitted by applicable law, from and against any and all losses, claims, damages, liabilities, costs (including, without limitation, reasonable costs of preparation and reasonable attorneys' fees) and expenses (collectively, ""Losses""), as incurred, arising out of or relating to any untrue or alleged untrue statement of a material fact contained in any Registration Statement, any Prospectus or any form of prospectus or in any amendment or supplement thereto or in any preliminary prospectus, or arising out of or relating to any omission or alleged omission of a material fact required to be stated therein or necessary to make the statements therein (in the case of any Prospectus or form of prospectus or supplement thereto, in light of the circumstances under which they were made) not misleading, except to the extent, but only to the extent, that (1) such untrue statements or omissions are based solely upon information regarding such Holder furnished in writing to the Company by such Holder expressly for use therein, or to the extent that such information relates to such Holder or such Holder's proposed method of distribution of Registrable Securities and was reviewed and expressly approved in writing by such Holder expressly for use in the Registration Statement, such Prospectus or such form of Prospectus or in any amendment or supplement thereto (it being understood that the Holder has approved Annex A hereto for this purpose) or (2) in the case of an occurrence of an event of the type specified in Section 3(c)(ii)-(v), the use by such Holder of an outdated or defective Prospectus after the Company has notified such Holder in writing that the Prospectus is outdated or defective and prior to the receipt by such Holder of an Advice or an amended or supplemented Prospectus, but only if and to the extent that following the receipt of the Advice or the amended or supplemented Prospectus the misstatement or omission giving rise to such Loss would have been corrected. The Company shall notify the Holders promptly of the i...",indemnification-by-the-company
"Indemnification by the Company. The Company will indemnify and hold harmless each Investor and its officers, directors, members, employees and agents, successors and assigns, and each other person, if any, who controls such Investor within the meaning of the 1933 Act, against any losses, claims, damages or liabilities, joint or several, to which they may become subject under the 1933 Act or otherwise, insofar as such losses, claims, damages or liabilities (or actions in respect thereof) arise out of or are based upon: (i) any untrue statement or alleged untrue statement of any material fact contained in any Registration Statement, any preliminary prospectus or final prospectus contained therein, or any amendment or supplement thereof; (ii) any blue sky application or other document executed by the Company specifically for that purpose or based upon written information furnished by the Company filed in any state or other jurisdiction in order to qualify any or all of the Registrable Securities under the securities laws thereof (any such application, document or information herein called a “Blue Sky Application”); (iii) the omission or alleged omission to state therein a material fact required to be stated therein or necessary to make the statements therein not misleading; (iv) any violation by the Company or its agents of any rule or regulation promulgated under the 1933 Act applicable to the Company or its agents and relating to action or inaction required of the Company in connection with such registration; or (v) any failure to register or qualify the Registrable Securities included in any such Registration in any state where the Company or its agents has affirmatively undertaken or agreed in writing that the Company will undertake such registration or qualification on an Investor’s behalf and will reimburse such Investor, and each such officer, director or member and each such controlling person for any legal or other expenses reasonably incurred by them in connection with investigating or defending any such loss, claim, damage, liability or action; provided, however, that the Company will not be liable in any such case if and to the extent that any such loss, claim, damage or liability arises out of or is based upon an untrue statement or alleged untrue statement or omission or alleged omission so made in conformity with information furnished by such Investor or any such controlling person in writing specifically for use in such Registration Statement or Prospectus.",indemnification-by-the-company
"Indemnification by the Company. The Company shall, notwithstanding any termination of this Agreement, indemnify and hold harmless each Holder, the officers, directors, agents, brokers (including brokers who offer and sell Registrable Securities as principal as a result of a pledge or any failure to perform under a margin call of Common Stock), investment advisors and employees of each of them, each Person who controls any such Holder (within the meaning of Section 15 of the Securities Act or Section 20 of the Exchange Act) and the officers, directors, agents and employees of each such controlling Person, to the fullest extent permitted by applicable law, from and against any and all losses, claims, damages, liabilities, costs (including, without limitation, reasonable attorneys’ fees) and expenses (collectively, “Losses”), as incurred, arising out of or relating to any untrue or alleged untrue statement of a material fact contained in a Registration Statement, any Prospectus or any form of prospectus or in any amendment or supplement thereto or in any preliminary prospectus, or arising out of or relating to any omission or alleged omission of a material fact required to be stated therein or necessary to make the statements therein (in the case of any Prospectus or form of prospectus or supplement thereto, in light of the circumstances under which they were made) not misleading, except to the extent, but only to the extent, that (i) such untrue statements or omissions are based solely upon information regarding such Holder furnished in writing to the Company by such Holder expressly for use therein, or to the extent that such information relates to such Holder or such Holder’s proposed method of distribution of Registrable Securities and was reviewed and expressly approved in writing by such Holder expressly for use in a Registration Statement, such Prospectus or such form of Prospectus or in any amendment or supplement thereto (it being understood that the Holder has approved Annex A hereto for this purpose) or (ii) in the case of an occurrence of an event of the type specified in Section 3(d)(ii)-(vi), the use by such Holder of an outdated or defective Prospectus after the Company has notified such Holder in writing that the Prospectus is outdated or defective and prior to the receipt by such Holder of the Advice contemplated in Section 6(d). The Company shall notify the Holders promptly of the institution, threat or assertion of any Proceeding arising from or in connection with the tra...",indemnification-by-the-company
"Indemnification by the Company. The Company agrees to indemnify and hold harmless the Trust and each of its Trustees, officers, employees and agents and each person, if any, who controls the Trust within the meaning of Section 15 of the 1933 Act (collectively, the ""Indemnified Parties"" for purposes of this Article V) against any and all losses, claims, damages, liabilities (including amounts paid in settlement with the written consent of the Company) or expenses (including the reasonable costs of investigating or defending any alleged loss, claim, damage, liability or expense and reasonable legal counsel fees incurred in connection therewith) (collectively, ""Losses""), to which the Indemnified Parties may become subject under any statute or regulation, or at common law or otherwise, insofar as such Losses:",indemnification-by-the-company
"Indemnification by the Company. The Company shall indemnify the Depositary, any Depositary's Agent and the Registrar against, and hold each of them harmless from, any loss, liability or expense (including the reasonable costs and expenses of defending itself) which may arise out of acts performed or omitted in connection with this Deposit Agreement and the Receipts by the Depositary, any Registrar or any of their respective agents (including any Depositary's Agent), except for any liability arising out of gross negligence, willful misconduct or bad faith on the respective parts of any such person or persons. The obligations of the Company set forth in this Section 5.6 shall survive any succession of any Depositary or Depositary's Agent.",indemnification-by-the-company
"Indemnification by the Company. In the event of any registration of any securities of the Company under the 1933 Act, the Company will, and hereby does agree to indemnify and hold harmless the holder of any Registrable Securities covered by such registration statement, its directors and officers, each other Person who participates as an underwriter in the offering or sale of such securities and each other Person, if any, who controls such holder or any such underwriter within the meaning of the 1933 Act against any losses, claims, damages or liabilities, joint or several, to which such holder or any such director or officer or underwriter or controlling person may become subject under the 1933 Act or otherwise, insofar as such losses, claims, damages or liabilities (or actions or proceedings, whether commenced or threatened, in respect thereof) arise out of or are based upon any untrue statement or alleged untrue statement of any material fact contained in any registration statement under which such securities were registered under the 1933 Act, any preliminary prospectus, final prospectus or summary prospectus contained therein, or any amendment or supplement thereto, or any omission or alleged omission to state therein a material fact required to be stated therein or necessary to make the statements therein not misleading, and the Company will reimburse such holder and each such director, officer, underwriter and controlling person for any legal or any other expenses reasonably incurred by them in connection with investigating or defending any such loss, claim, liability, action or proceeding, provided that the Company shall not be liable in any such case to the extent that any such loss, claim, damage, liability, (or action or proceeding in respect thereof) or expense arises out of or is based upon an untrue statement or alleged untrue statement or omission or alleged omission made in such registration statement, any such preliminary prospectus, final prospectus, summary prospectus, amendment or supplement in reliance upon and in conformity with written information furnished to the Company by such holder or underwriter stating that it is for use in the preparation thereof and, provided further that the Company shall not be liable to any Person who participates as an underwriter in the offering or sale of Registrable Securities or to any other Person, if any, who controls such underwriter within the meaning of the 1933 Act, in any such case to the extent that any such loss, claim, dama...",indemnification-by-the-company
"Indemnification by the Company. The Company agrees to indemnify and hold harmless, to the fullest extent permitted by law, each Holder and such Holder’s officers, directors, employees, advisors, Affiliates and agents and each Person who controls (within the meaning of the Securities Act or the Exchange Act) such Holder from and against any and all losses, claims, damages, liabilities (or actions in respect thereof, whether or not such indemnified party is a party thereto) and expenses, joint or several (including reasonable costs of investigation and legal expenses) (each, a “Loss” and collectively “Losses”) arising out of or based upon (i) any untrue or alleged untrue statement of a material fact contained in any Registration Statement under which the sale of such Registrable Securities was Registered under the Securities Act (including any final or preliminary Prospectus contained therein or any amendment thereof or supplement thereto or any documents incorporated by reference therein), or any such statement made in any free writing prospectus (as defined in Rule 405 under the Securities Act) that the Company has filed or is required to file pursuant to Rule 433(d) of the Securities Act, or (ii) any omission or alleged omission to state therein a material fact required to be stated therein or necessary to make the statements therein (in the case of a Prospectus, preliminary Prospectus or free writing prospectus, in light of the circumstances under which they were made) not misleading; provided, however, that the Company shall not be liable to any particular indemnified party in any such case to the extent that any such Loss arises out of or is based upon an untrue statement or alleged untrue statement or omission or alleged omission made in any such Registration Statement in reliance upon and in conformity with written information furnished to the Company by such indemnified party expressly for use in the preparation thereof. This indemnity shall be in addition to any liability the Company may otherwise have. Such indemnity shall remain in full force and effect regardless of any investigation made by or on behalf of such Holder or any indemnified party and shall survive the transfer of such securities by such Holder.",indemnification-by-the-company
