clause_text,clause_type
Indemnification. In the event any Registrable Securities are included in a Registration Statement under this Agreement:,indemnification
"Indemnification. The Issuer agrees to indemnify and hold harmless Distributors and each of its directors and officers and each person, if any, who controls Distributors within the meaning of Section 15 of the 1933 Act against any loss, liability, claim, damages or expense (including the reasonable cost of investigating or defending any alleged loss, liability, claim, damages, or expense and reasonable counsel fees incurred in connection therewith) arising by reason of any person acquiring any shares, based upon the ground that the registration statement, Prospectus, Statement of Additional Information, shareholder reports or other information filed or made public by the Issuer (as from time to time amended) included an untrue statement of a material fact or omitted to state a material fact required to be stated or necessary in order to make the statements not misleading under the 1933 Act, or any other statute or the common law. However, the Issuer does not agree to indemnify Distributors or hold it harmless to the extent that the statement or omission was made in reliance upon, and in conformity with, information furnished to the Issuer by or on behalf of Distributors. In no case (i) is the indemnity of the Issuer in favor of Distributors or any person indemnified to be deemed to protect Distributors or any person against any liability to the Issuer or its security holders to which Distributors or such person would otherwise be subject by reason of wilful misfeasance, bad faith or gross negligence in the performance of its duties or by reason of its reckless disregard of its obligations and duties under this Agreement, or (ii) is the Issuer to be liable under its indemnity agreement contained in this paragraph with respect to any claim made against Distributors or any person indemnified unless Distributors or person, as the case may be, shall have notified the Issuer in writing of the claim within a reasonable time after the summons or other first written notification giving information of the nature of the claim shall have been served upon Distributors or any such person (or after Distributors or such person shall have received notice of service on any designated agent). However, failure to notify the Issuer of any claim shall not relieve the Issuer from any liability which it may have to Distributors or any person against whom such action is brought otherwise than on account of its indemnity agreement contained in this paragraph. The Issuer shall be entitled to particip...",indemnification
"Indemnification. Notwithstanding any contrary provision contained in this Agreement, any election hereunder or any termination of this Agreement, and whether or not this Agreement is otherwise carried out, the provisions of Section 5 shall not be in any way affected by such election or termination or failure to carry out the terms of this Agreement or any part hereof.",indemnification
"Indemnification. 4.1.1 The Company agrees to indemnify, to the extent permitted by law, each Holder of Registrable Securities, its officers and directors and each person who controls such Holder (within the meaning of the Securities Act) against all losses, claims, damages, liabilities and expenses (including attorneys’ fees) caused by any untrue or alleged untrue statement of material fact contained in any Registration Statement, Prospectus or preliminary Prospectus or any amendment thereof or supplement thereto or any omission or alleged omission of a material fact required to be stated therein or necessary to make the statements therein not misleading, except insofar as the same are caused by or contained in any information furnished in writing to the Company by such Holder expressly for use therein. The Company shall indemnify the Underwriters, their officers and directors and each person who controls such Underwriters (within the meaning of the Securities Act) to the same extent as provided in the foregoing with respect to the indemnification of the Holder.",indemnification
"Indemnification. The Depositor shall be liable as primary obligor for, and shall indemnify the Owner Trustee and its successors, assigns, agents and servants (collectively, the ""Indemnified Parties"") from and against, any and all liabilities, obligations, losses, damages, taxes, claims, actions and suits, and any and all reasonable costs, expenses and disbursements (including reasonable legal fees and expenses) of any kind and nature whatsoever (collectively, ""Expenses"") which may at any time be imposed on, incurred by, or asserted against the Owner Trustee or any Indemnified Party in any way relating to or arising out of this Agreement, the Basic Documents, the Owner Trust Estate, the administration of the Owner Trust Estate or the action or inaction of the Owner Trustee hereunder, except only that the Depositor shall not be liable for or required to indemnify an Indemnified Party from and against Expenses arising or resulting from any of the matters described in the third sentence of Section 7.01. The indemnities contained in this Section shall survive the resignation or termination of the Owner Trustee or the termination of this Agreement. In any event of any claim, action or proceeding for which indemnity will be sought pursuant to this Section, the Owner Trustee's choice of legal counsel shall be subject to the approval of the Depositor, which approval shall not be unreasonably withheld.",indemnification
Indemnification. In the event any Registrable Securities are included in a registration statement under this Section 1:,indemnification
"Indemnification. Each of the Master Servicer, the Special Servicer, the Trustee, the Certificate Administrator, the Custodian, the Operating Advisor and the Asset Representations Reviewer shall indemnify and hold harmless each Certification Party from and against any claims, losses, damages, penalties, fines, forfeitures, legal fees and expenses and related costs, judgments and other costs and expenses incurred by such Certification Party arising out of (i) an actual breach by the Master Servicer, the Special Servicer, the Trustee, the Operating Advisor, the Asset Representations Reviewer, the Custodian or the Certificate Administrator, as the case may be, of its obligations under this Article XI, (ii) negligence, bad faith or willful misconduct on the part of the Master Servicer, the Special Servicer, the Trustee, the Asset Representations Reviewer, the Operating Advisor, the Custodian or the Certificate Administrator in the performance of such obligations, or (iii) delivery of any Deficient Exchange Act Deliverable by, or on behalf of, such party. The Master Servicer, the Special Servicer, the Trustee, the Operating Advisor and the Certificate Administrator shall (i) with respect to any Initial Sub-Servicer engaged by the Master Servicer, the Special Servicer, Trustee or Certificate Administrator that is a Servicing Function Participant or Additional Servicer, use commercially reasonable efforts to cause such party to, and (ii) with respect to each other Additional Servicer and each Servicing Function Participant with which, in each case, it has entered into a servicing relationship with respect to the Mortgage Loans, cause such party to, in each case, indemnify and hold harmless each Certification Party from and against any and all claims, losses, damages, penalties, fines, forfeitures, legal fees and expenses and related costs, judgments and any other costs, fees and expenses incurred by such Certification Party arising out of (a) a breach of its obligations to provide any of the annual compliance statements or annual assessment of compliance with the servicing criteria or attestation reports pursuant to the applicable sub-servicing or primary servicing agreement, (b) negligence, bad faith or willful misconduct on its part in the performance of such obligations, (c) any failure by it, as a Servicer (as defined in Section 11.02(b)) to identify a Servicing Function Participant pursuant to Section 11.02(c), or (d) delivery of any Deficient Exchange Act Deliverable. In add...",indemnification
"Indemnification. (a) To the fullest extent permitted by law but subject to the limitations expressly provided in this Agreement, all Indemnitees shall be indemnified and held harmless by the Partnership from and against any and all losses, claims, damages, liabilities, joint or several, expenses (including legal fees and expenses), judgments, fines, penalties, interest, settlements or other amounts arising from any and all threatened, pending or completed claims, demands, actions, suits or proceedings, whether civil, criminal, administrative or investigative, and whether formal or informal and including appeals, in which any Indemnitee may be involved, or is threatened to be involved, as a party or otherwise, by reason of its status as an Indemnitee and acting (or refraining to act) in such capacity on behalf of or for the benefit of the Partnership; provided, that the Indemnitee shall not be indemnified and held harmless pursuant to this Agreement if there has been a final and non-appealable judgment entered by a court of competent jurisdiction determining that, in respect of the matter for which the Indemnitee is seeking indemnification pursuant to this Agreement, the Indemnitee acted in bad faith or engaged in intentional fraud, willful misconduct or, in the case of a criminal matter, acted with knowledge that the Indemnitee’s conduct was unlawful; provided, further, no indemnification pursuant to this Section 7.7 shall be available to any Affiliate of the General Partner (other than a Group Member), or to any other Indemnitee, with respect to any such Affiliate’s obligations pursuant to the Transaction Documents. Any indemnification pursuant to this Section 7.7 shall be made only out of the assets of the Partnership, it being agreed that the General Partner shall not be personally liable for such indemnification and shall have no obligation to contribute or loan any monies or property to the Partnership to enable it to effectuate such indemnification.",indemnification
"Indemnification. (a) The Manager agrees to indemnify and hold harmless the Sub-Adviser, any affiliated person of the Sub-Adviser, and each person, if any, who, within the meaning of Section 15 of the 1933 Act controls (""controlling person"") the Sub-Adviser (all of such persons being referred to as ""Sub-Adviser Indemnified Persons"") against any and all losses, claims, damages, liabilities, or litigation (including legal and other expenses) to which a Sub-Adviser Indemnified Person may become subject under the 1933 Act, the 1940 Act, the Advisers Act, under any other statute, at common law or otherwise, arising out of the Manager's responsibilities to the Fund which (1) may be based upon the Manager's negligence, willful misfeasance, or bad faith in the performance of its duties (which could include a negligent action or a negligent omission to act), or by reason of the Manager's reckless disregard of its obligations and duties under this Agreement, or (2) may be based upon any untrue statement or alleged untrue statement of a material fact contained in the Registration Statement or prospectus covering shares of the Fund or any Series, or any amendment thereof or any supplement thereto, or the omission or alleged omission to state therein a material fact required to be stated therein or necessary to make the statements therein not misleading, unless such statement or omission was made in reliance upon information furnished to the Manager or the Fund or to any affiliated person of the Manager by a Sub-Adviser Indemnified Person; provided however, that in no case shall the indemnity in favor of the Sub-Adviser Indemnified Person be deemed to protect such person against any liability to which any such person would otherwise be subject by reason of willful misfeasance, bad faith, or gross negligence in the performance of its duties, or by reason of its reckless disregard of obligations and duties under this Agreement.",indemnification
"Indemnification. The Guarantor agrees to indemnify each Indemnified Person for, and to hold each Indemnified Person harmless against, any loss, liability or expense incurred without negligence or bad faith on its part, arising out of or in connection with the acceptance or administration of the trust or trusts hereunder, including the costs and expenses (including reasonable legal fees and expenses) of defending itself against, or investigating, any claim or liability in connection with the exercise or performance of any of its powers or duties hereunder. The obligation to indemnify as set forth in this Section 8.2 shall survive the termination of this Preferred Securities Guarantee.",indemnification
