clause_text,clause_type
"Independent Contractor. In the performance of its services hereunder, the Subadviser is and shall be an independent contractor and unless otherwise expressly provided herein or otherwise authorized in writing, shall have no authority to act for or represent the Fund, the Trust or the Adviser in any way or otherwise be deemed an agent of the Fund, the Trust or the Adviser.",independent-contractor
"Independent Contractor. The execution of this Agreement and the rendering of services prescribed by this Agreement do not change the independent status of H-GAC or the Contractor. No provision of this Agreement or act of H- GAC in performance of the Agreement shall be construed as making the Contractor the agent, servant or employee of H-GAC, the State of Texas or the United States Government. Employees of the Contractor are subject to the exclusive control and supervision of the Contractor. The Contractor is solely responsible for employee related disputes and discrepancies, including employee payrolls and any claims arising therefrom.",independent-contractor
"Independent Contractor. The Advisor shall, for all purposes herein, be deemed to be an independent contractor, and shall, unless otherwise expressly provided and authorized to do so, have no authority to act for or represent the Trust or the Fund in any way, or in any way be deemed an agent for the Trust or for the Fund. It is expressly understood and agreed that the services to be rendered by the Advisor to the Fund under the provisions of this Agreement are not to be deemed exclusive, and the Advisor shall be free to render similar or different services to others so long as its ability to render the services provided for in this Agreement shall not be impaired thereby.",independent-contractor
"Independent Contractor. The Subadviser shall for all purposes herein be deemed to be an independent contractor and shall, unless otherwise expressly provided herein or authorized by the Investment Adviser from time to time, have no authority to act for or represent the Investment Adviser in any way or otherwise be deemed its agent. The Subadviser understands that unless provided herein or authorized from time to time by the Trust, the Subadviser shall have no authority to act for or represent the Trust in any way or otherwise be deemed the Trust’s agent.",independent-contractor
"Independent Contractor. Distributor shall be an independent contractor. Neither Distributor nor any of its officers, directors, employees or representatives is or shall be an employee of a Fund in connection with the performance of Distributor’s duties hereunder. Distributor shall be responsible for its own conduct and the employment, control, compensation and conduct of its agents and employees, and for any injury to such agents or employees or to others through its agents and employees. Any obligations of Distributor hereunder may be performed by one or more of the Distributor’s affiliates or designees.",independent-contractor
"Independent Contractor. Contractor shall be considered an independent contractor and neither Contractor, its employees, nor anyone working under Contractor shall be considered an agent or an employee of County. Neither Contractor, its employees nor anyone working under Contractor shall qualify for workers’ compensation or other fringe benefits of any kind through County.",independent-contractor
"Independent Contractor. The Contractor and its employees, agents, representatives, and subcontractors are independent contractors and not employees or agents of the State of Florida and are not entitled to State of Florida benefits. The Department and Customer will not be bound by any acts or conduct of the Contractor or its employees, agents, representatives, or subcontractors. The Contractor agrees to include this provision in all its subcontracts under the Contract.",independent-contractor
"Independent Contractor. The Sub-Adviser shall for all purposes herein be deemed to be an independent contractor and shall, unless otherwise expressly provided or authorized, have no authority to act for or be deemed an agent of the Fund.",independent-contractor
"Independent Contractor. You will undertake and discharge your obligations hereunder as an independent contractor and shall have no authority or power to obligate or bind us by your actions, conduct or contracts except that you are authorized to promote the sale of Shares. You may appoint sub-agents or distribute through dealers or otherwise as you may determine from time to time, but this Agreement shall not be construed as authorizing any dealer or other person to accept orders for sale or repurchase on our behalf or otherwise act as our agent for any purpose.",independent-contractor
"Independent Contractor. Contractor agrees and stipulates that in performing this Contract, it is acting as an Independent Contractor, and that no relationship of employer and employee, partnership or joint venture is created by this Contract. Contractor has exclusive control over work hours, location, and other details of such services, and MPS’s sole interest is to ensure that said service shall be performed and rendered in a competent, safe, efficient, timely and satisfactory manner in accordance with the terms of this Contract. Contractor has the sole obligation to provide for and pay any contribution or taxes required by federal, state or local authorities imposed on or measured by income. Contractor specifically covenant not to file any complaint, charge, or claim with any local, state or federal agency or court in which Contractor claims to be or to have been an employee of MPS during the period of time covered by this Contract and that if any such agency or court assumes jurisdiction of any complaint, charge or claim against MPS on Contractor’s behalf, Contractor will request such agency or court to dismiss such matter. MPS shall not be charged any obligation or responsibility whatsoever of extending any fringe benefits which may be extended to MPS employees, including any insurance, or pension plans. Contractor further agrees that MPS is not to be charged with the obligation or responsibility of extending any fringe benefits such as hospital, medical and life insurance, or pension plans which may be extended to employees of MPS from time-to-time and further agree to indemnify and hold harmless MPS and all its employees, officers and agents from any liability for personal injuries, including death, or for damage to or loss of personal property, which might occur as a result of the performance of the services provided for under this Contract.",independent-contractor
