clause_text,clause_type
"Information. The Buyer and its advisors, if any, have been, and for so long as the Note remain outstanding will continue to be, furnished with all materials relating to the business, finances and operations of the Company and materials relating to the offer and sale of the Securities which have been requested by the Buyer or its advisors. The Buyer and its advisors, if any, have been, and for so long as the Note remain outstanding will continue to be, afforded the opportunity to ask questions of the Company. Notwithstanding the foregoing, the Company has not disclosed to the Buyer any material nonpublic information and will not disclose such information unless such information is disclosed to the public prior to or promptly following such disclosure to the Buyer. Neither such inquiries nor any other due diligence investigation conducted by Buyer or any of its advisors or representatives shall modify, amend or affect Buyer’s right to rely on the Company’s representations and warranties contained in Section 3 below. The Buyer understands that its investment in the Securities involves a significant degree of risk. The Buyer is not aware of any facts that may constitute a breach of any of the Company's representations and warranties made herein.",information
"Information. The holders of Registrable Securities shall provide such information as may reasonably be requested by the Company, or the managing Underwriter, if any, in connection with the preparation of any Registration Statement, including amendments and supplements thereto, in order to effect the registration of any Registrable Securities under the Securities Act pursuant to Section 2 and in connection with the Company’s obligation to comply with federal and applicable state securities laws.",information
"Information. Such Buyer and its advisors, if any, have been furnished with all materials relating to the business, finances and operations of the Company and materials relating to the offer and sale of the Securities that have been requested by such Buyer. Such Buyer and its advisors, if any, have been afforded the opportunity to ask questions of the Company. Neither such inquiries nor any other due diligence investigations conducted by such Buyer or its advisors, if any, or its representatives shall modify, amend or affect such Buyer’s right to rely on the Company’s representations and warranties contained herein. Such Buyer understands that its investment in the Securities involves a high degree of risk. Such Buyer has sought such accounting, legal and tax advice as it has considered necessary to make an informed investment decision with respect to its acquisition of the Securities.",information
"Information. The Mortgage Loan Seller shall provide the Purchaser with such information about itself, the Mortgage Loans and the underwriting and servicing procedures applicable to the Mortgage Loans as is (i) required under the provisions of Regulation AB, (ii) required by a Rating Agency or a governmental agency or body or (iii) reasonably requested by the Purchaser for use in a private disclosure document.",information
"Information. Each Guarantor assumes all responsibility for being and keeping itself informed of the Borrower’s and each other Loan Party’s financial condition and assets and of all other circumstances bearing upon the risk of nonpayment of the Obligations and the nature, scope and extent of the risks that such Guarantor assumes and incurs hereunder, and agrees that neither the Collateral Agent nor any other Secured Party will have any duty to advise such Guarantor of information known to it or any of them regarding such circumstances or risks.",information
"Information. All information provided by the Company in its FINRA questionnaire to Representative Counsel specifically for use by Representative Counsel in connection with its Public Offering System filings (and related disclosure) with FINRA is true, correct and complete in all material respects.",information
"Information. The Buyer has been furnished with all materials relating to the business, finances and operations of the Company and materials relating to the offer and sale of the Securities that have been reasonably requested by the Buyer, including, without limitation, the SEC Documents (as defined in Section 3(f) hereof). The Buyer understands that its investment in the Securities involves a high degree of risk. The Buyer (i) is able to bear the economic risk of an investment in the Securities including a total loss, (ii) has such knowledge and experience in financial and business matters that it is capable of evaluating the merits and risks of the proposed investment in the Securities and (iii) has had an opportunity to ask questions of and receive answers from the officers of the Company concerning the financial condition and business of the Company and other matters related to an investment in the Securities. Neither such inquiries nor any other due diligence investigations conducted by the Buyer or its representatives shall modify, amend or affect the Buyer’s right to rely on the Company’s representations and warranties contained in Section 3 below. The Buyer has sought such accounting, legal and tax advice as it has considered necessary to make an informed investment decision with respect to its acquisition of the Securities.",information
"Information. The Assuming Institution promptly shall provide to the Corporation such other information, including financial statements and computations, relating to the performance of the provisions of this Agreement as the Corporation or the Receiver may request from time to time, and, at the request of the Receiver, make available employees of the Failed Bank employed or retained by the Assuming Institution to assist in preparation of the pro forma statement pursuant to Section 8.1.",information
"Information. The Investor and its advisors (and its counsel), if any, have been furnished with all materials relating to the business, finances and operations of the Company and information it deemed material to making an informed investment decision. The Investor and its advisors, if any, have been afforded the opportunity to ask questions of the Company and its management. Neither such inquiries nor any other due diligence investigations conducted by such Investor or its advisors, if any, or its representatives shall modify, amend or affect the Investor's right to rely on the Company's representations and warranties contained in this Agreement. The Investor understands that its investment involves a high degree of risk. The Investor is in a position regarding the Company, which, based upon employment, family relationship or economic bargaining power, enabled and enables such Investor to obtain information from the Company in order to evaluate the merits and risks of this investment. The Investor has sought such accounting, legal and tax advice, as it has considered necessary to make an informed investment decision with respect to this transaction.",information
"Information. Each Loan Guarantor assumes all responsibility for being and keeping itself informed of the Borrower’s financial condition and assets, and of all other circumstances bearing upon the risk of nonpayment of the Guaranteed Obligations and the nature, scope and extent of the risks that each Loan Guarantor assumes and incurs under this Loan Guaranty, and agrees that none of the Administrative Agent, the Issuing Bank or any Lender shall have any duty to advise any Loan Guarantor of information known to it regarding those circumstances or risks.",information
