clause_text,clause_type
"Injunctive Relief. Without intending to limit the remedies available to the Company, the Executive acknowledges that a breach of any of the covenants contained in Section 7 hereof may result in material irreparable injury to the Company or its subsidiaries or affiliates for which there is no adequate remedy at law, that it will not be possible to measure damages for such injuries precisely and that, in the event of such a breach or threat thereof, the Company shall be entitled to obtain a temporary restraining order and/or a preliminary or permanent injunction, without the necessity of proving irreparable harm or injury as a result of such breach or threatened breach of Section 7 hereof, restraining the Executive from engaging in activities prohibited by Section 7 hereof or such other relief as may be required specifically to enforce any of the covenants in Section 7 hereof. Notwithstanding any other provision to the contrary, the Restricted Period shall be tolled during any period of violation of any of the covenants in Section 7(b) or Section 7(c) hereof and during any other period required for litigation during which the Company seeks to enforce this covenant against the Executive if it is ultimately determined that such person was in breach of such covenants.",injunctive-relief
"Injunctive Relief. It is recognized and acknowledged by the Executive that a breach of the covenants contained in Sections 7 and 8 will cause irreparable damage to the Company and its goodwill, the exact amount of which will be difficult or impossible to ascertain, and that the remedies at law for any such breach will be inadequate. Accordingly, the Executive agrees that in the event of a breach of any of the covenants contained in Sections 7 and 8, in addition to any other remedy which may be available at law or in equity, the Company shall be entitled to specific performance and injunctive relief.",injunctive-relief
"Injunctive Relief. It is hereby agreed and acknowledged that it will be impossible to measure in money the damage that would be suffered if the parties fail to comply with any of the obligations herein imposed on them and that in the event of any such failure, an aggrieved Person will be irreparably damaged and will not have an adequate remedy at law. Any such Person shall, therefore, be entitled (in addition to any other remedy to which it may be entitled in law or in equity) to injunctive relief, including specific performance, to enforce such obligations, and if any action should be brought in equity to enforce any of the provisions of this Agreement, none of the parties hereto shall raise the defense that there is an adequate remedy at law.",injunctive-relief
"Injunctive Relief. Each Borrower recognizes that, in the event any Borrower fails to perform, observe or discharge any of its obligations or liabilities under this Agreement, or threatens to fail to perform, observe or discharge such obligations or liabilities, any remedy at law may prove to be inadequate relief to Lenders; therefore, Agent, if Agent so requests, shall be entitled to temporary and permanent injunctive relief in any such case without the necessity of proving that actual damages are not an adequate remedy.",injunctive-relief
"Injunctive Relief. Each of the parties hereto acknowledges that in the event of a breach by any of them of any material provision of this Agreement, the aggrieved party may be without an adequate remedy at law. Each of the parties therefore agrees that in the event of such a breach hereof the aggrieved party may elect to institute and prosecute proceedings in any court of competent jurisdiction to enforce specific performance or to enjoin the continuing breach hereof. By seeking or obtaining any such relief, the aggrieved party shall not be precluded from seeking or obtaining any other relief to which it may be entitled.",injunctive-relief
"Injunctive Relief. The Borrower recognizes that, in the event the Borrower fails to perform, observe or discharge any of its obligations or liabilities under this Agreement, any remedy of law may prove to be inadequate relief to the Lenders. Therefore, the Borrower agrees that the Lenders, at the Lenders’ option, shall be entitled to temporary and permanent injunctive relief in any such case without the necessity of proving actual damages.",injunctive-relief
"Injunctive Relief. The Company and the Executive agree that any breach of this Agreement by the Company is likely to cause the Executive substantial and irrevocable damage and therefore, in the event of any such breach, in addition to such other remedies which may be available, the Executive shall have the right to specific performance and injunctive relief.",injunctive-relief
"Injunctive Relief. The parties hereto acknowledge and agree that irreparable damage would occur in the event any of the provisions of this Agreement were not performed in accordance with their specific terms or were otherwise breached. It is accordingly agreed that the parties shall be entitled to an injunction or injunctions to prevent breaches of the provisions of this Agreement, and shall be entitled to enforce specifically the provisions of this Agreement, in any court of the United States or any state thereof having jurisdiction, in addition to any other remedy to which the parties may be entitled under this Agreement or at law or in equity.",injunctive-relief
"Injunctive Relief. The Parties agree that irreparable harm would occur in the event that any of the provisions of this Agreement were not performed in accordance with their specific terms or were otherwise breached for which money damages would not be an adequate remedy at law. It is accordingly agreed that the Parties shall be entitled to an injunction or injunctions and other equitable relief to prevent breaches of this Agreement, any requirement for the securing or posting of any bond in connection with the obtaining of any such injunctive or other equitable relief hereby being waived.",injunctive-relief
"Injunctive Relief. If there is a breach or threatened breach of Section 11g. of this Agreement or the prohibitions upon disclosure contained in Section 10c. of this Agreement, the parties agree that there is no adequate remedy at law for such breach, and that the Company and the Bank shall be entitled to injunctive relief restraining Executive from such breach or threatened breach, but such relief shall not be the exclusive remedy hereunder for such breach. The parties hereto likewise agree that Executive, without limitation, shall be entitled to injunctive relief to enforce the obligations of the Company and the Bank under this Agreement.",injunctive-relief
