clause_text,clause_type
"Insolvency. The dissolution or termination of Borrower's existence as a going business, the insolvency of Borrower, the appointment of a receiver for any part of Borrower's property, any assignment for the benefit of creditors, any type of creditor workout, or the commencement of any proceeding under any bankruptcy or insolvency laws by or against Borrower.",insolvency
Insolvency. (a) Borrower is unable to pay its debts (including trade debts) as they become due or otherwise becomes insolvent; (b) Borrower begins an Insolvency Proceeding; or (c) an Insolvency Proceeding is begun against Borrower and not dismissed or stayed within thirty (30) days (but no Credit Extensions shall be made while of any of the conditions described in clause (a) exist and/or until any Insolvency Proceeding is dismissed);,insolvency
"Insolvency. If Borrower becomes insolvent, or if an Insolvency Proceeding is commenced by Borrower, or if an Insolvency Proceeding is commenced against Borrower and is not dismissed or stayed within thirty (30) days (provided that no Credit Extensions will be made prior to the dismissal of such Insolvency Proceeding);",insolvency
"Insolvency. (a) A member of the Group is unable or admits inability to pay its debts as they fall due, suspends making payments on any of its debts or, by reason of actual or anticipated financial difficulties, commences negotiations with one or more of its creditors with a view to rescheduling any of its indebtedness.",insolvency
"Insolvency. A. In the event of the insolvency of one or more of the reinsured companies, this reinsurance shall be payable directly to the company or to its liquidator, receiver, conservator or statutory successor on the basis of the liability of the company without diminution because of the insolvency of the company or because the liquidator, receiver, conservator or statutory successor of the company has failed to pay all or a portion of any claim. It is agreed, however, that the liquidator, receiver, conservator or statutory successor of the company shall give written notice to the Reinsurer of the pendency of a claim against the company indicating the policy or bond reinsured which claim would involve a possible liability on the part of the Reinsurer within a reasonable time after such claim is filed in the conservation or liquidation proceeding or in the receivership, and that during the pendency of such claim, the Reinsurer may investigate such claim and interpose, at its own expense, in the proceeding where such claim is to be adjudicated, any defense or defenses that it may deem available to the company or its liquidator, receiver, conservator or statutory successor. The expense thus incurred by the Reinsurer shall be chargeable, subject to the approval of the Court, against the company as part of the expense of conservation or liquidation to the extent of a pro rata share of the benefit which may accrue to the company solely as a result of the defense undertaken by the Reinsurer.",insolvency
"Insolvency. In the event of the insolvency of the Retrocedant, this reinsurance shall be payable directly to the Retrocedant, or to its liquidator, receiver, conservator or statutory successor on the basis of reported claims allowed against the insolvent Retrocedant by any court in a liquidation proceeding, without diminution because of the insolvency of the Retrocedant or because the liquidator, receiver, conservator or statutory successor of the Retrocedant has failed to pay all or a portion of any claim. It is agreed, however, that the liquidator, receiver, conservator or statutory successor of the Retrocedant shall give written notice to the Retrocessionaire of the pendency of a claim against the Retrocedant indicating the Reinsurance Contract reinsured, which claim would involve a possible liability on the part of the Retrocessionaire within a reasonable time after such claim is filed in the conservation or liquidation proceeding or in the receivership, and that during the pendency of such claim, the Retrocessionaire may investigate such claim and interpose, at its own expense, in the proceeding where such claim is to be adjudicated any defense or defenses that it may deem available to the Retrocedant or its liquidator, receiver, conservator or statutory successor. The expense thus incurred by the Retrocessionaire shall be chargeable, subject to the approval of the court, against the Retrocedant as part of the expense of conservation or liquidation to the extent of a pro rata share of the benefit which may accrue to the Retrocedant solely as a result of the defense undertaken by the Retrocessionaire. As to all reinsurance made, ceded, renewed or otherwise becoming effective under this Agreement, the reinsurance shall be payable as set forth above by the Retrocessionaire to the Retrocedant or to its liquidator, receiver, conservator or statutory successor, except (1) where the Reinsurance Contracts specifically provide another payee in the event of the insolvency of the Retrocedant, or (2) where the Retrocessionaire with the consent of the insured or reinsureds, has assumed such Reinsurance Contract obligations of the Retrocedant as direct obligations of the Retrocessionaire to the payees under such Reinsurance Contracts and in substitution for the obligations of the Retrocedant to such payees.",insolvency
"Insolvency. The Borrower, any Guarantor or any of their respective Subsidiaries shall generally not pay its debts as such debts become due, or shall admit in writing its inability to pay its debts generally, or shall make a general assignment for the benefit of creditors; or any proceeding shall be instituted by or against the Borrower, any of its Subsidiaries, or any Guarantor seeking to adjudicate it as bankrupt or insolvent, or seeking liquidation, winding up, reorganization, arrangement, adjustment, protection, relief, or composition of it or its debts under any law relating to bankruptcy, insolvency or reorganization or relief of debtors, or seeking the entry of an order for relief or the appointment of a receiver, trustee or other similar official for it or for any substantial part of its Property and, in the case of any such proceeding instituted against the Borrower, any such Subsidiary or any such Guarantor either such proceeding shall remain undismissed for a period of 60 days or any of the actions sought in such proceeding shall occur; or the Borrower, any of its Subsidiaries, or any Guarantor shall take any corporate action to authorize any of the actions set forth above in this paragraph (e);",insolvency
"Insolvency. If before the fulfilment of this contract, either party shall suspend payments, notify any of the creditors that he is unable to meet debts or that he has suspended or that he is about to suspend payments of his debts, convene, call or hold a meeting of creditors, propose a voluntary arrangement, have an administration order made, have a winding up order made, have a receiver or manager appointed, convene, call or hold a meeting to go into liquidation (other than for re-construction or amalgamation) become subject to an Interim Order under Section 252 of the Insolvency Act 1986, or have a Bankruptcy Petition presented against him (any of which acts being hereinafter called an ""Act of Insolvency"") then the party committing such Act of Insolvency shall serve a notice of the occurrence of such Act of Insolvency on the other party to the contract and upon proof (by either the other party to the contract or the Receiver, Administrator, Liquidator or other person representing the party committing the Act of Insolvency) that such notice was thus served within 2 business days of the occurrence of the Act of Insolvency, the contract shall be closed out at the market price ruling on the business day following the serving of the notice. If such notice has not been served then the other party, on learning of the occurrence of the Act of Insolvency, shall have the option of declaring the contract closed out at either the market price on the first business day after the date when such party first learnt of the occurrence of the Act of Insolvency or at the market price ruling on the first business day after the date when the Act of Insolvency occurred. In all cases the other party to the contract shall have the option of ascertaining the settlement price on the closing out of the contract by re-purchase or re-sale, and the difference between the contract price and the re-purchase or re-sale price shall be the amount payable or receivable under this contract.",insolvency
Insolvency. (a) Borrower or any of its Subsidiaries is or becomes Insolvent; (b) Borrower or any of its Subsidiaries begins an Insolvency Proceeding; or (c) an Insolvency Proceeding is begun against Borrower or any of its Subsidiaries and not dismissed or stayed within forty-five (45) days (but no Credit Extensions shall be made while Borrower or any Subsidiary is Insolvent and/or until any Insolvency Proceeding is dismissed);,insolvency
Insolvency. If Borrower becomes insolvent or if Borrower begins an Insolvency Proceeding or an Insolvency Proceeding is begun against Borrower and not dismissed or stayed within 30 days (but no Credit Extensions will be made before any Insolvency Proceeding is dismissed);,insolvency
