clause_text,clause_type
"Inspection. The Issuer agrees that, on reasonable prior notice, it will permit any representative of the Indenture Trustee, during the Issuer’s normal business hours, to examine all the books of account, records, reports and other papers of the Issuer, to make copies and extracts therefrom, to cause (at the expense of the requesting party) such books to be audited by Independent certified public accountants, and to discuss the Issuer’s affairs, finances and accounts with the Issuer’s officers, employees, and Independent certified public accountants, all at such reasonable times and as often as may be reasonably requested. The Indenture Trustee shall and shall cause its representatives to hold in confidence all such information except to the extent disclosure may be required by law (and all reasonable applications for confidential treatment are unavailing) and except to the extent that the Indenture Trustee may reasonably determine that such disclosure is consistent with its obligations hereunder.",inspection
"Inspection. The Borrower will, and will cause each Subsidiary to, permit the Agent and the Lenders, by their respective representatives and agents, to inspect any of the Property, books and financial records of the Borrower and each Subsidiary, to examine and make copies of the books of accounts and other financial records of the Borrower and each Subsidiary, and to discuss the affairs, finances and accounts of the Borrower and each Subsidiary with, and to be advised as to the same by, their respective officers at such reasonable times and intervals as the Agent or any Lender may designate.",inspection
"Inspection. The Servicer shall provide the Trustee, the Master Servicer and the NIMS Insurer, upon reasonable advance notice, during normal business hours, access to all records maintained by the Servicer in respect of its rights and obligations hereunder and access to officers of the Servicer responsible for such obligations. Upon request, the Servicer shall furnish to the Trustee, the Master Servicer and the NIMS Insurer its most recent publicly available financial statements and such other information relating to its capacity to perform its obligations under this Agreement.",inspection
"Inspection. The Company shall permit each Major Investor, at such Major Investor’s expense, to visit and inspect the Company’s properties, to examine its books of account and records and to discuss the Company’s affairs, finances and accounts with its officers, all at such reasonable times as may be requested by the Major Investor; provided, however, that the Company shall not be obligated pursuant to this Section 2.2 to provide access to any information that it reasonably considers to be a trade secret or similar confidential information.",inspection
"Inspection. The Company shall permit each Major Investor (provided that the Board of Directors has not reasonably determined that such Major Investor is a competitor of the Company), at such Major Investor’s expense, to visit and inspect the Company’s properties; examine its books of account and records; and discuss the Company’s affairs, finances, and accounts with its officers, during normal business hours of the Company as may be reasonably requested by the Major Investor; provided, however, that the Company shall not be obligated pursuant to this Subsection 3.2 to provide access to any information that it reasonably and in good faith considers to be a trade secret or confidential information (unless covered by an enforceable confidentiality agreement, in form acceptable to the Company) or the disclosure of which would adversely affect the attorney-client privilege between the Company and its counsel.",inspection
"Inspection. Permit employees or agents of Lender at any reasonable time to inspect any and all Collateral for the Loan or Loans and Borrower's other properties and to examine or audit Borrower's books, accounts, and records and to make copies and memoranda of Borrower's books, accounts, and records. If Borrower now or at any time hereafter maintains any records (including without limitation computer generated records and computer software programs for the generation of such records) in the possession of a third party, Borrower, upon request of Lender, shall notify such party to permit Lender free access to such records at all reasonable times and to provide Lender with copies of any records it may request, all at Borrower's expense.",inspection
"Inspection. For so long as this Exchange and Registration Rights Agreement shall be in effect, this Exchange and Registration Rights Agreement and a complete list of the names and addresses of all the holders of Registrable Securities shall be made available for inspection and copying on any business day by any holder of Registrable Securities for proper purposes only (which shall include any purpose related to the rights of the holders of Registrable Securities under the Securities, the Indenture and this Agreement) at the offices of the Company at the address thereof set forth in Section 9(c) above and at the office of the Trustee under the Indenture.",inspection
"Inspection. Permit Agent, each Lender, and each of their duly authorized representatives or agents to visit any of its properties and inspect any of its assets or books and records, to examine and make copies of its books and records, and to discuss its affairs, finances, and accounts with, and to be advised as to the same by, its officers and employees at such reasonable times and intervals as Agent or any such Lender may designate and, so long as no Default or Event of Default exists, with reasonable prior notice to Administrative Borrower.",inspection
Inspection. The Company shall permit the representatives of each holder of Notes that is an Institutional Investor:,inspection
"Inspection. The Company shall, and shall cause each of its Subsidiaries to, permit representatives of the Holders to visit and inspect any of its properties, to examine its corporate, financial and operating records and make copies thereof or abstracts therefrom, and to discuss its affairs, finances and accounts with their respective directors, officers and independent public accountants, all at such reasonable times during normal business hours and as often as may be reasonably requested upon notice to the Company.",inspection
"Inspection. The Borrower will, and will cause each Subsidiary to, permit the Administrative Agent and the Lenders, by their respective representatives and agents, to inspect any of the Property, corporate books and financial records of the Borrower and each Subsidiary, to examine and make copies of the books of accounts and other financial records of the Borrower and each Subsidiary, and to discuss the affairs, finances and accounts of the Borrower and each Subsidiary with, and to be advised as to the same by, their respective officers at such reasonable times and intervals as the Lenders may designate; provided, however, that so long as no Event of Default has occurred, (i) the Administrative Agent or any Lender exercising any rights pursuant to this Section 5.09 shall give the Borrower or any applicable Subsidiary advance written notice of its intention to exercise such rights and (ii) the Borrower shall have no obligation to reimburse the Administrative Agent for the costs and/or expenses of more than one inspection or audit described in this Section 5.09 in any Fiscal Year. The Borrower will keep or cause to be kept, and cause each Subsidiary to keep or cause to be kept, appropriate records and books of account in which complete entries are to be made reflecting its and their business and financial transactions, such entries to be made in accordance with Agreement Accounting Principles consistently applied.",inspection
Inspection. Each related Mortgaged Property was inspected by or on behalf of the related originator or an affiliate during the 12 month period prior to the related origination date.,inspection
"Inspection. (a) At all times during the term hereof, the Servicer shall afford the Owner Trustee and the Indenture Trustee and their respective authorized agents reasonable access during normal business hours to the Servicer’s records relating to the Contracts and will cause its personnel to assist in any examination of such records by the Owner Trustee or the Indenture Trustee, or such authorized agents and allow copies of the same to be made. The examination referred to in this Section will be conducted in a manner which does not unreasonably interfere with the Servicer’s normal operations or customer or employee relations. Without otherwise limiting the scope of the examination the Owner Trustee or the Indenture Trustee may, using generally accepted audit procedures, verify the status of each Contract and review the Computer File and records relating thereto for conformity to Monthly Reports prepared pursuant to Article IX and compliance with the standards represented to exist as to each Contract in this Agreement.",inspection
"Inspection. Upon reasonable request, the Sub-Adviser agrees to make its records and premises (including the availability of the Sub-Adviser's employees for interviews) to the extent that they relate to the conduct of services provided to the Fund or the Sub-Adviser's conduct of its business as an investment adviser reasonably available for compliance audits by the Adviser or the Trust's officers, employees, accountants or counsel; in this regard, the Trust and the Adviser acknowledge that the Sub-Adviser shall have no obligation to make available proprietary information unrelated to the services provided to the Fund or any information related to other clients of the Sub-Adviser, except to the extent necessary for the Adviser to confirm the absence of any conflict of interest and compliance with any laws, rules or regulations in the management of the Fund.",inspection
"Inspection. The Issuer agrees that, on reasonable prior notice, it will permit any representative of the Indenture Trustee, during the Issuer's normal business hours, to examine all the books of account, records, reports and other papers of the Issuer, to make copies and extracts therefrom, to cause such books to be audited by Independent certified public accountants, and to discuss the Issuer's affairs, finances and accounts with the Issuer's officers, employees and Independent certified public accountants, all at such reasonable times and as often as may be reasonably requested. The Indenture Trustee shall and shall cause its representatives to hold in confidence all such information; provided, however, that the foregoing shall not be construed to prohibit: (i) disclosure of any and all information that is or becomes publicly know, or information obtained by the Indenture Trustee from sources other than the Issuer or Servicer, (ii) disclosure of any and all information: (A) if required to do so by any applicable statute, law, rule or regulation, (B) to any government agency or regulatory or self-regulatory body having or claiming authority to regulate or oversee any aspects of the Indenture Trustee's business or that of its Affiliates, (C) pursuant to any subpoena, civil investigative demand or similar demand or request of any court, regulatory authority, arbitrator or arbitration to which the Indenture Trustee or an Affiliate or any officer, director, employee or shareholder thereof is subject, (D) in any preliminary or final offering circular, registration statement or contract or other document pertaining to the transactions contemplated by the Indenture and approved in advance by the Issuer or (E) to any Affiliate, independent or internal auditor, agent, employee or attorney of the Indenture Trustee having a need to know the same; provided, that the Indenture Trustee advises such recipient of the confidential nature of the information being disclosed and such recipient agrees to keep such information confidential, (iii) any other disclosure authorized by the Issuer or the Servicer or (iv) disclosure to the other parties to the transactions contemplated by the Basic Documents.",inspection
"Inspection. Upon prior reasonable notice and at the convenience of the Borrower, the Borrower and each Subsidiary shall permit an officer in the Correspondent Banking Department of Lender to visit, review and/or inspect any of its properties and assets at any reasonable time and to examine all books of account, records, reports, examinations and other papers (subject to applicable confidentiality requirements), to make copies therefrom at the expense of Borrower, and to discuss the affairs, finances and accounts of Borrower and each Subsidiary with their respective employees and officers at all such reasonable times and as often as may be reasonably requested.",inspection
"Inspection. The Company shall permit the representatives of each holder of Notes (at the expense of the Company) to visit and inspect any of the Properties of the Company or any Subsidiary, to examine all their respective books of account, records, reports and other papers, to make copies and extracts therefrom, and to discuss their respective affairs, finances and accounts with their respective officers, employees and independent public accountants (former and present) (and by this provision the Company authorizes all such accountants to discuss the finances and affairs of the Company and the Subsidiaries), all at such reasonable times and as often as may be reasonably requested.",inspection
"Inspection. At all reasonable times, but upon at least 15 Business Days’ prior written notice to the Company, the Loan Trustee or its authorized representative may, subject to the other conditions of this Section 7.03(a), inspect the Aircraft and may inspect the books and records of the Company required to be maintained by the FAA or the government of another jurisdiction in which the Aircraft is then registered relating to the maintenance of the Aircraft; provided that (i) the Loan Trustee or its representative shall be fully insured at no cost to the Company in a manner satisfactory to the Company with respect to any risks incurred in connection with any such inspection or shall provide to the Company a written release satisfactory to the Company with respect to such risks, (ii) any such inspection shall be subject to the safety, security and workplace rules applicable at the location where such inspection is conducted and any applicable governmental rules or regulations, (iii) any such inspection of the Aircraft shall be a visual, walk-around inspection of the interior and exterior of the Aircraft and shall not include opening any panels, bays or the like without the Company’s express consent, which consent the Company may in its sole discretion withhold, and (iv) no exercise of such inspection right shall interfere with the use, operation or maintenance of the Aircraft by, or the business of, the Company and the Company shall not be required to undertake or incur any additional liabilities in connection therewith. All information obtained in connection with any such inspection of the Aircraft and of such books and records shall be Confidential Information and shall be treated by the Loan Trustee and its representatives in accordance with the provisions of Section 10.16. Any inspection pursuant to this Section 7.03(a) shall be at the sole risk (including, without limitation, any risk of personal injury or death) and expense of the Loan Trustee (or its representative), as the case may be, making such inspection. Except during the continuance of an Event of Default, all inspections by the Loan Trustee and its representatives provided for under this Section 7.03(a) shall be limited to one inspection of any kind contemplated by this Section 7.03(a) during any calendar year.",inspection
"Inspection. Landlord's agents and representatives shall have the right to enter the Premises at any reasonable time during business hours (or at any time in case of emergency) (i) to inspect the Premises, (ii) to make such repairs as may be required or permitted pursuant to this Lease, and/or (iii) during the last six (6) months of the Lease term, for the purpose of showing the Premises. In addition, Landlord shall have the right to erect a suitable sign on the Premises stating the Premises are available for lease. Tenant shall notify Landlord in writing at least thirty (30) days prior to vacating the Premises and shall arrange to meet with Landlord for a joint inspection of the Premises prior to vacating. If Tenant fails to give such notice or to arrange for such inspection, then Landlord's inspection of the Premises shall be deemed correct for the purpose of determining Tenant's responsibility for repairs and restoration of the Premises.",inspection
"Inspection. During the Construction Period, the Independent Engineer shall inspect the Bus Terminal at least once a month and make a report of such inspection (the “Inspection Report”) stating in reasonable detail the defects or deficiencies, if any, with particular reference to the Scope of the Project and Specifications and Standards. It shall send a copy of the Inspection Report to the Authority and the Concessionaire within 7 (seven) days of such inspection and upon receipt thereof, the Concessionaire shall rectify and remedy the defects or deficiencies, if any, stated in the Inspection Report. Such inspection or submission of Inspection Report by the Independent Engineer shall not relieve or absolve the Concessionaire of its obligations and liabilities hereunder in any manner whatsoever.",inspection
