clause_text,clause_type
"Insurance. The Company and the Subsidiaries are insured by insurers of recognized financial responsibility against such losses and risks and in such amounts as are prudent and customary in the businesses in which the Company and the Subsidiaries are engaged, including, but not limited to, directors and officers insurance coverage at least equal to the aggregate Subscription Amount. Neither the Company nor any Subsidiary has any reason to believe that it will not be able to renew its existing insurance coverage as and when such coverage expires or to obtain similar coverage from similar insurers as may be necessary to continue its business without a significant increase in cost.",insurance
"Insurance. Each related Mortgaged Property is, and is required pursuant to the related Mortgage to be, insured by a property insurance policy providing coverage for loss in accordance with coverage found under a “special cause of loss form” or “all risk form” that includes replacement cost valuation issued by an insurer meeting the requirements of the related Mortgage Loan documents and having a claims-paying or financial strength rating of at least “A-:VIII” from A.M. Best Company or “A3” (or the equivalent) from Moody’s or “A-” from S&P (collectively the “Insurance Rating Requirements”), in an amount (subject to a customary deductible) not less than the lesser of (1) the original principal balance of the Mortgage Loan or Whole Loan, as applicable, and (2) the full insurable value on a replacement cost basis of the improvements, furniture, furnishings, fixtures and equipment owned by the Mortgagor and included in the Mortgaged Property (with no deduction for physical depreciation), but, in any event, not less than the amount necessary, or containing such endorsements as are necessary, to avoid the operation of any coinsurance provisions with respect to the related Mortgaged Property. Each related Mortgaged Property is also covered, and required to be covered pursuant to the related Mortgage Loan documents, by business interruption or rental loss insurance which (subject to a customary deductible) covers a period of not less than 12 months (or with respect to each Mortgage Loan on a single asset with a principal balance of $50 million or more, 18 months). If any material part of the improvements, exclusive of a parking lot, located on a Mortgaged Property is in an area identified in the Federal Register by the Federal Emergency Management Agency as having special flood hazards, the related Mortgagor is required to maintain insurance in an amount at least equal to the least of (A) the maximum amount available under the National Flood Insurance Program plus any such additional excess flood coverage in an amount as is generally required by prudent institutional commercial mortgage lenders originating mortgage loans for securitization, (B) the outstanding principal amount of the Mortgage Loan and (C) the insurable value of the Mortgaged Property. If the Mortgaged Property is located within 25 miles of the coast of the Gulf of Mexico or the Atlantic coast of Florida, Georgia, South Carolina or North Carolina, the related Mortgagor is required to maintain coverage for wind...",insurance
"Insurance. The Company and each of its Subsidiaries are insured by insurers of recognized financial responsibility against such losses and risks and in such amounts as management of the Company believes to be prudent and customary in the businesses in which the Company and its Subsidiaries are engaged. Neither the Company nor any such Subsidiary has been refused any insurance coverage sought or applied for, and neither the Company nor any such Subsidiary has any reason to believe that it will be unable to renew its existing insurance coverage as and when such coverage expires or to obtain similar coverage from similar insurers as may be necessary to continue its business at a cost that would not have a Material Adverse Effect.",insurance
"Insurance. The properties of the Borrower and its Subsidiaries are insured with financially sound and reputable insurance companies not Affiliates of the Borrower, in such amounts, with such deductibles and covering such risks as are customarily carried by companies engaged in similar businesses and owning similar properties in localities where the Borrower or the applicable Subsidiary operates.",insurance
Insurance. The Company and the Subsidiaries are insured by insurers of recognized financial responsibility against such losses and risks and in such amounts as are prudent and customary in the businesses in which the Company and the Subsidiaries are engaged. Neither the Company nor any Subsidiary has any reason to believe that it will not be able to renew its existing insurance coverage as and when such coverage expires or to obtain similar coverage from similar insurers as may be necessary to continue its business without a significant increase in cost.,insurance
"Insurance. The Company and its subsidiaries have insurance covering their respective properties, operations, personnel and businesses, including business interruption insurance, which insurance is in amounts and insures against such losses and risks as are adequate to protect the Company and its subsidiaries and their respective businesses; and neither the Company nor any of its subsidiaries has (i) received notice from any insurer or agent of such insurer that capital improvements or other expenditures are required or necessary to be made in order to continue such insurance or (ii) any reason to believe that it will not be able to renew its existing insurance coverage as and when such coverage expires or to obtain similar coverage at reasonable cost from similar insurers as may be necessary to continue its business.",insurance
"Insurance. The Company and each of its subsidiaries are insured by insurers of recognized financial responsibility against such losses and risks and in such amounts as management of the Company believes to be prudent and customary in the businesses in which the Company and its subsidiaries are engaged. Neither the Company nor any such subsidiary has been refused any insurance coverage sought or applied for and neither the Company nor any such subsidiary has any reason to believe that it will not be able to renew its existing insurance coverage as and when such coverage expires or to obtain similar coverage from similar insurers as may be necessary to continue its business at a cost that would not materially and adversely affect the condition, financial or otherwise, or the earnings, business or operations of the Company and its subsidiaries, taken as a whole.",insurance
"Insurance. The Company and its subsidiaries carry or are entitled to the benefits of insurance, with financially sound and reputable insurers, in such amounts and covering such risks as is generally maintained by companies of established repute engaged in the same or similar business, and all such insurance is in full force and effect. The Company has no reason to believe that it or any of its subsidiaries will not be able (A) to renew its existing insurance coverage as and when such policies expire or (B) to obtain comparable coverage from similar institutions as may be necessary or appropriate to conduct its business as now conducted and at a cost that would not, singly or in the aggregate, result in a Material Adverse Effect. Neither of the Company nor any of its subsidiaries has been denied any insurance coverage which it has sought or for which it has applied.",insurance
"Insurance. The Company and each of its Subsidiaries are insured by insurers of recognized financial responsibility against such losses and risks and in such amounts as management of the Company believes to be prudent and customary in the businesses in which the Company and its Subsidiaries are engaged. Neither the Company nor any such Subsidiary has any reason to believe that it will not be able to renew its existing insurance coverage as and when such coverage expires or to obtain similar coverage from similar insurers as may be necessary to continue its business at a cost that would not have a Material Adverse Effect. Upon written request the Company will provide to the Buyer true and correct copies of all policies relating to directors’ and officers’ liability coverage, errors and omissions coverage, and commercial general liability coverage.",insurance
"Insurance. Each Seller and its Subsidiaries (including the Subject Companies), as the case may be, has complied in all material respects with the terms and provisions of insurance policies in force on the date hereof covering or relating to the business of, or properties, assets or rights of, any of the Subject Companies that are maintained by (i) any Subject Company or (ii) any of the Sellers or their Subsidiaries (other than the Subject Companies), including such worker’s compensation, comprehensive property and casualty, liability, errors and omissions, directors’ and officers’, fidelity and other insurance required to be maintained under all Applicable Laws, and such insurance policies are in full force and effect (and all premiums due and payable thereon have been paid in full on a timely basis). As of the date hereof, there is no material claim by any Seller or any Subsidiary thereof (including any Subject Company) pending under any such policy as to which coverage has been denied or disputed by the underwriters of such policy or in respect of which such underwriters have reserved their rights. Since January 1, 2014, each Seller and its Subsidiaries (including the Subject Companies) has properly reported all material claims, acts, omissions, events, circumstances, occurrences and losses relating to the Business, or to the properties, rights or assets of any of the Subject Companies, to the extent required under each such policy, except as would not reasonably be expected to have, individually or in the aggregate, be Material to a Reasonable Investor.",insurance
