clause_text,clause_type
"Integration. The Company shall not sell, offer for sale or solicit offers to buy or otherwise negotiate in respect of any security (as defined in Section 2 of the Securities Act) that would be integrated with the offer or sale of the Securities in a manner that would require the registration under the Securities Act of the sale of the Securities or that would be integrated with the offer or sale of the Securities for purposes of the rules and regulations of any Trading Market such that it would require shareholder approval prior to the closing of such other transaction unless shareholder approval is obtained before the closing of such subsequent transaction.",integration
"Integration. This Agreement supersedes all prior agreements and understandings (whether written or oral) between the Company and the Underwriters, or any of them, with respect to the subject matter hereof.",integration
"Integration. This Agreement and the other Loan Documents represent the entire agreement of the Borrower, the Administrative Agent and the Lenders with respect to the subject matter hereof and thereof, and there are no promises, undertakings, representations or warranties by the Administrative Agent or any Lender relative to the subject matter hereof not expressly set forth or referred to herein or in the other Loan Documents.",integration
Integration. This Agreement constitutes the entire agreement among the parties hereto pertaining to the subject matter hereof and supersedes all prior agreements and understandings pertaining thereto.,integration
"Integration. This Agreement, together with the other Loan Documents, comprises the complete and integrated agreement of the parties on the subject matter hereof and thereof and supersedes all prior agreements, written or oral, on such subject matter. In the event of any conflict between the provisions of this Agreement and those of any other Loan Document, the provisions of this Agreement shall control; provided that the inclusion of supplemental rights or remedies in favor of the Administrative Agent or the Lenders in any other Loan Document shall not be deemed a conflict with this Agreement. Each Loan Document was drafted with the joint participation of the respective parties thereto and shall be construed neither against nor in favor of any party, but rather in accordance with the fair meaning thereof.",integration
"Integration. The Company shall not, and shall use its best efforts to ensure that no Affiliate of the Company shall, sell, offer for sale or solicit offers to buy or otherwise negotiate in respect of any security (as defined in Section 2 of the Securities Act) that would be integrated with the offer or sale of the Securities in a manner that would require the registration under the Securities Act of the sale of the Securities to the Investors, or that would be integrated with the offer or sale of the Securities for purposes of the rules and regulations of any Trading Market in a manner that would require stockholder approval of the sale of the securities to the Investors.",integration
"Integration. The Company shall not sell, offer for sale or solicit offers to buy or otherwise negotiate in respect of any security (as defined in Section 2 of the Securities Act) that would be integrated with the offer or sale of the Securities in a manner that would require the registration under the Securities Act of the sale of the Securities to the Purchasers or that would be integrated with the offer or sale of the Securities for purposes of the rules and regulations of any Trading Market.",integration
"Integration. This Agreement contains the entire understanding of the parties with respect to the subject matter hereof. There are no restrictions, agreements, promises, representations, warranties, covenants or undertakings with respect to the subject matter hereof other than those expressly set forth or referred to herein. This Agreement supersedes all prior agreements and understandings between the parties with respect to its subject matter.",integration
"Integration. This Agreement and the other Loan Documents represent the agreement of the Grantors, the Administrative Agent and the other Secured Parties with respect to the subject matter hereof and thereof, and there are no promises, undertakings, representations or warranties by any Secured Party relative to subject matter hereof and thereof not expressly set forth or referred to herein or in the other Loan Documents.",integration
"Integration. This Agreement, together with the other Loan Documents, reflects the entire understanding of the parties with respect to the transactions contemplated hereby and shall not be contradicted or qualified by any other agreement, oral or written, before the date hereof.",integration
"Integration. This Agreement (including the exhibits hereto and any written amendments hereof executed by the Parties) constitutes the entire Agreement between the Parties related to this Credit and supersedes all prior agreements and understandings, oral and written, between the Parties with respect to this Credit described herein.",integration
"Integration. This Amendment, together with the other Loan Documents, incorporates all negotiations of the parties hereto with respect to the subject matter hereof and is the final expression and agreement of the parties hereto with respect to the subject matter hereof.",integration
"Integration. This Amendment and the Loan Documents represent the entire agreement about this subject matter and supersede prior negotiations or agreements. All prior agreements, understandings, representations, warranties, and negotiations between the parties about the subject matter of this Amendment and the Loan Documents merge into this Amendment and the Loan Documents.",integration
"Integration. This Agreement and the other Credit Documents represent the agreement of the Borrower, the Collateral Agent, the Administrative Agent and the Lenders with respect to the subject matter hereof, and there are no promises, undertakings, representations or warranties by the Borrower, the Administrative Agent, the Collateral Agent nor any Lender relative to subject matter hereof not expressly set forth or referred to herein or in the other Credit Documents.",integration
"Integration. Neither the Company, nor any of its affiliates, nor any person acting on its or their behalf has, directly or indirectly, made any offers or sales of any security or solicited any offers to buy any security, under circumstances that would cause the Offering to be integrated with prior offerings by the Company for purposes of the Securities Act that would require the registration of any such securities under the Securities Act.",integration
"Integration. This Agreement and the instruments referenced herein supersede all previous understandings or agreements among the Parties, whether oral or written, with respect to the subject matter of this Agreement and such instruments. This Agreement and such instruments contain the entire understanding of the Parties with respect to the subject matter hereof and thereof. No understanding, representation, promise or agreement, whether oral or written, is intended to be or shall be included in or form part of this Agreement unless it is contained in a written amendment hereto executed by the parties hereto after the date of this Agreement.",integration
Integration. This Agreement constitutes the entire agreement between the parties with respect to the subject matter hereof and supersedes all prior agreements between the parties with respect to any related subject matter.,integration
"Integration. This Guarantee and the other Transaction Documents represent the agreement of the Guarantors and the Purchasers with respect to the subject matter hereof and thereof, and there are no promises, undertakings, representations or warranties by the Purchasers relative to subject matter hereof and thereof not expressly set forth or referred to herein or in the other Transaction Documents.",integration
Integration. This Agreement contains the final and complete integration of all prior expressions by the parties hereto with respect to the subject matter hereof and shall constitute the entire Agreement among the parties hereto with respect to the subject matter hereof superseding all prior oral or written understandings.,integration
Integration. This Agreement constitutes the entire agreement between the parties with respect to this Award and supersedes all prior agreements and discussions between the parties concerning such subject matter.,integration
"Integration. This Delegation Schedule sets forth all of the Delegate's duties with respect to the selection and monitoring of Eligible Foreign Custodians, the administration of contracts with Eligible Foreign Custodians, the withdrawal of assets from Eligible Foreign Custodians and the issuance of reports in connection with such duties. The terms of the Custodian Agreement shall apply generally as to matters not expressly covered in this Delegation Schedule, including dealings with the Eligible Foreign Custodians in the course of discharge of the Delegate's obligations under the Custodian Agreement.",integration
"Integration. The Company shall not, and shall use its reasonable best efforts to ensure that no Affiliate thereof shall, sell, offer for sale or solicit offers to buy or otherwise negotiate in respect of any security (as defined in Section 2 of the Securities Act) that would be integrated with the offer or sale of the Shares in a manner that would require the registration under the Securities Act of the sale of the Shares to the Investors.",integration
"Integration. This Agreement represents the entire agreement and understanding between the parties as to the subject matter hereof and supersedes all prior or contemporaneous agreements whether written or oral. No waiver, alteration or modification of any of the provisions of this Agreement shall be binding unless in writing and signed by duly authorized representatives of the parties hereto.",integration
"Integration. This Agreement, and the other documents referred to herein or delivered pursuant hereto which form a part hereof contain the entire understanding of the parties with respect to its subject matter. There are no restrictions, agreements, promises, representations, warranties, covenants or undertakings with respect to the subject matter hereof other than those expressly set forth herein and in the Plan. This Agreement, including without limitation the Plan, supersedes all prior agreements and understandings between the parties with respect to its subject matter, except to the extent of any conflict between the provisions hereof and an employment agreement effective on the date hereof.",integration
"Integration. This Agreement expresses the complete understanding of the Parties with respect to the subject matter and supersedes all prior proposals, agreements, representations, and understandings. This Agreement may not be amended except in writing with the acknowledgment of the Parties.",integration
"Integration. This Agreement and such other written agreements, documents and instruments as may be executed in connection herewith are the final, entire and complete agreement between Borrower and Silicon and supersede all prior and contemporaneous negotiations and oral representations and agreements, all of which are merged and integrated in this Agreement. There are no oral understandings, representations or agreements between the parties which are not set forth in this Agreement or in other written agreements signed by the parties in connection herewith.",integration
Integration. This Guarantee represents the agreement of Guarantor with respect to the subject matter hereof and there are no promises or representations by Buyer relative to the subject matter hereof not reflected herein.,integration
"Integration. This Agreement, together with the other Loan Documents, reflects the entire understanding of the parties with respect to the transactions contemplated hereby and shall not be contradicted or qualified by any other agreement, oral or written, before the date hereof. The foregoing to the contrary notwithstanding, all Bank Product Agreements, if any, are independent agreements governed by the written provisions of such Bank Product Agreements, which will remain in full force and effect, unaffected by any repayment, prepayments, acceleration, reduction, increase, or change in the terms of any credit extended hereunder, except as otherwise expressly provided in such Bank Product Agreement.",integration
"Integration. This Agreement together with the other Secured Credit Documents and the First Lien Security Documents represents the agreement of each of the Grantors and the First Lien Secured Parties with respect to the subject matter hereof and there are no promises, undertakings, representations or warranties by any Grantor, the Collateral Agent, any or any other First Lien Secured Party relative to the subject matter hereof not expressly set forth or referred to herein or in the other Secured Credit Documents or the First Lien Security Documents.",integration
"Integration. This Amendment and any documents executed in connection herewith or pursuant hereto contain the entire agreement between the parties with respect to the subject matter hereof and supersede all prior agreements, understandings, offers and negotiations, oral or written, with respect thereto and no extrinsic evidence whatsoever may be introduced in any judicial or arbitration proceeding, if any, involving this Amendment; except that any financing statements or other agreements or instruments filed by Bank with respect to Borrower shall remain in full force and effect.",integration
"Integration. Neither the Company nor any of its affiliates has, prior to the date hereof, made any offer or sale of any securities that are required to be “integrated” pursuant to the Act with the offer and sale of the Offered Securities pursuant to the Registration Statement.",integration
