clause_text,clause_type
"Intellectual Property Rights. The Company and its subsidiaries own or possess adequate rights or licenses to use all material trademarks, trade names, service marks, service mark registrations, service names, patents, patent rights, copyrights, inventions, licenses, approvals, governmental authorizations, trade secrets and rights necessary to conduct their respective businesses as now conducted. The Company and its subsidiaries do not have any knowledge of any infringement by the Company or its subsidiaries of trademark, trade name rights, patents, patent rights, copyrights, inventions, licenses, service names, service marks, service mark registrations, trade secret or other similar rights of others, and, to the knowledge of the Company, there is no claim, action or proceeding being made or brought against, or to the Company's knowledge, being threatened against, the Company or its subsidiaries regarding trademark, trade name, patents, patent rights, invention, copyright, license, service names, service marks, service mark registrations, trade secret or other infringement; and the Company and its subsidiaries are unaware of any facts or circumstances which might give rise to any of the foregoing.",intellectual-property-rights
"Intellectual Property Rights. The Company and each of its Subsidiaries owns or possesses or has valid rights to use all patents, patent applications, trademarks, service marks, trade names, trademark registrations, service mark registrations, copyrights, licenses, inventions, trade secrets and similar rights (“Intellectual Property Rights”) necessary for the conduct of the business of the Company and its Subsidiaries as currently carried on and as described in the Registration Statement, the Pricing Disclosure Package and the Prospectus. To the knowledge of the Company, no action or use by the Company or any of its Subsidiaries necessary for the conduct of its business as currently carried on and as described in the Registration Statement and the Prospectus will involve or give rise to any infringement of, or license or similar fees for, any Intellectual Property Rights of others. Neither the Company nor any of its Subsidiaries has received any notice alleging any such infringement, fee or conflict with asserted Intellectual Property Rights of others. Except as would not reasonably be expected to result, individually or in the aggregate, in a Material Adverse Change (A) to the knowledge of the Company, there is no infringement, misappropriation or violation by third parties of any of the Intellectual Property Rights owned by the Company; (B) there is no pending or, to the knowledge of the Company, threatened action, suit, proceeding or claim by others challenging the rights of the Company in or to any such Intellectual Property Rights, and the Company is unaware of any facts which would form a reasonable basis for any such claim, that would, individually or in the aggregate, together with any other claims in this Section 2.33, reasonably be expected to result in a Material Adverse Change; (C) the Intellectual Property Rights owned by the Company and, to the knowledge of the Company, the Intellectual Property Rights licensed to the Company have not been adjudged by a court of competent jurisdiction invalid or unenforceable, in whole or in part, and there is no pending or, to the Company’s knowledge, threatened action, suit, proceeding or claim by others challenging the validity or scope of any such Intellectual Property Rights, and the Company is unaware of any facts which would form a reasonable basis for any such claim that would, individually or in the aggregate, together with any other claims in this Section 2.33, reasonably be expected to result in a Material Adverse Change; (D) th...",intellectual-property-rights
"Intellectual Property Rights. The Company and its Subsidiaries own or possess adequate rights or licenses to use all trademarks, trade names, service marks, service mark registrations, service names, patents, patent rights, copyrights, original works, inventions, licenses, approvals, governmental authorizations, trade secrets and other intellectual property rights and all applications and registrations therefor (“Intellectual Property Rights”) necessary to conduct their respective businesses as now conducted and as presently proposed to be conducted. None of the Company’s or its Subsidiaries’ Intellectual Property Rights have expired, terminated or been abandoned, or are expected to expire, terminate or be abandoned, within three years from the date of this Agreement. The Company has no knowledge of any infringement by the Company or any of its Subsidiaries of Intellectual Property Rights of others. There is no claim, action or proceeding being made or brought, or to the knowledge of the Company or any of its Subsidiaries, being threatened, against the Company or any of its Subsidiaries regarding their Intellectual Property Rights. The Company is not aware of any facts or circumstances which might give rise to any of the foregoing infringements or claims, actions or proceedings. The Company and each of its Subsidiaries have taken reasonable security measures to protect the secrecy, confidentiality and value of all of their Intellectual Property Rights.",intellectual-property-rights
"Intellectual Property Rights. The Company and its Subsidiaries own or possess adequate rights or licenses to use all trademarks, trade names, service marks, service mark registrations, service names, patents, patent rights, copyrights, inventions, licenses, approvals, governmental authorizations, trade secrets and rights necessary to conduct their respective businesses as now conducted. Except as set forth in the SEC Documents, none of the Company's trademarks, trade names, service marks, service mark registrations, service names, patents, patent rights, copyrights, inventions, licenses, approvals, government authorizations, trade secrets or other intellectual property rights necessary to conduct its business as now or as proposed to be conducted have expired or terminated, or are expected to expire or terminate within two (2) years from the date of this Agreement. The Company and its Subsidiaries do not have any knowledge of any infringement by the Company or its Subsidiaries of trademark, trade name rights, patents, patent rights, copyrights, inventions, licenses, service names, service marks, service mark registrations, trade secret or other similar rights of others, or of any such development of similar or identical trade secrets or technical information by others and, except as set forth in the SEC Documents, there is no claim, action or proceeding being made or brought against, or to the Company's knowledge, being threatened against, the Company or its Subsidiaries regarding trademark, trade name, patents, patent rights, invention, copyright, license, service names, service marks, service mark registrations, trade secret or other infringement; and the Company and its Subsidiaries are unaware of any facts or circumstances which might give rise to any of the foregoing. The Company and its Subsidiaries have taken commercially reasonable security measures to protect the secrecy, confidentiality and value of all of their intellectual properties.",intellectual-property-rights
"Intellectual Property Rights. The Company and its Subsidiaries own or possess adequate rights or licenses to use all material trademarks, trade names, service marks, service mark registrations, service names, patents, patent rights, copyrights, inventions, licenses, approvals, governmental authorizations, trade secrets and rights necessary to conduct their respective businesses as now conducted. None of the Company’s material trademarks, trade names, service marks, service mark registrations, service names, patents, patent rights, copyrights, inventions, licenses, approvals, government authorizations, trade secrets or other intellectual property rights have expired or terminated, or, by the terms and conditions thereof, could expire or terminate within two years from the date of this Agreement. The Company and its Subsidiaries do not have any knowledge of any infringement by the Company or its Subsidiaries of any material trademark, trade name rights, patents, patent rights, copyrights, inventions, licenses, service names, service marks, service mark registrations, trade secret or other similar rights of others, or of any such development of similar or identical trade secrets or technical information by others, and there is no claim, action or proceeding being made or brought against, or to the Company’s knowledge, being threatened against, the Company or its Subsidiaries regarding trademark, trade name, patents, patent rights, invention, copyright, license, service names, service marks, service mark registrations, trade secret or other infringement, which could reasonably be expected to have a Material Adverse Effect.",intellectual-property-rights
"Intellectual Property Rights. The Company owns or possesses sufficient trademarks, trade names, patent rights, copyrights, domain names, licenses, approvals, trade secrets and other similar rights (collectively, “Intellectual Property Rights”) reasonably necessary to conduct its businesses as now conducted; and the expected expiration of any of such Intellectual Property Rights would not result in a Material Adverse Change. The Company has not received any notice of infringement or conflict with asserted Intellectual Property Rights of others, which infringement or conflict, if the subject of an unfavorable decision, would result in a Material Adverse Change. The Company is not a party to or bound by any options, licenses or agreements with respect to the Intellectual Property Rights of any other person or entity that are required to be set forth in the Disclosure Package and the Prospectus and are not described in all material respects. None of the technology employed by the Company has been obtained or is being used by the Company in violation of any contractual obligation binding on the Company or, to the Company’s knowledge, any of its officers, directors or employees or otherwise in violation of the rights of any persons.",intellectual-property-rights
"Intellectual Property Rights. The Company and its subsidiaries own or possess sufficient trademarks, trade names, patent rights, copyrights, licenses, approvals, trade secrets and other similar rights (collectively, ""Intellectual Property Rights"") reasonably necessary to conduct their businesses as now conducted; and the expected expiration of any of such Intellectual Property Rights would not result in a Material Adverse Change. Neither the Company nor any of its subsidiaries has received any notice of infringement or conflict with asserted Intellectual Property Rights of others, which infringement or conflict, if the subject of an unfavorable decision, would result in a Material Adverse Change.",intellectual-property-rights
"Intellectual Property Rights. Except as disclosed in the Time of Sale Prospectus and the Prospectus, the Company and its subsidiaries own, or have obtained valid and enforceable licenses for, the inventions, patent applications, patents, trademarks, trade names, service names, copyrights, know-how, (including trade secrets and other unpatented and/or unpatentable proprietary or confidential information) and other intellectual property described in the Registration Statement, the Time of Sale Prospectus and the Prospectus as being owned or licensed by them or, to their knowledge, which are necessary for the conduct of their respective businesses as currently conducted or as currently proposed to be conducted (with respect to the commercialization of the product candidates described in the Registration Statement, the Time of Sale Prospectus and the Prospectus, except where the failure to own or license such rights would not, individually or in the aggregate, have a Material Adverse Effect) (collectively, “Intellectual Property”), and, to their knowledge, the conduct of their respective businesses does not infringe, misappropriate or otherwise conflict in any material respect with any such rights of others. The Intellectual Property of the Company has not been adjudged by a court of competent jurisdiction to be invalid or unenforceable, in whole or in part and the Company is unaware of any facts which would form a reasonable basis for any such adjudication. There are no third parties who have rights to any Intellectual Property, except for: (i) the exclusive license granted to Jazz Pharmaceuticals plc, pursuant to the Collaboration and License Agreement, dated January 2, 2019; (ii) the option to enter into an exclusive license granted to Sarepta Therapeutics, Inc., pursuant to the Research License and Option Agreement, dated June 17, 2020; and (iii) any customary reversionary rights of third-party licensors with respect to Intellectual Property that is disclosed in the Registration Statement, the Time of Sale Prospectus and the Prospectus as licensed to the Company or one or more of its subsidiaries; and, to the Company’s knowledge, there is no infringement by third parties of any Intellectual Property. Other than as disclosed in the Time of Sale Prospectus and the Prospectus, neither the Company nor any subsidiary is obligated to pay any material royalty, grant a material license or provide other material consideration to any third party in connection with the Intellectual Property or in...",intellectual-property-rights
"Intellectual Property Rights. The Company and the Subsidiaries own, or have obtained valid and enforceable licenses for, or other rights to use, the inventions, patent applications, patents, trademarks (both registered and unregistered), tradenames, copyrights, trade secrets and other proprietary information described in the Registration Statement, the Disclosure Package and the Prospectus as being owned or licensed by them or which are necessary for the conduct of their respective businesses (collectively, “Intellectual Property”), except where the failure to own, license or have such rights would not, individually or in the aggregate, result in a Material Adverse Effect. Except as described in the Registration Statement, the Disclosure Package and the Prospectus (i) there are no third parties who have or, to the Company’s knowledge, will be able to establish rights to any Intellectual Property, except for the ownership rights of the owners of the Intellectual Property which is licensed to the Company; (ii) to the Company’s knowledge, there is no infringement by third parties of any Intellectual Property; (iii) there is no pending or, to the Company’s knowledge, threatened action, suit, proceeding or claim by others challenging the Company’s rights in or to, or the validity, enforceability, or scope of, any Intellectual Property owned by or licensed to the Company, and the Company is unaware of any facts which could form a reasonable basis for any such claim; (iv) there is no pending or, to the Company’s knowledge, threatened action, suit, proceeding or claim by others that the Company or any of the Subsidiaries infringes or otherwise violates any patent, trademark, copyright, trade secret or other proprietary rights of others, and the Company is unaware of any facts which could form a reasonable basis for any such claim; (v) to the Company’s knowledge, there is no patent or patent application that contains claims that interfere with the issued or pending claims of any of the Intellectual Property; and (vi) to the Company’s knowledge, there is no prior art that may render any patent owned by the Company invalid, nor is there any prior art known to the Company that may render any patent application owned by the Company unpatentable.",intellectual-property-rights
"Intellectual Property Rights. (a) Executive agrees that the results and proceeds of Executive’s services for the Company (including, but not limited to, any trade secrets, products, services, processes, know-how, designs, developments, innovations, analyses, drawings, reports, techniques, formulas, methods, developmental or experimental work, improvements, discoveries, inventions, ideas, source and object codes, programs, matters of a literary, musical, dramatic or otherwise creative nature, writings and other works of authorship) resulting from services performed while an employee of the Company and any works in progress, whether or not patentable or registrable under copyright or similar statutes, that were made, developed, conceived or reduced to practice or learned by Executive, either alone or jointly with others (collectively, “Inventions”), shall be works-made-for-hire and the Company shall be deemed the sole owner throughout the universe of any and all trade secret, patent, copyright and other intellectual property rights (collectively, “Proprietary Rights”) of whatsoever nature therein, whether or not now or hereafter known, existing, contemplated, recognized or developed, with the right to use the same in perpetuity in any manner the Company determines in its sole discretion, without any further payment to Executive whatsoever. If, for any reason, any of such results and proceeds shall not legally be a work-made-for-hire and/or there are any Proprietary Rights which do not accrue to the Company under the immediately preceding sentence, then Executive hereby irrevocably assigns and agrees to assign any and all of Executive’s right, title and interest thereto, including any and all Proprietary Rights of whatsoever nature therein, whether or not now or hereafter known, existing, contemplated, recognized or developed, to the Company, and the Company shall have the right to use the same in perpetuity throughout the universe in any manner determined by the Company without any further payment to Executive whatsoever. As to any Invention that Executive is required to assign, Executive shall promptly and fully disclose to the Company all information known to Executive concerning such Invention.",intellectual-property-rights
