clause_text,clause_type
"Interpretation. Nothing herein contained shall be deemed to require the Trust or the Fund to take any action contrary to the Trust’s Declaration of Trust or Bylaws, or any applicable statutory or regulatory requirement to which it is subject or by which it is bound, or to relieve or deprive the Trust’s Board of Trustees of its responsibility for and control of the conduct of the affairs of the Trust or the Fund.",interpretation
"Interpretation. Any question of interpretation of any term or provision of this Agreement having a counterpart in or otherwise derived from a term or provision of the Investment Company Act shall be resolved by reference to such term or provision of the Investment Company Act and to interpretations thereof, if any, by the United States courts or, in the absence of any controlling decision of any such court, by rules, regulations or orders of the SEC validly issued pursuant to the Investment Company Act. Specifically, the terms “vote of a majority of the outstanding voting securities,” “interested persons,” “assignment,” and “affiliated persons,” as used herein shall have the meanings assigned to them by Section 2(a) of the Investment Company Act. In addition, where the effect of a requirement of the Investment Company Act reflected in any provision of this Agreement is relaxed by a rule, regulation or order of the SEC, whether of special or of general application, such provision shall be deemed to incorporate the effect of such rule, regulation or order.",interpretation
Interpretation. In this Agreement:,interpretation
"Interpretation. When a reference is made in this Agreement to an Article, Section or Exhibit, such reference shall be to an Article or Section of, or an Exhibit to, this Agreement unless otherwise indicated. The table of contents and headings contained in this Agreement are for reference purposes only and shall not affect in any way the meaning or interpretation of this Agreement. Whenever the words ""include"", ""includes"" or ""including"" are used in this Agreement, they shall be deemed to be followed by the words ""without limitation"". The words ""hereof"", ""herein"" and ""hereunder"" and words of similar import when used in this Agreement shall refer to this Agreement as a whole and not to any particular provision of this Agreement. All terms defined in this Agreement shall have the defined meanings when used in any certificate or other document made or delivered pursuant hereto unless otherwise defined therein. The definitions contained in this Agreement are applicable to the singular as well as the plural forms of such terms and to the masculine as well as to the feminine and neuter genders of such term. Any agreement, instrument or statute defined or referred to herein or in any agreement or instrument that is referred to herein means such agreement, instrument or statute as from time to time amended, modified or supplemented, including (in the case of agreements or instruments) by waiver or consent and (in the case of statutes) by succession of comparable successor statutes and references to all attachments thereto and instruments incorporated therein. References to a person are also to its permitted successors and assigns.",interpretation
"Interpretation. The article and section headings contained in this Agreement are solely for the purpose of reference, are not part of the agreement of the parties and shall not in any way affect the meaning or interpretation of this Agreement.",interpretation
"Interpretation. When a reference is made in this Agreement to Sections or Exhibits, such reference shall be to a Section or Exhibit of this Agreement, respectively, unless otherwise indicated. The table of contents and headings contained in this Agreement are for reference purposes only and shall not affect in any way the meaning or interpretation of this Agreement. Whenever the words ""include,"" ""includes"" or ""including"" are used in this Agreement, they shall be deemed to be followed by the words ""without limitation.""",interpretation
"Interpretation. In this Agreement, unless the context otherwise requires:",interpretation
"Interpretation. Nothing herein contained shall be deemed to require the Corporation to take any action contrary to its Articles of Incorporation or By-Laws, or any applicable statutory or regulatory requirement to which it is subject or by which it is bound, or to relieve or deprive the board of directors of the Corporation of its responsibility for and control of the conduct of the affairs of the Fund.",interpretation
"Interpretation. Neither this Agreement nor any uncertainty or ambiguity herein shall be construed against the Lender Group or Borrower, whether under any rule of construction or otherwise. On the contrary, this Agreement has been reviewed by all parties and shall be construed and interpreted according to the ordinary meaning of the words used so as to accomplish fairly the purposes and intentions of all parties hereto.",interpretation
"Interpretation. For purposes of this Agreement, (a) the words “include,” “includes” and “including” shall be deemed to be followed by the words “without limitation”; (b) the word “or” is not exclusive; and (c) the words “herein,” “hereof,” “hereby,” “hereto” and “hereunder” refer to this Agreement as a whole. Unless the context otherwise requires, references herein: (x) to Articles, Sections, Disclosure Schedules and Exhibits mean the Articles and Sections of, and Disclosure Schedules and Exhibits attached to, this Agreement; (y) to an agreement, instrument or other document means such agreement, instrument or other document as amended, supplemented and modified from time to time to the extent permitted by the provisions thereof and (z) to a statute means such statute as amended from time to time and includes any successor legislation thereto and any regulations promulgated thereunder. This Agreement shall be construed without regard to any presumption or rule requiring construction or interpretation against the party drafting an instrument or causing any instrument to be drafted. The Disclosure Schedules and Exhibits referred to herein shall be construed with, and as an integral part of, this Agreement to the same extent as if they were set forth verbatim herein.",interpretation
Interpretation. The headings contained in this Agreement are for reference purposes only and shall not affect in any way the meaning or interpretation of this Agreement.,interpretation
Interpretation. Any dispute regarding the interpretation of this Agreement shall be submitted by the Grantee or the Company to the Committee for review. The resolution of such dispute by the Committee shall be final and binding on the Grantee and the Company.,interpretation
"Interpretation. The parties hereto acknowledge and agree that: (i) each party and its counsel reviewed and negotiated the terms and provisions of this Agreement and have contributed to its revision; (ii) the rule of construction to the effect that any ambiguities are resolved against the drafting party shall not be employed in the interpretation of this Agreement; and (iii) the terms and provisions of this Agreement shall be construed fairly as to all parties hereto and not in favor of or against any party, regardless of which party was generally responsible for the preparation of this Agreement.",interpretation
Interpretation. No provision of this Agreement or any of the other Loan Documents shall be construed against or interpreted to the disadvantage of any party hereto by any court or other governmental or judicial authority by reason of such party having or being deemed to have structured or dictated such provision.,interpretation
"Interpretation. In this Guarantee Agreement, unless the context otherwise requires:",interpretation
"Interpretation. When a reference is made in this Agreement to Sections, such reference shall be to a Section to this Agreement unless otherwise indicated. The headings contained in this Agreement are for reference purposes only and shall not affect in any way the meaning or interpretation of this Agreement. Wherever the words ""include"", ""includes"" or ""including"" are used in this Agreement, they shall be deemed to be followed by the words ""without limitation"".",interpretation
Interpretation. 1.1 In this Agreement:,interpretation
"Interpretation. This Contract has been negotiated at arm’s length and between persons sophisticated and knowledgeable in the matters dealt with in this Contract. In addition, each party had been represented by experienced and knowledgeable independent legal counsel of their own choosing or has knowingly declined to seek such counsel despite being encouraged and given the opportunity to do so. Each party further acknowledges that they have not been influenced to any extent whatsoever in executing this Contract by any other party hereto or by any person representing them, or both. Accordingly, any rule or law (including California Civil Code Section 1654) or legal decision that would require interpretation of any ambiguities in this Contract against the party that has drafted it is not applicable and is waived. The provisions of this Contract shall be interpreted in a reasonable manner to effect the purpose of the parties and this Contract.",interpretation
