clause_text,clause_type
Introduction. 1.1 This schedule covers;,introduction
"Introduction. 1.1 This Attachment sets forth rates, terms and conditions for Network Elements and combinations of Network Elements that BellSouth agrees to offer to Momentum in accordance with its obligations under Section 251(c)(3) of the Act. Additionally, this Attachment sets forth the rates, terms and conditions for other services BellSouth makes available to Momentum. The price for each Network Element and combination of Network Elements and other services are set forth in Exhibit B of this Agreement. Additionally, the provision of a particular Network Element or service may require Momentum to purchase other Network Elements or services.",introduction
"Introduction. To encourage the Executive to remain an employee of the Company, the Company is willing to provide salary continuation benefits to the Executive. The Company will pay the benefits from its general assets.",introduction
Introduction. 1.1 The Employer has entered into a contract of employment with the Employee in terms of section 57(1)(a) of the Local Government: Municipal Systems Act 32 of 2000 (“the Systems Act”). The Employer and the Employee are hereinafter referred to as “the Parties”.,introduction
"Introduction. Ford Credit Auto Receivables Two LLC, a Delaware limited liability company (the “Depositor”), formed under the Amended and Restated Certificate of Formation of Ford Credit Auto Receivables Two LLC (such certificate, the “Certificate of Formation”) and operating pursuant to an Amended and Restated Limited Liability Company Agreement, dated as of March 1, 2001 (the “Limited Liability Company Agreement”), executed by Ford Motor Credit Company LLC, a Delaware limited liability company (“Ford Credit”), as sole member, proposes to sell the Class A-2 Notes, the Class A-3 Notes, the Class A-4 Notes, the Class B Notes, the Class C Notes and the Class D Notes (together, the “Publicly Registered Notes”) described in the Terms Annex (the “Terms Annex”) that is attached as Annex A and incorporated into and made part of this agreement (this agreement including the Terms Annex, this “Agreement”). The Publicly Registered Notes will be registered with the Securities and Exchange Commission (the “Commission”) and will be sold to the applicable underwriters listed in the Terms Annex through the representatives (the “Representatives”) signing this Agreement on behalf of themselves and such underwriters (the Representatives and the other underwriters of the Publicly Registered Notes, the “Underwriters”). Other capitalized terms used and not defined in this Agreement will have the meanings given them in Appendix A to the Sale and Servicing Agreement (defined below). The rules of usage specified in the Sale and Servicing Agreement will apply to this Agreement. The Publicly Registered Notes will be issued by a Delaware statutory trust (the “Trust”) identified in the Terms Annex and established under a trust agreement (the “Trust Agreement”) between the Depositor and an owner trustee (the “Owner Trustee”) identified in the Terms Annex. Simultaneously with the issuance and sale of the Publicly Registered Notes as contemplated in this Agreement, the Trust will issue the Class A-1 Notes (the “Class A-1 Notes” and, collectively with the Publicly Registered Notes, the “Notes”). The Class A-1 Notes will be sold pursuant to a note purchase agreement (the “Class A-1 Note Purchase Agreement”). Each of the Notes will be issued pursuant to an indenture (the “Indenture”) between the Trust and an indenture trustee (the “Indenture Trustee”) identified in the Terms Annex and will be secured by a pool of retail installment sale contracts for new and used cars, light trucks and utility vehicles (t...",introduction
"Introduction. 1.1 This Attachment sets forth rates, terms and conditions for unbundled network elements (Network Elements) and combinations of Network Elements (Combinations) that AT&T offers to TWTC for TWTC’s provision of Telecommunications Services in accordance with its obligations under Section 251(c)(3) of the Act. Additionally, this Attachment sets forth the rates, terms and conditions for other facilities and services AT&T makes available to TWTC (Other Services). Additionally, the provision of a particular Network Element or Other Service may require TWTC to purchase other Network Elements or services. In the event of a conflict between this Attachment and any other Section or provision of this Agreement, the provisions of this Attachment shall control. In providing access or obtaining access to Network Elements, Combinations and Other Services, the Parties shall comply with all applicable FCC rules and orders and Commission rules and orders.",introduction
"Introduction. Subject to the terms and conditions herein (this “Agreement”), Bioanalytical Systems, Inc., an Indiana corporation (the “Company”), hereby agrees to sell up to an aggregate of $5,506,000 of registered securities (the “Securities”) of the Company, including, but not limited to, 6% Series A convertible preferred shares (the “Shares”), convertible into common shares, no par value per share (the ""Common Stock”), and common share purchase warrants (the “Warrants” and, together with the Shares, and the shares of Common Stock underlying the Shares and Warrants, the “Securities”) directly to various investors (each, an “Investor” and, collectively, the “Investors”) through Ladenburg Thalmann & Co., Inc., as placement agent (“Ladenburg” or the “Placement Agent”). The Placement Agent may retain other brokers or dealers to act as sub-agents or selected-dealers on its behalf in connection with the Offering (as defined below). The Company hereby confirms its agreement with the Placement Agent as follows:",introduction
Introduction. 2. This modality aims to provide an AMS with a structured phased approach based on the AEC Blueprint schedules to progressively reduce/eliminate investment restrictions and impediments taken by AMS. These restrictions/impediments are reflected in the respective investment reservation lists under the Schedule to ACIA.,introduction
"Introduction. To encourage the Director to remain a member of the Company's Board of Directors, the Company is willing to provide retirement benefits to the Director. The Company will pay the benefits from its general assets.",introduction
"Introduction. This Individual Note Certificate is issued in respect of the [Specified Currency and Initial Principal Amount] Series [o] Class [A]/[B]/[M]/[C]/[D] Notes due [o] (the ""Notes"") of Granite Master Issuer (the ""Master Issuer"") limited to the aggregate principal amount of [Initial Principal Amount - words and figures] The Notes are constituted by, are subject to, and have the benefit of, a trust deed dated [o] 2005 (as amended or supplemented from time to time, the ""Issuer Trust Deed"") between the Master Issuer and The Bank of New York as trustee (the trustee or trustees for the time being thereof being herein called the ""Note Trustee"") and are the subject of a paying agent and agent bank agreement dated [o] 2005 (as amended or supplemented from time to time, the ""Issuer Paying Agent and Agent Bank Agreement"") between the Master Issuer, the Principal Paying Agent, the Agent Bank, Citibank, N.A. as registrar (the ""Registrar"", which expression includes any successor registrar appointed from time to time in connection with the Notes), the Transfer Agent, the US Paying Agent and the Note Trustee.",introduction
