clause_text,clause_type
"Investment Company Act. The Company is not required, and upon the issuance and sale of the Securities as herein contemplated and the application of the net proceeds therefrom as described in the Registration Statement, the General Disclosure Package and the Prospectus will not be required, to register as an “investment company” under the Investment Company Act of 1940, as amended (the “1940 Act”).",investment-company-act
"Investment Company Act. The Company is not and, after giving effect to the offering and sale of the Shares and the application of the proceeds thereof as described in the Registration Statement, the Pricing Disclosure Package and the Prospectus, will not be required to register as an “investment company” or an entity “controlled” by an “investment company” within the meaning of the Investment Company Act of 1940, as amended, and the rules and regulations of the Commission thereunder (collectively, the “Investment Company Act”).",investment-company-act
"Investment Company Act. Neither the Borrower nor any of its Subsidiaries is an ""investment company"" or a company ""controlled"" by an ""investment company,"" within the meaning of the Investment Company Act of 1940, as amended.",investment-company-act
"Investment Company Act. Neither the Borrower nor any Subsidiary is an “investment company” or a company “controlled” by an “investment company”, within the meaning of the Investment Company Act of 1940, as amended.",investment-company-act
"Investment Company Act. The Company will conduct its affairs in such a manner so as to reasonably ensure that neither it nor its subsidiaries will be or become, at any time prior to the termination of this Agreement, an “investment company,” as such term is defined in the Investment Company Act, assuming no change in the Commission’s current interpretation as to entities that are not considered an investment company.",investment-company-act
"Investment Company Act. The Company is not, and upon the issuance and sale of the Securities as herein contemplated and the application of the net proceeds therefrom as described in the Prospectus will not be, an ""investment company"" or an entity ""controlled"" by an ""investment company"" as such terms are defined in the Investment Company Act of 1940, as amended (the ""1940 Act"").",investment-company-act
"Investment Company Act. The Company is not and, after giving effect to the offering and sale of the Offered Securities and the application of the proceeds thereof as described in the General Disclosure Package, will not be an “investment company” as defined in the Investment Company Act of 1940 (the “Investment Company Act”).",investment-company-act
"Investment Company Act. The Company is not an ""investment company"", or a company ""controlled"" by an ""investment company"", within the meaning of the Investment Company Act of 1940, as amended.",investment-company-act
"Investment Company Act. Neither the Company nor any of the Subsidiaries is or, after giving effect to the offering and sale of the Placement Shares, will be an “investment company” or an entity “controlled” by an “investment company,” as such terms are defined in the Investment Company Act of 1940, as amended (the “Investment Company Act”).",investment-company-act
"Investment Company Act. Borrower is not (a) an “investment company” or a company “controlled” by an “investment company,” within the meaning of the Investment Company Act of 1940, as amended; (b) a “holding company” or a “subsidiary company” of a “holding company” or an “affiliate” of either a “holding company” or a “subsidiary company” within the meaning of the Public Utility Holding Company Act of 1935, as amended; or (c) subject to any other federal or state law or regulation which purports to restrict or regulate its ability to borrow money.",investment-company-act
"Investment Company Act. No Loan Party is an “investment company”, or a company “controlled” by an “investment company”, within the meaning of the Investment Company Act of 1940, as amended.",investment-company-act
"Investment Company Act. The Company is not and, after giving effect to the offering and sale of the Securities, will not be an “investment company,” as such term is defined in the Investment Company Act of 1940, as amended.",investment-company-act
"Investment Company Act. Neither the Company nor any of its subsidiaries is, and after giving effect to the offering and sale of the Securities and the application of the proceeds thereof as described in the Offering Memorandum none of them will be, an ""investment company"" or an entity ""controlled"" by an ""investment company"" within the meaning of the Investment Company Act of 1940, as amended, and the rules and regulations of the Commission thereunder (collectively, ""Investment Company Act"").",investment-company-act
"Investment Company Act. The Company is not, and upon the issuance and sale of the Underwritten Securities as herein contemplated and the application of the net proceeds therefrom as described in the Prospectus will not be, an ""investment company"" within the meaning of the Investment Company Act of 1940, as amended (the ""1940 Act"").",investment-company-act
"Investment Company Act. No Borrower is an “investment company” registered or required to be registered under the Investment Company Act of 1940, as amended, nor is it controlled by such a company.",investment-company-act
"Investment Company Act. The Borrower is not an “investment company” within the meaning of the Investment Company Act of 1940, as amended.",investment-company-act
"Investment Company Act. The Company is not, and after giving effect to the offering and sale of the Securities and the application of the proceeds thereof as described in each of the Registration Statement, the Time of Sale Information and the Prospectus will not be, an “investment company” within the meaning of the Investment Company Act of 1940, as amended, and the rules and regulations of the Commission thereunder (collectively, the “Investment Company Act”).",investment-company-act
"Investment Company Act. Neither Borrower nor any of its Subsidiaries is an “investment company” as defined in, or subject to regulation under, the Investment Company Act of 1940.",investment-company-act
"Investment Company Act. None of the Company and the Guarantors is an open-end investment company, unit investment trust or face-amount certificate company that is or is required to be registered under Section 8 of the United States Investment Company Act of 1940, as amended (the “Investment Company Act”); and none of the Company and the Guarantors is or, after giving effect to the offering and sale of the Notes and the application of the proceeds thereof as described in the Pricing Disclosure Package and the Prospectus, will be an “investment company” as defined in the Investment Company Act.",investment-company-act
Investment Company Act. The Depositor is not an “investment company” or a company “controlled by an investment company” within the meaning of the Investment Company Act.,investment-company-act
"Investment Company Act. Neither the Borrower nor any Subsidiary is an ""investment company"" within the meaning of the Investment Company Act of 1940, as amended.",investment-company-act
"Investment Company Act. Neither the Company nor the Operating Partnership is required, or upon the issuance and sale of the Securities as herein contemplated and the application of the net proceeds therefrom as described in the Registration Statement and the Prospectus will be required, to register as an “investment company” under the Investment Company Act.",investment-company-act
"Investment Company Act. The Company is not and, after giving effect to the offering and sale of the Securities as herein contemplated and the application of the proceeds thereof as described in the Pricing Prospectus, will not be an “investment company,” as such term is defined in the Investment Company Act of 1940, as amended.",investment-company-act
"Investment Company Act. None of Holdings, the Borrower or any Subsidiary is an “investment company” as defined in, or subject to regulation under, the Investment Company Act of 1940.",investment-company-act
"Investment Company Act. Borrower is not (i) an “investment company” or a company “controlled” by an “investment company” within the meaning of the Investment Company Act of 1940, as amended, or (ii) subject to any other United States federal or state law or regulation which purports to restrict or regulate its ability to borrow money.",investment-company-act
"Investment Company Act. No Target Company is an “investment company” or a Person directly or indirectly “controlled” by or acting on behalf of an “investment company”, in each case within the meaning of the Investment Company Act of 1940, as amended.",investment-company-act
"Investment Company Act. The Company shall not invest, or otherwise use the proceeds received by the Company from its sale of the Securities in such a manner as would require the Company to register as an investment company under the Investment Company Act.",investment-company-act
"Investment Company Act. Neither the Company nor any of its subsidiaries is or, after giving effect to the offering of the Stock and the application of the proceeds thereof as described in the General Disclosure Package and the Prospectus, will be required to register as an “investment company” or an entity “controlled” by an “investment company” within the meaning of the Investment Company Act of 1940, as amended, and the rules and regulations of the Commission thereunder.",investment-company-act
"Investment Company Act. The Company is not required to register as an “investment company” or an entity “controlled” by an “investment company” within the meaning of the Investment Company Act of 1940, as amended, and the rules and regulations of the Commission thereunder (collectively, the “Investment Company Act”).",investment-company-act
"Investment Company Act. The Seller is not an “investment company” that is registered or required to be registered under, or otherwise subject to the restrictions of the Investment Company Act of 1940, as amended.",investment-company-act
"Investment Company Act. The Company is not and, after giving effect to the offering and sale of the Securities and the application of the proceeds thereof as described in each of the Registration Statement, the Time of Sale Information and the Prospectus, will not be an “investment company” or an entity “controlled” by an “investment company” within the meaning of the Investment Company Act of 1940, as amended, and the rules and regulations of the Commission thereunder (collectively, the “Investment Company Act”).",investment-company-act
"Investment Company Act. Neither the Company nor any of its Subsidiaries is an investment company within the meaning of the Investment Company Act of 1940, as amended, or, directly or indirectly, controlled by or acting on behalf of any Person which is an investment company, within the meaning of said Act.",investment-company-act
"Investment Company Act. The Borrower is not required to register as an “investment company” within the meaning of the Investment Company Act of 1940, as amended.",investment-company-act
Investment Company Act. The Manager shall use its best efforts to ensure that the Company shall not be subject to registration as an investment company pursuant to the Investment Company Act.,investment-company-act
"Investment Company Act. None of Holdings, the Borrower and the Subsidiaries is an “investment company” as defined in, or subject to regulation under, the Investment Company Act of 1940, as amended.",investment-company-act
"Investment Company Act. Neither the Company nor the Bank is required, or upon the consummation of the transactions contemplated in this Agreement will be required, to register as an “investment company” under the Investment Company Act of 1940, as amended (the “1940 Act”).",investment-company-act
"Investment Company Act. Neither of the Transaction Entities are, nor after giving effect to the offering and sale of the Offered Shares and the application of the proceeds thereof as described in the Registration Statement, the General Disclosure Package and the Prospectus, will be required to register as an “investment company” as defined in the Investment Company Act of 1940, as amended (the “Investment Company Act”).",investment-company-act
"Investment Company Act. None of the Borrower, any Person Controlling the Borrower, or any Subsidiary is or is required to be registered as an “investment company” under the Investment Company Act of 1940.",investment-company-act
"Investment Company Act. Neither the Borrower nor any of its Subsidiaries is required to register under the provisions of the Investment Company Act of 1940, as amended, and neither the entering into or performance by the Borrower and its Subsidiaries of this Agreement and the Loan Documents nor the issuance of the Notes violates any provision of such Act or requires any consent, approval or authorization of, or registration with, the Securities and Exchange Commission or any other governmental or public body or authority pursuant to any provisions of such Act.",investment-company-act
"Investment Company Act. The Company is not, and upon the issuance and sale of the Securities as herein contemplated and the application of the net proceeds therefrom as described in the Registration Statement, the General Disclosure Package and the Prospectus will not be, required to register as an “investment company” as such term is defined in the Investment Company Act of 1940, as amended.",investment-company-act
"Investment Company Act. No Company is an “investment company” or a company “controlled” by an “investment company,” as defined in, or subject to regulation under, the Investment Company Act of 1940, as amended.",investment-company-act
"Investment Company Act. The Company is not and, after giving effect to the offer and sale of the Securities and the application of the proceeds thereof as described in the Sale Preliminary Prospectus and the Prospectus, will not be required to register as an “investment company” under the Investment Company Act of 1940, as amended.",investment-company-act
