clause_text,clause_type
"Investment Company. The Company is not, and is not an Affiliate of, and immediately after receipt of payment for the Securities, will not be or be an Affiliate of, an “investment company” within the meaning of the Investment Company Act of 1940, as amended. The Company shall conduct its business in a manner so that it will not become an “investment company” subject to registration under the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company shall cause the proceeds of the Offering to be held in the Trust Account to be invested only as provided for in the Trust Agreement and disclosed in the Prospectus. The Company will otherwise conduct its business in a manner so that it will not become subject to the Investment Company Act. Furthermore, once the Company consummates a Business Combination, it shall be engaged in a business other than that of investing, reinvesting, owning, holding or trading securities.",investment-company
"Investment Company. The Company is not, and is not an Affiliate of, and immediately following the Closing will not have become, an “investment company” within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company is not, and is not an Affiliate of, an ""investment company"" within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. Neither the Company nor any Affiliate of the Company is an “investment company” within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company is not required to be registered as, and is not an Affiliate of, and immediately following the Closing will not be required to register as, an “investment company” within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company is not an “investment company” within the meaning of such term under the Investment Company Act of 1940, as amended, and the rules and regulations of the SEC thereunder.",investment-company
"Investment Company. Neither the Borrower nor any Subsidiary is an “investment company” or a company “controlled” by an “investment company” within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company shall cause the proceeds of the Offering and the sale of Private Placement Warrants to be held in the Trust Account to be invested only in United States “government securities” within the meaning of Section 2(a)(16) of the Investment Company Act of 1940 having a maturity of 185 days or less or in money market funds meeting certain conditions under Rule 2a-7 promulgated under the Investment Company Act which invest only in direct U.S. government treasury obligations, as set forth in the Trust Agreement and disclosed in the Statutory Prospectus and the Prospectus. The Company will otherwise conduct its business in a manner so that it will not become subject to the Investment Company Act. Furthermore, once the Company consummates the Initial Business Combination, it will be engaged in a business other than that of investing, reinvesting, owning, holding or trading securities.",investment-company
"Investment Company. The Company is not an “investment company” within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company is not, and immediately after receipt of payment for the Securities will not be, an “investment company” within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company is not an ""investment company"" or an ""affiliated person"" of, or ""promoter"" or ""principal underwriter"" for an investment company, within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. Neither the Depositor nor any holder of a Certificate shall take any action which would cause the Trust to become an ""investment company"" which would be required to register under the Investment Company Act.",investment-company
"Investment Company. None of the Borrower, any other Loan Party or any other Subsidiary is (i) an “investment company” or a company “controlled” by an “investment company” within the meaning of the Investment Company Act of 1940, as amended, or (ii) subject to any other Applicable Law which purports to regulate or restrict its ability to borrow money or obtain other extensions of credit or to consummate the transactions contemplated by this Agreement or to perform its obligations under any Loan Document to which it is a party.",investment-company
"Investment Company. None of the Partnership Entities is now, or after sale of the Units to be sold by the Partnership hereunder and application of the net proceeds from such sale as described in the most recent Preliminary Prospectus under the caption “Use of Proceeds” will be, an “investment company” or a company “controlled by” an “investment company” within the meaning of the Investment Company Act of 1940, as amended (the “Investment Company Act”).",investment-company
"Investment Company. The Borrower is not an ""investment company"" or a company ""controlled"" by an ""investment company"" within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company is not, and is not an Affiliate of, and immediately after receipt of payment for the Shares, will not be or be an Affiliate of, an ""investment company"" within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company is not, and is not an Affiliate (as defined in Rule 405 under the Securities Act) of, an ""investment company"" within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company is not and, after giving effect to the offering and sale of the Purchased Shares, the consummation of the Offering and the application of the proceeds hereof and thereof, will not be an “investment company,” as such term is defined in the U.S. Investment Company Act of 1940, as amended.",investment-company
"Investment Company. None of the Partnership Entities is, and as of each applicable Delivery Date, after giving effect to the offer and sale of the Units and the application of the proceeds therefrom as described under “Use of Proceeds” in the most recent Preliminary Prospectus and the Prospectus, none of them will be, (i) an “investment company” or a company “controlled” by an “investment company” within the meaning of the Investment Company Act of 1940, as amended (the “Investment Company Act”), and the rules and regulations of the Commission thereunder, or (ii) a “business development company” (as defined in Section 2(a)(48) of the Investment Company Act).",investment-company
"Investment Company. The Company is not and, after giving effect to the offering and sale of the Securities, will not be an “investment company,” as such term is defined in the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company is not, and neither the offer or sale of the Shares nor any of the activities of the Company will cause the Company to be, an “investment company” or under the control of an “investment company” as such terms are defined in the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. Become an “investment company” or a company “controlled” by an “investment company,” within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. Neither the Borrower nor any Consolidated Entity is an ""investment company,"" or an ""affiliated person"" of, or ""promoter"" or ""principal underwriter"" for, an ""investment company"", as such terms are defined in the Investment Company Act of 1940, as amended (15 U.S.C. ss. 80a-1, et seq.). The application of the proceeds of the Loans and repayment thereof by the Borrower and the issuance of Letters of Credit and the performance by the Borrower and any Consolidated Entity of the transactions contemplated by the Loan Documents will not violate any provision of said Act, or any rule, regulation or order issued by the Securities and Exchange Commission thereunder, in each case as in effect on the date hereof.",investment-company
"Investment Company. The Company is not, and is not controlled by or under common control with an affiliate of, an ""investment company"" within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company (including its subsidiaries) is not an “investment company” or an “affiliated person” of, or “promoter” or “principal underwriter” for an investment company, within the meaning of the Investment Company Act of 1940 and will not be deemed an “investment company” as a result of the transactions contemplated by this Agreement.",investment-company
"Investment Company. The Parent is not an ""investment company"" or a company ""controlled"" by an ""investment company"" within the meaning of the Investment Company Act of 1940, as amended, or a ""holding company,"" a ""subsidiary company"" of a ""holding company"" or an ""affiliate"" of a ""holding company"" or a ""public utility"" within the meaning of the Public Utility Holding Company Act of 1935, as amended.",investment-company
Investment Company. To take such steps as shall be necessary to ensure that no Partnership Entity shall become an “investment company” as defined in the Investment Company Act.,investment-company
"Investment Company. Neither the Company nor any of the Company Subsidiaries is an “investment company” as defined under the Investment Company Act of 1940, as amended, and neither the Company nor any of the Company Subsidiaries sponsors any person that is such an investment company.",investment-company
"Investment Company. The Offerors shall not engage, or permit any Subsidiary to engage, in any activity which would cause it or any Subsidiary to be an “investment company” under the provisions of the Investment Company Act.",investment-company
"Investment Company. None of the Partnership Entities is, and after giving effect to the offering and sale of the Units, none of the Partnership Entities will be, an “investment company” or a company “controlled by” an “investment company,” each as defined in the Investment Company Act of 1940, as amended (the “Investment Company Act”).",investment-company
"Investment Company. During the period of two years after the Closing Date, neither the Company nor any Guarantor will be or become an open-end investment company, unit investment trust or face-amount certificate company that is or is required to be registered under Section 8 of the Investment Company Act.",investment-company
"Investment Company. Neither the Company nor any Subsidiary is, and at no time during which a prospectus is required by the Securities Act to be delivered (whether physically or through compliance with Rule 172 under the Securities Act or any similar rule) in connection with any sale of Shares will any of them be, and, after giving effect to the offering and sale of the Shares, neither of them will be, an “investment company” or an entity “controlled” by an “investment company,” as such terms are defined in the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company is not, and upon the issuance and sale of the Securities as herein contemplated and the application of the net proceeds therefrom as described in the Time of Sale Information and the Prospectus will not be, an “investment company” within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Customer is not (i) an investment company or a company controlled by an investment company within the meaning of the Investment Company Act of 1940, as amended, (ii) a holding company or a subsidiary of a holding company, or an Affiliate of a holding company or of a subsidiary of a holding company, within the meaning of the Public Utility Holding Company Act of 1935, as amended, or (iii) subject to any other law which purports to regulate or restrict its ability to borrow money or to consummate the transactions contemplated by this Agreement or the Other Documents or to perform its obligations hereunder or thereunder.",investment-company
"Investment Company. Company is not an “investment company,” or an “affiliated person” of, or “promoter” or “principal underwriter” for, an “investment company,” as such terms are defined in the Investment Company Act of 1940, as amended. Neither the making of the Loan or the application of the proceeds or repayment thereof by the Company, nor the consummation of the other transactions contemplated by this Agreement or the other Loan Documents, will violate any provision of such Act or any rule, regulation or order of the Securities and Exchange Commission there under.",investment-company
"Investment Company. CAC is not an investment company which is required to register under the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company is not and, after giving effect to the offering and sale of the Securities, will not be an “investment company” as such term is defined in the Investment Company Act of 1940, as amended (the “Investment Company Act”). The Company shall conduct its business in a manner so that it will not become subject to the Investment Company Act.",investment-company
"Investment Company. The Company is not an “investment company” or an “affiliated person” of, or “promoter” or “principal underwriter” for an investment company, within the meaning of the Investment Company Act of 1940, as amended, and the rules and regulations of the Commission promulgated thereunder.",investment-company
"Investment Company. Seller is not (a) an investment company or a company controlled by an investment company within the meaning of the Investment Company Act of 1940, as amended or (b) subject in any respect to the provisions of said act.",investment-company
"Investment Company. Neither the Company nor any of its Subsidiaries is or, after giving effect to the Offering of the Shares and the application of the proceeds thereof as described in the Registration Statement, the General Disclosure Package and the Prospectus, will become an “investment company” within the meaning of the Investment Company Act of 1940, as amended, and the rules and regulations of the Commission thereunder.",investment-company
"Investment Company. The Subscriber is not an ""investment company"" or an entity controlled by an ""investment company"", as such terms are defined in the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. Neither the Borrower nor any Subsidiary is, or after giving effect to any Advance will be, an ""investment company"" or a company ""controlled"" by an ""investment company"" within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. Neither the Company nor any Company Subsidiary is and, after giving effect to the offering and sale of the Securities and the application of the proceeds thereof, will become an “investment company” or an “affiliated person” of, or “promoter” or “principal underwriter” for an investment company, within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Sponsor hereby agrees, and the Certificateholder, by acceptance of the Certificate, agrees, not to take any action which would cause the Trust to become an “investment company” which would be required to register under the Investment Company Act.",investment-company
"Investment Company. The Company is not, and after giving effect to the offering and sale of the Common Shares, will not be, an “investment company” within the meaning of the Investment Company Act of 1940, as amended (the “1940 Act”).",investment-company
"Investment Company. The Company will not invest, or otherwise use the proceeds received by the Company from its sale of the Shares in such a manner as would require the Company to register as an investment company under the Investment Company Act.",investment-company
"Investment Company. Neither Seller nor any of its Subsidiaries is an “investment company”, or a company “controlled” by an “investment company,” within the meaning of the Investment Company Act of 1940, as amended; provided, however, that any entity that is under the management of PNMAC Capital Management LLC in its capacity as an “investment adviser” within the meaning of the Investment Advisers Act of 1940 and is otherwise not directly or indirectly owned or controlled by Seller shall not be deemed a “Subsidiary” for the purposes of this Section 3.16.",investment-company
"Investment Company. The Company is not, and after giving effect to the offering and sale of the Shares and the use of the proceeds therefrom as described in the Registration Statement and the Prospectus will not be an “investment company” or an “affiliated person” of, or “promoter” or “principal underwriter” for, an “investment company,” as such terms are defined in the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company is not, and is not an Affiliate of, and immediately following the Closing will not have become, an “investment company,” an Affiliate of an “investment company,” a company controlled by an “investment company” or an “affiliated person” of, or “promoter” or “principal underwriter” for, an “investment company” within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company is not an “investment company” as defined in the Investment Company Act. In rendering such opinion, such counsel may (i) rely in respect of matters of fact upon certificates of officers and employees of the Targa Entities and upon information obtained from public officials, (ii) assume that all documents submitted to such counsel as originals are authentic, that all copies submitted to such counsel conform to the originals thereof, and that the signatures on all documents examined by such counsel are genuine, (iii) state that its opinion is limited to matters governed by federal law and the Delaware LP Act, Delaware LLC Act and the DGCL and the laws of the State of Texas, (iv) with respect to the opinions expressed as to the due qualification or registration as a foreign limited partnership or limited liability company, as the case may be, of the Targa Entities, state that such opinions are based upon certificates of foreign qualification or registration provided by the Secretary of State of the States listed on an annex to be attached to such counsel’s opinion (each of which shall be dated as of a date not more than fourteen days prior to the Closing Date and shall be provided to counsel to the Underwriters) and (v) state that they express no opinion with respect to (A) any permits to own or operate any real or personal property or (B) state or local taxes or tax statutes to which any of the limited partners of the Partnership or any of the Targa Entities may be subject. Such counsel may exclude any non-wholly-owned entities from its opinion regarding ownership of Material Subsidiaries. In addition, such counsel shall state that they have participated in conferences with officers and other representatives of the Company, the independent public accountants of the Company and your representatives, at which the contents of the Registration Statement, the Disclosure Package and the Prospectus and related matters were discussed, and although such counsel has not independently verified, is not passing upon, and is not assuming any responsibility for the accuracy, completeness or fairness of the statements contained in, the Registration Statement, the Disclosure Package and the Prospectus (except to the extent specified in the foregoing opinion), based on the foregoing, no facts have come to such counsel’s attention that lead such counsel to believe that:",investment-company
Investment Company. Purchaser is not an “investment company” within the meaning of the Investment Company Act of 1940.,investment-company
Investment Company. The Company will take such steps as shall be necessary to ensure that neither the Company nor the Operating Partnership shall become an “investment company” within the meaning of such term under the Investment Company Act and the rules and regulations of the Commission thereunder.,investment-company
Investment Company. X_ Domestic and Global,investment-company
"Investment Company. Parent is not an “investment company” within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company is not and, after giving effect to the offering and sale of the Securities as described in the General Disclosure Package and the Prospectus, will not be an “investment company” as defined in the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company is not and, at all times up to and including consummation of the transactions contemplated by this Agreement, and after giving effect to application of the net proceeds of the offering and sale of the Shares as described in the Registration Statement, the Disclosure Package and the Prospectus, will not be, required to register as an “investment company” under the Investment Company Act of 1940, as amended (the “1940 Act”), and is not and will not be an entity “controlled” by an “investment company” within the meaning of such act.",investment-company
"Investment Company. None of the Loan Parties is an “investment company,” or an “affiliated person” of, or “promoter” or “principal underwriter” for, an “investment company,” as such terms are defined in the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. None of the Partnership Entities are, and after giving effect to the offering and the sale of the Units and the application of the proceeds thereof, none of the Partnership Entities will be, an “investment company” or a company “controlled by” an investment company, each within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. Parent is not, and after giving effect to the issuance of the Stock Consideration, will not be an “investment company” or an “affiliated person” of, or “promoter” or “principal underwriter” for, an “investment company,” as such terms are defined in the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. The Company is not, and immediately after receipt of payment for the Shares will not be, an “investment company,” an “affiliated person” of, “promoter” for or “principal underwriter” for, an entity “controlled” by an “investment company,” within the meaning of the Investment Company Act of 1940, as amended.",investment-company
"Investment Company. Seller is not an investment company or a company controlled by an investment company within the meaning of the Investment Company Act of 1940, as amended.",investment-company
