clause_text,clause_type
"Judgments. To the extent permitted by applicable law, if any judgment or order expressed in a currency other than the Contractual Currency is rendered (i) for the payment of any amount owing in respect of this Agreement, (ii) for the payment of any amount relating to any early termination in respect of this Agreement or (iii) in respect of a judgment or order of another court for the payment of any amount described in (i) or (ii) above, the party seeking recovery, after recovery in full of the aggregate amount to which such party is entitled pursuant to the judgment or order, will be entitled to receive immediately from the other party the amount of any shortfall of the Contractual Currency received by such party as a consequence of sums paid in such other currency and will refund promptly to the other party any excess of the Contractual Currency received by such party as a consequence of sums paid in such other currency if such shortfall or such excess arises or results from any variation between the rate of exchange at which the Contractual Currency is converted into the currency of the judgment or order for the purposes of such judgment or order and the rate of exchange at which such party is able, acting in a reasonable manner and in good faith in converting the currency received into the Contractual Currency, to purchase the Contractual Currency with the amount of the currency of the judgment or order actually received by such party. The term “rate of exchange” includes, without limitation, any premiums and costs of exchange payable in connection with the purchase of or conversion into the Contractual Currency.",judgments
"Judgments. There is entered against any Loan Party or any Subsidiary thereof (i) one or more final judgments or orders for the payment of money in an aggregate amount (as to all such judgments and orders) exceeding the Threshold Amount (to the extent not covered by independent third-party insurance as to which the insurer is rated at least “A” by A.M. Best Company, has been notified of the potential claim and does not dispute coverage), or (ii) any one or more non-monetary final judgments that have, or could reasonably be expected to have, individually or in the aggregate, a Material Adverse Effect and, in either case, (A) enforcement proceedings are commenced by any creditor upon such judgment or order, or (B) there is a period of 30 consecutive days during which a stay of enforcement of such judgment, by reason of a pending appeal or otherwise, is not in effect; or",judgments
"Judgments. There is entered against Borrower or any Subsidiary (i) a final judgment or order for the payment of money in an aggregate amount exceeding the Threshold Amount (to the extent not covered by independent third-party insurance as to which the insurer does not dispute coverage), or (ii) any one or more non-monetary final judgments that have, or could reasonably be expected to have, individually or in the aggregate, a Material Adverse Effect and, in either case, (A) enforcement proceedings are commenced by any creditor upon such judgment or order, or (B) there is a period of 10 consecutive days during which a stay of enforcement of such judgment, by reason of a pending appeal or otherwise, is not in effect; or",judgments
"Judgments. If a judgment or judgments for the payment of money in an amount, individually or in the aggregate, of at least Fifty Thousand Dollars ($50,000) shall be rendered against Borrower and shall remain unsatisfied and unstayed for a period of ten (10) days (provided that no Credit Extensions will be made prior to the satisfaction or stay of such judgment); or",judgments
"Judgments. There is entered against any Loan Party or any Restricted Subsidiary a final judgment or order for the payment of money in an aggregate amount exceeding the Threshold Amount (to the extent not covered by independent third-party insurance as to which the insurer has been notified of such judgment or order and has not denied coverage) and such judgment or order shall not have been satisfied, vacated, discharged or stayed or bonded pending an appeal for a period of sixty (60) consecutive days; or",judgments
"Judgments. One or more judgments or decrees shall be entered against the Borrower or any of the Restricted Subsidiaries involving a liability of $100,000,000 or more in the aggregate for all such judgments and decrees for the Borrower and the Restricted Subsidiaries (to the extent not paid or covered by insurance provided by a carrier not disputing coverage) and any such judgments or decrees shall not have been satisfied, vacated, discharged or stayed or bonded pending appeal within 60 days after the entry thereof; or",judgments
"Judgments. One or more judgments, orders, or decrees for the payment of money in an amount, individually or in the aggregate, of at least Two Hundred Fifty Thousand Dollars ($250,000.00) (not covered by independent third-party insurance as to which liability has been accepted by such insurance carrier) shall be rendered against Borrower or any of its Subsidiaries and shall remain unsatisfied, unvacated, or unstayed for a period of ten (10) days after the entry thereof (provided that no Credit Extensions will be made prior to the satisfaction, vacation, or stay of such judgment, order or decree);",judgments
"Judgments. If one or more judgments, orders, or awards for the payment of money involving an aggregate amount of $250,000, or more (except to the extent fully covered (other than to the extent of customary deductibles) by insurance pursuant to which the insurer has not denied coverage) is entered or filed against a Loan Party or any of its Subsidiaries, or with respect to any of their respective assets, and either (a) there is a period of 30 consecutive days at any time after the entry of any such judgment, order, or award during which (1) the same is not discharged, satisfied, vacated, or bonded pending appeal, or (2) a stay of enforcement thereof is not in effect, or (b) enforcement proceedings are commenced upon such judgment, order, or award;",judgments
"Judgments. There is entered against any Loan Party (i) one or more final judgments or orders for the payment of money in an aggregate amount (as to all such judgments or orders) exceeding the Threshold Amount (to the extent not covered by independent third-party insurance as to which the insurer does not dispute coverage), or (ii) any one or more non-monetary final judgments that have, or would have, individually or in the aggregate, a Material Adverse Effect and, in either case, (A) enforcement proceedings are commenced by any creditor upon such judgment or order, or (B) there is a period of ten (10) consecutive days during which a stay of enforcement of such judgment, by reason of a pending appeal or otherwise, is not in effect; or",judgments
"Judgments. There is entered against the Borrower or any Subsidiary (i) any one or more final judgments or orders for the payment of money in an aggregate amount exceeding the Threshold Amount (to the extent not covered by independent third-party insurance as to which the insurer does not dispute coverage), or (ii) any one or more non-monetary final judgments that have, or could reasonably be expected to have, individually or in the aggregate, a Material Adverse Effect and, in either case, (A) enforcement proceedings are commenced by any creditor upon such judgment or order, or (B) there is a period of ten (10) consecutive days during which a stay of enforcement of such judgment, by reason of a pending appeal or otherwise, is not in effect; or",judgments
