clause_text,clause_type
"Jurisdiction. With respect to any suit, action or proceedings relating to this Agreement (“Proceedings”), each party irrevocably:—",jurisdiction
"Jurisdiction. Any suit, action or proceeding seeking to enforce any provision of, or based on any matter arising out of or in connection with, this Agreement or the transactions contemplated hereby may be brought in any federal or state court located in the County and State of New York, and each of the parties hereby consents to the jurisdiction of such courts (and of the appropriate appellate courts therefrom) in any such suit, action or proceeding and irrevocably waives, to the fullest extent permitted by law, any objection which it may now or hereafter have to the laying of the venue of any such suit, action or proceeding in any such court or that any such suit, action or proceeding which is brought in any such court has been brought in an inconvenient forum. Process in any such suit, action or proceeding may be served on any party anywhere in the world, whether within or without the jurisdiction of any such court. Without limiting the foregoing, each party agrees that service of process on such party as provided in Section 10(a) shall be deemed effective service of process on such party.",jurisdiction
"Jurisdiction. This Agreement shall be governed by and construed consistent with the Advisory Agreement and in accordance with substantive laws of the State of New York without reference to choice of law principles thereof and in accordance with the 1940 Act. In the case of any conflict, the 1940 Act shall control.",jurisdiction
Jurisdiction. A Requested Party is not obligated to provide information which is neither held by its authorities nor in the possession or control of persons who are within its territorial jurisdiction.,jurisdiction
"Jurisdiction. Any suit, action or proceeding seeking to enforce any provision of, or based on any matter arising out of or in connection with, this Agreement shall be brought against any of the parties in the United States District Court for the District of Delaware or any Delaware state court located in Wilmington, Delaware, and each of the parties hereby consents to the exclusive jurisdiction of such court (and of the appropriate appellate courts) in any such suit, action or proceeding and waives any objection to venue laid therein. Process in any such suit, action or proceeding may be served on any party anywhere in the world, whether within or without the jurisdiction of any such court.",jurisdiction
Jurisdiction. (1) This Agreement shall be construed to be a “written agreement entered into with the agency” within the meaning of 12 U.S.C. § 1818(b)(1).,jurisdiction
"Jurisdiction. The Trust is hereby organized in, and formed under and pursuant to, the laws of the State of New York.",jurisdiction
"Jurisdiction. This Agreement shall be governed by and construed in accordance with the substantive laws of the Commonwealth of Massachusetts and the Sub-Adviser consents to the jurisdiction of courts, both state or federal, in Massachusetts, with respect to any dispute under this Agreement.",jurisdiction
"Jurisdiction. The parties (i) hereby irrevocably and unconditionally submit to the jurisdiction of the state courts of New York and to the jurisdiction of the United States District Court for the Southern District of New York for the purpose of any suit, action or other proceeding arising out of or based upon this Agreement, (ii) agree not to commence any suit, action or other proceeding arising out of or based upon this Agreement except in state courts of New York or the United States District Court for the Southern District of New York, and (iii) hereby waive, and agree not to assert, by way of motion, as a defense, or otherwise, in any such suit, action or proceeding, any claim that it is not subject personally to the jurisdiction of the above-named courts, that its property is exempt or immune from attachment or execution, that the suit, action or proceeding is brought in an inconvenient forum, that the venue of the suit, action or proceeding is improper or that this Agreement or the subject matter hereof may not be enforced in or by such court.",jurisdiction
Jurisdiction. Section 13(b) is hereby amended by: (i) deleting in the second line of subparagraph (i) thereof the word “non-”: and (ii) deleting the final paragraph thereof.,jurisdiction
"Jurisdiction. (a) The courts of England have exclusive jurisdiction to settle any dispute arising out of or in connection with this Agreement (including a dispute relating to the existence, validity or termination of this Agreement or any non-contractual obligation arising out of or in connection with this Agreement) (a “Dispute”).",jurisdiction
