clause_text,clause_type
"Labor Matters. There are no strikes or other labor disputes against the Borrower or any of its Subsidiaries pending or, to the knowledge of the Borrower, threatened that (individually or in the aggregate) could reasonably be expected to have a Material Adverse Effect. Hours worked by and payment made to employees of the Borrower and its Subsidiaries have not been in violation of the Fair Labor Standards Act or any other applicable Requirement of Law dealing with such matters that (individually or in the aggregate) could reasonably be expected to have a Material Adverse Effect. All payments due from the Borrower or any of its Subsidiaries on account of employee health and welfare insurance that (individually or in the aggregate) could reasonably be expected to have a Material Adverse Effect if not paid have been paid or accrued as a liability on the books of the Borrower or the relevant Subsidiary.",labor-matters
"Labor Matters. Except as, in the aggregate, could not reasonably be expected to have a Material Adverse Effect: (a) there are no strikes or other labor disputes against the Borrower or any of its Subsidiaries pending or, to the knowledge of the Borrower, threatened; (b) hours worked by and payment made to employees of the Borrower and its Subsidiaries have not been in violation of the Fair Labor Standards Act or any other applicable Requirement of Law dealing with such matters; and (c) all payments due from the Borrower or any of its Subsidiaries on account of employee health and welfare insurance have been paid or accrued as a liability on the books of the Borrower or the relevant Subsidiary.",labor-matters
"Labor Matters. Except as, in the aggregate, could not reasonably be expected to have a Material Adverse Effect: (a) there are no strikes or other labor disputes against any Group Member pending or, to the knowledge of the Borrower, threatened; (b) hours worked by and payment made to employees of each Group Member have not been in violation of the Fair Labor Standards Act or any other applicable Requirement of Law dealing with such matters; and (c) all payments due from any Group Member on account of employee health and welfare insurance have been paid or accrued as a liability on the books of the relevant Group Member.",labor-matters
"Labor Matters. Neither the Company nor any of its Subsidiaries is a party to or is bound by any collective bargaining agreement, contract or other agreement or understanding with a labor union or labor organization, nor is the Company or any of its Subsidiaries the subject of a proceeding asserting that it has committed an unfair labor practice (within the meaning of the National Labor Relations Act) or seeking to compel the Company or any of its Subsidiaries to bargain with any labor organization as to wages or conditions of employment, nor is there any strike or other labor dispute involving it or any of its Subsidiaries pending or, to the Company's knowledge, threatened, nor is the Company or any of its Subsidiaries aware of any activity involving its employees seeking to certify a collective bargaining unit or engaging in other organizational activity.",labor-matters
"Labor Matters. As of the Effective Date, there are no strikes, lockouts or slowdowns against Holdings, the Borrower or any Subsidiary pending or, to the knowledge of Holdings or the Borrower, threatened. Except as could not, individually or in the aggregate, reasonably be expected to result in a Material Adverse Effect: (a) the hours worked by and payments made to employees of Holdings, the Borrower and the Subsidiaries have not been in violation of the Fair Labor Standards Act or any other applicable Federal, state, local or foreign law dealing with such matters; (b) all payments due from Holdings, the Borrower or any Subsidiary, or for which any claim may be made against Holdings, the Borrower or any Subsidiary, on account of wages and employee health and welfare insurance and other benefits, have been paid or accrued as a liability on the books of Holdings, the Borrower or such Subsidiary; and (c) the consummation of the Transactions will not give rise to any right of termination or right of renegotiation on the part of any union under any collective bargaining agreement to which Holdings, the Borrower or any Subsidiary is bound.",labor-matters
"Labor Matters. Except as, individually or in the aggregate, would not reasonably be expected to have a Material Adverse Effect: (a) there are no strikes or other labor disputes pending or threatened against the Borrower or any of the Subsidiaries; (b) the hours worked and payments made to employees of the Borrower and the Subsidiaries have not been in violation of the Fair Labor Standards Act or any other applicable law dealing with such matters; and (c) all payments due from the Borrower or any of the Subsidiaries or for which any claim may be made against the Borrower or any of the Subsidiaries, on account of wages and employee health and welfare insurance and other benefits have been paid or accrued as a liability on the books of the Borrower or such Subsidiary to the extent required by GAAP. Except as, individually or in the aggregate, would not reasonably be expected to have a Material Adverse Effect, the consummation of the Transactions will not give rise to a right of termination or right of renegotiation on the part of any union under any material collective bargaining agreement to which the Borrower or any of the Subsidiaries (or any predecessor) is a party or by which the Borrower or any of the Subsidiaries (or any predecessor) is bound.",labor-matters
"Labor Matters. (a) There are no collective bargaining agreements or other labor union Contracts applicable to any employees of the Company or any of its Subsidiaries. There is no labor dispute, strike, work stoppage or lockout, or, to the Knowledge of the Company, threat thereof, by or with respect to any employees of the Company or any of its Subsidiaries, and there has been no labor dispute, strike, work stoppage or lockout in the previous three (3) years. There are no organizational efforts with respect to the formation of a collective bargaining unit presently being made, or to the Knowledge of the Company, threatened, involving employees of the Company or any of its Subsidiaries. Neither the Company nor any of its Subsidiaries has engaged or is engaging in any unfair labor practice. The Company and its Subsidiaries are in compliance in all material respects with all applicable Legal Requirements respecting employment and employment practices, terms and conditions of employment, wages, hours of work and occupational safety and health. No Proceeding asserting that the Company or any of its Subsidiaries has committed an unfair labor practice (within the meaning of the National Labor Relations Act of 1935) or seeking to compel the Company or any of its Subsidiaries to bargain with any labor organization as to wages or conditions of employment is pending or, to the Knowledge of the Company, threatened with respect to the Company or any of its Subsidiaries before the National Labor Relations Board, the Equal Employment Opportunity Commission or any other Regulatory Authority.",labor-matters
"Labor Matters. No labor problem or dispute with the employees of the Company or any of its subsidiaries exists or is threatened or imminent, and the Company is not aware of any existing or imminent labor disturbance by the employees of any of its or its subsidiaries’ principal suppliers, contractors or customers, that could have a Material Adverse Effect.",labor-matters
"Labor Matters. There are no collective bargaining agreements or Multiemployer Plans covering the employees of the Borrower or any of its Subsidiaries as of the Closing Date and neither the Borrower nor any Subsidiary has suffered any strikes, walkouts, work stoppages or other material labor difficulty within the last five years.",labor-matters
"Labor Matters. As of the Closing Date, there are no strikes or other labor disputes pending or, to any Borrower’s knowledge, threatened against any Credit Party. Hours worked and payments made to the employees of the Credit Parties have not been in violation of the Fair Labor Standards Act or any other applicable Law dealing with such matters. All payments due from the Credit Parties, or for which any claim may be made against any of them, on account of wages and employee and retiree health and welfare insurance and other benefits have been paid or accrued as a liability on their books, as the case may be. The consummation of the transactions contemplated by the Financing Documents will not give rise to a right of termination or right of renegotiation on the part of any union under any collective bargaining agreement to which it is a party or by which it is bound.",labor-matters
"Labor Matters. As of the Closing Date, there are no strikes, lockouts or slowdowns against any Loan Party or any of its Subsidiaries pending or, to the actual knowledge of any Responsible Officer of any Loan Party, threatened, except to the extent that strikes, lockouts or slowdowns would not reasonably be expected to result in a Material Adverse Affect. The hours worked by and payments made to employees of any of the Loan Parties and any of their Subsidiaries have not been in violation of the Fair Labor Standards Act or any other applicable federal, state, local or foreign law dealing with such matters to the extent that any such violation could reasonably be expected to have a Material Adverse Effect. Except as set forth on Schedule 3.06(a) or except to the extent that such liability would not reasonably be expected to have a Material Adverse Effect, all payments due from any Loan Party or any Subsidiary thereof, or for which any claim may be made against any Loan Party or any Subsidiary thereof, on account of wages and employee health and welfare insurance and other benefits, have been paid or accrued in accordance with GAAP as a liability on the books of such Loan Party or such Subsidiary. Except as set forth on Schedule 3.14, as of the Closing Date no Loan Party nor any Subsidiary thereof is a party to or bound by any material collective bargaining agreement, bonus, restricted stock, stock option, or stock appreciation plan or agreement or any similar plan, agreement or arrangement. As of the Closing Date, there are no representation proceedings pending or, to the actual knowledge of any Responsible Officer of any Loan Party, threatened to be filed with the National Labor Relations Board or other applicable Governmental Authority, and no labor organization or group of employees of any Loan Party or any Subsidiary thereof has made a pending demand in writing for recognition. As of the Closing Date, the consummation of the transactions contemplated by the Loan Documents will not give rise to any right of termination or right of renegotiation on the part of any union under any collective bargaining agreement to which any Loan Party or any Subsidiary thereof is bound to the extent that such would be reasonably expected to result in a Material Adverse Effect.",labor-matters
"Labor Matters. (i) Except as would not, individually or in the aggregate, reasonably be likely to result in a Company Material Adverse Effect, (A) neither the Company nor any of its Subsidiaries is the subject of any Proceeding asserting that the Company or any of its Subsidiaries has committed an unfair labor practice or is seeking to compel the Company to bargain with any labor union or labor organization, (B) nor is there pending or, to the Knowledge of the Company, threatened, any labor strike, walkout, work stoppage, slow-down or lockout affecting Company Employees. On and after the date of this Agreement, there has been no labor strike, walkout, work stoppage, slow-down or lockout affecting Company Employees. None of the employees of the Company or any of its Subsidiaries is represented by a works council, labor union, and, to the Knowledge of the Company, there are no organizational efforts with respect to the formation of a collective bargaining unit being made or threatened involving employees of the Company or any of its Subsidiaries and neither the Company nor any of its Subsidiaries is a party to or otherwise bound by work rules or a collective bargaining agreement or other similar Contract with a works council, labor union or labor organization (collectively, “CBAs”).",labor-matters
