clause_text,clause_type
"Legend. The certificates representing the Securities sold pursuant to this Agreement will be imprinted with a legend in substantially the following form: “THE SECURITIES EVIDENCED BY THIS CERTIFICATE HAVE NOT BEEN REGISTERED UNDER THE SECURITIES ACT OF 1933, AS AMENDED (THE “SECURITIES ACT”), OR THE SECURITIES LAWS OF ANY STATE OR OTHER JURISDICTION. THE SECURITIES MAY NOT BE OFFERED, SOLD, PLEDGED OR OTHERWISE TRANSFERRED EXCEPT (1) PURSUANT TO AN EXEMPTION FROM REGISTRATION UNDER THE SECURITIES ACT OR (2) PURSUANT TO AN EFFECTIVE REGISTRATION STATEMENT UNDER THE SECURITIES ACT, IN EACH CASE IN ACCORDANCE WITH ALL APPLICABLE STATE SECURITIES LAWS AND THE SECURITIES LAWS OF OTHER JURISDICTIONS, AND IN THE CASE OF A TRANSACTION EXEMPT FROM REGISTRATION, UNLESS THE COMPANY HAS RECEIVED AN OPINION OF COUNSEL REASONABLY SATISFACTORY TO IT THAT SUCH TRANSACTION DOES NOT REQUIRE REGISTRATION UNDER THE SECURITIES ACT AND SUCH OTHER APPLICABLE LAWS.”",legend
"Legend. The Holder understands that the Securities have been issued (or will be issued in the case of the Conversion Shares) pursuant to an exemption from registration or qualification under the Securities Act and applicable state securities laws, and except as set forth below, the Securities shall bear any legend as required by the “blue sky” laws of any state and a restrictive legend in substantially the following form (and a stop-transfer order may be placed against transfer of such shares certificates): NEITHER THE ISSUANCE AND SALE OF THE SECURITIES REPRESENTED BY THIS CERTIFICATE NOR THE SECURITIES INTO WHICH THESE SECURITIES ARE CONVERTIBLE HAVE BEEN][THE SECURITIES REPRESENTED BY THIS CERTIFICATE HAVE NOT BEEN] REGISTERED UNDER THE SECURITIES ACT OF 1933, AS AMENDED, OR APPLICABLE STATE SECURITIES LAWS. THE SECURITIES MAY NOT BE OFFERED FOR SALE, SOLD, TRANSFERRED OR ASSIGNED (I) IN THE ABSENCE OF (A) AN EFFECTIVE REGISTRATION STATEMENT FOR THE SECURITIES UNDER THE SECURITIES ACT OF 1933, AS AMENDED, OR (B) AN OPINION OF COUNSEL TO THE HOLDER (IF REQUESTED BY THE COMPANY), IN A FORM REASONABLY ACCEPTABLE TO THE COMPANY, THAT REGISTRATION IS NOT REQUIRED UNDER SAID ACT OR (II) UNLESS SOLD OR ELIGIBLE TO BE SOLD PURSUANT TO RULE 144 OR RULE 144A UNDER SAID ACT.",legend
"Legend. The Company will issue the Warrants, and when issued, the Warrant Shares, purchased by each Subscriber in its respective name. The Securities will bear the following Legend and appropriate “stop transfer” instructions: “THE SECURITIES REPRESENTED HEREBY HAVE NOT BEEN REGISTERED UNDER THE SECURITIES ACT OF 1933, AS AMENDED (THE “SECURITIES ACT”), OR ANY STATE SECURITIES LAWS AND NEITHER THE SECURITIES NOR ANY INTEREST THEREIN MAY BE OFFERED, SOLD, TRANSFERRED, PLEDGED OR OTHERWISE DISPOSED OF EXCEPT PURSUANT TO AN EFFECTIVE REGISTRATION STATEMENT UNDER THE SECURITIES ACT OR SUCH LAWS OR AN EXEMPTION FROM REGISTRATION UNDER THE SECURITIES ACT AND SUCH LAWS WHICH, IN THE OPINION OF COUNSEL FOR THIS CORPORATION, IS AVAILABLE.” THE SECURITIES REPRESENTED BY THIS CERTIFICATE ARE SUBJECT TO THE TERMS AND CONDITIONS CONTAINED IN A SECURITIES ESCROW AGREEMENT (THE “AGREEMENT”) AND MAY NOT BE OFFERED, SOLD, TRANSFERRED, PLEDGED OR OTHERWISE DISPOSED DURING THE TERM OF THE ESCROW PERIOD (AS DEFINED IN THE AGREEMENT).”",legend
"Legend. (i) Except as permitted by the following paragraphs (ii), (iii) or (iv), each Security certificate evidencing the Global Securities and the Definitive Securities (and all Securities issued in exchange therefor or in substitution thereof) shall bear a legend in substantially the following form (each defined term in the legend being defined as such for purposes of the legend only): THIS SECURITY HAS NOT BEEN REGISTERED UNDER THE SECURITIES ACT OF 1933, AS AMENDED (THE “SECURITIES ACT”), OR THE SECURITIES LAWS OF ANY STATE OR OTHER JURISDICTION. NEITHER THIS SECURITY NOR ANY INTEREST OR PARTICIPATION HEREIN MAY BE REOFFERED, SOLD, ASSIGNED, TRANSFERRED, PLEDGED, ENCUMBERED OR OTHERWISE DISPOSED OF IN THE ABSENCE OF SUCH REGISTRATION OR UNLESS SUCH TRANSACTION IS EXEMPT FROM, OR NOT SUBJECT TO, SUCH REGISTRATION. THE HOLDER OF THIS SECURITY, BY ITS ACCEPTANCE HEREOF, AGREES ON ITS OWN BEHALF AND ON BEHALF OF ANY INVESTOR ACCOUNT FOR WHICH IT HAS PURCHASED SECURITIES, TO OFFER, SELL OR OTHERWISE TRANSFER SUCH SECURITY, PRIOR TO THE DATE (THE “RESALE RESTRICTION TERMINATION DATE”) THAT IS [IN THE CASE OF RULE 144A NOTES: ONE YEAR] [IN THE CASE OF REGULATION S NOTES: 40 DAYS] AFTER THE LATER OF THE ORIGINAL ISSUE DATE HEREOF AND THE LAST DATE ON WHICH THE ISSUER OR ANY AFFILIATE OF THE ISSUER WAS THE OWNER OF THIS SECURITY (OR ANY PREDECESSOR OF SUCH SECURITY), ONLY (A) TO THE ISSUER, (B) PURSUANT TO A REGISTRATION STATEMENT THAT HAS BEEN DECLARED EFFECTIVE UNDER THE SECURITIES ACT, (C) FOR SO LONG AS THE SECURITIES ARE ELIGIBLE FOR RESALE PURSUANT TO RULE 144A UNDER THE SECURITIES ACT, TO A PERSON IT REASONABLY BELIEVES IS A “QUALIFIED INSTITUTIONAL BUYER” AS DEFINED IN RULE 144A UNDER THE SECURITIES ACT THAT PURCHASES FOR ITS OWN ACCOUNT OR FOR THE ACCOUNT OF A QUALIFIED INSTITUTIONAL BUYER TO WHOM NOTICE IS GIVEN THAT THE TRANSFER IS BEING MADE IN RELIANCE ON RULE 144A, (D) PURSUANT TO OFFERS AND SALES THAT OCCUR OUTSIDE THE UNITED STATES WITHIN THE MEANING OF REGULATION S UNDER THE SECURITIES ACT OR (E) PURSUANT TO ANOTHER AVAILABLE EXEMPTION FROM THE REGISTRATION REQUIREMENTS OF THE SECURITIES ACT, SUBJECT TO THE ISSUER’S AND THE TRUSTEE’S RIGHT PRIOR TO ANY SUCH OFFER, SALE OR TRANSFER PURSUANT TO CLAUSES (D) OR (E) TO REQUIRE THE DELIVERY OF AN OPINION OF COUNSEL, CERTIFICATION AND/OR OTHER INFORMATION SATISFACTORY TO EACH OF THEM. THIS LEGEND WILL BE REMOVED UPON THE REQUEST OF THE HOLDER AFTER THE RESALE RESTRICTION TERMINATION DATE. IN THE CASE OF REGUL...",legend
"Legend. The certificates representing the Carried Shares will bear a legend in substantially the following form: “THE SECURITIES REPRESENTED BY THIS CERTIFICATE WERE ORIGINALLY ISSUED AS OF FEBRUARY , 2005, HAVE NOT BEEN REGISTERED UNDER THE SECURITIES ACT OF 1933, AS AMENDED (THE “ACT”), AND MAY NOT BE SOLD OR TRANSFERRED IN THE ABSENCE OF AN EFFECTIVE REGISTRATION STATEMENT UNDER THE ACT OR AN EXEMPTION FROM REGISTRATION THEREUNDER. THE SECURITIES REPRESENTED BY THIS CERTIFICATE ARE ALSO SUBJECT TO ADDITIONAL RESTRICTIONS ON TRANSFER, CERTAIN REPURCHASE OPTIONS AND CERTAIN OTHER AGREEMENTS SET FORTH IN AN AMENDED AND RESTATED SENIOR MANAGEMENT AGREEMENT BETWEEN THE COMPANY AND AN EXECUTIVE OF THE COMPANY DATED AS OF FEBRUARY , 2005. A COPY OF SUCH AGREEMENT MAY BE OBTAINED BY THE HOLDER HEREOF AT THE COMPANY’S PRINCIPAL PLACE OF BUSINESS WITHOUT CHARGE.”",legend
"Legend. (i) Except as permitted by the following paragraphs (ii), (iii) or (iv), each Note certificate evidencing the Global Notes and the Definitive Notes (and all Notes issued in exchange therefor or in substitution thereof) shall bear a legend in substantially the following form (each defined term in the legend being defined as such for purposes of the legend only): “THIS SECURITY HAS NOT BEEN REGISTERED UNDER THE U.S. SECURITIES ACT OF 1933, AS AMENDED (THE “SECURITIES ACT”), AND, ACCORDINGLY, MAY NOT BE OFFERED OR SOLD WITHIN THE UNITED STATES OR TO, OR FOR THE ACCOUNT OR BENEFIT OF, U.S. PERSONS EXCEPT AS SET FORTH BELOW. BY ITS ACQUISITION HEREOF, THE HOLDER (1) REPRESENTS THAT (A) IT IS A “QUALIFIED INSTITUTIONAL BUYER” (AS DEFINED IN RULE 144A UNDER THE SECURITIES ACT), (B) IT IS NOT A U.S. PERSON AND IS ACQUIRING THIS SECURITY IN AN OFFSHORE TRANSACTION IN COMPLIANCE WITH RULE 904 UNDER THE SECURITIES ACT OR (C) IT IS AN ACCREDITED INVESTOR (AS DEFINED IN RULE 501(a)(1), (2), (3), OR (7) UNDER THE SECURITIES ACT (AN “ACCREDITED INVESTOR”), (2) AGREES THAT IT WILL NOT PRIOR TO THE FIRST ANNIVERSARY OF THE ORIGINAL ISSUANCE OF THIS SECURITY RESELL OR OTHERWISE TRANSFER THIS SECURITY EXCEPT (A) TO THE ISSUER OR ANY SUBSIDIARY THEREOF, (B) INSIDE THE UNITED STATES TO A QUALIFIED INSTITUTIONAL BUYER IN COMPLIANCE WITH RULE 144A UNDER THE SECURITIES ACT, (C) INSIDE THE UNITED STATES TO AN ACCREDITED INVESTOR THAT, PRIOR TO SUCH TRANSFER, FURNISHES (OR HAS FURNISHED ON ITS BEHALF BY A U.S. BROKER-DEALER) TO THE TRUSTEE A SIGNED LETTER CONTAINING CERTAIN REPRESENTATIONS AND AGREEMENTS RELATING TO THE RESTRICTIONS ON TRANSFER OF THIS SECURITY (THE FORM OF WHICH LETTER CAN BE OBTAINED FROM THE TRUSTEE FOR THIS SECURITY), (D) OUTSIDE THE UNITED STATES IN AN OFFSHORE TRANSACTION IN COMPLIANCE WITH RULE 904 UNDER THE SECURITIES ACT (IF AVAILABLE), (E) PURSUANT TO THE EXEMPTION FROM REGISTRATION PROVIDED BY RULE 144 UNDER THE SECURITIES ACT (IF AVAILABLE), (F) IN ACCORDANCE WITH ANOTHER EXEMPTION FROM THE REGISTRATION REQUIREMENTS OF THE SECURITIES ACT (AND BASED UPON AN OPINION OF COUNSEL IF THE ISSUER SO REQUESTS), OR (G) PURSUANT TO AN EFFECTIVE REGISTRATION STATEMENT UNDER THE SECURITIES ACT AND (3) AGREES THAT IT WILL GIVE TO EACH PERSON TO WHOM THIS SECURITY IS TRANSFERRED A NOTICE SUBSTANTIALLY TO THE EFFECT OF THIS LEGEND. IN CONNECTION WITH ANY TRANSFER OF THIS SECURITY WITHIN ONE YEAR AFTER THE ORIGINAL ISSUANCE OF THIS SECURITY, IF THE PROPOSED TRANSFEREE I...",legend
"Legend. Subscriber acknowledges and agrees the certificates evidencing each of the Securities shall bear a restrictive legend (the “Legend”), in form and substance substantially as set forth in Section 4 hereof.",legend
Legend. Any Global Security issued hereunder shall bear a legend in substantially the following form:,legend
"Legend. Each certificate for the securities purchased under this Purchase Warrant shall bear a legend as follows unless such securities have been registered under the Securities Act of 1933, as amended (the “Act”): “The securities represented by this certificate have not been registered under the Securities Act of 1933, as amended (the “Act”), or applicable state law. Neither the securities nor any interest therein may be offered for sale, sold or otherwise transferred except pursuant to an effective registration statement under the Securities Act, or pursuant to an exemption from registration under the Securities Act and applicable state law which, in the opinion of counsel to the Company, is available.”",legend
"Legend. (i) Except as permitted by the following paragraphs (ii), (iii) and (iv), until the expiration of the applicable holding period with respect to the Securities set forth in Rule 144(k) of the Securities Act, each Security certificate evidencing the Restricted Global Securities (and all Securities issued in exchange therefor or in substitution thereof) shall bear a legend in substantially the following form: THIS SECURITY (OR ITS PREDECESSOR) WAS ORIGINALLY ISSUED IN A TRANSACTION EXEMPT FROM REGISTRATION UNDER THE SECURITIES ACT OF 1933 (THE ""SECURITIES ACT""), AND THIS SECURITY MAY NOT BE OFFERED, SOLD OR OTHERWISE TRANSFERRED IN THE ABSENCE OF SUCH REGISTRATION OR AN APPLICABLE EXEMPTION THEREFROM. EACH PURCHASER OF THIS SECURITY IS HEREBY NOTIFIED THAT THE SELLER OF THIS SECURITY MAY BE RELYING ON THE EXEMPTION FROM THE PROVISIONS OF SECTION 5 OF THE SECURITIES ACT PROVIDED BY RULE 144A THEREUNDER. THE HOLDER OF THIS SECURITY AGREES FOR THE BENEFIT OF THE COMPANY THAT (A) THIS NOTE MAY BE OFFERED, RESOLD, PLEDGED OR OTHERWISE TRANSFERRED, ONLY (I) THE COMPANY, (II) IN THE UNITED STATES TO A PERSON WHOM THE SELLER REASONABLY BELIEVES IS A QUALIFIED INSTITUTIONAL BUYER (AS DEFINED IN RULE 144A UNDER THE SECURITIES ACT) IN A TRANSACTION MEETING THE REQUIREMENTS OF RULE 144A, (III) OUTSIDE THE UNITED STATES IN AN OFFSHORE TRANSACTION IN ACCORDANCE WITH RULE 904 UNDER THE SECURITIES ACT, (IV) PURSUANT TO EXEMPTION FROM REGISTRATION UNDER THE SECURITIES ACT PROVIDED BY RULE 144 THEREUNDER (IF AVAILABLE) OR (V) PURSUANT TO AN EFFECTIVE REGISTRATION STATEMENT UNDER THE SECURITIES ACT, IN EACH OF CASES (I) THROUGH (V) IN ACCORDANCE WITH ANY APPLICABLE SECURITIES LAWS OF ANY STATE OF THE UNITED STATES, AND (B) THE HOLDER WILL, AND EACH SUBSEQUENT HOLDER IS REQUIRED TO, NOTIFY ANY PURCHASER OF THIS SECURITY FROM IT OF THE RESALE RESTRICTIONS REFERRED TO IN (A) ABOVE.",legend
