clause_text,clause_type
Legends. The following legends will appear on the face of all Global Notes and Definitive Notes issued under this Indenture unless specifically stated otherwise in the applicable provisions of this Indenture.,legends
"Legends. The Buyer understands that the Note and, until such time as the Conversion Shares have been registered under the 1933 Act may be sold pursuant to Rule 144 or Regulation S without any restriction as to the number of securities as of a particular date that can then be immediately sold, the Conversion Shares may bear a restrictive legend in substantially the following form (and a stop-transfer order may be placed against transfer of the certificates for such Securities):",legends
"Legends. Each Buyer understands that the Securities have been issued (or will be issued in the case of the Conversion Shares and the Warrant Shares) pursuant to an exemption from registration or qualification under the 1933 Act and applicable state securities laws, and except as set forth below, the Securities shall bear any legend as required by the “blue sky” laws of any state and a restrictive legend in substantially the following form (and a stop-transfer order may be placed against transfer of such stock certificates): [NEITHER THE ISSUANCE AND SALE OF THE SECURITIES REPRESENTED BY THIS CERTIFICATE NOR THE SECURITIES INTO WHICH THESE SECURITIES ARE [CONVERTIBLE] [EXERCISABLE] HAVE BEEN][THE SECURITIES REPRESENTED BY THIS CERTIFICATE HAVE NOT BEEN] REGISTERED UNDER THE SECURITIES ACT OF 1933, AS AMENDED, OR APPLICABLE STATE SECURITIES LAWS. THE SECURITIES MAY NOT BE OFFERED FOR SALE, SOLD, TRANSFERRED OR ASSIGNED (I) IN THE ABSENCE OF (A) AN EFFECTIVE REGISTRATION STATEMENT FOR THE SECURITIES UNDER THE SECURITIES ACT OF 1933, AS AMENDED, OR (B) AN OPINION OF COUNSEL TO THE HOLDER (IF REQUESTED BY THE COMPANY), IN A FORM REASONABLY ACCEPTABLE TO THE COMPANY, THAT REGISTRATION IS NOT REQUIRED UNDER SAID ACT OR (II) UNLESS SOLD OR ELIGIBLE TO BE SOLD PURSUANT TO RULE 144 OR RULE 144A UNDER SAID ACT. NOTWITHSTANDING THE FOREGOING, THE SECURITIES MAY BE PLEDGED IN CONNECTION WITH A BONA FIDE MARGIN ACCOUNT OR OTHER LOAN OR FINANCING ARRANGEMENT SECURED BY THE SECURITIES.",legends
"Legends. The Buyer understands that the Notes and the Warrants and, until such time as the Conversion Shares and Warrant Shares have been registered under the 1933 Act as contemplated by the Registration Rights Agreement or otherwise may be sold pursuant to Rule 144 or Regulation S without any restriction as to the number of securities as of a particular date that can then be immediately sold, the Conversion Shares and Warrant Shares may bear a restrictive legend in substantially the following form (and a stop-transfer order may be placed against transfer of the certificates for such Securities): “The securities represented by this certificate have not been registered under the Securities Act of 1933, as amended. The securities may not be sold, transferred or assigned in the absence of an effective registration statement for the securities under said Act, or an opinion of counsel, in form, substance and scope customary for opinions of counsel in comparable transactions, that registration is not required under said Act or unless sold pursuant to Rule 144 or Regulation S under said Act.” The legend set forth above shall be removed and the Company shall issue a certificate without such legend to the holder of any Security upon which it is stamped, if, unless otherwise required by applicable state securities laws, (a) such Security is registered for sale under an effective registration statement filed under the 1933 Act or otherwise may be sold pursuant to Rule 144 or Regulation S without any restriction as to the number of securities as of a particular date that can then be immediately sold, or (b) such holder provides the Company with an opinion of counsel, in form, substance and scope customary for opinions of counsel in comparable transactions, to the effect that a public sale or transfer of such Security may be made without registration under the 1933 Act, which opinion shall be accepted by the Company so that the sale or transfer is effected or (c) such holder provides the Company with reasonable assurances that such Security can be sold pursuant to Rule 144 or Regulation S. The Buyer agrees to sell all Securities, including those represented by a certificate(s) from which the legend has been removed, in compliance with applicable prospectus delivery requirements, if any.",legends
"Legends. The ADRs may be endorsed with, or have incorporated in the text thereof, such legends or recitals not inconsistent with the provisions of the Deposit Agreement as may be (i) necessary to enable the Depositary and the Company to perform their respective obligations hereunder, (ii) required to comply with any applicable laws or regulations, or with the rules and regulations of any securities exchange or market upon which ADSs may be traded, listed or quoted, or to conform with any usage with respect thereto, (iii) necessary to indicate any special limitations or restrictions to which any particular ADRs or ADSs are subject by reason of the date of issuance of the Deposited Securities or otherwise, or (iv) required by any book-entry system in which the ADSs are held. Holders and Beneficial Owners shall be deemed, for all purposes, to have notice of, and to be bound by, the terms and conditions of the legends set forth, in the case of Holders, on the ADR registered in the name of the applicable Holders or, in the case of Beneficial Owners, on the ADR representing the ADSs owned by such Beneficial Owners.",legends
"Legends. This Warrant and the Shares (and the securities issuable, directly or indirectly, upon conversion of the Shares, if any) shall be imprinted with a legend in substantially the following form: THIS WARRANT AND THE SHARES ISSUABLE HEREUNDER HAVE NOT BEEN REGISTERED UNDER THE SECURITIES ACT OF 1933, AS AMENDED (THE “ACT”), OR THE SECURITIES LAWS OF ANY STATE AND, EXCEPT AND PURSUANT TO THE PROVISIONS OF ARTICLE 5 BELOW, MAY NOT BE OFFERED, SOLD OR OTHERWISE TRANSFERRED, PLEDGED OR HYPOTHECATED UNLESS AND UNTIL REGISTERED UNDER SAID ACT AND APPLICABLE STATE SECURITIES LAW OR, IN THE OPINION OF LEGAL COUNSEL IN FORM AND SUBSTANCE SATISFACTORY TO THE ISSUER OF THESE SECURITIES, SUCH OFFER, SALE OR TRANSFER, PLEDGE OR HYPOTHECATION IS EXEMPT FROM REGISTRATION.",legends
"Legends. Participant understands and agrees that the Company shall cause the legends set forth below or legends substantially equivalent thereto, to be placed upon any certificate(s) evidencing ownership of the Shares together with any other legends that may be required by the Company or by state or federal securities laws: THE SECURITIES REPRESENTED HEREBY HAVE NOT BEEN REGISTERED UNDER THE SECURITIES ACT OF 1933 (THE “ACT”) AND MAY NOT BE OFFERED, SOLD OR OTHERWISE TRANSFERRED, PLEDGED OR HYPOTHECATED UNLESS AND UNTIL REGISTERED UNDER THE ACT OR, IN THE OPINION OF COUNSEL SATISFACTORY TO THE ISSUER OF THESE SECURITIES, SUCH OFFER, SALE OR TRANSFER, PLEDGE OR HYPOTHECATION IS IN COMPLIANCE THEREWITH. THE SHARES REPRESENTED BY THIS CERTIFICATE ARE SUBJECT TO CERTAIN RESTRICTIONS ON TRANSFER AND A RIGHT OF FIRST REFUSAL HELD BY THE ISSUER OR ITS ASSIGNEE(S) AS SET FORTH IN THE EXERCISE NOTICE BETWEEN THE ISSUER AND THE ORIGINAL HOLDER OF THESE SHARES, A COPY OF WHICH MAY BE OBTAINED AT THE PRINCIPAL OFFICE OF THE ISSUER. SUCH TRANSFER RESTRICTIONS AND RIGHT OF FIRST REFUSAL ARE BINDING ON TRANSFEREES OF THESE SHARES. THE SHARES REPRESENTED BY THIS CERTIFICATE ARE SUBJECT TO RESTRICTIONS ON TRANSFER FOR A PERIOD OF TIME FOLLOWING THE EFFECTIVE DATE OF THE UNDERWRITTEN PUBLIC OFFERING OF THE COMPANY’S SECURITIES SET FORTH IN AN AGREEMENT BETWEEN THE ISSUER AND THE ORIGINAL HOLDER OF THESE SHARES AND MAY NOT BE SOLD OR OTHERWISE DISPOSED OF BY THE HOLDER PRIOR TO THE EXPIRATION OF SUCH PERIOD WITHOUT THE CONSENT OF THE COMPANY OR THE MANAGING UNDERWRITER.",legends
"Legends. The Buyer understands that the Note and, until such time as the Conversion Shares have been registered under the 1933 Act; or may be sold pursuant to an applicable exemption from registration, the Conversion Shares may bear a restrictive legend in substantially the following form: “THE SECURITIES REPRESENTED BY THIS INSTRUMENT HAVE NOT BEEN REGISTERED UNDER THE SECURITIES ACT OF 1933, AS AMENDED (THE “SECURITIES ACT”), OR UNDER ANY STATE SECURITIES LAWS, AND MAY NOT BE PLEDGED, SOLD, ASSIGNED, HYPOTHECATED OR OTHERWISE TRANSFERRED UNLESS (1) A REGISTRATION STATEMENT WITH RESPECT THERETO IS EFFECTIVE UNDER THE SECURITIES ACT AND ANY APPLICABLE STATE SECURITIES LAWS OR (2) THE ISSUER OF SUCH SECURITIES RECEIVES AN OPINION OF COUNSEL TO THE HOLDER OF SUCH SECURITIES, WHICH COUNSEL AND OPINION ARE REASONABLY ACCEPTABLE TO THE ISSUER’S TRANSFER AGENT, THAT SUCH SECURITIES MAY BE PLEDGED, SOLD, ASSIGNED, HYPOTHECATED OR OTHERWISE TRANSFERRED WITHOUT AN EFFECTIVE REGISTRATION STATEMENT UNDER THE SECURITIES ACT AND APPLICABLE STATE SECURITIES LAWS.” The legend set forth above shall be removed and the Company shall issue a certificate without such legend to the holder of any Security upon which it is stamped, if, unless otherwise required by applicable state securities laws, (a) such Security is registered for sale under an effective registration statement filed under the 1933 Act or otherwise may be sold pursuant to an exemption from registration without any restriction as to the number of securities as of a particular date that can then be immediately sold, or (b) such holder provides the Company with an opinion of counsel, in form, substance and scope customary for opinions of counsel in comparable transactions, to the effect that a public sale or transfer of such Security may be made without registration under the 1933 Act, which opinion shall be accepted by the Company so that the sale or transfer is effected. The Buyer agrees to sell all Securities, including those represented by a certificate(s) from which the legend has been removed, in compliance with applicable prospectus delivery requirements, if any. In the event that the Company does not accept the opinion of counsel provided by the Buyer with respect to the transfer of Securities pursuant to an exemption from registration, such as Rule 144, at the Deadline, it will be considered an Event of Default pursuant to Section 3.2 of the Note.",legends
"Legends. (i) Except as permitted by Section 2.2(d), this Section 2.2(e), Section 2.2(i) and Section 2.2(j) of this Appendix A, each Note certificate evidencing the Global Notes and the Definitive Notes (and all Notes issued in exchange therefor or in substitution thereof) shall bear a legend in substantially the following form (each defined term in the legend being defined as such for purposes of the legend only) (“Restricted Notes Legend”): THIS SECURITY HAS NOT BEEN REGISTERED UNDER THE SECURITIES ACT OF 1933, AS AMENDED (THE “SECURITIES ACT”), OR THE SECURITIES LAWS OF ANY STATE OR OTHER JURISDICTION. NEITHER THIS SECURITY NOR ANY INTEREST OR PARTICIPATION HEREIN MAY BE REOFFERED, SOLD, ASSIGNED, TRANSFERRED, PLEDGED, ENCUMBERED OR OTHERWISE DISPOSED OF IN THE ABSENCE OF SUCH REGISTRATION OR UNLESS SUCH TRANSACTION IS EXEMPT FROM, OR NOT SUBJECT TO, SUCH REGISTRATION. THE HOLDER OF THIS SECURITY, BY ITS ACCEPTANCE HEREOF, AGREES ON ITS OWN BEHALF AND ON BEHALF OF ANY INVESTOR ACCOUNT FOR WHICH IT HAS PURCHASED SECURITIES, TO OFFER, SELL OR OTHERWISE TRANSFER SUCH SECURITY, PRIOR TO THE DATE (THE “RESALE RESTRICTION TERMINATION DATE”) THAT IS ONE YEAR AFTER THE LATER OF THE ORIGINAL ISSUE DATE HEREOF AND THE LAST DATE ON WHICH HEWLETT PACKARD ENTERPRISE COMPANY (THE “ISSUER”) OR ANY AFFILIATE OF THE ISSUER WAS THE OWNER OF THIS SECURITY (OR ANY PREDECESSOR OF SUCH SECURITY), ONLY (A) TO THE ISSUER, (B) PURSUANT TO A REGISTRATION STATEMENT THAT HAS BEEN DECLARED EFFECTIVE UNDER THE SECURITIES ACT, (C) FOR SO LONG AS THE SECURITIES ARE ELIGIBLE FOR RESALE PURSUANT TO RULE 144A UNDER THE SECURITIES ACT, TO A PERSON IT REASONABLY BELIEVES IS A “QUALIFIED INSTITUTIONAL BUYER” AS DEFINED IN RULE 144A UNDER THE SECURITIES ACT THAT PURCHASES FOR ITS OWN ACCOUNT OR FOR THE ACCOUNT OF A QUALIFIED INSTITUTIONAL BUYER TO WHOM NOTICE IS GIVEN THAT THE TRANSFER IS BEING MADE IN RELIANCE ON RULE 144A, (D) PURSUANT TO OFFERS AND SALES THAT OCCUR OUTSIDE THE UNITED STATES WITHIN THE MEANING OF REGULATION S UNDER THE SECURITIES ACT, OR (E) PURSUANT TO ANOTHER AVAILABLE EXEMPTION FROM THE REGISTRATION REQUIREMENTS OF THE SECURITIES ACT, SUBJECT TO THE ISSUER’S AND THE TRUSTEE’S RIGHT PRIOR TO ANY SUCH OFFER, SALE OR TRANSFER PURSUANT TO CLAUSES (D) OR (E) TO REQUIRE THE DELIVERY OF AN OPINION OF COUNSEL, CERTIFICATION AND/ OR OTHER INFORMATION SATISFACTORY TO EACH OF THEM. THIS LEGEND WILL BE REMOVED UPON THE REQUEST OF THE HOLDER AFTER THE RESALE RESTRICTION TERMINATION DATE. Each...",legends
"Legends. This Warrant and the Shares (and the securities issuable, directly or indirectly, upon conversion of the Shares, if any) shall be imprinted with a legend in substantially the following form: THIS SECURITY HAS NOT BEEN REGISTERED UNDER THE SECURITIES ACT OF 1933, AS AMENDED, AND MAY NOT BE SOLD, PLEDGED OR OTHERWISE TRANSFERRED WITHOUT AN EFFECTIVE REGISTRATION THEREOF UNDER SUCH ACT OR PURSUANT TO RULE 144 OR AN OPINION OF COUNSEL REASONABLY SATISFACTORY TO THE CORPORATION AND ITS COUNSEL THAT SUCH REGISTRATION IS NOT REQUIRED.",legends
