clause_text,clause_type
"Liabilities. If this Agreement is terminated pursuant to this Section, such termination shall be without liability of any party to any other party except as provided in Section 4 hereof, and provided further that Sections 1, 6, 7 and 8 shall survive such termination and remain in full force and effect.",liabilities
"Liabilities. If this Agreement is terminated pursuant to this Section, such termination shall be without liability of any party to any other party except as provided in Section 4 hereof, and provided further that Sections 1, 6, 7, 8, 14, 15 and 16 shall survive such termination and remain in full force and effect.",liabilities
"Liabilities. If this Agreement is terminated pursuant to this Section 13, such termination shall be without liability of any party to any other party except as provided in Section 8 hereof, and except that, in the case of any termination of this Agreement, Section 5, Section 10, Section 11, Section 12, and Section 21 hereof shall survive such termination and remain in full force and effect.",liabilities
"Liabilities. If this Agreement is terminated pursuant to this Section 9, such termination shall be without liability of any party to any other party except as provided in Section 4 hereof and except that Sections 1, 6, 7, 8, 11, 12, 13, 14, 15, 17, 18, 19 and 20 hereof shall survive such termination and remain in full force and effect.",liabilities
"Liabilities. The Company has no material liabilities and, to the best of its knowledge, knows of no material contingent liabilities not disclosed in the Financial Statements, except current liabilities incurred in the ordinary course of business subsequent to the Statement Date which have not been, either in any individual case or in the aggregate, materially adverse.",liabilities
"Liabilities. Neither the Company nor any of its Subsidiaries has any contingent liabilities, except current liabilities incurred in the ordinary course of business and liabilities disclosed in any Exchange Act Filings.",liabilities
"Liabilities. Following the Closing, Seller will have no debts, liabilities or obligations relating to the Company or its business or activities, whether before or after the Closing, and there are no outstanding guaranties, performance or payment bonds, letters of credit or other contingent contractual obligations that have been undertaken by Seller directly or indirectly in relation to the Company or its business and that may survive the Closing.",liabilities
"Liabilities. The Company does not have any direct or indirect indebtedness, liability, claim, loss, damage, deficiency, obligation or responsibility, known or unknown, fixed or unfixed, liquidated or unliquidated, secured or unsecured, accrued or absolute, contingent or otherwise, including, without limitation, any liability on account of taxes, any other governmental charge or lawsuit (all of the foregoing collectively defined to as ""Liabilities""), which were not fully, fairly and adequately reflected on the Balance Sheet. As of the Closing Date, the Company will not have any Liabilities, other than Liabilities fully and adequately reflected on the Balance Sheet, except for Liabilities incurred in the ordinary course of business.",liabilities
"Liabilities. The Company does not have, and will not become responsible for performing or discharging, any accrued, contingent or other Liabilities, either matured or unmatured, except for: (a) Liabilities identified as such in the ""liabilities"" column of the Company Unaudited Balance Sheet or Liabilities identified in the footnotes of any of the Company Financial Statements; (b) Liabilities that are not required under generally accepted accounting principles to be included in the ""liabilities"" column of the Company Unaudited Balance Sheet or in the footnotes thereto; (c) current Liabilities that have been incurred by the Company since the Balance Sheet Date in the ordinary course of business; (d) Liabilities for performance of obligations under Company Contracts, to the extent such Liabilities are readily ascertainable (in nature, scope and amount) from the copies of such Company Contracts delivered or made available to Purchaser prior to the date of this Agreement; and (e) Liabilities described in reasonable specificity in any part of the Company Disclosure Schedule.",liabilities
"Liabilities. There are no liabilities of the Selling Fund other than: o liabilities disclosed in the Selling Fund Financial Statements, o liabilities incurred in the ordinary course of business subsequent to the date of the latest annual or semi-annual financial statements, or o liabilities previously disclosed to the Buying Fund, none of which has been materially adverse to the business, assets or results of operation of the Selling Fund.",liabilities
"Liabilities. Notwithstanding any provision of this Agreement (including, without limitation, Sections 7.03, 8.03, 8.04 and 13.07), by entering into this Agreement, each Transferor and any Holder of the Original Transferor Certificate agrees to be liable, directly to the injured party, for the entire amount of any losses, claims, damages or liabilities (other than those incurred by a Certificateholder in the capacity of an investor in the Certificates) arising out of or based on the arrangement created by this Agreement or the actions of the Servicer taken pursuant hereto (to the extent Trust Assets remaining after the Investor Certificateholders and Series Enhancers have been paid in full are insufficient to pay such losses, claims, damages or liabilities) as though this Agreement created a partnership under the New York Uniform Partnership Act in which each Transferor and each such Holder was a general partner. In the event of the appointment of a Successor Servicer, the Successor Servicer will (from its own assets and not from the assets of the Trust) indemnify and hold harmless each Transferor and each such Holder against and from any losses, claims, damages or liabilities of such Person as described in this Section arising from the actions or omissions of such Successor Servicer.",liabilities
"Liabilities. G1 Liability, Indemnity and Insurance",liabilities
"Liabilities. G1 Liability, Indemnity and Insurance G2 Warranties and Representations",liabilities
"Liabilities. There are no material liabilities of the Purchaser, whether accrued, absolute, contingent or otherwise, which arose or relate to any transaction of the Purchaser, its agents or servants which are not disclosed by or reflected in said financial statements. As of the date hereof, there are no known circumstances, conditions, happenings, events or arrangements, contractual or otherwise, which may hereafter give rise to liabilities, except in the normal course of business of the Purchaser.",liabilities
"Liabilities. Neither the Borrower nor any Subsidiary is currently or will become subject to any liability (including withdrawal liability), tax or penalty whatsoever to any person whomsoever with respect to any Plan including, but not limited to, any tax, penalty or liability arising under Title I or Title IV of ERISA or Chapter 43 of the Tax Code, except such liabilities (when taken as a whole) as will not have a Materially Adverse Effect; and",liabilities
"Liabilities. For purposes of this Agreement, the term “Liabilities” shall be broadly construed and shall include, without limitation, judgments, damages, deficiencies, liabilities, losses, penalties, excise taxes, fines, assessments and amounts paid in settlement, including any interest and any federal, state, local or foreign taxes imposed as a result of the actual or deemed receipt of any payment under this Agreement.",liabilities
"Liabilities. None of the Borrowers and the Restricted Subsidiaries is subject to any liabilities (including withdrawal liabilities) with respect to any Plans of the Borrowers, the Restricted Subsidiaries and their ERISA Affiliates arising from Titles I or IV of ERISA, other than obligations to fund benefits under an ongoing Plan and to pay current contributions, expenses and premiums with respect to such Plans, except for such liabilities that, individually or in the aggregate, are not reasonably likely to have a Material Adverse Effect.",liabilities
"Liabilities. ISSUER does not have any debt, liability, or obligation of any nature, whether accrued, absolute, contingent, or otherwise, and whether due or to become due, that is not reflected on the ISSUERS' financial statement. ISSUER is not aware of any pending, threatened or asserted claims, lawsuits or contingencies involving ISSUER or its common stock. There is no dispute of any kind between the ISSUER and any third party, and no such dispute will exist at the closing of this Agreement. At closing, ISSUER will be free from any and all liabilities, liens, claims and/or commitments.",liabilities
"Liabilities. Liabilities"" means all debts, liabilities, guarantees, assurances, commitments and obligations, whether fixed, contingent or absolute, asserted or unasserted, matured or unmatured, liquidated or unliquidated, accrued or not accrued, known or unknown, due or to become due, whenever or however arising (including, without limitation, whether arising out of any Contract or tort based on negligence or strict liability) and whether or not the same would be required by generally accepted principles and accounting policies to be reflected in financial statements or disclosed in the notes thereto.",liabilities
"Liabilities. Neither Borrower nor any Subsidiary has any material liability, direct or contingent, except as disclosed to the Lenders in the Financial Statements and on Schedule ""3"" attached hereto. No unusual or unduly burdensome restrictions, restraint, or hazard exists by contract, law or governmental regulation or otherwise relative to the business, assets or properties of Borrower or any Subsidiary which is reasonably expected to have a Material Adverse Effect.",liabilities
"Liabilities. G1 Liability, Indemnity and Insurance G1.1 Neither Party excludes or limits liability to the other Party for:",liabilities
"Liabilities. There are no liabilities of the Selling Fund, whether or not determined or determinable, other than liabilities disclosed or provided for in the Selling Fund's Statement of Assets and Liabilities, and liabilities incurred in the ordinary course of business prior to the Effective Time or otherwise previously disclosed to the Acquiring Fund, none of which has been materially adverse to the business, assets or results of operations of the Selling Fund.",liabilities
"Liabilities. Except as set forth in Part 3.10 of the Company Disclosure Schedule, the Acquired Corporations have no liabilities or obligations, whether or not accrued, contingent or otherwise and whether or not required to be disclosed, except for: (a) liabilities and obligations reflected on the Balance Sheet (including any related notes); (b) liabilities and obligations incurred in the ordinary course of business consistent with past practice since the date of the Balance Sheet; (c) liabilities and obligations that have not had, and would not reasonably be expected to have, individually or in the aggregate, a Company Material Adverse Effect; and (d) liabilities and obligations incurred in connection with the Merger and the other transactions contemplated by this Agreement.",liabilities
"Liabilities. None of the Tetraphase Companies has any material accrued, contingent or other liabilities of the type required by GAAP to be disclosed, accrued or reserved in the liabilities column of the consolidated balance sheet of the Tetraphase Companies, except for: (a) liabilities identified as such, or specifically reserved against, in the Company Audited Balance Sheet; (b) liabilities that have been incurred by the Tetraphase Companies since the date of the Company Audited Balance Sheet in the ordinary course of business consistent in all material respects with past practice; (c) liabilities for performance of obligations of the Tetraphase Companies pursuant to the express terms of Company Contracts Made Available to Parent prior to the date of this Agreement (or not required by this Agreement to be Made Available) and not arising under or resulting from any breach or nonperformance of such Company Contract; (d) liabilities under this Agreement or incurred in connection with the Contemplated Transactions; and (e) liabilities described in Part 2.11 of the Company Disclosure Schedule.",liabilities
"Liabilities. The Corporations did not have any direct or indirect indebtedness, liability, claim, loss, damage, deficiency, obligation or responsibility, known or unknown, fixed or unfixed, liquidated or unliquidated, secured or unsecured, accrued or absolute, contingent or otherwise, including, without limitation, any liability on account of taxes, any governmental charge or lawsuit or obligation to make any payment for the redemption or cancelation of any securities (all of the foregoing collectively defined to as ""Liabilities""), which are not fully, fairly and adequately reflected on the Financial Statements except for a specific Liabilities set forth in the Interim 2008 Financial Statements or on Schedule 2.15 attached hereto and made a part hereof. As of the date of Closing, the Corporations will not have any Liabilities, other than Permitted Liabilities and Permitted Liens except for Liabilities incurred in the ordinary course of business and as set forth in Schedule 2.15. There is no circumstance, condition, event or arrangement which may hereafter give rise to any Liabilities not in the ordinary course of business. Nonetheless, intercreditor obligations to the Company shall be assumed and not be deemed waive or discharged.",liabilities
"Liabilities. At the date of the most recent balance sheet forming ----------- part of the Financial Statements, neither the Company nor any Subsidiary had any obligations or liabilities, past, present or deferred, accrued or unaccrued, fixed, absolute, contingent or other, except as disclosed in such balance sheet, or the notes thereto, and since such date neither the Company nor any Subsidiary has incurred any such obligations or liabilities, other than obligations and liabilities incurred in the ordinary course of business consistent with past practice of the Company and its Subsidiaries, which do not and, to the Company's knowledge, will not, in the aggregate, Adversely Affect the Company or the Company and its Subsidiaries taken as a whole except to the extent set forth in Section 3.4 of the Disclosure Schedule. Neither the Company nor any Subsidiary has Guaranteed or is otherwise primarily or secondarily liable in respect of any obligation or liability of any other Person material to the Company or the Company and its Subsidiaries, except for endorsements of negotiable instruments for deposit in the ordinary course of business or as disclosed in the most recent balance sheet, or the notes thereto, forming part of the Financial Statements or in Section 3.4 of the Disclosure Schedule.",liabilities
Liabilities. G1 Indemnity and Insurance G2 Professional Indemnity G3 Warranties and Representations,liabilities
"Liabilities. If this Agreement is terminated pursuant to this Section, such termination shall be without liability of any party to any other party except as provided in Section 4 hereof, and provided further that Section 1, Section 6, Section 7, Section 8, Section 9, Section 14, Section 15, Section 16 and Section 17 shall survive such termination and remain in full force and effect.",liabilities
"Liabilities. Except as set forth in Schedule 3.19, neither the Company nor any of its Subsidiaries has any direct or indirect obligation or liability, whether absolute, accrued, known, choate, contingent or otherwise (the ""Liabilities""), other than (a) Liabilities fully and adequately reflected or reserved against on the Financial Statements, (b) Liabilities not exceeding $200,000 in the aggregate incurred since June 30, 2005 in the ordinary course of business and (c) obligations under the executory portions of contracts and commitments incurred in the ordinary course of business and not required under GAAP to be reflected in the Financial Statements. To the Knowledge of the Company there is no circumstance, condition, event or arrangement that could reasonably be expected to give rise hereafter to any Liabilities of the Company or any of its Subsidiaries except in the ordinary course of business.",liabilities
"Liabilities. Except as described in Section 3.8 of the Disclosure Schedule, no Group Company has any indebtedness for borrowed money, that it has directly or indirectly created, incurred, assumed, or guaranteed, or with respect to which the Group Company has otherwise become directly or indirectly liable and none of the Group Companies is unable to pay its debts as and when such debts fall due or is subject to any insolvency proceedings or has had a receiver, liquidator or administrator appointed over its assets.",liabilities
"Liabilities. No Employee Benefit Plan subject to Section 412 or 418B of the Code or Section 302 of ERISA has incurred any accumulated funding deficiency within the meaning of Section 412 or 418B of the Code or Section 302 of ERISA, respectively, or has applied for or obtained a waiver from the Internal Revenue Service of any minimum funding requirement under Section 412 of the Code. Except for payments of premiums to the Pension Benefit Guaranty Corporation (""PBGC""), neither the Company nor any of its subsidiaries has incurred any liability (including, for this purpose and for the purpose of all of the representations in this Section 3.19, any indirect, contingent, or secondary liability) to the PBGC in connection with any Employee Benefit Plan covering any active, retired or former employees or directors of the Company or any of its subsidiaries, including, without limitation, any liability under Section 4069 or 4212(c) of ERISA or any penalty imposed under Section 4071 of ERISA, or ceased operations at any facility or withdrawn from any such Plan in a manner which could subject it to liability under Section 4062, 4063 or 4064 of ERISA, or knows of any facts or circumstances that might give rise to any liability of the Company or any of its subsidiaries to the PBGC under Title IV of ERISA that could reasonably be anticipated to result in any claims being made against Parent by the PBGC. Neither the Company nor any of its subsidiaries has incurred any withdrawal liability (including any contingent or secondary withdrawal liability) within the meaning of Section 4201 or 4204 of ERISA to any Employee Benefit Plan which is a ""multiemployer plan"" (as such term is defined in Section 4001(a)(3) of ERISA) (""Multiemployer Plan""), and no event has occurred and no condition or circumstance has existed, that presents a material risk of the occurrence of any withdrawal from or the partition, termination, reorganization or insolvency of any such Multiemployer Plan which could result in any liability of the Company or any of its subsidiaries to any such Multiemployer Plan. Neither the Company nor any of its subsidiaries maintains any Employee Benefit Plan which is a ""group health plan"" (as such term is defined in Section 5000(b)(1) of the Code) that has not been administered and operated in all material respects in compliance with the applicable requirements of Section 601 of ERISA and Section 4980B(f) of the Code and neither the Company nor any of its subsidiaries is subject to any...",liabilities
"Liabilities. For purposes of this Agreement, “liabilities” means judgments, fines, ERISA execute taxes or penalties, and amounts paid in settlement in connection with a proceeding.",liabilities
