clause_text,clause_type
"Liability. Except as may otherwise be required by the 1940 Act or the rules thereunder or other applicable law, the Manager agrees that the Sub-Adviser, any affiliated person of the Sub-Adviser, and each person, if any, who, within the meaning of Section 15 of the 1933 Act controls the Sub-Adviser (a) shall bear no responsibility and shall not be subject to any liability for any act or omission respecting any series of the Fund that is not a Series hereunder, and (b) shall not be liable for, or subject to any damages, expenses, or losses in connection with, any act or omission connected with or arising out of any services rendered under this Agreement, except by reason of willful misfeasance, bad faith, or gross negligence in the performance of the Sub-Adviser’s duties, or by reason of reckless disregard of the Sub-Adviser’s obligations and duties under this Agreement.",liability
"Liability. Notwithstanding anything herein to the contrary, the Escrow Agent shall not be relieved from liability hereunder for its own gross negligence or its own willful misconduct.",liability
"Liability. The Subadviser shall exercise its best judgment in rendering its services in accordance with the terms of this Agreement, but otherwise, in the absence of willful misfeasance, bad faith or gross negligence on the part of the Subadviser or a reckless disregard of its duties hereunder, the Subadviser, each of its affiliates and all respective partners, officers, directors and employees (“Affiliates”) and each person, if any, who within the meaning of the Securities Act controls the Subadviser (“Controlling Persons”), if any, shall not be subject to any expenses or liability to the Adviser, any other subadviser to the Fund, the Trust or the Fund or any of the Fund’s shareholders, in connection with the matters to which this Agreement relates, including without limitation for any losses that may be sustained in the purchase, holding or sale of Subadviser Assets. The Adviser shall exercise its best judgment in rendering its obligations in accordance with the terms of this Agreement, but otherwise (except as set forth in Section 10(c) below), in the absence of willful misfeasance, bad faith or gross negligence on the part of the Adviser or a reckless disregard of its duties hereunder, the Adviser, any of its Affiliates and each of the Adviser’s Controlling Persons, if any, shall not be subject to any liability to the Subadviser, for any act or omission in the case of, or connected with, rendering services hereunder or for any losses that may be sustained in the purchase, holding or sale of Subadviser Assets. Notwithstanding the foregoing, nothing herein shall relieve the Adviser and the Subadviser from any of their obligations under applicable law, including, without limitation, the federal and state securities laws and the CEA.",liability
"Liability. Fees for stop payment orders are set forth in the Truth-in-Savings Disclosure or Schedule of Fees and Charges. You may not stop payment on any certified check, cashier’s check, teller’s check, or any other check, draft, or payment guaranteed by us. Although payment of an item may be stopped, you may remain liable to any item holder, including us. You agree to indemnify and hold the Credit Union harmless from all costs, including attorney’s fees and all damages or claims related to our refusal to pay an item, as well as claims of any joint account owner or of any payee or endorsee for failing to stop payment of an item as a result of incorrect information provided by you.",liability
"Liability. TAEC WILL UNDER NO CIRCUMSTANCES BE LIABLE FOR INDIRECT, CONSEQUENTIAL, SPECIAL, INCIDENTAL, SECONDARY, PUNITIVE OR EXEMPLARY LOSS OR DAMAGES OR ECONOMIC LOSS ARISING OUT OF OR RELATING TO THE TRANSACTIONS CONTEMPLATED IN THIS AGREEMENT FOR ANY REASON WHATSOEVER REGARDLESS OF THE FORM OF ACTION, EVEN IF TAEC HAD BEEN ADVISED OF THE LIKELIHOOD OF SUCH LOSS OR DAMAGES OCCURRING AND EVEN IF AN EXCLUSIVE REMEDY FAILS OF ITS ESSENTIAL PURPOSES. TAEC SHALL NOT BE LIABLE FOR ANY DAMAGES OR CLAIMS ARISING MORE THAN ONE (1) YEAR PRIOR TO THE INSTITUTION OF A LEGAL PROCEEDING THEREON. IN NO EVENT WILL TAEC’s LIABILITY TO CUSTOMER FOR ANY ACTION OR CLAIM ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT EXCEED THE AMOUNT ACTUALLY PAID BY CUSTOMER TO TAEC FOR THE PROTOTYPES OR PRODUCTS THAT ARE THE SUBJECT OF SUCH CLAIM.",liability
"Liability. (a) Except as expressly set forth in this Declaration, the Guarantee and the terms of the Securities, the Sponsor shall not be:",liability
"Liability. Notwithstanding anything in this Agreement to the contrary, it is understood that the Sub-Advisor shall remain liable to the Advisor and the Portfolio under the Sub-Advisory Agreement for the acts and omissions of Japan Sub-Advisor taken in the course of the performance of the Japan Sub-Advisor's duties hereunder to the same extent as would be the case had the Sub-Advisor performed such acts or omissions itself, provided, however, that to the extent the Sub-Advisor suffers a loss to the Advisor or the Portfolio as a result of or arising out of such acts or omissions of the Japan Sub-Advisor, the Sub-Advisor shall be entitled to seek redress against the Japan Sub-Advisor in accordance with the terms hereof.",liability
"Liability. Except as may otherwise be provided by the 1940 Act or other federal securities laws, neither the Subadviser nor any of its officers, partners, managing directors, employees, affiliates or agents shall be subject to any liability to the Manager, the Fund, the Portfolio or any shareholder of the Portfolio for any loss arising from any claim or demand based upon, any error of judgment, or any loss arising out of any investment or other act or omission in the course of, connected with, or arising out of any service to be rendered under this Agreement, except by reason of willful misfeasance, bad faith or gross negligence in the performance of any duties or by reason of reckless disregard of its obligations and duties. The Manager acknowledges and agrees that the Subadviser makes no representation or warranty, express or implied, that any level of performance or investment results will be achieved by the Portfolio or that the Portfolio will perform comparably with any standard or index, including other clients of the Subadviser, whether public or private.",liability
"Liability. In the absence of willful misfeasance, bad faith, gross negligence or reckless disregard of obligations or duties hereunder on the part of the Adviser, the Adviser shall not be subject to liability to the Fund or to any shareholder of the Fund for any act or omission in the course of, or connected with, rendering services hereunder, or for any losses that may be sustained in the purchase, holding or sale of any security.",liability
"Liability. The duties of the Sub-Adviser shall be confined to those expressly set forth herein with respect to the Sub-Advised Assets. The Sub-Adviser shall not be liable for any loss arising out of any portfolio investment or disposition hereunder, except a loss resulting from willful misfeasance, bad faith or gross negligence in the performance of its duties, or by reason of reckless disregard of its obligations and duties hereunder. Under no circumstances shall the Sub-Adviser be liable for any loss arising out of any act or omission taken by another sub-adviser, or any other third party, in respect of any portion of the Trust’s assets not managed by the Sub-Adviser pursuant to this Agreement.",liability
