clause_text,clause_type
"Licenses. Awarded Vendor shall maintain, in current status, all federal, state and local licenses, bonds and permits required for the operation of the business conducted by awarded Vendor. Awarded Vendor shall remain reasonably fully informed of and in compliance with all ordinances and regulations pertaining to the lawful provision of goods or services under the Agreement. TIPS and TIPS Members reserves the right to stop work and/or cancel an order or terminate this or any other sales Agreement of any awarded Vendor whose license(s) required for performance under this Agreement have expired, lapsed, are suspended or terminated subject to a 30-day cure period unless prohibited by applicable statue or regulation.",licenses
Licenses. The Depositor shall cause the Trust to use its best efforts to obtain and maintain the effectiveness of any licenses required in connection with this Agreement and the other Operative Agreements and the transactions contemplated hereby and thereby until such time as the Trust shall terminate in accordance with the terms hereof. It shall be the duty of the Owner Trustee to cooperate with the Depositor with respect to such matters.,licenses
"Licenses. Kraft holds all licenses and permits as may be requisite for carrying on the Kraft Business in the manner in which it has heretofore been carried on, which licenses and permits have been maintained and continue to be in good standing except where the failure to obtain or maintain such licenses or permits would not have a material adverse effect on the Kraft Business;",licenses
"Licenses. Keep each License affecting any Collateral (including the manufacture, distribution or disposition of Inventory) or any other material Property of Borrowers and Subsidiaries in full force and effect; promptly notify Agent of any proposed modification to any such License, or entry into any new License, in each case at least 30 days prior to its effective date; pay all Royalties when due; and notify Agent of any default or breach asserted by any Person to have occurred under any License.",licenses
"Licenses. The Acquiror Company possesses from the appropriate Governmental Authority all licenses, permits, authorizations, approvals, franchises and rights that are necessary for the Acquiror Company to engage in its business as currently conducted and to permit the Acquiror Company to own and use its properties and assets in the manner in which it currently owns and uses such properties and assets (collectively, “Acquiror Company Permits”). The Acquiror Company has not received notice from any Governmental Authority or other Person that there is lacking any license, permit, authorization, approval, franchise or right necessary for the Acquiror Company to engage in its business as currently conducted and to permit the Acquiror Company to own and use its properties and assets in the manner in which it currently owns and uses such properties and assets. The Acquiror Company Permits are valid and in full force and effect. No event has occurred or circumstance exists that may (with or without notice or lapse of time): (a) constitute or result, directly or indirectly, in a violation of or a failure to comply with any Acquiror Company Permit; or (b) result, directly or indirectly, in the revocation, withdrawal, suspension, cancellation or termination of, or any modification to, any Acquiror Company Permit. The Acquiror Company has not received notice from any Governmental Authority or any other Person regarding: (a) any actual, alleged, possible or potential contravention of any Acquiror Company Permit; or (b) any actual, proposed, possible or potential revocation, withdrawal, suspension, cancellation, termination of, or modification to, any Acquiror Company Permit. All applications required to have been filed for the renewal of such Acquiror Company Permits have been duly filed on a timely basis with the appropriate Persons, and all other filings required to have been made with respect to such Acquiror Company Permits have been duly made on a timely basis with the appropriate Persons. All Acquiror Company Permits are renewable by their terms or in the ordinary course of business without the need to comply with any special qualification procedures or to pay any amounts other than routine fees or similar charges, all of which have, to the extent due, been duly paid.",licenses
"Licenses. Such Obligor shall, and shall cause each of its Subsidiaries to, obtain and maintain all licenses, authorizations, consents, filings, exemptions, registrations and other Governmental Approvals necessary in connection with the execution, delivery and performance of the Loan Documents, the consummation of the Transactions or the operation and conduct of its business and ownership of its properties, except where failure to do so could not reasonably be expected to have a Material Adverse Effect.",licenses
"Licenses. The Company possesses from all appropriate governmental authorities all licenses, permits, authorizations, approvals, franchises and rights necessary for the Company to engage in the business currently conducted by it, all of which are in full force and effect.",licenses
"Licenses. Except as otherwise set forth in the 34 Act Reports, the Company has sufficient licenses, permits and other governmental authorizations currently required for the conduct of its business or ownership of properties and is in all material respects in compliance therewith.",licenses
"Licenses. At its own expense, Subrecipient and its subcontractors, if any, shall, at all time during the term of this Contract, maintain in full force and effect such licenses or permits as may be required by the State of California or any other government entity. Subrecipient and his subcontractors, if any, shall strictly adhere to, and obey, all governmental rules and regulations now in effect or as subsequently enacted or modified, as promulgated by any local, State, or Federal governmental entity.",licenses
"Licenses. Seller is duly licensed or is otherwise qualified in each jurisdiction in which it transacts business for the business which it conducts and is not in default of any applicable federal, state or local laws, rules and regulations unless, in either instance, the failure to take such action is not reasonably likely (either individually or in the aggregate) to cause a Material Adverse Effect and is not in default of such state’s applicable laws, rules and regulations. Seller has the requisite power and authority and legal right to own, sell and grant a lien on all of its right, title and interest in and to the Note. Seller has the requisite power and authority and legal right to execute and deliver, engage in the transactions contemplated by, and perform and observe the terms and conditions of, this Agreement, each other Program Agreement and any Transaction Notice.",licenses
