clause_text,clause_type
"Liens. The Borrower will not, and will not permit any Subsidiary to, create, incur, assume or permit to exist any Lien on any property or asset now owned or hereafter acquired by it, or assign or sell any income or revenues (including accounts receivable) or rights in respect of any thereof, except:",liens
"Liens. Create, incur, assume or suffer to exist any Lien upon any of its property, assets or revenues, whether now owned or hereafter acquired, other than the following:",liens
"Liens. Create, incur, assume or suffer to exist any Lien upon any of its property, whether now owned or hereafter acquired, except:",liens
"Liens. The Borrower will not, and will not permit any Subsidiary to, create, incur, assume or permit to exist any Lien on any property or asset now owned or hereafter acquired by it, except:",liens
"Liens. The Borrower will not, and will not permit any of its Subsidiaries to, create, incur, assume or suffer to exist any Lien upon any of its property, revenues or assets, whether now owned or hereafter acquired, except:",liens
"Liens. The Borrower will not, nor will it permit any Subsidiary to, create, incur, or suffer to exist any Lien in, of or on the Property of the Borrower or any of its Subsidiaries, except:",liens
"Liens. No Credit Party shall, nor shall it permit any of its Subsidiaries to, directly or indirectly, create, incur, assume or permit to exist any Lien on or with respect to any property or asset of any kind (including any document or instrument in respect of goods or accounts receivable) of Holdings or any of its Subsidiaries, whether now owned or hereafter acquired, or any income or profits therefrom, or file or permit the filing of, or permit to remain in effect, any financing statement or other similar notice of any Lien with respect to any such property, asset, income or profits under the UCC of any State or under any similar recording or notice statute, except:",liens
"Liens. Create, incur, assume or permit to exist, directly or indirectly, any Lien on any property now owned or hereafter acquired by it or on any income or revenues or rights in respect of any thereof, except the following (collectively, the “Permitted Liens”):",liens
"Liens. Create, incur, assume or permit to exist any Lien on any property or assets (including stock or other securities of any person) of the Borrower or any Subsidiary at the time owned by it or on any income or revenues or rights in respect of any thereof, except the following (collectively, “Permitted Liens”):",liens
"Liens. The Company shall not, and shall not permit any of its Subsidiaries to, create, incur, assume or suffer to exist any Lien upon or with respect to any property or assets (real or personal, tangible or intangible) of the Company or any of its Subsidiaries, whether now owned or hereafter acquired, or sell any such property or assets subject to an understanding or agreement, contingent or otherwise, to repurchase such property or assets (including sales of accounts receivable), or assign any right to receive income or permit the filing of any financing statement under the Uniform Commercial Code, as from time to time in effect in the relevant jurisdiction (the ""UCC""), or any other similar notice of Lien under any similar recording or notice statute; provided, that the provisions of this Section 5.4 shall not prevent the creation, incurrence, assumption or existence of the following:",liens
"Liens. Tenant agrees not to permit any mechanic's, materialmen's or other liens to be filed against all or any part of the Development, the Building or the Premises, nor against Tenant's leasehold interest in the Premises, by reason of or in connection with any repairs, alterations, improvements or other work contracted for or undertaken by Tenant or any other act or omission of Tenant or Tenant's agents, employees, contractors, licensees or invitees. At Landlord's request, Tenant agrees to provide Landlord with enforceable, conditional and final lien releases (or other evidence reasonably requested by Landlord to demonstrate protection from liens) from all persons furnishing labor and/or materials at the Premises. Landlord will have the right at all reasonable times to post on the Premises and record any notices of non-responsibility which it deems necessary for protection from such liens. If any such liens are filed, Tenant will, at its sole cost, promptly cause such liens to be released of record or bonded so that it no longer affects title to the Development, the Building or the Premises. If Tenant fails to cause any such liens to be so released or bonded within ten (10) days after filing thereof, such failure will be deemed a material breach by Tenant under this Lease without the benefit of any additional notice or cure period described in Paragraph 22 below, and Landlord may, without waiving its rights and remedies based on such breach, and without releasing Tenant from any of its obligations, cause such liens to be released by any means it shall deem proper, including payment in satisfaction of the claims giving rise to such liens. Tenant agrees to pay to Landlord within ten (10) days after receipt of invoice from Landlord, any sum paid by Landlord to remove such liens, together with interest at the Interest Rate from the date of such payment by Landlord.",liens
"Liens. Create, incur, assume, or suffer to exist, directly or indirectly, any Lien on or with respect to any of its assets, of any kind, whether now owned or hereafter acquired, or any income or profits therefrom, except for Permitted Liens.",liens
