clause_text,clause_type
"Limitation on Liability. The Company and the Underwriters agree that it would not be just and equitable if contribution pursuant to this Section 7 were determined by pro rata allocation (even if the Underwriters were treated as one entity for such purpose) or by any other method of allocation that does not take account of the equitable considerations referred to in paragraph (d) above. The amount paid or payable by an Indemnified Person as a result of the losses, claims, damages and liabilities referred to in paragraph (d) above shall be deemed to include, subject to the limitations set forth above, any legal or other expenses incurred by such Indemnified Person in connection with any such action or claim. Notwithstanding the provisions of this Section 7, in no event shall an Underwriter be required to contribute any amount in excess of the amount by which the total underwriting discounts and commissions received by such Underwriter with respect to the offering of the Securities exceeds the amount of any damages that such Underwriter has otherwise been required to pay by reason of such untrue or alleged untrue statement or omission or alleged omission. No person guilty of fraudulent misrepresentation (within the meaning of Section 11(f) of the Securities Act) shall be entitled to contribution from any person who was not guilty of such fraudulent misrepresentation. The Underwriters’ obligations to contribute pursuant to this Section 7 are several in proportion to their respective purchase obligations hereunder and not joint.",limitation-on-liability
"Limitation on Liability. Subject to the provisions of Paragraph 17 above, the obligations of Lessor under this Lease shall not constitute personal obligations of Lessor, the individual partners of Lessor or its or their individual partners, directors, officers or shareholders, and Lessee shall look to the Premises, and to no other assets of Lessor, for the satisfaction of any liability of Lessor with respect to this Lease, and shall not seek recourse against the individual partners of Lessor, or its or their individual partners, directors, officers or shareholders, or any of their personal assets for such satisfaction.",limitation-on-liability
"Limitation on Liability. (a) The Sub-Advisor will not be liable for any error of judgment or mistake of law or for any loss suffered by the Advisor or by the Trust in connection with the performance of this Agreement, except a loss resulting from a breach of fiduciary duty with respect to the receipt of compensation for services or a loss resulting from willful misfeasance, bad faith or gross negligence on its part in the performance of its duties or from reckless disregard by it of its duties under this Agreement.",limitation-on-liability
"Limitation on Liability. EACH PARTY ACKNOWLEDGES AND AGREES THAT: (I) THE PROCEEDS OF INSURANCE TO WHICH IT IS ENTITLED; (II) ITS RIGHTS TO INDEMNIFICATION FROM THE OTHER PARTY UNDER SECTION 9.5; AND (III) ITS RIGHT TO DIRECT DAMAGES ARISING IN CONTRACT FROM A BREACH OF THE OTHER PARTY’S OBLIGATIONS UNDER THIS AGREEMENT, ARE THE SOLE REMEDIES FOR ANY DAMAGE, LOSS, OR EXPENSE A RISING OUT OF THIS AGREEMENT OR THE SERVICES PROVIDED (OR OMITTED TO BE PROVIDED) HEREUNDER OR CONTEMPLATED HEREBY. EXCEPT AS EXPRESSLY SET FORTH IN THIS SECTION 9.6, EACH PARTY WAIVES ANY RIGHT TO RECOVER ANY DAMAGE, LOSS OR EXPENSE ARISING OUT OF THIS AGREEMENT OR THE SERVICES PROVIDED HEREUNDER OR CONTEMPLATED HEREBY. IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR OR HAVE ANY DUTY FOR INDEMNIFICATION OR CONTRIBUTION TO THE OTHER PARTY FOR ANY CLAIMED INDIRECT, SPECIAL, INCIDENTAL, CONSEQUENTIAL, OR PUNITIVE DAMAGES, OR FOR ANY DAMAGES CONSISTING OF DAMAGES FOR LOSS OF USE, REVENUE, PROFIT, BUSINESS OPPORTUNITIES AND THE LIKE, OR FOR DEPRECIATION OR DIMINUTION IN VALUE OF THE AIRCRAFT, OR INSURANCE DEDUCTIBLE, EVEN IF THE PARTY HAD BEEN ADVISED, OR KNEW OR SHOULD HAVE KNOWN, OF THE POSSIBILITY OF SUCH DAMAGES.",limitation-on-liability
"Limitation on Liability. Subject to the terms of the Servicing Agreement, no Holder (including the Master Servicer or the Special Servicer on its behalf) shall have any liability to any other Holder with respect to any Note, except (1) with respect to the Advance reimbursement provisions set forth in Section 17 and (2) with respect to losses actually suffered due to the gross negligence, willful misconduct or material breach of this Agreement on the part of such Holder (including the Master Servicer or the Special Servicer on its behalf, except that the Master Servicer’s or Special Servicer’s liability may be further limited or expanded as set forth in the Servicing Agreement).",limitation-on-liability
"Limitation on Liability. The Company and the Underwriters agree that it would not be just and equitable if contribution pursuant to paragraph (d) above were determined by pro rata allocation (even if the Underwriters were treated as one entity for such purpose) or by any other method of allocation that does not take account of the equitable considerations referred to in paragraph (d) above. The amount paid or payable by an Indemnified Person as a result of the losses, claims, damages and liabilities referred to in paragraph (d) above shall be deemed to include, subject to the limitations set forth above, any reasonable and documented legal or other expenses incurred by such Indemnified Person in connection with any such action or claim. Notwithstanding the provisions of paragraphs (d) and (e), in no event shall an Underwriter be required to contribute any amount in excess of the amount by which the total underwriting discounts and commissions received by such Underwriter with respect to the offering of the Shares exceeds the amount of any damages that such Underwriter has otherwise been required to pay by reason of such untrue or alleged untrue statement or omission or alleged omission. No person guilty of fraudulent misrepresentation (within the meaning of Section 11(f) of the Securities Act) shall be entitled to contribution from any person who was not guilty of such fraudulent misrepresentation. The Underwriters’ obligations to contribute pursuant to paragraphs (d) and (e) are several in proportion to their respective purchase obligations hereunder and not joint.",limitation-on-liability
"Limitation on Liability. Any term or provision of this Indenture to the contrary notwithstanding, the maximum amount of the Subsidiary Guarantee of any Subsidiary Guarantor shall not exceed the maximum amount that can be hereby guaranteed by such Subsidiary Guarantor without rendering such Subsidiary Guarantee voidable under applicable law relating to fraudulent conveyance or fraudulent transfer or similar laws affecting the rights of creditors generally.",limitation-on-liability
"Limitation on Liability. The Asset Representations Reviewer will not be liable to any Person for any action taken, or not taken, in good faith under this Agreement or for errors in judgment. However, the Asset Representations Reviewer will be liable for its willful misconduct, bad faith or negligence in performing its obligations under this Agreement. In no event will the Asset Representations Reviewer be liable for special, indirect or consequential losses or damages (including lost profit), even if the Asset Representations Reviewer has been advised of the likelihood of the loss or damage and regardless of the form of action.",limitation-on-liability
"Limitation on Liability. EXCEPT FOR A PARTY’S BREACH OF SECTION 3 OR CLIENT’S INDEMNIFICATION OBLIGATIONS, NEITHER PARTY SHALL BE LIABLE TO THE OTHER PARTY FOR ANY INDIRECT, SPECIAL, INCIDENTAL, PUNITIVE OR CONSEQUENTIAL DAMAGES OF ANY NATURE, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES, AND REGARDLESS OF WHETHER THE CLAIM OR LIABILITY IS BASED UPON ANY CONTRACT, TORT, BREACH OF WARRANTY OR OTHER LEGAL OR EQUITABLE THEORY. EXCEPT FOR A PARTY’S BREACH OF SECTION 3 OR CLIENT’S INDEMNIFICATION OBLIGATIONS, THE TOTAL LIABILITY OF EITHER PARTY, WHETHER BASED IN CONTRACT, TORT (INCLUDING NEGLIGENCE OR STRICT LIABILITY), OR OTHERWISE, WILL NOT EXCEED, IN THE AGGREGATE, THE FEES PAID TO MSC. THE FOREGOING LIMITATIONS WILL APPLY NOTWITHSTANDING ANY FAILURE OF ESSENTIAL FINANCING OF ANY LIMITED REMEDY.",limitation-on-liability
"Limitation on Liability. (a) Any term or provision of this Indenture to the contrary notwithstanding, the maximum aggregate amount of the Guaranteed Obligations guaranteed hereunder by each Guarantor shall not exceed the maximum amount that can be hereby guaranteed by the applicable Guarantor without rendering the Guarantee, as it relates to such Guarantor, voidable under applicable law relating to fraudulent conveyance or fraudulent transfer or similar laws affecting the rights of creditors generally or capital maintenance or corporate benefit rules applicable to guarantees for obligations of affiliates.",limitation-on-liability
