clause_text,clause_type
"Limitations. Without the consent of each Securityholder affected, an amendment or waiver may not:",limitations
"Limitations. FOR BREACH OF ANY PROVISION FOR WHICH AN EXPRESS REMEDY OR MEASURE OF DAMAGES IS PROVIDED, SUCH EXPRESS REMEDY OR MEASURE OF DAMAGES SHALL BE THE SOLE AND EXCLUSIVE REMEDY. A PARTY’S LIABILITY HEREUNDER SHALL BE LIMITED AS SET FORTH IN SUCH PROVISION, AND ALL OTHER REMEDIES OR DAMAGES AT LAW OR IN EQUITY ARE WAIVED. IF NO REMEDY OR MEASURE OF DAMAGES IS EXPRESSLY PROVIDED HEREIN OR IN A TRANSACTION, A PARTY’S LIABILITY SHALL BE LIMITED TO DIRECT ACTUAL DAMAGES ONLY. SUCH DIRECT ACTUAL DAMAGES SHALL BE THE SOLE AND EXCLUSIVE REMEDY, AND ALL OTHER REMEDIES OR DAMAGES AT LAW OR IN EQUITY ARE WAIVED. UNLESS EXPRESSLY HEREIN PROVIDED, NEITHER PARTY SHALL BE LIABLE FOR CONSEQUENTIAL, INCIDENTAL, PUNITIVE, EXEMPLARY OR INDIRECT DAMAGES, LOST PROFITS OR OTHER BUSINESS INTERRUPTION DAMAGES, BY STATUTE, IN TORT OR CONTRACT, UNDER ANY INDEMNITY PROVISION OR OTHERWISE. IT IS THE INTENT OF THE PARTIES THAT THE LIMITATIONS HEREIN IMPOSED ON REMEDIES AND THE MEASURE OF DAMAGES BE WITHOUT REGARD TO THE CAUSE OR CAUSES RELATED THERETO, INCLUDING THE NEGLIGENCE OF ANY PARTY, WHETHER SUCH NEGLIGENCE BE SOLE, JOINT OR CONCURRENT, OR ACTIVE OR PASSIVE. TO THE EXTENT ANY DAMAGES REQUIRED TO BE PAID HEREUNDER ARE LIQUIDATED, THE PARTIES ACKNOWLEDGE THAT THE DAMAGES ARE DIFFICULT OR IMPOSSIBLE TO DETERMINE, OR OTHERWISE OBTAINING AN ADEQUATE REMEDY IS INCONVENIENT AND THE DAMAGES CALCULATED HEREUNDER CONSTITUTE A REASONABLE APPROXIMATION OF THE HARM OR LOSS.",limitations
"Limitations. The agreement of Borrowers shall not be necessary to the effectiveness of any modification of a Loan Document that deals solely with the rights and duties of Lenders, Agent and/or Issuing Bank as among themselves. Only the consent of the parties to the Fee Letter or any agreement relating to a Bank Product shall be required for any modification of such agreement, and no Affiliate of a Lender that is party to a Bank Product agreement shall have any other right to consent to or participate in any manner in modification of any other Loan Document. The making of any Loans during the existence of a Default or Event of Default shall not be deemed to constitute a waiver of such Default or Event of Default, nor to establish a course of dealing. Any waiver or consent granted by Lenders hereunder shall be effective only if in writing, and then only in the specific instance and for the specific purpose for which it is given.",limitations
"Limitations. The Parties are aware there are constitutional and statutory limitations (Limitations) on the authority of University (a state agency) to enter into certain terms and conditions that may be part of this Agreement, including terms and conditions relating to liens on University’s property; disclaimers and limitations of warranties; disclaimers and limitations of liability for damages; waivers, disclaimers and limitations of legal rights, remedies, requirements and processes; limitations of periods to bring legal action; granting control of litigation or settlement to another party; liability for acts or omissions of third parties; payment of attorneys’ fees; dispute resolution; indemnities; and confidentiality, and terms and conditions related to Limitations will not be binding on University except to the extent authorized by the laws and Constitution of the State of Texas.",limitations
"Limitations. The rates in this Agreement are subject to any statutory or administrative limitations and apply to a given grant, contract or other agreement only to the extent that funds are available. Acceptance of the rates is subject to the following conditions: (1) Only costs incurred by the organization were included in its facilities and administrative cost pools as finally accepted: such costs are legal obligations of the organization and are allowable under the governing cost principles; (2) The same costs that have been treated as facilities and administrative costs are not claimed as direct costs; (3) Similar types of costs have been accorded consistent accounting treatment; and (4) The information provided by the organization which was used to establish the rates is not later found to be materially incomplete or inaccurate by the Federal Government. In such situations the rate(s) would be subject to renegotiation at the discretion of the Federal Government.",limitations
"Limitations. Nothing in this Agreement is intended to affect any other agreement by and among the NYISO, Connecting Transmission Owner and the Interconnection Customer, except as otherwise expressly provided herein.",limitations
"Limitations. The Company may be dissolved, liquidated and terminated only pursuant to the provisions of this Section 13, and, to the fullest extent permitted by law but subject to the terms of this Agreement, the parties hereto do hereby irrevocably waive any and all other rights they may have to cause a dissolution of the Company or a sale or partition of any or all of the Company’s assets.",limitations
"Limitations. The modifications set forth herein are limited precisely as written, and shall not be deemed to (a) be a consent to, or waiver or modification of, any other term or condition of the Credit Agreement or any of the other Loan Documents, or (b) prejudice any right or rights which the Banks may now have or may have in the future under or in connection with the Credit Agreement or any of the other Loan Documents. Except as expressly modified hereby, the terms and provisions of the Credit Agreement and the other Loan Documents are and shall remain in full force and effect. In the event of a conflict between this Amendment and any of the foregoing documents, the terms of this Amendment shall be controlling.",limitations
"Limitations. THE REPRESENTATIONS AND WARRANTIES SET FORTH IN THIS ARTICLE ARE THE SOLE AND EXCLUSIVE REPRESENTATIONS AND WARRANTIES MADE BY EACH PARTY TO THE OTHER PARTY, AND NEITHER PARTY MAKES ANY OTHER REPRESENTATIONS, WARRANTIES OR GUARANTEES OF ANY KIND WHATSOEVER, INCLUDING ANY IMPLIED WARRANTIES OF MERCHANTABILITY, NON-INFRINGEMENT OR FITNESS FOR A PARTICULAR PURPOSE.",limitations
"Limitations. Notwithstanding the foregoing, the Company shall not be obligated to indemnify the Indemnitee for Expenses or liabilities of any type whatsoever for which payment is actually made to or on behalf of the Indemnitee under an insurance policy, or under a valid and enforceable indemnity clause, by-law or agreement.",limitations
