clause_text,clause_type
"Limitation of Liability. The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee.",limited_liability
"Limitation of Liability. No provision hereof, in the absence of any affirmative action by the Holder to exercise this Warrant to purchase Warrant Shares, and no enumeration herein of the rights or privileges of the Holder, shall give rise to any liability of the Holder for the purchase price of any Common Stock or as a stockholder of the Company, whether such liability is asserted by the Company or by creditors of the Company.",limited_liability
"Limitation of Liability. ICANN’s aggregate monetary liability for violations of this Agreement will not exceed an amount equal to the Registry-­‐Level Fees paid by Registry Operator to ICANN within the preceding twelve-­‐month period pursuant to this Agreement (excluding the Variable Registry-­‐Level Fee set forth in Section 6.3, if any). Registry Operator’s aggregate monetary liability to ICANN for breaches of this Agreement will be limited to an amount equal to the fees paid to ICANN during the preceding twelve-­‐month period (excluding the Variable Registry-­‐Level Fee set forth in Section 6.3, if any), and punitive and exemplary damages, if any, awarded in accordance with Section 5.2, except with respect to Registry Operator’s indemnification obligations pursuant to Section 7.1 and Section 7.2. In no event shall either party be liable for special, punitive, exemplary or consequential damages arising out of or in connection with this Agreement or the performance or nonperformance of obligations undertaken in this Agreement, except as provided in Section 5.2. Except as otherwise provided in this Agreement, neither party makes any warranty, express or implied, with respect to the services rendered by itself, its servants or agents, or the results obtained from their work, including, without limitation, any implied warranty of merchantability, non-­‐infringement or fitness for a particular purpose.",limited_liability
"Limitation of Liability. EXCEPT FOR (I) INFRINGEMENT OR MISAPPROPRIATION OF THE OTHER PARTY'S INTELLECTUAL PROPERTY RIGHTS, INCLUDING TRADE SECRETS; (II) DAMAGES FOR BODILY INJURY, DEATH, DAMAGE TO REAL OR TANGIBLE PERSONAL PROPERTY; (III) INTENTIONAL MISCONDUCT OR GROSS NEGLIGENCE; OR (IV) ANY OTHER LIABILITY THAT MAY NOT BE LIMITED UNDER APPLICABLE LAW (THE ""EXCLUDED MATTERS""), IN NO EVENT WILL EITHER PARTY BE LIABLE FOR ANY LOSS OR UNAVAILABILITY OF OR DAMAGE TO DATA, LOST REVENUE, LOST PROFITS, FAILURE TO REALIZE EXPECTED SAVINGS, DAMAGE TO REPUTATION, BUSINESS INTERRUPTION, DOWNTIME COSTS OR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL, PUNITIVE, EXEMPLARY OR ANY SIMILAR TYPE OF DAMAGES ARISING OUT OF OR IN ANY WAY RELATED TO THE AGREEMENT, THE USE OR THE INABILITY TO USE THE SOFTWARE, MAINTENANCE OR CONSULTING SERVICES, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. CUSTOMER ASSUMES ALL RESPONSIBILITY FOR THE SELECTION OF THE SOFTWARE AND OTHER PRODUCTS OR SERVICES PROVIDED HEREUNDER TO ACHIEVE CUSTOMER'S INTENDED RESULTS. EXCEPT FOR THE EXCLUDED MATTERS, IN NO EVENT SHALL EITHER PARTY'S TOTAL LIABILITY TO THE OTHER FOR ALL CLAIMS ARISING OUT OF OR AS A RESULT OF THE AGREEMENT EXCEED THE GREATER OF 1,000,000 USD OR THE FEES PAID BY CUSTOMER TO LICENSOR UNDER THE APPLICABLE ORDER FORM.",limited_liability
"Limitation of Liability. TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, IN NO EVENT SHALL LICENSOR OR ITS SUPPLIERS BE LIABLE FOR ANY SPECIAL, INCIDENTAL, INDIRECT, OR CONSEQUENTIAL DAMAGES WHATSOEVER (INCLUDING, WITHOUT LIMITATION, DAMAGES FOR LOSS OF BUSINESS PROFITS, BUSINESS INTERRUPTION, LOSS OF BUSINESS INFORMATION, OR ANY OTHER PECUNIARY LOSS) HOWEVER CAUSED AND ON ANY LEGAL OR EQUITABLE THEORY OF LIABILITY, AND WHETHER OR NOT FOR BREACH OF CONTRACT, NEGLIGENCE OR OTHERWISE, EVEN IF LICENSOR HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. THESE LIMITATIONS WILL APPLY NOTWITHSTANDING ANY BREACH OF CONDITION(S) OR FUNDAMENTAL TERM(S) OR FOR A FUNDAMENTAL BREACH (S). IN ANY CASE, LICENSOR’S AND ITS SUPPLIERS' ENTIRE LIABILITY UNDER ANY PROVISION OF THIS AGREEMENT SHALL BE LIMITED TO THE AMOUNT RECEIVED BY LICENSOR FROM LICENSEE FOR THE SOFTWARE AND OGS PURSUANT TO THIS AGREEMENT PROVIDED. THIS LIMITATION OF LIABILITY IS CUMULATIVE WITH ALL SUCH PARTY’S EXPENDITURES BEING AGGREGATED TO DETERMINE SATISFACTION OF THE LIMIT.",limited_liability
"Limitation of Liability. (a) NEITHER PARTY SHALL BE LIABLE TO THE OTHER FOR LOST PROFITS OR FOR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL, PUNITIVE OR EXEMPLARY DAMAGES OF THE OTHER PARTY IN CONNECTION WITH THIS AGREEMENT OR THE SUPPLY AGREEMENT OR THE TRANSACTIONS CONTEMPLATED BY THIS AGREEMENT OR THE SUPPLY AGREEMENT, HOWEVER CAUSED, UNDER ANY THEORY OF LIABILITY. THE FOREGOING LIMITATION SHALL NOT APPLY SO AS TO LIMIT THE LIABILITY OF EITHER PARTY FOR LOST PROFITS OR FOR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL, PUNITIVE OR EXEMPLARY DAMAGES THAT MAY BE IMPOSED UPON SUCH PARTY UNDER ANY THEORY OF LIABILITY (OTHER THAN BREACH OF CONTRACT), WHETHER BY STATUTE OR COMMON LAW, AS A RESULT OF ANY INFRINGEMENT BY SUCH PARTY OF THE INTELLECTUAL PROPERTY RIGHTS OF THE OTHER PARTY OR AS A RESULT OF THE FAILURE OF SUCH PARTY TO PERFORM AND OBSERVE ITS CONFIDENTIALITY OBLIGATIONS TO THE OTHER PARTY.",limited_liability
Limitation of Liability. The Limited Partners shall have no liability under this Agreement except as expressly provided in this Agreement or the Delaware Act.,limited_liability
"Limitation of Liability. (a) It is expressly understood and agreed by the parties that (a) this document is executed and delivered by Wilmington Trust, National Association, not individually or personally, but solely as Owner Trustee of the Issuer, in the exercise of the powers and authority conferred and vested in it, pursuant to the Trust Agreement, (b) each of the representations, warranties, covenants, undertakings and agreements herein made on the part of the Issuer is made and intended not as personal representations, warranties, covenants undertakings and agreements by Wilmington Trust, National Association, but is made and intended for the purpose of binding only the Issuer, (c) nothing herein contained shall be construed as creating any liability on Wilmington Trust, National Association, individually or personally, to perform any covenant either expressed or implied contained herein, all such liability, if any, being expressly waived by the parties hereto and by any person claiming by, through or under the parties hereto, and (d) under no circumstances shall Wilmington Trust, National Association be personally liable for the payment of any indebtedness or expenses of the Issuer or be liable for the breach or failure of any obligation, representation, warranty or covenant made or undertaken by the Issuer under this Agreement or under the Notes or any of the other Transaction Documents or in any of the certificates, notices or agreements delivered pursuant thereto, as to all of which recourse shall be had solely to the assets of the Issuer.",limited_liability
"Limitation of Liability. In no event and under no legal theory, whether in tort (including negligence), contract, or otherwise, unless required by applicable law (such as deliberate and grossly negligent acts) or agreed to in writing, shall any Contributor be liable to You for damages, including any direct, indirect, special, incidental, or consequential damages of any character arising as a result of this License or out of the use or inability to use the Work (including but not limited to damages for loss of goodwill, work stoppage, computer failure or malfunction, or any and all other commercial damages or losses), even if such Contributor has been advised of the possibility of such damages.",limited_liability
"Limitation of Liability. (a) The Sub-Adviser shall not be liable for any error of judgment or mistake of law or for any loss suffered by the Portfolio, the Trust or its shareholders or by UBS Global AM in connection with the matters to which this Agreement relates, except a loss resulting from willful misfeasance, bad faith or gross negligence on its part in the performance of its duties or from reckless disregard by it of its obligations and duties under this Agreement.",limited_liability
