clause_text,clause_type
"Listing. The Company shall promptly secure the listing of the Conversion Shares upon each national securities exchange or automated quotation system, if any, upon which shares of Common Stock are then listed (subject to official notice of issuance) and, so long as the Buyer owns any of the Securities, shall maintain, so long as any other shares of Common Stock shall be so listed, such listing of all Conversion Shares from time to time issuable upon conversion of the Note. The Company will obtain and, so long as the Buyer owns any of the Securities, maintain the listing and trading of its Common Stock on the OTCBB or any equivalent replacement exchange, the Nasdaq National Market (“Nasdaq”), the Nasdaq SmallCap Market (“Nasdaq SmallCap”), the New York Stock Exchange (“NYSE”), or the American Stock Exchange (“AMEX”) and will comply in all respects with the Company’s reporting, filing and other obligations under the bylaws or rules of the Financial Industry Regulatory Authority (“FINRA”) and such exchanges, as applicable. The Company shall promptly provide to the Buyer copies of any notices it receives from the OTCBB and any other exchanges or quotation systems on which the Common Stock is then listed regarding the continued eligibility of the Common Stock for listing on such exchanges and quotation systems.",listing
"Listing. The Company shall use its best efforts to cause all Registrable Securities included in any registration to be listed on such exchanges or otherwise designated for trading in the same manner as similar securities issued by the Company are then listed or designated or, if no such similar securities are then listed or designated, in a manner satisfactory to the holders of a majority of the Registrable Securities included in such registration.",listing
"Listing. The Company shall promptly secure the listing of the shares of Common Stock issuable upon exercise of the Warrant upon each national securities exchange or automated quotation system, if any, upon which shares of Common Stock are then listed (subject to official notice of issuance upon exercise of this Warrant) and shall maintain, so long as any other shares of Common Stock shall be so listed, such listing of all shares of Common Stock from time to time issuable upon the exercise of this Warrant; and the Company shall so list on each national securities exchange or automated quotation system, as the case may be, and shall maintain such listing of, any other shares of capital stock of the Company issuable upon the exercise of this Warrant if and so long as any shares of the same class shall be listed on such national securities exchange or automated quotation system.",listing
"Listing. The Company shall promptly secure and maintain the listing of all of the Registrable Securities (as defined in the Registration Rights Agreement) on the Principal Market and each other national securities exchange and automated quotation system, if any, upon which shares of Common Stock are then listed (subject to official notice of issuance) and shall maintain, such listing of all Registrable Securities from time to time issuable under the terms of the Equity Line Transaction Documents. Neither the Company nor any of its Subsidiaries shall take any action which would be reasonably expected to result in the delisting or suspension of the Common Stock on the Principal Market (excluding suspensions of not more than one (1) trading day resulting from business announcements by the Company). The Company shall promptly provide to the Investor copies of any notices it receives from the Principal Market regarding the continued eligibility of the Common Stock for listing on such automated quotation system or securities exchange. The Company shall pay all fees and expenses in connection with satisfying its obligations under this Section 5(G).",listing
Listing. The Company will use its best efforts to effect the listing of the Securities on the New York Stock Exchange.,listing
"Listing. During any period in which the Prospectus relating to the Placement Securities is required to be delivered by the Sales Agent under the Securities Act with respect to a pending sale of the Placement Securities (including in circumstances where such requirement may be satisfied pursuant to Rule 172 under the Securities Act or any applicable similar rule), the Company will use its commercially reasonable efforts to cause the Placement Securities to be listed on the NYSE.",listing
"Listing. The Company shall promptly secure the listing of all of the Registrable Securities (as defined in the Registration Rights Agreement) upon each national securities exchange and automated quotation system, if any, upon which the Common Stock is then listed (subject to official notice of issuance) and shall maintain such listing of all Registrable Securities from time to time issuable under the terms of the Transaction Documents. The Company shall maintain the Common Stock’s authorization for quotation on the Principal Market. Neither the Company nor any of its Subsidiaries shall take any action which would be reasonably expected to result in the delisting or suspension of the Common Stock on the Principal Market. The Company shall pay all fees and expenses in connection with satisfying its obligations under this Section 4(f).",listing
"Listing. The Company will use its best efforts to list, subject to notice of issuance, the Offered Shares on the NASDAQ.",listing
Listing. The Company shall use its best efforts to maintain the listing of the shares of Common Stock (including the Public Securities) on the Exchange for at least three years from the date of this Agreement.,listing
Listing. The Company will use its reasonable best efforts to effect and maintain the listing of the Common Stock (including the Securities) on the Nasdaq Global Market.,listing
"Listing. The Company shall use reasonable best efforts to promptly secure the listing or designation for quotation (as the case may be) of all of the Conversion Shares upon each national securities exchange and automated quotation system, if any, upon which the Common Shares is then listed or designated for quotation (as the case may be) (subject to official notice of issuance) (but in no event later than the date of this Agreement) and shall use reasonable best efforts to maintain such listing or designation for quotation (as the case may be) of all Conversion Shares from time to time issuable under the terms of this Agreement on such national securities exchange or automated quotation system. The Company shall maintain the Common Shares’ listing or authorization for quotation (as the case may be) on the Principal Market, The New York Stock Exchange, the NYSE MKT, the Nasdaq Capital Market, the Nasdaq Global Market or the Nasdaq Global Select Market (each, an “Eligible Market”). Neither the Company nor any of its Subsidiaries shall take any action which could be reasonably expected to result in the delisting or suspension of the Common Shares on an Eligible Market. The Company shall pay all fees and expenses in connection with satisfying its obligations under this Section 8(l).",listing
"Listing. The Company is subject to and in compliance in all material respects with the reporting requirements of Section 13 or Section 15(d) of the Exchange Act. The Common Stock is registered pursuant to Section 12(b) or Section 12(g) of the Exchange Act and is listed on the Nasdaq, and the Company has taken no action designed to, or reasonably likely to have the effect of, terminating the registration of the Common Stock under the Exchange Act or delisting the Common Stock from the Exchange, nor has the Company received any notification that the Commission or Nasdaq is contemplating terminating such registration or listing.",listing
Listing. The Company will use its best efforts to effect and maintain the quotation of the Securities on the Nasdaq National Market and will file with the Nasdaq National Market all documents and notices required by the Nasdaq National Market of companies that have securities that are traded in the over-the-counter market and quotations for which are reported by the Nasdaq National Market.,listing
"Listing. The Company's common stock is quoted on the Bulletin Board. The Company has not received any oral or written notice that its common stock is not eligible nor will become ineligible for quotation on the Bulletin Board nor that its common stock does not meet all requirements for the continuation of such quotation and the Company satisfies and as of the Closing Date, the Company will satisfy all the requirements for the continued quotation of its common stock on the Bulletin Board.",listing
"Listing. The Company has filed with the Commission a registration statement on Form 8-A (file number 001-[●]) providing for the registration under the Exchange Act of the Units and the Ordinary Shares and Warrants included as part of the Units, which registration is currently effective on the date hereof. The Offered Securities and the Ordinary Shares and Warrants included as part of the Offered Securities have been authorized for listing, subject to official notice of issuance and evidence of satisfactory distribution, on the New York Stock Exchange, and the Company knows of no reason or set of facts that is likely to adversely affect such authorization.",listing
Listing. The Company will use its best efforts to effect and maintain the quotation of the Securities on the Nasdaq National Market.,listing
"Listing. The Offered Securities have been approved for listing on the NASDAQ Global Market, subject to notice of issuance.",listing
Listing. The Company’s Common Stock is quoted on the OTC Bulletin Board (“Bulletin Board”) under the symbol ATTD. The Company has not received any pending oral or written notice that its Common Stock is not eligible nor will become ineligible for quotation on the Bulletin Board nor that its Common Stock does not meet all requirements for the continuation of such quotation.,listing
"Listing. The Company shall promptly secure the listing of all of the Securities upon each national securities exchange and automated quotation system that requires an application by the Company for listing, if any, upon which shares of Common Stock are then listed (subject to official notice of issuance) and shall maintain such listing, so long as any other shares of Common Stock shall be so listed. The Company shall use its reasonable best efforts to maintain the Common Stock’s listing on the Principal Market in accordance with the requirements of the Registration Rights Agreement. Neither the Company nor any of its Subsidiaries shall take any action that would be reasonably expected to result in the delisting or suspension of the Common Stock on the Principal Market, unless the Common Stock is immediately thereafter traded on the New York Stock Exchange, the NYSE American, the Nasdaq Global Select Market, the Nasdaq Global Market, or the Nasdaq Capital Market. The Company shall pay all fees and expenses in connection with satisfying its obligations under this Section.",listing
"Listing. The shares of Wachovia Common Stock to be issued in the Merger shall have been approved for listing on the NYSE, subject to official notice of issuance.",listing
