clause_text,clause_type
"Litigation. There is no action, suit, inquiry, notice of violation, proceeding or investigation pending or, to the knowledge of the Company, threatened against or affecting the Company, any Subsidiary or any of their respective properties before or by any court, arbitrator, governmental or administrative agency or regulatory authority (federal, state, county, local or foreign) (collectively, an “Action”) which (i) adversely affects or challenges the legality, validity or enforceability of any of the Transaction Documents or the Securities or (ii) could, if there were an unfavorable decision, have or reasonably be expected to result in a Material Adverse Effect. Neither the Company nor any Subsidiary, nor any director or officer thereof, is or has been the subject of any Action involving a claim of violation of or liability under federal or state securities laws or a claim of breach of fiduciary duty. There has not been, and to the knowledge of the Company, there is not pending or contemplated, any investigation by the Commission involving the Company or any current or former director or officer of the Company. The Commission has not issued any stop order or other order suspending the effectiveness of any registration statement filed by the Company or any Subsidiary under the Exchange Act or the Securities Act.",litigation
"Litigation. Except as set forth on Schedule 3.1(j), there is no action, suit, inquiry, notice of violation, proceeding or investigation pending or, to the knowledge of the Company, threatened against or affecting the Company, any Subsidiary or any of their respective properties before or by any court, arbitrator, governmental or administrative agency or regulatory authority (federal, state, county, local or foreign) (collectively, an “Action”) which (i) adversely affects or challenges the legality, validity or enforceability of any of the Transaction Documents or the Securities or (ii) could, if there were an unfavorable decision, have or reasonably be expected to result in a Material Adverse Effect. Neither the Company nor any Subsidiary, nor any director or officer thereof, is or has been the subject of any Action involving a claim of violation of or liability under federal or state securities laws or a claim of breach of fiduciary duty. There has not been, and to the knowledge of the Company, there is not pending or contemplated, any investigation by the Commission involving the Company or any current or former director or officer of the Company. The Commission has not issued any stop order or other order suspending the effectiveness of any registration statement filed by the Company or any Subsidiary under the Exchange Act or the Securities Act.",litigation
"Litigation. No litigation, investigation or proceeding of or before any arbitrator or Governmental Authority is pending or, to the knowledge of the Borrower, threatened by or against any Group Member or against any of their respective properties or revenues (a) with respect to any of the Loan Documents or any of the transactions contemplated hereby or thereby, or (b) that could reasonably be expected to have a Material Adverse Effect.",litigation
"Litigation. Except as disclosed in the General Disclosure Package, there are no pending actions, suits or proceedings (including any inquiries or investigations by any court or governmental agency or body, domestic or foreign) against or affecting the Company, any of its subsidiaries or any of their respective properties that, if determined adversely to the Company or any of its subsidiaries, would individually or in the aggregate have a Material Adverse Effect, or would materially and adversely affect the ability of the Company to perform its obligations under this Agreement, or which are otherwise material in the context of the sale of the Offered Securities; and no such actions, suits or proceedings (including any inquiries or investigations by any court or governmental agency or body, domestic or foreign) are threatened or, to the Company’s knowledge, contemplated.",litigation
"Litigation. There are no actions, suits, proceedings, claims or disputes pending or, to the knowledge of the Borrower after due and diligent investigation, threatened or contemplated, at law, in equity, in arbitration or before any Governmental Authority, by or against the Borrower or any of its Subsidiaries or against any of their properties or revenues that (a) purport to affect or pertain to this Agreement or any other Loan Document, or any of the transactions contemplated hereby, or (b) either individually or in the aggregate could reasonably be expected to have a Material Adverse Effect.",litigation
"Litigation. There is no action, suit, proceeding or investigation pending or currently threatened against the Company that questions the validity of this Agreement, or the right of the Company to enter into this Agreement, or to consummate the transactions contemplated hereby, or that might result, either individually or in the aggregate, in any material adverse changes in the assets, condition, affairs or prospects of the Company, financially or otherwise, or any change in the current equity ownership of the Company, nor is the Company aware that there is any basis for the foregoing. The Company is not a party or subject to the provisions of any order, writ, injunction, judgment or decree of any court or government agency or instrumentality. There is no action, suit, proceeding or investigation by the Company currently pending or which the Company intends to initiate.",litigation
"Litigation. There is no pending or, to the best knowledge of the Company, threatened action, suit, proceeding or investigation before any court, governmental agency or body, or arbitrator having jurisdiction over the Company, or any of its Affiliates that would affect the execution by the Company or the complete and timely performance by the Company of its obligations under the Transaction Documents. Except as disclosed in the Reports, there is no pending or, to the best knowledge of the Company, basis for or threatened action, suit, proceeding or investigation before any court, governmental agency or body, or arbitrator having jurisdiction over the Company, or any of its Affiliates which litigation if adversely determined would have a Material Adverse Effect.",litigation
"Litigation. There are no actions, suits, proceedings, claims or disputes pending or, to the knowledge of the Borrower, threatened in writing or contemplated, at law, in equity, in arbitration or before any Governmental Authority, by or against the Borrower or any of its Subsidiaries or against any of their properties or revenues that either individually or in the aggregate, could reasonably be expected to have a Material Adverse Effect.",litigation
"Litigation. There are no actions, suits, proceedings, claims or disputes pending or, to the knowledge of Borrower after due and diligent investigation, threatened or contemplated, at law, in equity, in arbitration or before any Governmental Authority, by or against Borrower or any of its Subsidiaries or against any of their properties or revenues that (a) purport to affect or pertain to this Agreement or any other Loan Document, or any of the transactions contemplated hereby, or (b) except as specifically disclosed in Schedule 5.06, either individually or in the aggregate, if determined adversely, could reasonably be expected to have a Material Adverse Effect, and there has been no adverse change in the status, or financial effect on any Loan Party or any Subsidiary thereof, of the matters described on Schedule 5.06.",litigation
"Litigation. Except as disclosed in Schedule 5.16 hereto, there are no claims, actions, suits, proceedings or, to the Company’s knowledge, investigations pending or, to the Company’s knowledge, threatened against the Company or any of its Subsidiaries, or any properties or rights of the Company or any of its Subsidiaries, before any court, administrative, governmental, arbitral, mediation or regulatory authority or body, domestic or foreign, (a) as of the date hereof, as to which there is more than a remote possibility of an adverse judgment or determination against the Company or any of its Subsidiaries or any properties or rights of the Company or any of its Subsidiaries in excess of $100,000 or which otherwise could have a Material Adverse Effect on the Company, (b) as of the date hereof, which questions the validity of this Agreement or any action to be taken by the Company in connection with the consummation of the transactions contemplated by this Agreement or could otherwise prevent or delay the consummation of the transactions contemplated by this Agreement, or (c) as to which there is reasonably likely to be an adverse judgment or determination against the Company or any of its Subsidiaries which could reasonably be expected to have a Material Adverse Effect on the Company.",litigation
