clause_text,clause_type
"Maintenance of Insurance. The Company shall use commercially reasonable efforts to obtain and maintain in effect during the entire period for which the Company is obligated to indemnify the Indemnitee under this Agreement, one or more policies of insurance with reputable insurance companies to provide the officers/directors of the Company with coverage for losses from wrongful acts and omissions and to ensure the Company’s performance of its indemnification obligations under this Agreement. The Indemnitee shall be covered by such policy or policies in accordance with its or their terms to the maximum extent of the coverage available for any such director or officer under such policy or policies. In all such insurance policies, the Indemnitee shall be named as an insured in such a manner as to provide the Indemnitee with the same rights and benefits as are accorded to the most favorably insured of the Company’s directors and officers.",maintenance-of-insurance
"Maintenance of Insurance. Maintain, and cause each of its Subsidiaries to maintain, insurance with responsible and reputable insurance companies or associations in such amounts and covering such risks as is usually carried by companies engaged in similar businesses and owning similar properties in the same general areas in which the Borrower or such Subsidiary operates.",maintenance-of-insurance
"Maintenance of Insurance. Maintain with financially sound and reputable insurance companies not Affiliates of the Borrower, insurance with respect to its properties and business against loss or damage of the kinds customarily insured against by Persons engaged in the same or similar business, of such types and in such amounts as are customarily carried under similar circumstances by such other Persons.",maintenance-of-insurance
"Maintenance of Insurance. Maintain with financially sound and reputable insurance companies not Affiliates of the Borrower, insurance with respect to its properties and business against loss or damage of the kinds customarily insured against by Persons engaged in the same or similar business, of such types and in such amounts as are customarily carried under similar circumstances by such other Persons and providing for not less than 30 days’ prior notice to the Administrative Agent of termination, lapse or cancellation of such insurance.",maintenance-of-insurance
"Maintenance of Insurance. Maintain with insurance companies that the Borrower believes (in the good faith judgment of its management) are financially sound and reputable at the time the relevant coverage is placed or renewed, insurance with respect to its properties and business against loss or damage of the kinds customarily insured against by Persons engaged in the same or similar business, of such types and in such amounts (after giving effect to any self-insurance customary for similarly situated Persons engaged in the same or similar businesses as the Borrower and its Restricted Subsidiaries) as are customarily carried under similar circumstances by such other Persons. Not later than 30 days after the Closing Date (or the date any such insurance is obtained, in the case of insurance obtained after the Closing Date), the Borrower shall provide certificates and endorsements evidencing that each such policy of insurance (other than business interruption insurance, director and officer insurance and worker’s compensation insurance), as applicable, (i) names the Administrative Agent as additional insured thereunder or (ii) in the case of each casualty insurance policy, contains a loss payable clause or endorsement that names the Administrative Agent, on behalf of the Lenders, as loss payee thereunder. If the improvements on any Mortgaged Property are at any time located in an area identified by the Federal Emergency Management Agency (or any successor agency) as a special flood hazard area with respect to which flood insurance has been made available under the Flood Insurance Laws, then, to the extent required by the Flood Insurance Laws, the Borrower shall, or shall cause each Loan Party to, (i) maintain, or cause to be maintained, with a financially sound and reputable insurer, flood insurance in an amount reasonably satisfactory to the Administrative Agent and otherwise sufficient to comply with all applicable rules and regulations promulgated pursuant to the Flood Insurance Laws and (ii) upon the reasonable request of the Administrative Agent (except after the occurrence and during the continuation of an Event of Default, not to exceed one time per fiscal year), deliver to the Administrative Agent evidence of such compliance in form and substance reasonably acceptable to the Administrative Agent.",maintenance-of-insurance
"Maintenance of Insurance. (a) Maintain with insurance companies that the Parent Borrower believes (in the good faith judgment of its management) are financially sound and reputable at the time the relevant coverage is placed or renewed, insurance with respect to its properties and business against loss or damage of the kinds customarily insured against by Persons engaged in the same or similar business, of such types and in such amounts (after giving effect to any self-insurance reasonable and customary for similarly situated Persons engaged in the same or similar businesses as the Parent Borrower and the Restricted Subsidiaries) as are customarily carried under similar circumstances by such other Persons.",maintenance-of-insurance
"Maintenance of Insurance. Maintain, and cause each of its Subsidiaries to maintain, insurance with responsible and reputable insurance companies or associations (including, without limitation, comprehensive general liability, hazard, rent and business interruption insurance) with respect to its properties (including all real properties leased or owned by it) and business, in such amounts and covering such risks as is required by any Governmental Authority having jurisdiction with respect thereto or as is carried generally in accordance with sound business practice by companies in similar businesses similarly situated and in any event in an amount, adequacy and scope reasonably satisfactory to the Agents. All policies covering the Collateral are to be made payable to the Collateral Agent for the benefit of the Agents and the Lenders, as its interests may appear, in case of loss, under a standard non-contributory “lender” or “secured party” clause and are to contain such other provisions as the Agents may reasonably require to fully protect the Lenders’ interest in the Collateral and to any payments to be made under such policies. All certificates of insurance are to be delivered to the Collateral Agent and the policies shall include a lender loss payable and additional insured endorsement in favor of the Collateral Agent and such other Persons as the Collateral Agent may designate from time to time, and shall provide for not less than 30 days’ prior written notice (or 10 days’ prior written notice in the case of non-payment of premiums) to the Collateral Agent of the exercise of any right of cancellation. If any Loan Party or any of its Subsidiaries fails to maintain such insurance, the Collateral Agent may arrange for such insurance, but at the Borrowers’ expense and without any responsibility on the Agents’ part for obtaining the insurance, the solvency of the insurance companies, the adequacy of the coverage, or the collection of claims. Upon the occurrence and during the continuance of an Event of Default, the Collateral Agent shall have the sole right, in the name of the Lenders, any Loan Party and its Subsidiaries, to file claims under any insurance policies, to receive and give acquittance for any payments that may be payable thereunder, and to execute any and all endorsements, receipts, releases, assignments, reassignments or other documents that may be necessary to effect the collection, compromise or settlement of any claims under any such insurance policies.",maintenance-of-insurance
"Maintenance of Insurance. The Company shall, and shall cause its Subsidiaries to, keep at all times all of their properties which are of an insurable nature insured against loss or damage with insurers believed by the Company to be responsible to the extent that property of similar character is usually so insured by corporations similarly situated and owning like properties in accordance with good business practice.",maintenance-of-insurance
"Maintenance of Insurance. (a) The Borrower will, and will cause each Material Subsidiary to, at all times maintain in full force and effect, pursuant to self-insurance arrangements or with insurance companies that the Borrower believes (in the good faith judgment of the management of the Borrower) are financially sound and responsible at the time the relevant coverage is placed or renewed, insurance in at least such amounts (after giving effect to any self-insurance which the Borrower believes (in the good faith judgment of management of the Borrower) is reasonable and prudent in light of the size and nature of its business) and against at least such risks (and with such risk retentions) as the Borrower believes (in the good faith judgment of management of the Borrower) is reasonable and prudent in light of the size and nature of its business; and will furnish to the Administrative Agent, upon written request from the Administrative Agent, information presented in reasonable detail as to the insurance so carried and (b) with respect to each Mortgaged Property, Borrower will obtain flood insurance in such total amount as the Administrative Agent may from time to time reasonably require, if at any time the area in which any improvements located on any Mortgaged Property is designated a “flood hazard area” in any Flood Insurance Rate Map published by the Federal Emergency Management Agency (or any successor agency), and otherwise comply with the National Flood Insurance Program as set forth in the Flood Disaster Protection Act of 1973, as amended from time to time.",maintenance-of-insurance
"Maintenance of Insurance. Subject to any additional requirements under any Security Document, each Credit Party will maintain with financially sound and reputable insurance companies, insurance with respect to its properties and business against loss or damage of the kinds customarily insured against by Persons engaged in the same or similar business, of such types and in such amounts (after giving effect to any self-insurance reasonable and customary for similarly situated Persons engaged in the same or similar businesses as Parent and its Subsidiaries; provided that, insurance in respect of Collateral shall be maintained with such third party insurance companies except to the extent expressly permitted in the Pledge and Security Agreement) as are customarily carried under similar circumstances by such Persons.",maintenance-of-insurance
"Maintenance of Insurance. (a) Such Grantor will maintain, with financially sound and reputable companies, insurance policies (i) insuring the Inventory and Equipment against loss by fire, explosion, theft and such other casualties as may be reasonably satisfactory to the Administrative Agent and (ii) insuring such Grantor, the Administrative Agent and the other Secured Parties against liability for personal injury and property damage relating to such Inventory and Equipment, such policies to be in such form and amounts and having such coverage as may be reasonably satisfactory to the Administrative Agent and the other Secured Parties.",maintenance-of-insurance
