clause_text,clause_type
"Maintenance of Office or Agency. The Company will maintain in each Place of Payment for any series of Securities an office or agency where Securities of that series may be presented or surrendered for payment, where Securities of that series may be surrendered for registration of transfer or exchange and where notices and demands to or upon the Company in respect of the Securities of that series and this Indenture may be served. The Company will give prompt written notice to the Trustee of the location, and any change in the location, of such office or agency. If at any time the Company shall fail to maintain any such required office or agency or shall fail to furnish the Trustee with the address thereof, such presentations, surrenders, notices and demands may be made or served at the Corporate Trust Office of the Trustee, and the Company hereby appoints the Trustee as its agent to receive all such presentations, surrenders, notices and demands. The Company may also from time to time designate one or more other offices or agencies where the Securities of one or more series may be presented or surrendered for any or all such purposes and may from time to time rescind such designations; provided, however, that no such designation or rescission shall in any manner relieve the Company of its obligation to maintain an office or agency in each Place of Payment for Securities of any series for such purposes. The Company will give prompt written notice to the Trustee of any such designation or rescission and of any change in the location of any such other office or agency.",maintenance-of-office-or-agency
"Maintenance of Office or Agency. The Issuer will maintain in the Borough of Manhattan, The City of New York, an office or agency where Notes may be surrendered for registration of transfer or exchange, and where notices and demands to or upon the Issuer in respect of the Notes and this Indenture may be served. The Issuer hereby initially appoints the Indenture Trustee to serve as its agent for the foregoing purposes. The Issuer will give prompt written notice to the Indenture Trustee of the location, and of any change in the location, of any such office or agency. If at any time the Issuer shall fail to maintain any such office or agency or shall fail to furnish the Indenture Trustee with the address thereof, such surrenders, notices and demands may be made or served at the Corporate Trust Office, and the Issuer hereby appoints the Indenture Trustee as its agent to receive all such surrenders, notices and demands.",maintenance-of-office-or-agency
"Maintenance of Office or Agency. The Certificate Registrar shall maintain or cause to be maintained an office or offices or agency or agencies where Certificates may be surrendered for registration of transfer or exchange and where notices and demands to or upon the Certificate Registrar in respect of the Certificates and this Agreement may be served. The Certificate Registrar initially designates its office at Sixth Street and Marquette Avenue, Minneapolis, Minnesota 55479-0113 as its office for such purposes. The Certificate Registrar shall give prompt written notice to the Certificateholders and the Mortgagors of any change in the location of the Certificate Register or any such office or agency.",maintenance-of-office-or-agency
Maintenance of Office or Agency. The Trustee will maintain or cause to be maintained at its expense an office or offices or agency or agencies in New York City where Certificates may be surrendered for registration of transfer or exchange. The Trustee initially designates its Corporate Trust Office for such purposes. The Trustee will give prompt written notice to the Certificateholders of any change in such location of any such office or agency.,maintenance-of-office-or-agency
Maintenance of Office or Agency. The Owner Trustee shall maintain an office or offices or agency or agencies where the Certificate may be surrendered for registration of transfer or exchange and where notices and demands to or upon the Owner Trustee in respect of the Certificate and the Basic Documents may be served. The Owner Trustee initially designates the Corporate Trust Office for such purposes. The Owner Trustee shall give prompt written notice to the Depositor and the Certificateholder of any change in the location of the Certificate Register or any such office or agency.,maintenance-of-office-or-agency
"Maintenance of Office or Agency. The Company will maintain in the Borough of Manhattan, the City of New York, an office or agency (which may be an office of the Trustee or an affiliate of the Trustee, Registrar or co-registrar) where Notes may be surrendered for registration of transfer or for exchange and where notices and demands to or upon the Company in respect of the Notes and this Indenture may be served. The Company will give prompt written notice to the Trustee of the location, and any change in the location, of such office or agency. If at any time the Company fails to maintain any such required office or agency or fails to furnish the Trustee with the address thereof, such presentations, surrenders, notices and demands may be made or served at the Corporate Trust Office of the Trustee. The Company may also from time to time designate one or more other offices or agencies where the Notes may be presented or surrendered for any or all such purposes and may from time to time rescind such designations; provided, however, that no such designation or rescission will in any manner relieve the Company of its obligation to maintain an office or agency in the Borough of Manhattan, the City of New York for such purposes. The Company will give prompt written notice to the Trustee of any such designation or rescission and of any change in the location of any such other office or agency. The Company hereby designates the Corporate Trust Office of the Trustee as one such office or agency of the Company in accordance with Section 2.03 hereof.",maintenance-of-office-or-agency
"Maintenance of Office or Agency. The Company will maintain in each Place of Payment for any series of Securities an office or agency where Securities of that series may be presented or surrendered for payment, where Securities of that series may be surrendered for registration of transfer or exchange and where notices and demands to or upon the Company in respect of the Securities of that series and this Indenture may be served. The Company will give prompt written notice to the Trustee of the location, and any change in the location, of such office or agency. If at any time the Company shall fail to maintain any such required office or agency or shall fail to furnish the Trustee with the address thereof, such presentations, surrenders, notices and demands may be made or served at the Corporate Trust Office of the Trustee, and the Company hereby appoints the Trustee as its agent to receive all such presentations, surrenders, notices and demands. The Company may also from time to time designate one or more other offices or agencies where the Securities of one or more series may be presented or surrendered for any or all such purposes and may from time to time rescind such designations; provided, however, that no such designation or rescission shall in any manner relieve the Company of its obligation to maintain an office or agency in each Place of Payment for Securities of any series for such purposes. The Company will give prompt written notice to the Trustee of any such designation or rescission and of any change in the location of any such other office or agency. Except as otherwise specified with respect to a series of Securities as contemplated by Section 3.01, the Company hereby initially designates as the Place of Payment for each series of Securities The City of New York, and initially appoints the Trustee as Paying Agent at its Corporate Trust Office as the Company’s office or agency for each such purpose in such city.",maintenance-of-office-or-agency
"Maintenance of Office or Agency. So long as any series of the Securities remain Outstanding, the Company agrees to maintain an office or agency with respect to each such series and at such other location or locations as may be designated as provided in this Section 4.02, where (i) Securities of that series may be presented for payment, (ii) Securities of that series may be presented as herein above authorized for registration of transfer and exchange, and (iii) notices and demands to or upon the Company in respect of the Securities of that series and this Indenture may be given or served, such designation to continue with respect to such office or agency until the Company shall, by written notice signed by any officer authorized to sign an Officer’s Certificate and delivered to the Trustee, designate some other office or agency for such purposes or any of them. If at any time the Company shall fail to maintain any such required office or agency or shall fail to furnish the Trustee with the address thereof, such presentations, notices and demands may be made or served at the Corporate Trust Office of the Trustee, and the Company hereby appoints the Trustee as its agent to receive all such presentations, notices and demands. The Company initially appoints the Corporate Trust Office of the Trustee as its paying agent with respect to the Securities.",maintenance-of-office-or-agency
"Maintenance of Office or Agency. The Issuer shall maintain the offices or agencies (which may be an office of the Trustee or an affiliate of the Trustee, Registrar or co-registrar) required under Section 2.03 where Notes may be surrendered for registration of transfer or for exchange and where notices and demands to or upon the Issuer in respect of the Notes and this Indenture may be served. The Issuer shall give prompt written notice to the Trustee of the location, and any change in the location, of such office or agency. If at any time the Issuer shall fail to maintain any such required office or agency or shall fail to furnish the Trustee with the address thereof, such presentations, surrenders, notices and demands may be made or served at the Corporate Trust Office of the Trustee. The Issuer may also from time to time designate one or more other offices or agencies where the Notes may be presented or surrendered for any or all such purposes and may from time to time rescind such designations; provided that no such designation or rescission shall in any manner relieve the Issuer of its obligation to maintain such offices or agencies as required by Section 2.03 for such purposes. The Issuer shall give prompt written notice to the Trustee of any such designation or rescission and of any change in the location of any such other office or agency. The Issuer hereby designates the Corporate Trust Office of the Trustee as one such office or agency of the Issuer in accordance with Section 2.03 hereof.",maintenance-of-office-or-agency
"Maintenance of Office or Agency. The Issuer shall maintain in the Borough of Manhattan in the City of New York an office or agency (which may be an office of the Trustee or an affiliate of the Trustee, Registrar or co-registrar) where Notes may be surrendered for registration of transfer or for exchange and where notices and demands to or upon the Issuer in respect of the Notes and this Indenture may be served. The Issuer shall give prompt written notice to the Trustee of the location, and any change in the location, of such office or agency. If at any time the Issuer shall fail to maintain any such required office or agency or shall fail to furnish the Trustee with the address thereof, such presentations, surrenders, notices and demands may be made or served at the Corporate Trust Office of the Trustee. The Issuer may also from time to time designate one or more other offices or agencies where the Notes may be presented or surrendered for any or all such purposes and may from time to time rescind such designations; provided that no such designation or rescission shall in any manner relieve the Issuer of its obligation to maintain an office or agency in the Borough of Manhattan in the City of New York for such purposes. The Issuer shall give prompt written notice to the Trustee of any such designation or rescission and of any change in the location of any such other office or agency. The Issuer hereby designates the Corporate Trust Office of the Trustee as one such office or agency of the Issuer in accordance with Section 2.03 hereof.",maintenance-of-office-or-agency
