clause_text,clause_type
MANAGEMENT RIGHTS. 3.01 The Union acknowledges that all management rights and prerogatives are vested exclusively with the Employer and without limiting the generality of the foregoing; it is the exclusive function of the Employer:,management-rights
"MANAGEMENT RIGHTS. (a) Except as expressly modified or restricted by a specific provision of this Agreement, all inherent managerial rights, prerogatives, and functions are retained and vested exclusively in the Employer, including but not limited to, the rights, in accordance with its discretion: to reprimand, suspend or discharge for just cause, or otherwise discipline employees for just cause; to determine and revise the number of employees to be employed; to hire employees, and assign and direct their work; to promote, demote, transfer, lay off, recall to work; to train, retrain, and to test and determine their ability; to set and revise standards of work quality; to determine and change the equipment to be used and operated; to determine and change the staffing methods, means, and facilities by which operations are conducted; to control, regulate, delete or change the use of machinery, facilities, equipment and other property of the Employer and operating procedures pertinent thereto with the Employer providing employee training and education on operation of any new machinery and equipment; to schedule and reschedule work, jobs, and assignments; to introduce new or revised equipment and/or service or services; to determine the number, location and operation of bargaining unit work; to establish and revise safety standards; to conduct performance reviews of employees; to issue, amend and revise policies, rules, regulations, and practices not inconsistent with the specific terms of this Agreement; and to assure continuous performance of the unit’s work. The enumeration of the above Employer’s prerogatives shall not be deemed to exclude its other prerogatives not herein listed in this section.",management-rights
"MANAGEMENT RIGHTS. 4.01 The Union recognizes that the management and direction of the working forces are fixed exclusively with the Employer and shall remain solely with the Employer except as specifically limited by the express provisions of this Agreement, and without restricting the generality of the foregoing, the Union acknowledges that it is the exclusive function of the Employer to:",management-rights
"MANAGEMENT RIGHTS. 2.01 The Union recognizes and acknowledges that the management of the Corporation and the direction of the working force are the exclusive function of the Employer and, without restricting the generality of the foregoing; the Union acknowledges that it is the exclusive function of the Employer:",management-rights
"MANAGEMENT RIGHTS. The Union recognizes the College's inherent and traditional right to manage their respective business, as has been their practice in the past. The Union recognizes the right of the College to hire, suspend, transfer, promote, demote, or discipline its employees and to maintain the discipline and efficiency of its employees; the right (which shall be exercised as provided in the paragraph hereof relating to dismissal from employment) to layoff, terminate and otherwise relieve employees from duty because of lack of work for them to do, or for other reasons set forth in this Agreement; the right to establish and change or consolidate jobs; the right to direct the methods and processes of doing work, to introduce new, improved work methods or equipment, and to assign work to outside contractors; the right to determine the starting and quitting time and the number of hours to be worked; and the right to reasonably make and amend such rules and regulations as it may deem necessary for the conduct of its business, and to require their observance. The exercise of these legally authorized rights, authorities, duties, and responsibilities by the Board of Trustees (Board) and the President and the adoption of policies under relevant and applicable statutes shall be limited only by the specific and expressed terms of this Contract and College policy.",management-rights
"MANAGEMENT RIGHTS. A. The Township of Neptune hereby retains and reserves unto itself, without limitation, all powers, rights, authority, duties and responsibilities conferred upon and vested in it prior to the signing of this agreement by the laws and Constitution of the State of New Jersey and of the United States, including, but without limiting the generality of the foregoing, the following rights:",management-rights
"MANAGEMENT RIGHTS. All management rights and functions, except those which are clearly and expressly abridged by this Agreement, shall remain vested exclusively in the University. It is expressly recognized, merely by way of illustration and not by way of limitation, that such rights and functions include but are not limited to (1) full and exclusive control of the management of the University, the supervision of all operations, methods, processes, means and personnel by which any and all work shall be performed, the control of the composition, of assignment, direction and determination of the size and type of its work force; (2) the rights to change or introduce new and improved operations, methods, means or facilities; (3) the right to determine the standards to be met by employees covered; (4) the right to hire, establish work shifts, establish job classifications, promote, demote, transfer, and lay off employees; and (5) the right to determine the qualifications of employees, and to discipline employees for cause, and otherwise to maintain a orderly, effective and efficient operation. Notwithstanding the above, the University shall negotiate with the Union on questions concerning the practical impact that decisions on the above matters have on employees. The terms of this Article shall be subject to applicable law and the provisions of this Agreement.",management-rights
"MANAGEMENT RIGHTS. 5.01 All the functions, rights, powers and authority which the Employer has not specifically abridged, delegated or modified by this Agreement are recognized by the Institute as being retained by the Employer.",management-rights
"MANAGEMENT RIGHTS. The Board, on its own behalf and on behalf of the electors of the district, hereby retains and reserves unto itself, without limitation, all powers, rights and authority, duties and responsibilities conferred upon and vested in it by the laws of the Constitution of the State of Michigan and/or the United States, including, but without limiting the generality of the foregoing, the right to:",management-rights
"MANAGEMENT RIGHTS. 3.01 Subject to the provisions of this agreement, it is agreed that the Employer retains the sole and exclusive right to manage the affairs of the business and to direct the working forces of the Employer. Such functions of management include, but are not limited to the right to hire, enforce reasonable rules of safety, promote, discharge or discipline for cause, layoff employees and maintain efficiency of employees. The Employer has the right to alter, rearrange or change, extend, limit or curtail its operations or any part thereof, to decide the number of employees that may be assigned to work on any job or shift and the equipment to be employed in the performance of such work. Management reserves the right to introduce a performance and quality of work incentive program.",management-rights
"MANAGEMENT RIGHTS. Borrower shall permit any representative that Lender authorizes, including its attorneys and accountants, to inspect the Collateral and examine and make copies and abstracts of the books of account and records of Borrower at reasonable times and upon reasonable notice during normal business hours. In addition, any such representative shall have the right to meet with management and officers of Borrower to discuss such books of account and records. In addition, Lender shall be entitled at reasonable times and intervals to consult with and advise the management and officers of Borrower concerning significant business issues affecting Borrower. Such consultations shall not unreasonably interfere with Borrower’s business operations. The parties intend that the rights granted Lender shall constitute “management rights” within the meaning of 29 C.F.R Section 2510.3-101(d)(3)(ii), but that any advice, recommendations or participation by Lender with respect to any business issues shall not be deemed to give Lender, nor be deemed an exercise by Lender of, control over Borrower’s management or policies.",management-rights
"MANAGEMENT RIGHTS. B-1 The Association recognizes that the management of the Hospital and the direction of working forces are fixed exclusively in the Hospital and shall remain solely with the Hospital and, without limiting the generality of the foregoing, it is the exclusive function of the Hospital to:",management-rights
