clause_text,clause_type
"Management. (a) The General Partner shall conduct, direct and manage all activities of the Partnership. Except as otherwise expressly provided in this Agreement, all management powers over the business and affairs of the Partnership shall be exclusively vested in the General Partner, and no Limited Partner shall have any management power over the business and affairs of the Partnership. In addition to the powers now or hereafter granted a general partner of a limited partnership under applicable law or that are granted to the General Partner under any other provision of this Agreement, the General Partner, subject to Section 7.3, shall have full power and authority to do all things and on such terms as it determines to be necessary or appropriate to conduct the business of the Partnership, to exercise all powers set forth in Section 2.5 and to effectuate the purposes set forth in Section 2.4, including the following:",management
"Management. In accordance with Section 18-402 of the Act, management of the Company shall be vested in the Member. The Member shall have the power to do any and all acts necessary, convenient or incidental to or for the furtherance of the purposes described herein, including all powers, statutory or otherwise, possessed by members of a limited liability company under the laws of the State of Delaware. The Member has the authority to bind the Company.",management
"Management. Subject to the supervision of the Board of Trustees of the Trust, the Investment Adviser will provide for the management of the Fund including (i) the provision of a continuous investment program for the Fund, including investment research and management with respect to all securities, investments, cash and cash equivalents in the Fund, (ii) the determination from time to time of what securities and other investments will be purchased, retained, or sold for the Fund, and (iii) the placement from time to time of orders for all purchases and sales made for the Fund. The Investment Adviser will provide the services rendered by it hereunder in accordance with the Fund’s investment objectives, restrictions and policies as stated in the applicable Prospectus and Statement of Additional Information, provided that the Investment Adviser has notice or knowledge of any changes by the Board of Trustees to such investment objectives, restrictions or policies. The Investment Adviser further agrees that it will render to the Board of Trustees such periodic and special reports regarding the performance of its duties under this Agreement as the Board may reasonably request. The Investment Adviser agrees to provide to the Trust (or its agents and service providers) prompt and accurate data with respect to the Fund’s transactions and, where not otherwise available, the daily valuation of securities in the Fund.",management
"Management. Except as otherwise explicitly provided in the LLC Law, by this Agreement, or by other applicable law, the business and affairs of the Company shall be vested in the Member. The Member shall have full and complete authority, power and discretion to manage, control, operate and conduct the business, affairs and properties of the Company and to make all decisions regarding those matters and to perform any and all acts or activities customary or incident to the management or operation of the Company’s business.",management
"Management. Except as set forth in Schedule 3(nn) hereto, during the past five year period, no current or former officer or director or, to the knowledge of the Company, no current ten percent (10%) or greater stockholder of the Company or any of its Subsidiaries has been the subject of:",management
"Management. The power and authority to manage, direct and control the Company will be vested solely in the Member.",management
"Management. The Investment Manager shall act as investment manager for the Fund and shall, in such capacity, manage the investment operations of the Fund, including the purchase, retention, disposition and lending of securities, subject at all times to the policies and control of the Board of Directors of the Company (the ""Directors""). The Investment Manager shall give the Fund the benefit of its best judgments, efforts and facilities in rendering its services as investment manager.",management
"Management. Subject always to the supervision of the Adviser, who in turn is subject to the supervision of the Trust’s Board of Trustees, the Sub-Adviser will furnish an investment program in respect of, and make investment decisions for, all assets of the Funds and place all orders for the purchase and sale of securities, including foreign or domestic securities or other property (including financial futures and options of any type), all on behalf of the Funds. The Adviser and/or the Fund’s custodian will handle matters relating to the Fund participating in any class action settlements and the Sub-Adviser shall not have any obligations relating thereto. In the performance of its duties, the Sub-Adviser will satisfy its fiduciary duties to the Funds (as set forth below), and will monitor the Funds' investments, and will comply with the provisions of Trust’s Declaration of Trust and By-Laws, as amended from time to time, and the stated investment objectives, policies and restrictions of the Funds, which may be amended from time to time, provided that the Sub-Adviser will be responsible for such monitoring and compliance of any amendments to the Trust’s Declaration of Trust, By-laws, investment objectives, policies, and restrictions, only after the Sub-Adviser’s receipt of such amendments from the Adviser. The Sub-Adviser and the Adviser will each make its officers and employees available to the other from time to time at reasonable times to review investment policies of the Funds and to consult with each other regarding the investment affairs of the Funds. The Sub-Adviser will report to the Board of Trustees and to the Adviser with respect to the implementation of such program. The Sub-Adviser, solely with respect to the assets of the Funds which are under its management pursuant to this Agreement, and based on information obtained from the Funds’ administrator, custodian and other service providers, shall take reasonable steps to comply with the diversification provisions of Section 851 and Section 817(h) of the Internal Revenue Code of 1986, as amended (“IRC”), and its accompanying Regulation, Treas. Reg. Section 1.817-5, applicable to the Funds. The Adviser will not act in a manner that would result in the Sub-Adviser failing to maintain the required diversification and if the failure to diversify is inadvertent, Jackson National Life Insurance Company and any of its affiliates investing in the Funds, as owner of the assets in the Funds, shall in good faith and in c...",management
"Management. Subject always to the supervision of the Adviser, who in turn is subject to the supervision of the Board of Directors, Sub-Adviser will furnish an investment program in respect of, make investment decisions for all assets of the Company and place all orders for the purchase and sale of securities, commodities, and derivatives thereon, including foreign or domestic securities or property (including commodities and commodities-related instruments, financial and other futures, and options of any type) (hereinafter collectively, “securities”), all on behalf of the Company. In the performance of its duties, Sub-Adviser will monitor the Company’s investments, and will comply with the provisions of the Memorandum of Association, as amended from time to time, and make investment decisions in conformity with the stated investment objectives, policies and restrictions of the Company, which may be amended from time to time. Sub-Adviser and Adviser will each make its officers and employees available to the other from time to time at reasonable times to review investment policies of the Company and to consult with each other regarding the investment affairs of the Company. Sub-Adviser will report to the Board of Directors and to Adviser with respect to the implementation of such program. The Sub-Adviser further agrees that it:",management
"Management. (a) (i) Except as otherwise expressly provided in this Agreement, full, complete and exclusive discretion to manage and control the business and affairs of the Partnership are and shall be vested in the General Partner, and no Limited Partner shall have any right to participate in or exercise control or management power over the business and affairs of the Partnership.",management
"Management. (a) Except as otherwise expressly provided in this Agreement, all management powers over the business and affairs of the Partnership shall be vested exclusively in the Board of Directors and, subject to the direction of the Board of Directors and in accordance with the provisions of Section 7.8, the Officers. No Limited Partner shall have any management power or control over the business and affairs of the Partnership. Thus, except as expressly provided in this Agreement, the business and affairs of the Partnership shall be managed by or under the direction of the Board of Directors, and the day-to-day activities of the Partnership shall be conducted on the Partnership’s behalf by the Officers. In order to enable the Board of Directors to manage the business and affairs of the Partnership, the General Partner, except as otherwise expressly provided in this Agreement, hereby irrevocably delegates to the Board of Directors all management powers over the business and affairs of the Partnership that it may now or hereafter possess under applicable law. The General Partner further agrees to take any and all action necessary and appropriate, in the sole discretion of the Board of Directors, to effect any duly authorized actions by the Board of Directors, including executing or filing any agreements, instruments or certificates, delivering all documents, providing all information and taking or refraining from taking action as may be necessary or appropriate to achieve the effective delegation of power described in this Section 7.1(a). Each of the Partners and each Person who may acquire an interest in a Partnership Interest hereby approves, consents to, ratifies and confirms such delegation. The delegation by the General Partner to the Board of Directors of management powers over the business and affairs of the Partnership pursuant to the provisions of this Agreement shall not cause the General Partner to cease to be a general partner of the Partnership nor shall it cause the Board of Directors or any member thereof to be a general partner of the Partnership or to have or be subject to the liabilities of a general partner of the Partnership.",management
"Management. The powers of the Company shall be exercised by or under the authority of, and the business and affairs of the Company shall be managed under the direction of, the Member, which shall make all decisions and take all actions for the Company. Notwithstanding the foregoing, the Member may designate one or more persons, who may or may not be members of the Company, as officers (“Officers”) of the Company. Officers shall have such rights and duties as may be designated by the Member.",management
"Management. The business and affairs of the Company shall be managed by the Manager (the “Manager”). Except for situations in which the approval of the Member is expressly required by this Operating Agreement or the Delaware Act, the Manager shall have full and complete authority, power and discretion to manage and control the business, affairs and properties of the Company (including, without limitation, the right to appoint officers and delegate to such officers such management and control, as provided in Section 5.8), to make all decisions regarding those matters and to perform any and all other acts or activities customary or incident to the management of the Company’s business; provided, however, that the Member shall have the right to direct or instruct the Manager to act or refrain from acting with respect to any matter within the authority, power and discretion of the Manager (whether or not there is a deadlock of the Manager) and, if the Member so directs or instructs the Manager, the Manager shall take such actions as are necessary or appropriate to carry out such directions or instructions.",management
"Management. The Sole Member shall have the sole and exclusive control of the management, business, and affairs of the Company, and the Sole Member shall make all decisions and take all actions for the Company.",management
"Management. The powers of the Company shall be exercised by or under the authority of, and the business and affairs of the Company shall be managed under the direction of the Members, and the Members shall make all decisions and take all actions for the Company, except as set forth herein.",management
