clause_text,clause_type
"Material Contracts. Perform and observe all the terms and provisions of each Material Contract to be performed or observed by it, maintain each such Material Contract in full force and effect, enforce each such Material Contract in accordance with its terms, take all such action to such end as may be from time to time requested by the Administrative Agent and, upon request of the Administrative Agent, make to each other party to each such Material Contract such demands and requests for information and reports or for action as any Loan Party or any of its Subsidiaries is entitled to make under such Material Contract, and cause each of its Subsidiaries to do so, except, in any case, where the failure to do so, either individually or in the aggregate, could not reasonably be expected to have a Material Adverse Effect.",material-contracts
"Material Contracts. Schedule 8.15 to the Information Certificate sets forth all Material Contracts to which any Borrower or Guarantor is a party or is bound as of the date hereof. Borrowers and Guarantors have delivered true, correct and complete copies of such Material Contracts to Agent on or before the date hereof. Borrowers and Guarantors are not in breach or in default in any material respect of or under any Material Contract and have not received any notice of the intention of any other party thereto to terminate any Material Contract.",material-contracts
"Material Contracts. Except for grants under the Stock Option Plan ------------------ and as identified in Section 4.13 of the Corporation Disclosure Schedule, there are no agreements, understandings or proposed transactions between the Corporation and any of its officers, directors, affiliates, or any affiliate thereof. Except for the contracts identified in Section 4.13 of the Corporation Disclosure Schedule (the ""Material Contracts""), there are no agreements, understandings, instruments, contracts or proposed transactions to which the Corporation is a party or by which it is bound, that involve (i) obligations (contingent or otherwise) of, or payments to, the Corporation in excess of two hundred fifty thousand ($250,000) dollars, other than purchase orders in individual amounts of less than five hundred thousand ($500,000) dollars received in the ordinary course of business, (ii) the license of any patent, copyright, trade secret or other proprietary right to or from the Corporation, (iii) the grant of rights to manufacture, produce, assemble, license, market, or sell the Corporation's products to any third person, (iv) any agreement (other than in the ordinary cause) relating to the acquisition or disposition of any assets; (v) any agreement granting a lien or encumbrance on the Corporation's assets or properties; (vi) any indenture, mortgage, note, bond or other evidence of indebtedness, any credit or similar agreement (including any capitalized lease obligations) under which the Corporation has borrowed any money, and any guarantee of or agreement to acquire any such obligation, of any other Person; (vii) any written arrangement requiring the Corporation to perform research and development activities with respect to any product or proposed product or to develop or market any product or proposed product; or (viii) any arrangement under which the consequences of a default or termination could have a Material Adverse Effect or could result in the granting to any third party of any rights in or to any material assets of the Corporation. Each Material Contract is in full force and effect except as the same may have expired in accordance with its terms, the Corporation has not received any written assertion of default under any Material Contract, and the Corporation has not received any notice related to any termination or material change to, nor is there any right or consent under, any of the Material Contracts as a result of the transactions contemplated by this Agreement or...",material-contracts
"Material Contracts. An accurate, current and complete copy of each of the Material Contracts has been furnished to Lender, and each of the Material Contracts constitutes the entire agreement of the respective parties thereto relating to the subject matter thereof. There are no outstanding offers, bids, proposals or quotations made by any Credit Party which, if accepted, would create a Material Contract with any Credit Party. Each of the Material Contracts is in full force and effect and is a valid and binding obligation of the parties thereto in accordance with the terms and conditions thereof. To the best knowledge of each Credit Party, all obligations required to be performed under the terms of each of the Material Contracts by any party thereto have been fully performed by all parties thereto, and no party to any Material Contracts is in default with respect to any term or condition thereof, nor has any event occurred which, through the passage of time or the giving of notice, or both, would constitute a default thereunder or would cause the acceleration or modification of any obligation of any party thereto or the creation of any Lien, claim, charge or other encumbrance upon any of the assets or properties of any Credit Party. Further, no Credit Party has received any notice, nor does any Credit Party have any knowledge, of any pending or contemplated termination of any of the Material Contracts and, no such termination is proposed or has been threatened, whether in writing or orally.",material-contracts
"Material Contracts. Each Material Contract is the legal, valid and binding obligation of the Company or a Subsidiary, as the case may be, enforceable against the Company or such Subsidiary, as the case may be, in accordance with its terms, except to the extent that enforceability may be limited by bankruptcy, insolvency, reorganization, moratorium, fraudulent conveyance, and any other laws of general application affecting enforcement of creditors’ rights generally, and as limited by laws relating to the availability of specific performance, injunctive relief, or other equitable remedies. The Company and each Subsidiary, as the case may be, is in compliance with all material terms of the Material Contracts to which it is party, and there has not occurred any breach, violation or default or any event that, with the lapse of time, the giving of notice or the election of any Person, or any combination thereof, would constitute a breach, violation or default by the Company or any Subsidiary under any such Material Contract or, to the knowledge of the Company and each Subsidiary, by any other Person to any such contract except where such breach, violation or default would not have a Material Adverse Effect. Neither the Company nor any Subsidiary has been notified that any party to any Material Contract intends to cancel, terminate, not renew or exercise an option under any Material Contract, whether in connection with the transactions contemplated hereby or otherwise.",material-contracts
"Material Contracts. Each of the Borrower, the other Obligors and their respective Subsidiaries that is a party to any Material Contract is in compliance with all of the material terms of such Material Contract, and no default or event of default, or event or condition which with the giving of notice, the lapse of time, or both, would constitute such a default or event of default, exists with respect to any such Material Contract.",material-contracts
"Material Contracts. Schedule 4.14 sets forth all of the following Contracts to which the Purchaser is a party or by which it is bound (collectively, the ""Material Contracts""): (i) Contracts with any the Seller or any current officer or director of the Purchaser; (ii) Contracts with any labor union or association representing any employee of the Purchaser; (iii) Contracts pursuant to which any party is required to purchase or sell a stated portion of its requirements or output from or to another party; (iv) Contracts for the sale of any of the assets of the Purchaser other than in the ordinary course of business or for the grant to any person of any preferential rights to purchase any of its assets; (v) joint venture agreements; (vi) Material Contracts containing covenants of the Purchaser not to compete in any line of business or with any person in any geographical area or covenants of any other person not to compete with the Purchaser in any line of business or in any geographical area; (vii) Contracts relating to the acquisition by the Purchaser of any operating business or the capital stock of any other person; (viii) Contracts relating to the borrowing of money; or (ix) any other Contracts, other than Real Property Leases, which involve the expenditure of more than $100,000 in the aggregate or $25,000 annually or require performance by any party more than one year from the date hereof. There have been made available to the Sellers and their representatives true and complete copies of all of the Material Contracts. Except as set forth on Schedule 4.14, all of the Material Contracts and other agreements are in full force and effect and are the legal, valid and binding obligation of the Purchaser, enforceable against them in accordance with its terms, subject to applicable bankruptcy, insolvency, reorganization, moratorium and similar laws affecting creditors' rights and remedies generally and subject, as to enforceability, to general principles of equity (regardless of whether enforcement is sought in a proceeding at law or in equity). Except as set forth on Schedule 4.14, the Purchaser is not in default in any material respect under any Material Contracts, nor, to the knowledge of Purchaser, is any other party to any Material Contract in default thereunder in any material respect.",material-contracts
"Material Contracts. Schedule 8.15 sets forth all Material Contracts to which any Loan Party is a party as of the Escrow Release Date. The Loan Parties have delivered true, correct and complete copies of such Material Contracts to the Agent on or before the Escrow Release Date, subject to confidentiality restrictions contained therein. The Loan Parties are not in breach or in default of or under any Material Contract which would reasonably likely result in a Material Adverse Effect and have not received any written notice of the intention of any other party thereto to terminate any Material Contract prior to the end of its current term.",material-contracts
"Material Contracts. (a) E-RENTER has delivered or otherwise made available to HAIDA GWAI true, correct and complete copies of all contracts and agreements (and all amendments, modifications and supplements thereto and all side letters to which E-RENTER is a party affecting the obligations of any party there-under) to which E-RENTER or any of its subsidiaries is a party or by which any of their properties or assets are bound that are, material to the business, properties or assets of E-RENTER and its subsidiaries taken as a whole, including, without limitation, to the extent any of the following are, individually or in the aggregate, material to the business, properties or assets of E-RENTER and its subsidiaries taken as a whole, all: (i) employment, product design or development, personal services, consulting, non-competition, severance, golden parachute or indemnification contracts (including, without limitation, any contract to which E-RENTER is a party involving employees of E-RENTER USA); (ii) licensing, publishing, merchandising or distribution agreements; (iii) contracts granting rights of first refusal or first negotiation; (iv) partnership or joint venture agreements; (v) agreements for the acquisition, sale or lease of material properties or assets or stock or otherwise (vi) contracts or agreements with any Governmental Entity; and (vii) all commitments and agreements to enter into any of the foregoing (collectively, together with any such contracts entered into in accordance with Section 5.2 hereof; the ""E-RENTER Contracts""). Neither E-RENTER nor any of its subsidiaries is a party to or bound by any severance, golden parachute or other agreement with any employee or consultant pursuant to which such person would be entitled to receive any additional compensation or an accelerated payment of compensation as a result of the consummation of the transactions contemplated hereby.",material-contracts
"Material Contracts. As of the date of this Agreement, all Material Contracts are set forth in Schedule 2.11(x) and true and complete copies thereof have been delivered to Dowa on or prior to the date hereof. To the knowledge of SSMRC Parent and the Joint Venture Entities, none of the Joint Venture Entities nor any counterparty thereto, is in default in in the observance or performance of any material term, covenant or obligation to be performed by such Joint Venture Entity or such other Person under any Material Contract to which any of the Joint Venture Entities is a party or by which it is otherwise bound and each such Material Contract is in good standing, constitutes a valid and binding agreement of each of the parties thereto, is in full force and effect and is enforceable in accordance with its terms, subject to bankruptcy, insolvency, fraudulent transfer, reorganization, moratorium and similar Laws affecting creditors’ rights generally and subject to the qualification that equitable remedies may be granted in the discretion of a court of competent jurisdiction. To the knowledge of SSMRC Parent and the Joint Venture Entities, no event has occurred which would constitute such a default by any of the Joint Venture Entities. None of SSMRC Parent or the Joint Venture Entities have knowledge of the invalidity of or grounds for rescission, avoidance or repudiation of any such Material Contract and none of SSMRC Parent or the Joint Venture Entities have received notice of any intention to terminate any such Material Contract.",material-contracts
"Material Contracts. Set forth on Schedule 4.17 is, as of the Closing Date, a reasonably detailed description of the Material Contracts of each Loan Party. Except for matters which, either individually or in the aggregate, could not reasonably be expected to result in a Material Adverse Change, each Material Contract (other than those that have expired at the end of their normal terms) (a) is in full force and effect and is binding upon and enforceable against the applicable Loan Party and, to Borrower's knowledge, each other Person that is a party thereto in accordance with its terms, (b) has not been otherwise amended or modified (other than amendments or modifications permitted by Section 6.7(b)), and (c) is not in default due to the action or inaction of the applicable Loan Party.",material-contracts
"Material Contracts. 2.13.1 The Disclosure Letter accurately identifies all of the following contracts or other obligations (and any amendments thereto) to which the Company or any of its Subsidiaries is a party or by which the Company or any of its Subsidiaries is bound: (a) any written contracts with or loans to any of the Company's, or any of the Subsidiaries', shareholders (including, without limitation, Scherer and its affiliates), officers, directors, employees, consultants, salespersons, distributors or sales representatives; (b) any employee benefit plan made available by the Company or any of its Subsidiaries to any of their employees, including without limitation any medical benefits payable to retired employees of the Company or its Subsidiaries; (c) any collective bargaining agreement; (d) any outstanding option plans, options, warrants, warrant agreements and rights agreements; (e) any contracts with customers and suppliers other than purchase orders delivered in the ordinary course of business; (f) any deeds of trust, mortgages, conditional sales contracts, security agreements, pledge agreements, trust receipts, or any other agreements or arrangements whereby any material amount of the assets of the Company or any Subsidiary are subject to a lien, encumbrance, charge or other restriction; (g) any loan agreements, letters of credit or lines of credit, including without limitation any documents pertaining to the Company's Swiss bonds and Swiss notes; (h) any contracts restricting the Company or any Subsidiary from doing business in any areas or in any way limiting competition; (i) any contracts calling for aggregate payments by the Company or any Subsidiary in excess of $25,000 and which are not terminable without cost or liability on notice of 90 days or less; (j) any joint venture, partnership or limited partnership agreement or limited liability company operating agreement involving the Company or any Subsidiary; (k) any guarantees by the Company or any Subsidiary of the obligations of any other party except those resulting from the endorsement of checks deposited by the Company or any Subsidiary for collection; (l) any engagement letter relating to the Merger; (m) any other contracts which could have a material impact on the Company's consolidated results of operations or consolidated financial condition; and (n) any commitments to enter into any of the types of contracts and obligations referred to in this Section 2.13.1. The Company and its Subsidiaries are n...",material-contracts
