clause_text,clause_type
"Meetings. Meetings of the Trustees shall be held from time to time upon the call of the Chairman, if any, or the President or any two Trustees. Regular meetings of the Trustees may be held without call or notice at a time and place fixed by the By-Laws or by resolution of the Trustees. Notice of any other meeting shall be given by the Secretary and shall be delivered to the Trustees orally not less than 24 hours, or in writing not less than 72 hours, before the meeting, but may be waived in writing by any Trustee either before or after such meeting. The attendance of a Trustee at a meeting shall constitute a waiver of notice of such meeting except where a Trustee attends a meeting for the express purpose of objecting to the transaction of any business on the ground that the meeting has not been properly called or convened. Any time there is more than one Trustee, a quorum for all meetings of the Trustees shall be one-third, but not less than two, of the Trustees. Unless provided otherwise in this Declaration and except as required under the 1940 Act, any action of the Trustees may be taken at a meeting by vote of a majority of the Trustees present (a quorum being present) or without a meeting by written consent of a majority of the Trustees. Any committee of the Trustees, including an executive committee, if any, may act with or without a meeting. A quorum for all meetings of any such committee shall be one-third, but not less than two, of the members thereof. Unless provided otherwise in this Declaration, any action of any such committee may be taken at a meeting by vote of a majority of the members present (a quorum being present) or without a meeting by written consent of all of the members. With respect to actions of the Trustees and any committee of the Trustees, Trustees who are Interested Persons in any action to be taken may be counted for quorum purposes under this Section and shall be entitled to vote to the extent not prohibited by the 1940 Act. All or any one or more Trustees may participate in a meeting of the Trustees or any committee thereof by means of a conference telephone or similar communications equipment by means of which all persons participating in the meeting can hear each other; participation in a meeting pursuant to any such communications system shall constitute presence in person at such meeting.",meetings
"Meetings. If there is more than one Regular Trustee, meetings of the Regular Trustees shall be held from time to time upon the call of any Regular Trustee. Regular meetings of the Regular Trustees may be held at a time and place fixed by resolution of the Regular Trustees. Notice of any in-person meetings of the Regular Trustees shall be hand delivered or otherwise delivered in writing (including by facsimile, with a hard copy by overnight courier) not less than 48 hours before such meeting. Notice of any telephonic meetings of the Regular Trustees or any committee thereof shall be hand delivered or otherwise delivered in writing (including by facsimile, with a hard copy by overnight courier) not less than 24 hours before a meeting. Notices shall contain a brief statement of the time, place and anticipated purposes of the meeting. The presence (whether in person or by telephone) of a Regular Trustee at a meeting shall constitute a waiver of notice of such meeting except where a Regular Trustee attends a meeting for the express purpose of objecting to the transaction of any activity on the ground that the meeting has not been lawfully called or convened. Unless provided otherwise in this Declaration, any action of the Regular Trustees may be taken at a meeting by vote of a majority of the Regular Trustees present (whether in person or by telephone) and eligible to vote with respect to such matter, provided that a Quorum is present, or without a meeting by the unanimous written consent of the Regular Trustees. In the event there is only one Regular Trustee, any and all action of such Regular Trustee shall be evidenced by a written consent of such Regular Trustee.",meetings
"Meetings. 1. The representatives of the Parties shall hold meetings from time to time for the purpose of: (a) reviewing the implementation of this Chapter; (b) exchanging legal information and investment opportunities; (c) forwarding proposals on promotion of investment; and (d) studying other issues in connection with investments. 2. Where either Party requests consultation on any matters referred to in paragraph 1 of this Article, the other Party shall give prompt response and the consultation shall be held alternately in Beijing and Lima.",meetings
"Meetings. A meeting of the shareholders shall be called by the Secretary whenever ordered by the Trustees, or requested in writing by the holder or holders of at least 10% of the outstanding shares entitled to vote at such meeting. If the meeting is a meeting of the shareholders of one or more series or class of shares, but not a meeting of all shareholders of the Trust, then only the shareholders of such one or more series or classes shall be entitled to notice of and to vote at the meeting. If the Secretary, when so ordered or requested, refuses or neglects for more than five days to call such meeting, the Trustees, or the shareholders so requesting may, in the name of the Secretary, call the meeting by giving notice thereof in the manner required when notice is given by the Secretary.",meetings
"Meetings. Commencing upon the execution of this Lease, Tenant shall hold weekly meetings at a reasonable time, with the Architect and the Contractor regarding the progress of the preparation of Construction Drawings and the construction of the Tenant Improvements, which meetings shall be held at a location designated by Landlord, and Landlord and/or its agents shall receive prior notice of, and shall have the right to attend, all such meetings, and, upon Landlord's request, certain of Tenant's Agents shall attend such meetings. In addition, minutes shall be taken at all such meetings, a copy of which minutes shall be promptly delivered to Landlord. One such meeting each month shall include the review of Contractor's current request for payment.",meetings
"Meetings. Meetings of Shareholders may be called by the Trustees from time to time for the purpose of taking action upon any matter requiring the vote or authority of the Shareholders as herein provided, or upon any other matter deemed by the Trustees to be necessary or desirable. Written notice of any meeting of Shareholders shall be given or caused to be given by the Trustees by mailing such notice at least seven (7) days before such meeting, postage prepaid, stating the time, place and purpose of the meeting, to each Shareholder at the Shareholder's address as it appears on the records of the Trust. The Trustees shall promptly call and give notice of a meeting of Shareholders for the purpose of voting upon removal of any Trustee of the Trust when requested to do so in writing by Shareholders holding not less than ten percent (10%) of the Shares then outstanding. If the Trustees shall fail to call or give notice of any meeting of Shareholders for a period of thirty (30) days after written application by Shareholders holding at least ten percent (10%) of the Shares then outstanding requesting that a",meetings
"Meetings. Unless the Board of Directors shall otherwise provide, regular meetings of the Executive Committee or any other committee appointed pursuant to this Section 25 shall be held at such times and places as are determined by the Board of Directors, or by any such committee, and when notice thereof has been given to each member of such committee, no further notice of such regular meetings need be given thereafter. Special meetings of any such committee may be held at any place which has been determined from time to time by such committee, and may be called by any director who is a member of such committee, upon written notice to the members of such committee of the time and place of such special meeting given in the manner provided for the giving of written notice to members of the Board of Directors of the time and place of special meetings of the Board of Directors. Notice of any special meeting of any committee may be waived in writing at any time before or after the meeting and will be waived by any director by attendance thereat, except when the director attends such special meeting for the express purpose of objecting, at the beginning of the meeting, to the transaction of any business because the meeting is not lawfully called or convened. A majority of the authorized number of members of any such committee shall constitute a quorum for the transaction of business, and the act of a majority of those present at any meeting at which a quorum is present shall be the act of such committee.",meetings
"Meetings. Meetings of the Shareholders may be held within or outside the State of Delaware. Meetings of the Shareholders of the Trust or a Series may be called by the Board of Trustees, Chairman of the Board or the President of the Trust for any lawful purpose, including the purpose of electing Trustees as provided in Article IV, Section 1. Special meetings of the Shareholders of the Trust or any Series shall be called by the Board of Trustees, Chairman or President upon the written request of Shareholders owning the requisite percentage amount of the outstanding Shares entitled to vote specified in the By-Laws. Whenever ten or more Shareholders meeting the qualifications set forth in Section 16(c) of the 1940 Act, as the same may be amended from time to time, seek the opportunity of furnishing materials to the other Shareholders with a view to obtaining signatures on such a request for a meeting, the Trustees shall comply with the provisions of said Section 16(c) with respect to providing such Shareholders access to the list of the Shareholders of record of the Trust or the mailing of such materials to such Shareholders of record, subject to any rights provided to the Trust or any Trustees provided by said Section 16(c). Shareholders shall be entitled to at least fifteen (15) days’ notice of any meeting.",meetings
"Meetings. The Board of Directors of the Corporation may hold meetings, both regular and special, either within or without the State of Wyoming. Regular meetings of the Board of Directors may be held without notice at such time and at such place as may from time to time be determined by the Board of Directors. Special meetings of the Board of Directors may be called by the Chairman of the Board, the Chief Executive Officer or any two directors. Notice thereof stating the place, date and hour of the meeting shall be given to each director either by mail not less than forty-eight (48) hours before the time of the meeting, by telephone, electronic facsimile or telegram not less than twenty-four (24) hours before the time of the meeting, or on such shorter notice as the person or persons calling such meeting may deem necessary or appropriate under the circumstances.",meetings
"Meetings. A meeting of the shareholders of the Trust shall be held whenever called by the Trustees, whenever election of a Trustee or Trustees by shareholders is required by the provisions of Section 16(a) of the Investment Company Act of 1940 for that purpose or whenever otherwise required pursuant to the Declaration of Trust. Any meeting shall be held on such day and at such time as the President or the Trustees may fix in the notice of the meeting.",meetings
Meetings. Subtask 1.2,meetings
"Meetings. A regular meeting of the Board of Managers shall be held without other notice than this LLC Agreement, immediately after, and at the same place, as the annual meeting of Members. Additional regular meetings of the Board of Managers may be held at any time and place designated by them. Special meetings of the Board of Managers may be called by or at the request of the Chairman of the Board or a majority of the managers. Special meetings shall be held, unless otherwise designated by the Board of Managers, in Nashville, Tennessee. Meetings may be held by the managers participating in same by means of a conference telephone or similar communications equipment by means of which all persons participating in the meeting can hear each other and such participation constitutes presence in person for all those participating. Whenever the laws of the State authorize or permit managers to act other than at a meeting, including but not limited to acting through unanimous written consents, then such actions shall be as effective as if taken by the managers at a meeting.",meetings
"Meetings. The Board may hold regular or special meetings in or out of the State of Delaware. The Board may permit any or all directors to participate in a regular or special meeting by, or conduct the meeting through the use of, any means of communication by which all directors participating may simultaneously hear each other during the meeting. A director participating in a meeting by this means shall be deemed to be present in person at the meeting.",meetings
"Meetings. The JRDC shall meet at least […***…] per Calendar Quarter, unless the Parties mutually agree in writing to a different frequency for such meetings. Either Party may also call a special meeting of the JRDC (by videoconference or teleconference) by at least […***…] prior written notice to the other Party in the event such Party reasonably believes that a significant matter must be addressed prior to the next regularly scheduled meeting, and such Party shall provide the JRDC, no later than […***…] prior to the special meeting, with materials reasonably adequate to enable an informed decision. No later than […***…] prior to any meeting of the JRDC, the chairperson of the JRDC shall prepare and circulate an agenda for such meeting; provided, however, that either Party may propose additional topics to be included on such agenda, either prior to or in the course of such meeting. The JRDC may meet in person, by videoconference or by teleconference, provided, however, at least […***…] shall be in person unless the Parties mutually agree in writing to waive such requirement in lieu of a videoconference or teleconference. In-person JRDC meetings shall be held at locations alternately selected by Dimension and by Bayer. Each Party shall bear the expense of its respective JRDC members’ participation in JRDC meetings. Meetings of the JRDC shall be effective only if at least one (1) representative of each Party is present or participating in such meeting. The chairperson of the JRDC shall be responsible for preparing reasonably detailed written minutes of all JRDC meetings that reflect, without limitation, all material decisions made at such meetings. The JRDC chairperson shall send draft meeting minutes to each member of the JRDC for review and approval within […***…] after each JRDC meeting. Such minutes shall be deemed approved unless one or more members of the JRDC objects to the accuracy of such minutes within […***…] of receipt.",meetings
"Meetings. (a) The Majority Members shall constitute a quorum for the transaction of business of the Company, and except as otherwise provided in this Agreement, the act of the Majority Members present at a meeting of the Members at which a quorum is present shall be the act of the Members.",meetings
Meetings. Meetings of members shall not be required as long as the Member remains the sole member of the Company.,meetings
Meetings. The Supplier agrees to attend meetings between the Parties in person to discuss the circumstances of any MI Failure(s) at the request of the Authority (without prejudice to any other rights the Authority may have). If the Authority requests such a meeting the Supplier shall propose measures to ensure that the MI Failures are rectified and do not occur in the future. The Parties shall document these measures and continue to monitor the Supplier's performance.,meetings
"Meetings. The annual meeting of Members shall be designated by the Board of Managers, for the purpose of electing managers and for the transaction of such other business as may come before the meeting. If the election of managers shall not be held on the day designated for any annual meeting, or at any adjournment thereof, the election shall be held at a special meeting of the Members to be held as soon thereafter as may be convenient. Special meetings of the Members may be called by the Chairman of the Board, the President, by a majority of the members of the Board of Managers or by the holders of not less than one-fifth of the Percentage Ownership of the Company.",meetings
"Meetings. Meetings of the Shareholders of the Trust or any one or more Series or Classes thereof may be called and held from time to time for the purpose of taking action upon any matter requiring the vote or authority of the Shareholders as herein provided or upon any other matter deemed by the Trustees to be necessary or desirable. The Trustees may set in the Bylaws provisions relating to the calling and holding of meetings (including the holding of meetings by electronic or other similar means), notice of meetings, record dates, place of meetings, conduct of meetings, voting by proxy, postponement, adjournment or cancellation of meetings and related matters.",meetings
"Meetings. Meetings of the Members may be called by the Chief Manager, Secretary, or any Member by giving written notice to all Members, stating the date, the time, the place and the purpose(s) of the meeting. Any such meetings shall be held at the principal executive office of the Company, or such other place as may be designated in the notice. Such notice must be given no fewer than ten (10) days nor more than two (2) months before the meeting date.",meetings
"Meetings. The Board (or any committee of the Board) shall meet at such time and at such place as the Chairman of the Board (or the chairman of such committee) may designate. Written notice of all regular meetings of the Board (or any committee of the Board) must be given to all Directors (or all members of such committee) at least two days prior to the regular meeting of the Board (or such committee). Special meetings of the Board (or any committee of the Board) shall be held at the request of the Chairman or a majority of the Directors (or a majority of the members of such committee) upon at least two days (if the meeting is to be held in person) or twenty-four hours (if the meeting is to be held telephonically) oral or written notice to the Directors (or the members of such committee) or upon such shorter notice as may be approved by the Directors (or the members of such committee), which approval may be given before or after the relevant meeting to which the notice relates. All notices and other communications to be given to Directors (or members of a committee) shall be sufficiently given for all purposes hereunder if in writing and delivered by hand, courier or overnight delivery service or three days after being mailed by certified or registered mail, return receipt requested, with appropriate postage prepaid, or when received in the form of a telegram, as an attachment to an electronic mail message or facsimile, and shall be directed to the address, electronic mail address or facsimile number as such Director (or member) shall designate by notice to the Company. Neither the business to be transacted at, nor the purpose of, any regular or special meeting of the Board (or committee) need be specified in the notice of such meeting. Any Director (or member of such committee) may waive the requirement of such notice as to such Director (or such member).",meetings
"Meetings. Consultant and District agree to participate in regular meetings on at least a monthly basis to discuss strategies, timetables, implementations of services, and any other issues deemed relevant to the operation of Consultant’s performance of Services.",meetings
Meetings. No annual or regular meeting of Members is required. Special meetings of Members may be called by the Manager from time to time for the purpose of taking action upon any matter requiring the vote or authority of the Members as herein provided or upon any other matter deemed by the Manager to be necessary or desirable. Written notice of any meeting of Members shall be given or caused to be given by the Manager in any form and at any time before the meeting as the Manager deems appropriate. Any Member may prospectively or retroactively waive the receipt of notice of a meeting.,meetings
