clause_text,clause_type
"Merger. The Company merges into or consolidates with another corporation, or merges another corporation into the Company, and as a result less than a majority of the combined voting power of the resulting corporation immediately after the merger or consolidation is held by persons who were stockholders of the Company immediately before the merger or consolidation.",merger
"Merger. The voluntary or other surrender of this Lease by Lessee, or a mutual cancellation thereof, or a termination by Lessor, shall not work a merger, and shall, at the option of Lessor, terminate all or any existing subtenancies or may, at the option of Lessor, operate as an assignment to Lessor of any or all of such subtenancies.",merger
"Merger. This Guaranty represents the final agreement of each of the Guarantors with respect to the matters contained herein and may not be contradicted by evidence of prior or contemporaneous agreements, or subsequent oral agreements, between the Guarantor and any Holder of Guaranteed Obligations (including the Administrative Agent).",merger
"Merger. The reorganization, merger or consolidation of Borrower into or with any other corporation or entity.",merger
"Merger. The voluntary or other surrender of this Lease by Tenant, the mutual termination or cancellation hereof by Landlord and Tenant, or a termination of this Lease by Landlord for a material default by Tenant hereunder, shall not work a merger, and, at the sole option of Landlord, (i) shall terminate all or any existing subleases or subtenancies, or (ii) may operate as an assignment to Landlord of any or all of such subleases or subtenancies. Landlord's election of either or both of the foregoing options shall be exercised by delivery by Landlord of written notice thereof to Tenant and all known subtenants under any sublease.",merger
"Merger. Any Person into which the Collateral Agent may be converted or merged, or with which it may be consolidated, or to which it may sell or transfer its trust business and assets as a whole or substantially as a whole, or any Person resulting from any such conversion, merger, consolidation, sale or transfer to which the Collateral Agent is a party, shall (provided it is otherwise qualified to serve as the Collateral Agent hereunder) be and become a successor Collateral Agent hereunder and be vested with all of the title to and interest in the Collateral and all of the trusts, powers, discretions, immunities, privileges and other matters as was its predecessor without the execution or filing of any instrument or any further act, deed or conveyance on the part of any of the parties hereto, anything herein to the contrary notwithstanding, except to the extent, if any, that any such action is necessary to perfect, or continue the perfection of, the security interest of the Secured Parties in the Collateral.",merger
"Merger. This Agreement contains all of the terms and conditions of the understanding of the Parties relating to the subject matter hereof. All prior negotiations, discussions, correspondence, and preliminary understandings between the Parties and others relating hereto are superseded by this Agreement.",merger
"Merger. The reorganization, merger or consolidation of Borrower into or with any other Person.",merger
"Merger. The Bank or the Company merges into or consolidates with another entity whereby the Bank or the Company is not the surviving entity, or the Bank or the Company merges another bank or corporation into the Bank or the Company, and as a result, less than a majority of the combined voting power of the resulting corporation immediately after the merger or consolidation is held by persons who were stockholders of the Company or the Bank immediately before the merger or consolidation;",merger
"Merger. Upon the terms and subject to the conditions set forth in this Agreement and in accordance with the DGCL, at the Effective Time, Merger Sub shall be merged with and into the Company. As a result of the Merger, the separate corporate existence of Merger Sub shall thereupon cease, and the Company shall be the Surviving Corporation in the Merger.",merger
